game,2012,14,20121206,201212060rai,den,"Denver Broncos",26,rai,"Oakland Raiders",13
player,201212060rai,rai,AusbDa00,targets,1,,,,,
player,201212060rai,rai,AusbDa00,rec,0,,,,,
player,201212060rai,rai,AusbDa00,rec_yds,0,,,,,
player,201212060rai,rai,AusbDa00,rec_td,0,,,,,
player,201212060rai,rai,AusbDa00,rec_long,0,,,,,
player,201212060rai,rai,AusbDa00,fumbles,0,,,,,
player,201212060rai,rai,AusbDa00,fumbles_lost,0,,,,,
player,201212060rai,den,BailCh00,def_int,1,,,,,
player,201212060rai,den,BailCh00,def_int_yds,18,,,,,
player,201212060rai,den,BailCh00,def_int_td,0,,,,,
player,201212060rai,den,BailCh00,def_int_long,18,,,,,
player,201212060rai,den,BailCh00,pass_defended,1,,,,,
player,201212060rai,den,BailCh00,sacks,0.0,,,,,
player,201212060rai,den,BailCh00,tackles_combined,2,,,,,
player,201212060rai,den,BailCh00,tackles_solo,2,,,,,
player,201212060rai,den,BailCh00,tackles_assists,0,,,,,
player,201212060rai,den,BailCh00,tackles_loss,0,,,,,
player,201212060rai,den,BailCh00,qb_hits,0,,,,,
player,201212060rai,den,BailCh00,fumbles_rec,0,,,,,
player,201212060rai,den,BailCh00,fumbles_rec_yds,0,,,,,
player,201212060rai,den,BailCh00,fumbles_rec_td,0,,,,,
player,201212060rai,den,BailCh00,fumbles_forced,0,,,,,
player,201212060rai,den,MillVo00,def_int,0,,,,,
player,201212060rai,den,MillVo00,def_int_yds,0,,,,,
player,201212060rai,den,MillVo00,def_int_td,0,,,,,
player,201212060rai,den,MillVo00,def_int_long,0,,,,,
player,201212060rai,den,MillVo00,pass_defended,0,,,,,
player,201212060rai,den,MillVo00,sacks,1.0,,,,,
player,201212060rai,den,MillVo00,tackles_combined,4,,,,,
player,201212060rai,den,MillVo00,tackles_solo,3,,,,,
player,201212060rai,den,MillVo00,tackles_assists,1,,,,,
player,201212060rai,den,MillVo00,tackles_loss,0,,,,,
player,201212060rai,den,MillVo00,qb_hits,0,,,,,
player,201212060rai,den,MillVo00,fumbles_rec,0,,,,,
player,201212060rai,den,MillVo00,fumbles_rec_yds,0,,,,,
player,201212060rai,den,MillVo00,fumbles_rec_td,0,,,,,
player,201212060rai,den,MillVo00,fumbles_forced,1,,,,,
player,201212060rai,den,CartTo99,def_int,0,,,,,
player,201212060rai,den,CartTo99,def_int_yds,0,,,,,
player,201212060rai,den,CartTo99,def_int_td,0,,,,,
player,201212060rai,den,CartTo99,def_int_long,0,,,,,
player,201212060rai,den,CartTo99,pass_defended,1,,,,,
player,201212060rai,den,CartTo99,sacks,0.0,,,,,
player,201212060rai,den,CartTo99,tackles_combined,6,,,,,
player,201212060rai,den,CartTo99,tackles_solo,4,,,,,
player,201212060rai,den,CartTo99,tackles_assists,2,,,,,
player,201212060rai,den,CartTo99,tackles_loss,0,,,,,
player,201212060rai,den,CartTo99,qb_hits,0,,,,,
player,201212060rai,den,CartTo99,fumbles_rec,1,,,,,
player,201212060rai,den,CartTo99,fumbles_rec_yds,0,,,,,
player,201212060rai,den,CartTo99,fumbles_rec_td,0,,,,,
player,201212060rai,den,CartTo99,fumbles_forced,0,,,,,
player,201212060rai,den,AdamMi21,def_int,0,,,,,
player,201212060rai,den,AdamMi21,def_int_yds,0,,,,,
player,201212060rai,den,AdamMi21,def_int_td,0,,,,,
player,201212060rai,den,AdamMi21,def_int_long,0,,,,,
player,201212060rai,den,AdamMi21,pass_defended,0,,,,,
player,201212060rai,den,AdamMi21,sacks,0.0,,,,,
player,201212060rai,den,AdamMi21,tackles_combined,5,,,,,
player,201212060rai,den,AdamMi21,tackles_solo,3,,,,,
player,201212060rai,den,AdamMi21,tackles_assists,2,,,,,
player,201212060rai,den,AdamMi21,tackles_loss,0,,,,,
player,201212060rai,den,AdamMi21,qb_hits,0,,,,,
player,201212060rai,den,AdamMi21,fumbles_rec,0,,,,,
player,201212060rai,den,AdamMi21,fumbles_rec_yds,0,,,,,
player,201212060rai,den,AdamMi21,fumbles_rec_td,0,,,,,
