game,2012,7,20121018,201210180sfo,sea,"Seattle Seahawks",6,sfo,"San Francisco 49ers",13
player,201210180sfo,sea,EdwaBr00,pass_td,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_int,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_sacked,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_long,0,,,,,
player,201210180sfo,sea,EdwaBr00,pass_rating,,,,,,
player,201210180sfo,sea,EdwaBr00,rush_att,0,,,,,
player,201210180sfo,sea,EdwaBr00,rush_yds,0,,,,,
player,201210180sfo,sea,EdwaBr00,rush_td,0,,,,,
player,201210180sfo,sea,EdwaBr00,rush_long,0,,,,,
player,201210180sfo,sea,EdwaBr00,targets,2,,,,,
player,201210180sfo,sea,EdwaBr00,rec,0,,,,,
player,201210180sfo,sea,EdwaBr00,rec_yds,0,,,,,
player,201210180sfo,sea,EdwaBr00,rec_td,0,,,,,
player,201210180sfo,sea,EdwaBr00,rec_long,0,,,,,
player,201210180sfo,sea,EdwaBr00,fumbles,0,,,,,
player,201210180sfo,sea,EdwaBr00,fumbles_lost,0,,,,,
player,201210180sfo,sea,TateGo00,pass_cmp,0,,,,,
player,201210180sfo,sea,TateGo00,pass_att,0,,,,,
player,201210180sfo,sea,TateGo00,pass_yds,0,,,,,
player,201210180sfo,sea,TateGo00,pass_td,0,,,,,
player,201210180sfo,sea,TateGo00,pass_int,0,,,,,
player,201210180sfo,sea,TateGo00,pass_sacked,0,,,,,
player,201210180sfo,sea,TateGo00,pass_sacked_yds,0,,,,,
player,201210180sfo,sea,TateGo00,pass_long,0,,,,,
player,201210180sfo,sea,TateGo00,pass_rating,,,,,,
player,201210180sfo,sea,TateGo00,rush_att,0,,,,,
player,201210180sfo,sea,TateGo00,rush_yds,0,,,,,
player,201210180sfo,sea,TateGo00,rush_td,0,,,,,
player,201210180sfo,sea,TateGo00,rush_long,0,,,,,
player,201210180sfo,sea,TateGo00,targets,3,,,,,
player,201210180sfo,sea,TateGo00,rec,0,,,,,
player,201210180sfo,sea,TateGo00,rec_yds,0,,,,,
player,201210180sfo,sea,TateGo00,rec_td,0,,,,,
