game,2012,12,20121125,201211250tam,atl,"Atlanta Falcons",24,tam,"Tampa Bay Buccaneers",23
player,201211250tam,tam,WillMi04,pass_long,28,,,,,
player,201211250tam,tam,WillMi04,pass_rating,118.7,,,,,
player,201211250tam,tam,WillMi04,rush_att,0,,,,,
player,201211250tam,tam,WillMi04,rush_yds,0,,,,,
player,201211250tam,tam,WillMi04,rush_td,0,,,,,
player,201211250tam,tam,WillMi04,rush_long,0,,,,,
player,201211250tam,tam,WillMi04,targets,5,,,,,
player,201211250tam,tam,WillMi04,rec,3,,,,,
player,201211250tam,tam,WillMi04,rec_yds,28,,,,,
player,201211250tam,tam,WillMi04,rec_td,0,,,,,
player,201211250tam,tam,WillMi04,rec_long,14,,,,,
player,201211250tam,tam,WillMi04,fumbles,0,,,,,
player,201211250tam,tam,WillMi04,fumbles_lost,0,,,,,
player,201211250tam,tam,MartDo00,pass_cmp,0,,,,,
player,201211250tam,tam,MartDo00,pass_att,0,,,,,
player,201211250tam,tam,MartDo00,pass_yds,0,,,,,
player,201211250tam,tam,MartDo00,pass_td,0,,,,,
player,201211250tam,tam,MartDo00,pass_int,0,,,,,
player,201211250tam,tam,MartDo00,pass_sacked,0,,,,,
player,201211250tam,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201211250tam,tam,MartDo00,pass_long,0,,,,,
player,201211250tam,tam,MartDo00,pass_rating,,,,,,
player,201211250tam,tam,MartDo00,rush_att,21,,,,,
player,201211250tam,tam,MartDo00,rush_yds,50,,,,,
player,201211250tam,tam,MartDo00,rush_td,2,,,,,
player,201211250tam,tam,MartDo00,rush_long,10,,,,,
player,201211250tam,tam,MartDo00,targets,2,,,,,
player,201211250tam,tam,MartDo00,rec,2,,,,,
player,201211250tam,tam,MartDo00,rec_yds,13,,,,,
player,201211250tam,tam,MartDo00,rec_td,0,,,,,
player,201211250tam,tam,MartDo00,rec_long,8,,,,,
player,201211250tam,tam,MartDo00,fumbles,0,,,,,
player,201211250tam,tam,MartDo00,fumbles_lost,0,,,,,
player,201211250tam,tam,JackVi00,pass_cmp,0,,,,,
player,201211250tam,tam,JackVi00,pass_att,0,,,,,
player,201211250tam,tam,JackVi00,pass_yds,0,,,,,
player,201211250tam,tam,JackVi00,pass_td,0,,,,,
player,201211250tam,tam,JackVi00,pass_int,0,,,,,
player,201211250tam,tam,JackVi00,pass_sacked,0,,,,,
player,201211250tam,tam,JackVi00,pass_sacked_yds,0,,,,,
player,201211250tam,tam,JackVi00,pass_long,0,,,,,
player,201211250tam,tam,JackVi00,pass_rating,,,,,,
player,201211250tam,tam,JackVi00,rush_att,0,,,,,
player,201211250tam,tam,JackVi00,rush_yds,0,,,,,
player,201211250tam,tam,JackVi00,rush_td,0,,,,,
player,201211250tam,tam,JackVi00,rush_long,0,,,,,
player,201211250tam,tam,JackVi00,targets,7,,,,,
player,201211250tam,tam,JackVi00,rec,5,,,,,
player,201211250tam,tam,JackVi00,rec_yds,96,,,,,
player,201211250tam,tam,JackVi00,rec_td,0,,,,,
player,201211250tam,tam,JackVi00,rec_long,31,,,,,
player,201211250tam,tam,JackVi00,fumbles,0,,,,,
player,201211250tam,tam,JackVi00,fumbles_lost,0,,,,,
player,201211250tam,tam,UndeTi00,pass_cmp,0,,,,,
player,201211250tam,tam,UndeTi00,pass_att,0,,,,,
player,201211250tam,tam,UndeTi00,pass_yds,0,,,,,
player,201211250tam,tam,UndeTi00,pass_td,0,,,,,
player,201211250tam,tam,UndeTi00,pass_int,0,,,,,
player,201211250tam,tam,UndeTi00,pass_sacked,0,,,,,
player,201211250tam,tam,UndeTi00,pass_sacked_yds,0,,,,,
player,201211250tam,tam,UndeTi00,pass_long,0,,,,,
player,201211250tam,tam,UndeTi00,pass_rating,,,,,,
player,201211250tam,tam,UndeTi00,rush_att,0,,,,,
player,201211250tam,tam,UndeTi00,rush_yds,0,,,,,
player,201211250tam,tam,UndeTi00,rush_td,0,,,,,
player,201211250tam,tam,UndeTi00,rush_long,0,,,,,
player,201211250tam,tam,UndeTi00,targets,9,,,,,
player,201211250tam,tam,UndeTi00,rec,5,,,,,
player,201211250tam,tam,UndeTi00,rec_yds,77,,,,,
player,201211250tam,tam,UndeTi00,rec_td,0,,,,,
player,201211250tam,tam,UndeTi00,rec_long,39,,,,,
player,201211250tam,tam,UndeTi00,fumbles,0,,,,,
player,201211250tam,tam,UndeTi00,fumbles_lost,0,,,,,
player,201211250tam,tam,ClarDa00,pass_cmp,0,,,,,
player,201211250tam,tam,ClarDa00,pass_att,0,,,,,
player,201211250tam,tam,ClarDa00,pass_yds,0,,,,,
player,201211250tam,tam,ClarDa00,pass_td,0,,,,,
player,201211250tam,tam,ClarDa00,pass_int,0,,,,,
player,201211250tam,tam,ClarDa00,pass_sacked,0,,,,,
player,201211250tam,tam,ClarDa00,pass_sacked_yds,0,,,,,
player,201211250tam,tam,ClarDa00,pass_long,0,,,,,
player,201211250tam,tam,ClarDa00,pass_rating,,,,,,
player,201211250tam,tam,ClarDa00,rush_att,0,,,,,
player,201211250tam,tam,ClarDa00,rush_yds,0,,,,,
player,201211250tam,tam,ClarDa00,rush_td,0,,,,,
player,201211250tam,tam,ClarDa00,rush_long,0,,,,,
player,201211250tam,tam,ClarDa00,targets,4,,,,,
player,201211250tam,tam,ClarDa00,rec,4,,,,,
player,201211250tam,tam,ClarDa00,rec_yds,65,,,,,
player,201211250tam,tam,ClarDa00,rec_td,0,,,,,
player,201211250tam,tam,ClarDa00,rec_long,22,,,,,
player,201211250tam,tam,ClarDa00,fumbles,0,,,,,
player,201211250tam,tam,ClarDa00,fumbles_lost,0,,,,,
player,201211250tam,tam,StocLu00,pass_cmp,0,,,,,
player,201211250tam,tam,StocLu00,pass_att,0,,,,,
player,201211250tam,tam,StocLu00,pass_yds,0,,,,,
player,201211250tam,tam,StocLu00,pass_td,0,,,,,
player,201211250tam,tam,StocLu00,pass_int,0,,,,,
player,201211250tam,tam,StocLu00,pass_sacked,0,,,,,
player,201211250tam,tam,StocLu00,pass_sacked_yds,0,,,,,
player,201211250tam,tam,StocLu00,pass_long,0,,,,,
player,201211250tam,tam,StocLu00,pass_rating,,,,,,
player,201211250tam,tam,StocLu00,rush_att,0,,,,,
player,201211250tam,tam,StocLu00,rush_yds,0,,,,,
player,201211250tam,tam,StocLu00,rush_td,0,,,,,
player,201211250tam,tam,StocLu00,rush_long,0,,,,,
player,201211250tam,tam,StocLu00,targets,2,,,,,
player,201211250tam,tam,StocLu00,rec,1,,,,,
player,201211250tam,tam,StocLu00,rec_yds,5,,,,,
player,201211250tam,tam,StocLu00,rec_td,0,,,,,
player,201211250tam,tam,StocLu00,rec_long,5,,,,,
player,201211250tam,tam,StocLu00,fumbles,0,,,,,
player,201211250tam,tam,StocLu00,fumbles_lost,0,,,,,
player,201211250tam,tam,OwusCh00,pass_cmp,0,,,,,
player,201211250tam,tam,OwusCh00,pass_att,0,,,,,
player,201211250tam,tam,OwusCh00,pass_yds,0,,,,,
player,201211250tam,tam,OwusCh00,pass_td,0,,,,,
player,201211250tam,tam,OwusCh00,pass_int,0,,,,,
player,201211250tam,tam,OwusCh00,pass_sacked,0,,,,,
player,201211250tam,tam,OwusCh00,pass_sacked_yds,0,,,,,
player,201211250tam,tam,OwusCh00,pass_long,0,,,,,
player,201211250tam,tam,OwusCh00,pass_rating,,,,,,
player,201211250tam,tam,OwusCh00,rush_att,0,,,,,
player,201211250tam,tam,OwusCh00,rush_yds,0,,,,,
player,201211250tam,tam,OwusCh00,rush_td,0,,,,,
player,201211250tam,tam,OwusCh00,rush_long,0,,,,,
player,201211250tam,tam,OwusCh00,targets,1,,,,,
player,201211250tam,tam,OwusCh00,rec,0,,,,,
player,201211250tam,tam,OwusCh00,rec_yds,0,,,,,
player,201211250tam,tam,OwusCh00,rec_td,0,,,,,
player,201211250tam,tam,OwusCh00,rec_long,0,,,,,
player,201211250tam,tam,OwusCh00,fumbles,0,,,,,
player,201211250tam,tam,OwusCh00,fumbles_lost,0,,,,,
player,201211250tam,atl,RobiDu20,def_int,0,,,,,
player,201211250tam,atl,RobiDu20,def_int_yds,0,,,,,
player,201211250tam,atl,RobiDu20,def_int_td,0,,,,,
player,201211250tam,atl,RobiDu20,def_int_long,0,,,,,
player,201211250tam,atl,RobiDu20,pass_defended,0,,,,,
player,201211250tam,atl,RobiDu20,sacks,1.0,,,,,
player,201211250tam,atl,RobiDu20,tackles_combined,6,,,,,
player,201211250tam,atl,RobiDu20,tackles_solo,6,,,,,
player,201211250tam,atl,RobiDu20,tackles_assists,0,,,,,
player,201211250tam,atl,RobiDu20,tackles_loss,2,,,,,
player,201211250tam,atl,RobiDu20,qb_hits,1,,,,,
player,201211250tam,atl,RobiDu20,fumbles_rec,0,,,,,
player,201211250tam,atl,RobiDu20,fumbles_rec_yds,0,,,,,
player,201211250tam,atl,RobiDu20,fumbles_rec_td,0,,,,,
player,201211250tam,atl,RobiDu20,fumbles_forced,0,,,,,
player,201211250tam,atl,BierKr99,def_int,0,,,,,
player,201211250tam,atl,BierKr99,def_int_yds,0,,,,,
