game,2012,6,20121014,201210140atl,rai,"Oakland Raiders",20,atl,"Atlanta Falcons",23
player,201210140atl,atl,JoneJu02,rush_td,0,,,,,
player,201210140atl,atl,JoneJu02,rush_long,0,,,,,
player,201210140atl,atl,JoneJu02,targets,8,,,,,
player,201210140atl,atl,JoneJu02,rec,4,,,,,
player,201210140atl,atl,JoneJu02,rec_yds,63,,,,,
player,201210140atl,atl,JoneJu02,rec_td,0,,,,,
player,201210140atl,atl,JoneJu02,rec_long,25,,,,,
player,201210140atl,atl,JoneJu02,fumbles,0,,,,,
player,201210140atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201210140atl,atl,GonzTo00,pass_cmp,0,,,,,
player,201210140atl,atl,GonzTo00,pass_att,0,,,,,
player,201210140atl,atl,GonzTo00,pass_yds,0,,,,,
player,201210140atl,atl,GonzTo00,pass_td,0,,,,,
player,201210140atl,atl,GonzTo00,pass_int,0,,,,,
player,201210140atl,atl,GonzTo00,pass_sacked,0,,,,,
player,201210140atl,atl,GonzTo00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,GonzTo00,pass_long,0,,,,,
player,201210140atl,atl,GonzTo00,pass_rating,,,,,,
player,201210140atl,atl,GonzTo00,rush_att,0,,,,,
player,201210140atl,atl,GonzTo00,rush_yds,0,,,,,
player,201210140atl,atl,GonzTo00,rush_td,0,,,,,
player,201210140atl,atl,GonzTo00,rush_long,0,,,,,
player,201210140atl,atl,GonzTo00,targets,7,,,,,
player,201210140atl,atl,GonzTo00,rec,4,,,,,
player,201210140atl,atl,GonzTo00,rec_yds,42,,,,,
player,201210140atl,atl,GonzTo00,rec_td,0,,,,,
player,201210140atl,atl,GonzTo00,rec_long,13,,,,,
player,201210140atl,atl,GonzTo00,fumbles,0,,,,,
player,201210140atl,atl,GonzTo00,fumbles_lost,0,,,,,
player,201210140atl,atl,DougHa00,pass_cmp,0,,,,,
player,201210140atl,atl,DougHa00,pass_att,0,,,,,
player,201210140atl,atl,DougHa00,pass_yds,0,,,,,
player,201210140atl,atl,DougHa00,pass_td,0,,,,,
player,201210140atl,atl,DougHa00,pass_int,0,,,,,
player,201210140atl,atl,DougHa00,pass_sacked,0,,,,,
player,201210140atl,atl,DougHa00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,DougHa00,pass_long,0,,,,,
player,201210140atl,atl,DougHa00,pass_rating,,,,,,
player,201210140atl,atl,DougHa00,rush_att,0,,,,,
player,201210140atl,atl,DougHa00,rush_yds,0,,,,,
player,201210140atl,atl,DougHa00,rush_td,0,,,,,
player,201210140atl,atl,DougHa00,rush_long,0,,,,,
player,201210140atl,atl,DougHa00,targets,7,,,,,
player,201210140atl,atl,DougHa00,rec,5,,,,,
player,201210140atl,atl,DougHa00,rec_yds,37,,,,,
player,201210140atl,atl,DougHa00,rec_td,0,,,,,
player,201210140atl,atl,DougHa00,rec_long,20,,,,,
player,201210140atl,atl,DougHa00,fumbles,0,,,,,
player,201210140atl,atl,DougHa00,fumbles_lost,0,,,,,
player,201210140atl,atl,PoliLo00,pass_cmp,0,,,,,
player,201210140atl,atl,PoliLo00,pass_att,0,,,,,
player,201210140atl,atl,PoliLo00,pass_yds,0,,,,,
player,201210140atl,atl,PoliLo00,pass_td,0,,,,,
player,201210140atl,atl,PoliLo00,pass_int,0,,,,,
player,201210140atl,atl,PoliLo00,pass_sacked,0,,,,,
player,201210140atl,atl,PoliLo00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,PoliLo00,pass_long,0,,,,,
player,201210140atl,atl,PoliLo00,pass_rating,,,,,,
player,201210140atl,atl,PoliLo00,rush_att,0,,,,,
player,201210140atl,atl,PoliLo00,rush_yds,0,,,,,
player,201210140atl,atl,PoliLo00,rush_td,0,,,,,
player,201210140atl,atl,PoliLo00,rush_long,0,,,,,
player,201210140atl,atl,PoliLo00,targets,1,,,,,
player,201210140atl,atl,PoliLo00,rec,1,,,,,
player,201210140atl,atl,PoliLo00,rec_yds,8,,,,,
player,201210140atl,atl,PoliLo00,rec_td,0,,,,,
player,201210140atl,atl,PoliLo00,rec_long,8,,,,,
player,201210140atl,atl,PoliLo00,fumbles,0,,,,,
player,201210140atl,atl,PoliLo00,fumbles_lost,0,,,,,
player,201210140atl,atl,GallTo00,pass_cmp,0,,,,,
player,201210140atl,atl,GallTo00,pass_att,0,,,,,
player,201210140atl,atl,GallTo00,pass_yds,0,,,,,
player,201210140atl,atl,GallTo00,pass_td,0,,,,,
player,201210140atl,atl,GallTo00,pass_int,0,,,,,
player,201210140atl,atl,GallTo00,pass_sacked,0,,,,,
player,201210140atl,atl,GallTo00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,GallTo00,pass_long,0,,,,,
player,201210140atl,atl,GallTo00,pass_rating,,,,,,
player,201210140atl,atl,GallTo00,rush_att,0,,,,,
player,201210140atl,atl,GallTo00,rush_yds,0,,,,,
player,201210140atl,atl,GallTo00,rush_td,0,,,,,
player,201210140atl,atl,GallTo00,rush_long,0,,,,,
player,201210140atl,atl,GallTo00,targets,1,,,,,
player,201210140atl,atl,GallTo00,rec,0,,,,,
player,201210140atl,atl,GallTo00,rec_yds,0,,,,,
player,201210140atl,atl,GallTo00,rec_td,0,,,,,
player,201210140atl,atl,GallTo00,rec_long,0,,,,,
player,201210140atl,atl,GallTo00,fumbles,0,,,,,
player,201210140atl,atl,GallTo00,fumbles_lost,0,,,,,
player,201210140atl,atl,SnelJa00,pass_cmp,0,,,,,
player,201210140atl,atl,SnelJa00,pass_att,0,,,,,
player,201210140atl,atl,SnelJa00,pass_yds,0,,,,,
player,201210140atl,atl,SnelJa00,pass_td,0,,,,,
player,201210140atl,atl,SnelJa00,pass_int,0,,,,,
player,201210140atl,atl,SnelJa00,pass_sacked,0,,,,,
player,201210140atl,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,SnelJa00,pass_long,0,,,,,
player,201210140atl,atl,SnelJa00,pass_rating,,,,,,
player,201210140atl,atl,SnelJa00,rush_att,1,,,,,
player,201210140atl,atl,SnelJa00,rush_yds,-1,,,,,
player,201210140atl,atl,SnelJa00,rush_td,0,,,,,
player,201210140atl,atl,SnelJa00,rush_long,-1,,,,,
player,201210140atl,atl,SnelJa00,targets,0,,,,,
player,201210140atl,atl,SnelJa00,rec,0,,,,,
player,201210140atl,atl,SnelJa00,rec_yds,0,,,,,
player,201210140atl,atl,SnelJa00,rec_td,0,,,,,
player,201210140atl,atl,SnelJa00,rec_long,0,,,,,
player,201210140atl,atl,SnelJa00,fumbles,0,,,,,
player,201210140atl,atl,SnelJa00,fumbles_lost,0,,,,,
player,201210140atl,atl,RodgJa00,pass_cmp,0,,,,,
player,201210140atl,atl,RodgJa00,pass_att,0,,,,,
player,201210140atl,atl,RodgJa00,pass_yds,0,,,,,
player,201210140atl,atl,RodgJa00,pass_td,0,,,,,
player,201210140atl,atl,RodgJa00,pass_int,0,,,,,
player,201210140atl,atl,RodgJa00,pass_sacked,0,,,,,
player,201210140atl,atl,RodgJa00,pass_sacked_yds,0,,,,,
player,201210140atl,atl,RodgJa00,pass_long,0,,,,,
player,201210140atl,atl,RodgJa00,pass_rating,,,,,,
player,201210140atl,atl,RodgJa00,rush_att,2,,,,,
player,201210140atl,atl,RodgJa00,rush_yds,-2,,,,,
player,201210140atl,atl,RodgJa00,rush_td,0,,,,,
player,201210140atl,atl,RodgJa00,rush_long,0,,,,,
player,201210140atl,atl,RodgJa00,targets,4,,,,,
player,201210140atl,atl,RodgJa00,rec,3,,,,,
player,201210140atl,atl,RodgJa00,rec_yds,21,,,,,
player,201210140atl,atl,RodgJa00,rec_td,0,,,,,
player,201210140atl,atl,RodgJa00,rec_long,9,,,,,
player,201210140atl,atl,RodgJa00,fumbles,0,,,,,
player,201210140atl,atl,RodgJa00,fumbles_lost,0,,,,,
player,201210140atl,rai,BranTy99,def_int,1,,,,,
player,201210140atl,rai,BranTy99,def_int_yds,11,,,,,
player,201210140atl,rai,BranTy99,def_int_td,0,,,,,
player,201210140atl,rai,BranTy99,def_int_long,11,,,,,
player,201210140atl,rai,BranTy99,pass_defended,1,,,,,
player,201210140atl,rai,BranTy99,sacks,0.0,,,,,
player,201210140atl,rai,BranTy99,tackles_combined,4,,,,,
player,201210140atl,rai,BranTy99,tackles_solo,4,,,,,
player,201210140atl,rai,BranTy99,tackles_assists,0,,,,,
player,201210140atl,rai,BranTy99,tackles_loss,0,,,,,
player,201210140atl,rai,BranTy99,qb_hits,0,,,,,
player,201210140atl,rai,BranTy99,fumbles_rec,0,,,,,
player,201210140atl,rai,BranTy99,fumbles_rec_yds,0,,,,,
player,201210140atl,rai,BranTy99,fumbles_rec_td,0,,,,,
player,201210140atl,rai,BranTy99,fumbles_forced,0,,,,,
player,201210140atl,rai,HansJo20,def_int,1,,,,,
player,201210140atl,rai,HansJo20,def_int_yds,21,,,,,
player,201210140atl,rai,HansJo20,def_int_td,0,,,,,
player,201210140atl,rai,HansJo20,def_int_long,21,,,,,
player,201210140atl,rai,HansJo20,pass_defended,2,,,,,
player,201210140atl,rai,HansJo20,sacks,0.0,,,,,
player,201210140atl,rai,HansJo20,tackles_combined,3,,,,,
player,201210140atl,rai,HansJo20,tackles_solo,2,,,,,
player,201210140atl,rai,HansJo20,tackles_assists,1,,,,,
player,201210140atl,rai,HansJo20,tackles_loss,0,,,,,
player,201210140atl,rai,HansJo20,qb_hits,0,,,,,
player,201210140atl,rai,HansJo20,fumbles_rec,0,,,,,
player,201210140atl,rai,HansJo20,fumbles_rec_yds,0,,,,,
player,201210140atl,rai,HansJo20,fumbles_rec_td,0,,,,,
