game,2012,15,20121216,201212160ram,min,"Minnesota Vikings",36,ram,"St. Louis Rams",22
player,201212160ram,ram,RichDa00,pass_yds,0,,,,,
player,201212160ram,ram,RichDa00,pass_td,0,,,,,
player,201212160ram,ram,RichDa00,pass_int,0,,,,,
player,201212160ram,ram,RichDa00,pass_sacked,0,,,,,
player,201212160ram,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,RichDa00,pass_long,0,,,,,
player,201212160ram,ram,RichDa00,pass_rating,,,,,,
player,201212160ram,ram,RichDa00,rush_att,3,,,,,
player,201212160ram,ram,RichDa00,rush_yds,5,,,,,
player,201212160ram,ram,RichDa00,rush_td,0,,,,,
player,201212160ram,ram,RichDa00,rush_long,3,,,,,
player,201212160ram,ram,RichDa00,targets,6,,,,,
player,201212160ram,ram,RichDa00,rec,3,,,,,
player,201212160ram,ram,RichDa00,rec_yds,25,,,,,
player,201212160ram,ram,RichDa00,rec_td,0,,,,,
player,201212160ram,ram,RichDa00,rec_long,13,,,,,
player,201212160ram,ram,RichDa00,fumbles,0,,,,,
player,201212160ram,ram,RichDa00,fumbles_lost,0,,,,,
player,201212160ram,ram,GibsBr00,pass_cmp,0,,,,,
player,201212160ram,ram,GibsBr00,pass_att,0,,,,,
player,201212160ram,ram,GibsBr00,pass_yds,0,,,,,
player,201212160ram,ram,GibsBr00,pass_td,0,,,,,
player,201212160ram,ram,GibsBr00,pass_int,0,,,,,
player,201212160ram,ram,GibsBr00,pass_sacked,0,,,,,
player,201212160ram,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201212160ram,ram,GibsBr00,pass_long,0,,,,,
player,201212160ram,ram,GibsBr00,pass_rating,,,,,,
player,201212160ram,ram,GibsBr00,rush_att,0,,,,,
player,201212160ram,ram,GibsBr00,rush_yds,0,,,,,
player,201212160ram,ram,GibsBr00,rush_td,0,,,,,
player,201212160ram,ram,GibsBr00,rush_long,0,,,,,
player,201212160ram,ram,GibsBr00,targets,8,,,,,
player,201212160ram,ram,GibsBr00,rec,6,,,,,
