game,2012,16,20121223,201212230phi,was,"Washington Redskins",27,phi,"Philadelphia Eagles",20
player,201212230phi,was,CoolCh00,rec,1,,,,,
player,201212230phi,was,CoolCh00,rec_yds,8,,,,,
player,201212230phi,was,CoolCh00,rec_td,0,,,,,
player,201212230phi,was,CoolCh00,rec_long,8,,,,,
player,201212230phi,was,CoolCh00,fumbles,0,,,,,
player,201212230phi,was,CoolCh00,fumbles_lost,0,,,,,
player,201212230phi,was,PaulLo00,pass_cmp,0,,,,,
player,201212230phi,was,PaulLo00,pass_att,0,,,,,
player,201212230phi,was,PaulLo00,pass_yds,0,,,,,
player,201212230phi,was,PaulLo00,pass_td,0,,,,,
player,201212230phi,was,PaulLo00,pass_int,0,,,,,
player,201212230phi,was,PaulLo00,pass_sacked,0,,,,,
player,201212230phi,was,PaulLo00,pass_sacked_yds,0,,,,,
player,201212230phi,was,PaulLo00,pass_long,0,,,,,
player,201212230phi,was,PaulLo00,pass_rating,,,,,,
player,201212230phi,was,PaulLo00,rush_att,0,,,,,
player,201212230phi,was,PaulLo00,rush_yds,0,,,,,
player,201212230phi,was,PaulLo00,rush_td,0,,,,,
player,201212230phi,was,PaulLo00,rush_long,0,,,,,
player,201212230phi,was,PaulLo00,targets,1,,,,,
player,201212230phi,was,PaulLo00,rec,1,,,,,
player,201212230phi,was,PaulLo00,rec_yds,6,,,,,
player,201212230phi,was,PaulLo00,rec_td,0,,,,,
player,201212230phi,was,PaulLo00,rec_long,6,,,,,
player,201212230phi,was,PaulLo00,fumbles,0,,,,,
player,201212230phi,was,PaulLo00,fumbles_lost,0,,,,,
player,201212230phi,phi,FoleNi00,pass_cmp,32,,,,,
player,201212230phi,phi,FoleNi00,pass_att,48,,,,,
player,201212230phi,phi,FoleNi00,pass_yds,345,,,,,
player,201212230phi,phi,FoleNi00,pass_td,1,,,,,
player,201212230phi,phi,FoleNi00,pass_int,1,,,,,
player,201212230phi,phi,FoleNi00,pass_sacked,5,,,,,
player,201212230phi,phi,FoleNi00,pass_sacked_yds,24,,,,,
player,201212230phi,phi,FoleNi00,pass_long,38,,,,,
player,201212230phi,phi,FoleNi00,pass_rating,85.9,,,,,
player,201212230phi,phi,FoleNi00,rush_att,4,,,,,
player,201212230phi,phi,FoleNi00,rush_yds,10,,,,,
