game,2012,6,20121014,201210140mia,ram,"St. Louis Rams",14,mia,"Miami Dolphins",17
player,201210140mia,ram,QuicBr00,rush_yds,0,,,,,
player,201210140mia,ram,QuicBr00,rush_td,0,,,,,
player,201210140mia,ram,QuicBr00,rush_long,0,,,,,
player,201210140mia,ram,QuicBr00,targets,2,,,,,
player,201210140mia,ram,QuicBr00,rec,1,,,,,
player,201210140mia,ram,QuicBr00,rec_yds,1,,,,,
player,201210140mia,ram,QuicBr00,rec_td,0,,,,,
player,201210140mia,ram,QuicBr00,rec_long,1,,,,,
player,201210140mia,ram,QuicBr00,fumbles,0,,,,,
player,201210140mia,ram,QuicBr00,fumbles_lost,0,,,,,
player,201210140mia,mia,TannRy00,pass_cmp,21,,,,,
player,201210140mia,mia,TannRy00,pass_att,29,,,,,
player,201210140mia,mia,TannRy00,pass_yds,185,,,,,
player,201210140mia,mia,TannRy00,pass_td,2,,,,,
player,201210140mia,mia,TannRy00,pass_int,0,,,,,
player,201210140mia,mia,TannRy00,pass_sacked,3,,,,,
player,201210140mia,mia,TannRy00,pass_sacked_yds,29,,,,,
player,201210140mia,mia,TannRy00,pass_long,29,,,,,
player,201210140mia,mia,TannRy00,pass_rating,112.0,,,,,
player,201210140mia,mia,TannRy00,rush_att,4,,,,,
player,201210140mia,mia,TannRy00,rush_yds,16,,,,,
player,201210140mia,mia,TannRy00,rush_td,0,,,,,
player,201210140mia,mia,TannRy00,rush_long,10,,,,,
player,201210140mia,mia,TannRy00,targets,0,,,,,
player,201210140mia,mia,TannRy00,rec,0,,,,,
player,201210140mia,mia,TannRy00,rec_yds,0,,,,,
player,201210140mia,mia,TannRy00,rec_td,0,,,,,
player,201210140mia,mia,TannRy00,rec_long,0,,,,,
player,201210140mia,mia,TannRy00,fumbles,1,,,,,
player,201210140mia,mia,TannRy00,fumbles_lost,0,,,,,
player,201210140mia,mia,BushRe00,pass_cmp,0,,,,,
player,201210140mia,mia,BushRe00,pass_att,0,,,,,
player,201210140mia,mia,BushRe00,pass_yds,0,,,,,
player,201210140mia,mia,BushRe00,pass_td,0,,,,,
player,201210140mia,mia,BushRe00,pass_int,0,,,,,
player,201210140mia,mia,BushRe00,pass_sacked,0,,,,,
player,201210140mia,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201210140mia,mia,BushRe00,pass_long,0,,,,,
player,201210140mia,mia,BushRe00,pass_rating,,,,,,
player,201210140mia,mia,BushRe00,rush_att,12,,,,,
player,201210140mia,mia,BushRe00,rush_yds,17,,,,,
player,201210140mia,mia,BushRe00,rush_td,0,,,,,
player,201210140mia,mia,BushRe00,rush_long,9,,,,,
player,201210140mia,mia,BushRe00,targets,7,,,,,
player,201210140mia,mia,BushRe00,rec,5,,,,,
player,201210140mia,mia,BushRe00,rec_yds,44,,,,,
player,201210140mia,mia,BushRe00,rec_td,0,,,,,
player,201210140mia,mia,BushRe00,rec_long,14,,,,,
player,201210140mia,mia,BushRe00,fumbles,0,,,,,
player,201210140mia,mia,BushRe00,fumbles_lost,0,,,,,
player,201210140mia,mia,ClemCh97,pass_cmp,0,,,,,
player,201210140mia,mia,ClemCh97,pass_att,0,,,,,
player,201210140mia,mia,ClemCh97,pass_yds,0,,,,,
player,201210140mia,mia,ClemCh97,pass_td,0,,,,,
player,201210140mia,mia,ClemCh97,pass_int,0,,,,,
player,201210140mia,mia,ClemCh97,pass_sacked,0,,,,,
player,201210140mia,mia,ClemCh97,pass_sacked_yds,0,,,,,
player,201210140mia,mia,ClemCh97,pass_long,0,,,,,
player,201210140mia,mia,ClemCh97,pass_rating,,,,,,
player,201210140mia,mia,ClemCh97,rush_att,1,,,,,
player,201210140mia,mia,ClemCh97,rush_yds,3,,,,,
player,201210140mia,mia,ClemCh97,rush_td,0,,,,,
player,201210140mia,mia,ClemCh97,rush_long,3,,,,,
player,201210140mia,mia,ClemCh97,targets,0,,,,,
player,201210140mia,mia,ClemCh97,rec,0,,,,,
player,201210140mia,mia,ClemCh97,rec_yds,0,,,,,
player,201210140mia,mia,ClemCh97,rec_td,0,,,,,
player,201210140mia,mia,ClemCh97,rec_long,0,,,,,
player,201210140mia,mia,ClemCh97,fumbles,0,,,,,
player,201210140mia,mia,ClemCh97,fumbles_lost,0,,,,,
player,201210140mia,mia,MoorMa02,pass_cmp,0,,,,,
player,201210140mia,mia,MoorMa02,pass_att,0,,,,,
player,201210140mia,mia,MoorMa02,pass_yds,0,,,,,
player,201210140mia,mia,MoorMa02,pass_td,0,,,,,
player,201210140mia,mia,MoorMa02,pass_int,0,,,,,
player,201210140mia,mia,MoorMa02,pass_sacked,0,,,,,
player,201210140mia,mia,MoorMa02,pass_sacked_yds,0,,,,,
player,201210140mia,mia,MoorMa02,pass_long,0,,,,,
player,201210140mia,mia,MoorMa02,pass_rating,,,,,,
player,201210140mia,mia,MoorMa02,rush_att,0,,,,,
player,201210140mia,mia,MoorMa02,rush_yds,0,,,,,
player,201210140mia,mia,MoorMa02,rush_td,0,,,,,
player,201210140mia,mia,MoorMa02,rush_long,0,,,,,
player,201210140mia,mia,MoorMa02,targets,3,,,,,
player,201210140mia,mia,MoorMa02,rec,3,,,,,
player,201210140mia,mia,MoorMa02,rec_yds,46,,,,,
player,201210140mia,mia,MoorMa02,rec_td,1,,,,,
player,201210140mia,mia,MoorMa02,rec_long,29,,,,,
player,201210140mia,mia,MoorMa02,fumbles,0,,,,,
player,201210140mia,mia,MoorMa02,fumbles_lost,0,,,,,
player,201210140mia,mia,BessDa00,pass_cmp,0,,,,,
player,201210140mia,mia,BessDa00,pass_att,0,,,,,
player,201210140mia,mia,BessDa00,pass_yds,0,,,,,
player,201210140mia,mia,BessDa00,pass_td,0,,,,,
player,201210140mia,mia,BessDa00,pass_int,0,,,,,
player,201210140mia,mia,BessDa00,pass_sacked,0,,,,,
player,201210140mia,mia,BessDa00,pass_sacked_yds,0,,,,,
player,201210140mia,mia,BessDa00,pass_long,0,,,,,
player,201210140mia,mia,BessDa00,pass_rating,,,,,,
player,201210140mia,mia,BessDa00,rush_att,0,,,,,
player,201210140mia,mia,BessDa00,rush_yds,0,,,,,
player,201210140mia,mia,BessDa00,rush_td,0,,,,,
player,201210140mia,mia,BessDa00,rush_long,0,,,,,
player,201210140mia,mia,BessDa00,targets,9,,,,,
player,201210140mia,mia,BessDa00,rec,6,,,,,
player,201210140mia,mia,BessDa00,rec_yds,42,,,,,
player,201210140mia,mia,BessDa00,rec_td,0,,,,,
player,201210140mia,mia,BessDa00,rec_long,11,,,,,
player,201210140mia,mia,BessDa00,fumbles,0,,,,,
player,201210140mia,mia,BessDa00,fumbles_lost,0,,,,,
player,201210140mia,mia,FasaAn00,pass_cmp,0,,,,,
player,201210140mia,mia,FasaAn00,pass_att,0,,,,,
player,201210140mia,mia,FasaAn00,pass_yds,0,,,,,
player,201210140mia,mia,FasaAn00,pass_td,0,,,,,
player,201210140mia,mia,FasaAn00,pass_int,0,,,,,
player,201210140mia,mia,FasaAn00,pass_sacked,0,,,,,
player,201210140mia,mia,FasaAn00,pass_sacked_yds,0,,,,,
player,201210140mia,mia,FasaAn00,pass_long,0,,,,,
player,201210140mia,mia,FasaAn00,pass_rating,,,,,,
player,201210140mia,mia,FasaAn00,rush_att,0,,,,,
player,201210140mia,mia,FasaAn00,rush_yds,0,,,,,
player,201210140mia,mia,FasaAn00,rush_td,0,,,,,
player,201210140mia,mia,FasaAn00,rush_long,0,,,,,
player,201210140mia,mia,FasaAn00,targets,6,,,,,
player,201210140mia,mia,FasaAn00,rec,4,,,,,
player,201210140mia,mia,FasaAn00,rec_yds,33,,,,,
player,201210140mia,mia,FasaAn00,rec_td,1,,,,,
player,201210140mia,mia,FasaAn00,rec_long,13,,,,,
player,201210140mia,mia,FasaAn00,fumbles,0,,,,,
player,201210140mia,mia,FasaAn00,fumbles_lost,0,,,,,
player,201210140mia,mia,LaneJo00,pass_cmp,0,,,,,
player,201210140mia,mia,LaneJo00,pass_att,0,,,,,
player,201210140mia,mia,LaneJo00,pass_yds,0,,,,,
player,201210140mia,mia,LaneJo00,pass_td,0,,,,,
player,201210140mia,mia,LaneJo00,pass_int,0,,,,,
player,201210140mia,mia,LaneJo00,pass_sacked,0,,,,,
player,201210140mia,mia,LaneJo00,pass_sacked_yds,0,,,,,
player,201210140mia,mia,LaneJo00,pass_long,0,,,,,
player,201210140mia,mia,LaneJo00,pass_rating,,,,,,
player,201210140mia,mia,LaneJo00,rush_att,0,,,,,
player,201210140mia,mia,LaneJo00,rush_yds,0,,,,,
player,201210140mia,mia,LaneJo00,rush_td,0,,,,,
player,201210140mia,mia,LaneJo00,rush_long,0,,,,,
player,201210140mia,mia,LaneJo00,targets,2,,,,,
player,201210140mia,mia,LaneJo00,rec,2,,,,,
player,201210140mia,mia,LaneJo00,rec_yds,12,,,,,
player,201210140mia,mia,LaneJo00,rec_td,0,,,,,
player,201210140mia,mia,LaneJo00,rec_long,7,,,,,
player,201210140mia,mia,LaneJo00,fumbles,0,,,,,
player,201210140mia,mia,LaneJo00,fumbles_lost,0,,,,,
player,201210140mia,mia,ClayCh00,pass_cmp,0,,,,,
player,201210140mia,mia,ClayCh00,pass_att,0,,,,,
player,201210140mia,mia,ClayCh00,pass_yds,0,,,,,
player,201210140mia,mia,ClayCh00,pass_td,0,,,,,
player,201210140mia,mia,ClayCh00,pass_int,0,,,,,
player,201210140mia,mia,ClayCh00,pass_sacked,0,,,,,
player,201210140mia,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201210140mia,mia,ClayCh00,pass_long,0,,,,,
player,201210140mia,mia,ClayCh00,pass_rating,,,,,,
player,201210140mia,mia,ClayCh00,rush_att,0,,,,,
player,201210140mia,mia,ClayCh00,rush_yds,0,,,,,
player,201210140mia,mia,ClayCh00,rush_td,0,,,,,
player,201210140mia,mia,ClayCh00,rush_long,0,,,,,
player,201210140mia,mia,ClayCh00,targets,2,,,,,
player,201210140mia,mia,ClayCh00,rec,1,,,,,
player,201210140mia,mia,ClayCh00,rec_yds,8,,,,,
player,201210140mia,mia,ClayCh00,rec_td,0,,,,,
player,201210140mia,mia,ClayCh00,rec_long,8,,,,,
player,201210140mia,mia,ClayCh00,fumbles,0,,,,,
player,201210140mia,mia,ClayCh00,fumbles_lost,0,,,,,
player,201210140mia,ram,DunbJo20,def_int,0,,,,,
player,201210140mia,ram,DunbJo20,def_int_yds,0,,,,,
player,201210140mia,ram,DunbJo20,def_int_td,0,,,,,
player,201210140mia,ram,DunbJo20,def_int_long,0,,,,,
player,201210140mia,ram,DunbJo20,pass_defended,0,,,,,
player,201210140mia,ram,DunbJo20,sacks,2.0,,,,,
player,201210140mia,ram,DunbJo20,tackles_combined,5,,,,,
player,201210140mia,ram,DunbJo20,tackles_solo,5,,,,,
player,201210140mia,ram,DunbJo20,tackles_assists,0,,,,,
player,201210140mia,ram,DunbJo20,tackles_loss,1,,,,,
player,201210140mia,ram,DunbJo20,qb_hits,3,,,,,
player,201210140mia,ram,DunbJo20,fumbles_rec,0,,,,,
player,201210140mia,ram,DunbJo20,fumbles_rec_yds,0,,,,,
player,201210140mia,ram,DunbJo20,fumbles_rec_td,0,,,,,
player,201210140mia,ram,DunbJo20,fumbles_forced,1,,,,,
player,201210140mia,ram,LongCh99,def_int,0,,,,,
player,201210140mia,ram,LongCh99,def_int_yds,0,,,,,
player,201210140mia,ram,LongCh99,def_int_td,0,,,,,
player,201210140mia,ram,LongCh99,def_int_long,0,,,,,
player,201210140mia,ram,LongCh99,pass_defended,0,,,,,
player,201210140mia,ram,LongCh99,sacks,1.0,,,,,
player,201210140mia,ram,LongCh99,tackles_combined,2,,,,,
player,201210140mia,ram,LongCh99,tackles_solo,2,,,,,
player,201210140mia,ram,LongCh99,tackles_assists,0,,,,,
player,201210140mia,ram,LongCh99,tackles_loss,1,,,,,
player,201210140mia,ram,LongCh99,qb_hits,1,,,,,
player,201210140mia,ram,LongCh99,fumbles_rec,0,,,,,
player,201210140mia,ram,LongCh99,fumbles_rec_yds,0,,,,,
player,201210140mia,ram,LongCh99,fumbles_rec_td,0,,,,,
player,201210140mia,ram,LongCh99,fumbles_forced,0,,,,,
player,201210140mia,ram,DahlCr99,def_int,0,,,,,
player,201210140mia,ram,DahlCr99,def_int_yds,0,,,,,
player,201210140mia,ram,DahlCr99,def_int_td,0,,,,,
player,201210140mia,ram,DahlCr99,def_int_long,0,,,,,
player,201210140mia,ram,DahlCr99,pass_defended,0,,,,,
player,201210140mia,ram,DahlCr99,sacks,0.0,,,,,
player,201210140mia,ram,DahlCr99,tackles_combined,6,,,,,
player,201210140mia,ram,DahlCr99,tackles_solo,6,,,,,
player,201210140mia,ram,DahlCr99,tackles_assists,0,,,,,
player,201210140mia,ram,DahlCr99,tackles_loss,0,,,,,
player,201210140mia,ram,DahlCr99,qb_hits,0,,,,,
player,201210140mia,ram,DahlCr99,fumbles_rec,0,,,,,
player,201210140mia,ram,DahlCr99,fumbles_rec_yds,0,,,,,
player,201210140mia,ram,DahlCr99,fumbles_rec_td,0,,,,,
player,201210140mia,ram,DahlCr99,fumbles_forced,0,,,,,
player,201210140mia,ram,LaurJa99,def_int,0,,,,,
player,201210140mia,ram,LaurJa99,def_int_yds,0,,,,,
player,201210140mia,ram,LaurJa99,def_int_td,0,,,,,
player,201210140mia,ram,LaurJa99,def_int_long,0,,,,,
player,201210140mia,ram,LaurJa99,pass_defended,0,,,,,
player,201210140mia,ram,LaurJa99,sacks,0.0,,,,,
player,201210140mia,ram,LaurJa99,tackles_combined,6,,,,,
