game,2012,10,20121111,201211110chi,htx,"Houston Texans",13,chi,"Chicago Bears",6
player,201211110chi,htx,BarwCo99,fumbles_rec_td,0,,,,,
player,201211110chi,htx,BarwCo99,fumbles_forced,0,,,,,
player,201211110chi,htx,JoseJo20,def_int,0,,,,,
player,201211110chi,htx,JoseJo20,def_int_yds,0,,,,,
player,201211110chi,htx,JoseJo20,def_int_td,0,,,,,
player,201211110chi,htx,JoseJo20,def_int_long,0,,,,,
player,201211110chi,htx,JoseJo20,pass_defended,1,,,,,
player,201211110chi,htx,JoseJo20,sacks,0.0,,,,,
player,201211110chi,htx,JoseJo20,tackles_combined,5,,,,,
player,201211110chi,htx,JoseJo20,tackles_solo,5,,,,,
player,201211110chi,htx,JoseJo20,tackles_assists,0,,,,,
player,201211110chi,htx,JoseJo20,tackles_loss,0,,,,,
player,201211110chi,htx,JoseJo20,qb_hits,0,,,,,
player,201211110chi,htx,JoseJo20,fumbles_rec,0,,,,,
player,201211110chi,htx,JoseJo20,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,JoseJo20,fumbles_rec_td,0,,,,,
player,201211110chi,htx,JoseJo20,fumbles_forced,0,,,,,
player,201211110chi,htx,MitcEa99,def_int,0,,,,,
player,201211110chi,htx,MitcEa99,def_int_yds,0,,,,,
player,201211110chi,htx,MitcEa99,def_int_td,0,,,,,
player,201211110chi,htx,MitcEa99,def_int_long,0,,,,,
player,201211110chi,htx,MitcEa99,pass_defended,0,,,,,
player,201211110chi,htx,MitcEa99,sacks,0.0,,,,,
player,201211110chi,htx,MitcEa99,tackles_combined,4,,,,,
player,201211110chi,htx,MitcEa99,tackles_solo,3,,,,,
player,201211110chi,htx,MitcEa99,tackles_assists,1,,,,,
player,201211110chi,htx,MitcEa99,tackles_loss,0,,,,,
player,201211110chi,htx,MitcEa99,qb_hits,0,,,,,
player,201211110chi,htx,MitcEa99,fumbles_rec,0,,,,,
player,201211110chi,htx,MitcEa99,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,MitcEa99,fumbles_rec_td,0,,,,,
player,201211110chi,htx,MitcEa99,fumbles_forced,0,,,,,
player,201211110chi,htx,QuinGl99,def_int,0,,,,,
player,201211110chi,htx,QuinGl99,def_int_yds,0,,,,,
player,201211110chi,htx,QuinGl99,def_int_td,0,,,,,
player,201211110chi,htx,QuinGl99,def_int_long,0,,,,,
player,201211110chi,htx,QuinGl99,pass_defended,0,,,,,
player,201211110chi,htx,QuinGl99,sacks,0.0,,,,,
player,201211110chi,htx,QuinGl99,tackles_combined,4,,,,,
player,201211110chi,htx,QuinGl99,tackles_solo,3,,,,,
player,201211110chi,htx,QuinGl99,tackles_assists,1,,,,,
player,201211110chi,htx,QuinGl99,tackles_loss,0,,,,,
player,201211110chi,htx,QuinGl99,qb_hits,0,,,,,
player,201211110chi,htx,QuinGl99,fumbles_rec,0,,,,,
player,201211110chi,htx,QuinGl99,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,QuinGl99,fumbles_rec_td,0,,,,,
player,201211110chi,htx,QuinGl99,fumbles_forced,1,,,,,
player,201211110chi,htx,DempQu99,def_int,0,,,,,
player,201211110chi,htx,DempQu99,def_int_yds,0,,,,,
player,201211110chi,htx,DempQu99,def_int_td,0,,,,,
player,201211110chi,htx,DempQu99,def_int_long,0,,,,,
player,201211110chi,htx,DempQu99,pass_defended,0,,,,,
player,201211110chi,htx,DempQu99,sacks,0.0,,,,,
player,201211110chi,htx,DempQu99,tackles_combined,3,,,,,
player,201211110chi,htx,DempQu99,tackles_solo,3,,,,,
player,201211110chi,htx,DempQu99,tackles_assists,0,,,,,
player,201211110chi,htx,DempQu99,tackles_loss,0,,,,,
player,201211110chi,htx,DempQu99,qb_hits,0,,,,,
player,201211110chi,htx,DempQu99,fumbles_rec,0,,,,,
player,201211110chi,htx,DempQu99,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,DempQu99,fumbles_rec_td,0,,,,,
player,201211110chi,htx,DempQu99,fumbles_forced,0,,,,,
player,201211110chi,htx,KeoxSh00,def_int,0,,,,,
player,201211110chi,htx,KeoxSh00,def_int_yds,0,,,,,
player,201211110chi,htx,KeoxSh00,def_int_td,0,,,,,
player,201211110chi,htx,KeoxSh00,def_int_long,0,,,,,
player,201211110chi,htx,KeoxSh00,pass_defended,0,,,,,
player,201211110chi,htx,KeoxSh00,sacks,0.0,,,,,
player,201211110chi,htx,KeoxSh00,tackles_combined,2,,,,,
player,201211110chi,htx,KeoxSh00,tackles_solo,2,,,,,
player,201211110chi,htx,KeoxSh00,tackles_assists,0,,,,,
player,201211110chi,htx,KeoxSh00,tackles_loss,0,,,,,
player,201211110chi,htx,KeoxSh00,qb_hits,0,,,,,
player,201211110chi,htx,KeoxSh00,fumbles_rec,0,,,,,
player,201211110chi,htx,KeoxSh00,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,KeoxSh00,fumbles_rec_td,0,,,,,
player,201211110chi,htx,KeoxSh00,fumbles_forced,0,,,,,
player,201211110chi,htx,ReedBr00,def_int,0,,,,,
player,201211110chi,htx,ReedBr00,def_int_yds,0,,,,,
player,201211110chi,htx,ReedBr00,def_int_td,0,,,,,
player,201211110chi,htx,ReedBr00,def_int_long,0,,,,,
player,201211110chi,htx,ReedBr00,pass_defended,0,,,,,
player,201211110chi,htx,ReedBr00,sacks,0.0,,,,,
player,201211110chi,htx,ReedBr00,tackles_combined,2,,,,,
player,201211110chi,htx,ReedBr00,tackles_solo,1,,,,,
player,201211110chi,htx,ReedBr00,tackles_assists,1,,,,,
player,201211110chi,htx,ReedBr00,tackles_loss,0,,,,,
player,201211110chi,htx,ReedBr00,qb_hits,0,,,,,
player,201211110chi,htx,ReedBr00,fumbles_rec,0,,,,,
player,201211110chi,htx,ReedBr00,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,ReedBr00,fumbles_rec_td,0,,,,,
player,201211110chi,htx,ReedBr00,fumbles_forced,0,,,,,
player,201211110chi,htx,WattJ.00,def_int,0,,,,,
player,201211110chi,htx,WattJ.00,def_int_yds,0,,,,,
player,201211110chi,htx,WattJ.00,def_int_td,0,,,,,
player,201211110chi,htx,WattJ.00,def_int_long,0,,,,,
player,201211110chi,htx,WattJ.00,pass_defended,0,,,,,
player,201211110chi,htx,WattJ.00,sacks,0.0,,,,,
player,201211110chi,htx,WattJ.00,tackles_combined,2,,,,,
player,201211110chi,htx,WattJ.00,tackles_solo,2,,,,,
player,201211110chi,htx,WattJ.00,tackles_assists,0,,,,,
player,201211110chi,htx,WattJ.00,tackles_loss,1,,,,,
player,201211110chi,htx,WattJ.00,qb_hits,1,,,,,
player,201211110chi,htx,WattJ.00,fumbles_rec,0,,,,,
player,201211110chi,htx,WattJ.00,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,WattJ.00,fumbles_rec_td,0,,,,,
player,201211110chi,htx,WattJ.00,fumbles_forced,0,,,,,
player,201211110chi,htx,CaseJa00,def_int,0,,,,,
player,201211110chi,htx,CaseJa00,def_int_yds,0,,,,,
player,201211110chi,htx,CaseJa00,def_int_td,0,,,,,
player,201211110chi,htx,CaseJa00,def_int_long,0,,,,,
player,201211110chi,htx,CaseJa00,pass_defended,0,,,,,
player,201211110chi,htx,CaseJa00,sacks,0.0,,,,,
player,201211110chi,htx,CaseJa00,tackles_combined,1,,,,,
player,201211110chi,htx,CaseJa00,tackles_solo,1,,,,,
player,201211110chi,htx,CaseJa00,tackles_assists,0,,,,,
player,201211110chi,htx,CaseJa00,tackles_loss,0,,,,,
player,201211110chi,htx,CaseJa00,qb_hits,0,,,,,
player,201211110chi,htx,CaseJa00,fumbles_rec,0,,,,,
player,201211110chi,htx,CaseJa00,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,CaseJa00,fumbles_rec_td,0,,,,,
player,201211110chi,htx,CaseJa00,fumbles_forced,0,,,,,
player,201211110chi,htx,MercWh00,def_int,0,,,,,
player,201211110chi,htx,MercWh00,def_int_yds,0,,,,,
player,201211110chi,htx,MercWh00,def_int_td,0,,,,,
player,201211110chi,htx,MercWh00,def_int_long,0,,,,,
player,201211110chi,htx,MercWh00,pass_defended,0,,,,,
player,201211110chi,htx,MercWh00,sacks,0.0,,,,,
player,201211110chi,htx,MercWh00,tackles_combined,1,,,,,
player,201211110chi,htx,MercWh00,tackles_solo,1,,,,,
player,201211110chi,htx,MercWh00,tackles_assists,0,,,,,
player,201211110chi,htx,MercWh00,tackles_loss,0,,,,,
player,201211110chi,htx,MercWh00,qb_hits,0,,,,,
player,201211110chi,htx,MercWh00,fumbles_rec,0,,,,,
player,201211110chi,htx,MercWh00,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,MercWh00,fumbles_rec_td,0,,,,,
player,201211110chi,htx,MercWh00,fumbles_forced,0,,,,,
player,201211110chi,htx,RuudBa20,def_int,0,,,,,
player,201211110chi,htx,RuudBa20,def_int_yds,0,,,,,
player,201211110chi,htx,RuudBa20,def_int_td,0,,,,,
player,201211110chi,htx,RuudBa20,def_int_long,0,,,,,
player,201211110chi,htx,RuudBa20,pass_defended,0,,,,,
player,201211110chi,htx,RuudBa20,sacks,0.0,,,,,
player,201211110chi,htx,RuudBa20,tackles_combined,1,,,,,
player,201211110chi,htx,RuudBa20,tackles_solo,1,,,,,
player,201211110chi,htx,RuudBa20,tackles_assists,0,,,,,
player,201211110chi,htx,RuudBa20,tackles_loss,0,,,,,
player,201211110chi,htx,RuudBa20,qb_hits,0,,,,,
player,201211110chi,htx,RuudBa20,fumbles_rec,0,,,,,
player,201211110chi,htx,RuudBa20,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,RuudBa20,fumbles_rec_td,0,,,,,
player,201211110chi,htx,RuudBa20,fumbles_forced,0,,,,,
player,201211110chi,htx,SmitAn22,def_int,0,,,,,
player,201211110chi,htx,SmitAn22,def_int_yds,0,,,,,
player,201211110chi,htx,SmitAn22,def_int_td,0,,,,,
player,201211110chi,htx,SmitAn22,def_int_long,0,,,,,
player,201211110chi,htx,SmitAn22,pass_defended,0,,,,,
player,201211110chi,htx,SmitAn22,sacks,0.0,,,,,
player,201211110chi,htx,SmitAn22,tackles_combined,1,,,,,
player,201211110chi,htx,SmitAn22,tackles_solo,0,,,,,
player,201211110chi,htx,SmitAn22,tackles_assists,1,,,,,
player,201211110chi,htx,SmitAn22,tackles_loss,0,,,,,
player,201211110chi,htx,SmitAn22,qb_hits,1,,,,,
player,201211110chi,htx,SmitAn22,fumbles_rec,0,,,,,
player,201211110chi,htx,SmitAn22,fumbles_rec_yds,0,,,,,
player,201211110chi,htx,SmitAn22,fumbles_rec_td,0,,,,,
player,201211110chi,htx,SmitAn22,fumbles_forced,0,,,,,
player,201211110chi,htx,BallAl99,def_int,,,,,,
player,201211110chi,htx,BallAl99,def_int_yds,,,,,,
player,201211110chi,htx,BallAl99,def_int_td,,,,,,
player,201211110chi,htx,BallAl99,def_int_long,,,,,,
player,201211110chi,htx,BallAl99,pass_defended,0,,,,,
player,201211110chi,htx,BallAl99,sacks,0.0,,,,,
player,201211110chi,htx,BallAl99,tackles_combined,1,,,,,
player,201211110chi,htx,BallAl99,tackles_solo,1,,,,,
player,201211110chi,htx,BallAl99,tackles_assists,0,,,,,
player,201211110chi,htx,BallAl99,tackles_loss,0,,,,,
player,201211110chi,htx,BallAl99,qb_hits,0,,,,,
player,201211110chi,htx,BallAl99,fumbles_rec,0,,,,,
player,201211110chi,htx,BallAl99,fumbles_rec_yds,,,,,,
player,201211110chi,htx,BallAl99,fumbles_rec_td,,,,,,
player,201211110chi,htx,BallAl99,fumbles_forced,0,,,,,
player,201211110chi,chi,JennTi20,def_int,2,,,,,
player,201211110chi,chi,JennTi20,def_int_yds,10,,,,,
player,201211110chi,chi,JennTi20,def_int_td,0,,,,,
player,201211110chi,chi,JennTi20,def_int_long,10,,,,,
player,201211110chi,chi,JennTi20,pass_defended,3,,,,,
player,201211110chi,chi,JennTi20,sacks,0.0,,,,,
player,201211110chi,chi,JennTi20,tackles_combined,1,,,,,
player,201211110chi,chi,JennTi20,tackles_solo,1,,,,,
player,201211110chi,chi,JennTi20,tackles_assists,0,,,,,
player,201211110chi,chi,JennTi20,tackles_loss,0,,,,,
player,201211110chi,chi,JennTi20,qb_hits,0,,,,,
player,201211110chi,chi,JennTi20,fumbles_rec,0,,,,,
player,201211110chi,chi,JennTi20,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,JennTi20,fumbles_rec_td,0,,,,,
player,201211110chi,chi,JennTi20,fumbles_forced,0,,,,,
player,201211110chi,chi,PeppJu99,def_int,0,,,,,
player,201211110chi,chi,PeppJu99,def_int_yds,0,,,,,
player,201211110chi,chi,PeppJu99,def_int_td,0,,,,,
player,201211110chi,chi,PeppJu99,def_int_long,0,,,,,
player,201211110chi,chi,PeppJu99,pass_defended,0,,,,,
player,201211110chi,chi,PeppJu99,sacks,1.0,,,,,
player,201211110chi,chi,PeppJu99,tackles_combined,4,,,,,
player,201211110chi,chi,PeppJu99,tackles_solo,4,,,,,
player,201211110chi,chi,PeppJu99,tackles_assists,0,,,,,
player,201211110chi,chi,PeppJu99,tackles_loss,1,,,,,
player,201211110chi,chi,PeppJu99,qb_hits,2,,,,,
player,201211110chi,chi,PeppJu99,fumbles_rec,0,,,,,
player,201211110chi,chi,PeppJu99,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,PeppJu99,fumbles_rec_td,0,,,,,
player,201211110chi,chi,PeppJu99,fumbles_forced,0,,,,,
player,201211110chi,chi,UrlaBr00,def_int,0,,,,,
player,201211110chi,chi,UrlaBr00,def_int_yds,0,,,,,
player,201211110chi,chi,UrlaBr00,def_int_td,0,,,,,
player,201211110chi,chi,UrlaBr00,def_int_long,0,,,,,
player,201211110chi,chi,UrlaBr00,pass_defended,0,,,,,
player,201211110chi,chi,UrlaBr00,sacks,0.0,,,,,
player,201211110chi,chi,UrlaBr00,tackles_combined,8,,,,,
player,201211110chi,chi,UrlaBr00,tackles_solo,7,,,,,
player,201211110chi,chi,UrlaBr00,tackles_assists,1,,,,,
player,201211110chi,chi,UrlaBr00,tackles_loss,2,,,,,
player,201211110chi,chi,UrlaBr00,qb_hits,0,,,,,
player,201211110chi,chi,UrlaBr00,fumbles_rec,0,,,,,
player,201211110chi,chi,UrlaBr00,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,UrlaBr00,fumbles_rec_td,0,,,,,
player,201211110chi,chi,UrlaBr00,fumbles_forced,0,,,,,
player,201211110chi,chi,MeltHe99,def_int,0,,,,,
player,201211110chi,chi,MeltHe99,def_int_yds,0,,,,,
player,201211110chi,chi,MeltHe99,def_int_td,0,,,,,
player,201211110chi,chi,MeltHe99,def_int_long,0,,,,,
player,201211110chi,chi,MeltHe99,pass_defended,0,,,,,
player,201211110chi,chi,MeltHe99,sacks,0.0,,,,,
player,201211110chi,chi,MeltHe99,tackles_combined,6,,,,,
player,201211110chi,chi,MeltHe99,tackles_solo,4,,,,,
player,201211110chi,chi,MeltHe99,tackles_assists,2,,,,,
player,201211110chi,chi,MeltHe99,tackles_loss,2,,,,,
player,201211110chi,chi,MeltHe99,qb_hits,0,,,,,
player,201211110chi,chi,MeltHe99,fumbles_rec,0,,,,,
player,201211110chi,chi,MeltHe99,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,MeltHe99,fumbles_rec_td,0,,,,,
player,201211110chi,chi,MeltHe99,fumbles_forced,0,,,,,
player,201211110chi,chi,TillCh20,def_int,0,,,,,
player,201211110chi,chi,TillCh20,def_int_yds,0,,,,,
player,201211110chi,chi,TillCh20,def_int_td,0,,,,,
player,201211110chi,chi,TillCh20,def_int_long,0,,,,,
player,201211110chi,chi,TillCh20,pass_defended,2,,,,,
player,201211110chi,chi,TillCh20,sacks,0.0,,,,,
player,201211110chi,chi,TillCh20,tackles_combined,6,,,,,
player,201211110chi,chi,TillCh20,tackles_solo,6,,,,,
player,201211110chi,chi,TillCh20,tackles_assists,0,,,,,
player,201211110chi,chi,TillCh20,tackles_loss,0,,,,,
player,201211110chi,chi,TillCh20,qb_hits,0,,,,,
player,201211110chi,chi,TillCh20,fumbles_rec,0,,,,,
player,201211110chi,chi,TillCh20,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,TillCh20,fumbles_rec_td,0,,,,,
player,201211110chi,chi,TillCh20,fumbles_forced,0,,,,,
player,201211110chi,chi,IdonIs20,def_int,0,,,,,
player,201211110chi,chi,IdonIs20,def_int_yds,0,,,,,
player,201211110chi,chi,IdonIs20,def_int_td,0,,,,,
player,201211110chi,chi,IdonIs20,def_int_long,0,,,,,
player,201211110chi,chi,IdonIs20,pass_defended,0,,,,,
player,201211110chi,chi,IdonIs20,sacks,0.0,,,,,
player,201211110chi,chi,IdonIs20,tackles_combined,5,,,,,
player,201211110chi,chi,IdonIs20,tackles_solo,1,,,,,
player,201211110chi,chi,IdonIs20,tackles_assists,4,,,,,
player,201211110chi,chi,IdonIs20,tackles_loss,1,,,,,
player,201211110chi,chi,IdonIs20,qb_hits,0,,,,,
player,201211110chi,chi,IdonIs20,fumbles_rec,0,,,,,
player,201211110chi,chi,IdonIs20,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,IdonIs20,fumbles_rec_td,0,,,,,
player,201211110chi,chi,IdonIs20,fumbles_forced,0,,,,,
player,201211110chi,chi,WrigMa99,def_int,0,,,,,
player,201211110chi,chi,WrigMa99,def_int_yds,0,,,,,
player,201211110chi,chi,WrigMa99,def_int_td,0,,,,,
player,201211110chi,chi,WrigMa99,def_int_long,0,,,,,
player,201211110chi,chi,WrigMa99,pass_defended,0,,,,,
player,201211110chi,chi,WrigMa99,sacks,0.0,,,,,
player,201211110chi,chi,WrigMa99,tackles_combined,5,,,,,
player,201211110chi,chi,WrigMa99,tackles_solo,5,,,,,
player,201211110chi,chi,WrigMa99,tackles_assists,0,,,,,
player,201211110chi,chi,WrigMa99,tackles_loss,1,,,,,
player,201211110chi,chi,WrigMa99,qb_hits,0,,,,,
player,201211110chi,chi,WrigMa99,fumbles_rec,0,,,,,
player,201211110chi,chi,WrigMa99,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,WrigMa99,fumbles_rec_td,0,,,,,
player,201211110chi,chi,WrigMa99,fumbles_forced,0,,,,,
player,201211110chi,chi,BrigLa99,def_int,0,,,,,
player,201211110chi,chi,BrigLa99,def_int_yds,0,,,,,
player,201211110chi,chi,BrigLa99,def_int_td,0,,,,,
player,201211110chi,chi,BrigLa99,def_int_long,0,,,,,
player,201211110chi,chi,BrigLa99,pass_defended,0,,,,,
player,201211110chi,chi,BrigLa99,sacks,0.0,,,,,
player,201211110chi,chi,BrigLa99,tackles_combined,4,,,,,
player,201211110chi,chi,BrigLa99,tackles_solo,3,,,,,
player,201211110chi,chi,BrigLa99,tackles_assists,1,,,,,
player,201211110chi,chi,BrigLa99,tackles_loss,0,,,,,
player,201211110chi,chi,BrigLa99,qb_hits,0,,,,,
player,201211110chi,chi,BrigLa99,fumbles_rec,0,,,,,
player,201211110chi,chi,BrigLa99,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,BrigLa99,fumbles_rec_td,0,,,,,
player,201211110chi,chi,BrigLa99,fumbles_forced,0,,,,,
player,201211110chi,chi,ContCh00,def_int,0,,,,,
player,201211110chi,chi,ContCh00,def_int_yds,0,,,,,
player,201211110chi,chi,ContCh00,def_int_td,0,,,,,
player,201211110chi,chi,ContCh00,def_int_long,0,,,,,
player,201211110chi,chi,ContCh00,pass_defended,0,,,,,
player,201211110chi,chi,ContCh00,sacks,0.0,,,,,
player,201211110chi,chi,ContCh00,tackles_combined,4,,,,,
player,201211110chi,chi,ContCh00,tackles_solo,3,,,,,
player,201211110chi,chi,ContCh00,tackles_assists,1,,,,,
player,201211110chi,chi,ContCh00,tackles_loss,0,,,,,
player,201211110chi,chi,ContCh00,qb_hits,0,,,,,
player,201211110chi,chi,ContCh00,fumbles_rec,0,,,,,
player,201211110chi,chi,ContCh00,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,ContCh00,fumbles_rec_td,0,,,,,
player,201211110chi,chi,ContCh00,fumbles_forced,0,,,,,
player,201211110chi,chi,HaydKe20,def_int,0,,,,,
player,201211110chi,chi,HaydKe20,def_int_yds,0,,,,,
player,201211110chi,chi,HaydKe20,def_int_td,0,,,,,
player,201211110chi,chi,HaydKe20,def_int_long,0,,,,,
player,201211110chi,chi,HaydKe20,pass_defended,0,,,,,
player,201211110chi,chi,HaydKe20,sacks,0.0,,,,,
player,201211110chi,chi,HaydKe20,tackles_combined,4,,,,,
player,201211110chi,chi,HaydKe20,tackles_solo,3,,,,,
player,201211110chi,chi,HaydKe20,tackles_assists,1,,,,,
player,201211110chi,chi,HaydKe20,tackles_loss,0,,,,,
player,201211110chi,chi,HaydKe20,qb_hits,0,,,,,
player,201211110chi,chi,HaydKe20,fumbles_rec,0,,,,,
player,201211110chi,chi,HaydKe20,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,HaydKe20,fumbles_rec_td,0,,,,,
player,201211110chi,chi,HaydKe20,fumbles_forced,0,,,,,
player,201211110chi,chi,CollNa20,def_int,0,,,,,
player,201211110chi,chi,CollNa20,def_int_yds,0,,,,,
player,201211110chi,chi,CollNa20,def_int_td,0,,,,,
player,201211110chi,chi,CollNa20,def_int_long,0,,,,,
player,201211110chi,chi,CollNa20,pass_defended,0,,,,,
player,201211110chi,chi,CollNa20,sacks,0.0,,,,,
player,201211110chi,chi,CollNa20,tackles_combined,2,,,,,
player,201211110chi,chi,CollNa20,tackles_solo,1,,,,,
player,201211110chi,chi,CollNa20,tackles_assists,1,,,,,
player,201211110chi,chi,CollNa20,tackles_loss,1,,,,,
player,201211110chi,chi,CollNa20,qb_hits,0,,,,,
player,201211110chi,chi,CollNa20,fumbles_rec,0,,,,,
player,201211110chi,chi,CollNa20,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,CollNa20,fumbles_rec_td,0,,,,,
player,201211110chi,chi,CollNa20,fumbles_forced,0,,,,,
player,201211110chi,chi,PaeaSt00,def_int,0,,,,,
player,201211110chi,chi,PaeaSt00,def_int_yds,0,,,,,
player,201211110chi,chi,PaeaSt00,def_int_td,0,,,,,
player,201211110chi,chi,PaeaSt00,def_int_long,0,,,,,
player,201211110chi,chi,PaeaSt00,pass_defended,0,,,,,
player,201211110chi,chi,PaeaSt00,sacks,0.0,,,,,
player,201211110chi,chi,PaeaSt00,tackles_combined,2,,,,,
player,201211110chi,chi,PaeaSt00,tackles_solo,1,,,,,
player,201211110chi,chi,PaeaSt00,tackles_assists,1,,,,,
player,201211110chi,chi,PaeaSt00,tackles_loss,0,,,,,
player,201211110chi,chi,PaeaSt00,qb_hits,0,,,,,
player,201211110chi,chi,PaeaSt00,fumbles_rec,0,,,,,
player,201211110chi,chi,PaeaSt00,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,PaeaSt00,fumbles_rec_td,0,,,,,
player,201211110chi,chi,PaeaSt00,fumbles_forced,0,,,,,
player,201211110chi,chi,RoacNi99,def_int,0,,,,,
player,201211110chi,chi,RoacNi99,def_int_yds,0,,,,,
player,201211110chi,chi,RoacNi99,def_int_td,0,,,,,
player,201211110chi,chi,RoacNi99,def_int_long,0,,,,,
player,201211110chi,chi,RoacNi99,pass_defended,0,,,,,
player,201211110chi,chi,RoacNi99,sacks,0.0,,,,,
player,201211110chi,chi,RoacNi99,tackles_combined,2,,,,,
player,201211110chi,chi,RoacNi99,tackles_solo,2,,,,,
player,201211110chi,chi,RoacNi99,tackles_assists,0,,,,,
player,201211110chi,chi,RoacNi99,tackles_loss,0,,,,,
player,201211110chi,chi,RoacNi99,qb_hits,0,,,,,
player,201211110chi,chi,RoacNi99,fumbles_rec,0,,,,,
player,201211110chi,chi,RoacNi99,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,RoacNi99,fumbles_rec_td,0,,,,,
player,201211110chi,chi,RoacNi99,fumbles_forced,0,,,,,
player,201211110chi,chi,WootCo99,def_int,0,,,,,
player,201211110chi,chi,WootCo99,def_int_yds,0,,,,,
player,201211110chi,chi,WootCo99,def_int_td,0,,,,,
player,201211110chi,chi,WootCo99,def_int_long,0,,,,,
player,201211110chi,chi,WootCo99,pass_defended,0,,,,,
player,201211110chi,chi,WootCo99,sacks,0.0,,,,,
player,201211110chi,chi,WootCo99,tackles_combined,2,,,,,
player,201211110chi,chi,WootCo99,tackles_solo,1,,,,,
player,201211110chi,chi,WootCo99,tackles_assists,1,,,,,
player,201211110chi,chi,WootCo99,tackles_loss,0,,,,,
player,201211110chi,chi,WootCo99,qb_hits,1,,,,,
player,201211110chi,chi,WootCo99,fumbles_rec,0,,,,,
player,201211110chi,chi,WootCo99,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,WootCo99,fumbles_rec_td,0,,,,,
player,201211110chi,chi,WootCo99,fumbles_forced,0,,,,,
player,201211110chi,chi,BowmZa20,def_int,0,,,,,
player,201211110chi,chi,BowmZa20,def_int_yds,0,,,,,
player,201211110chi,chi,BowmZa20,def_int_td,0,,,,,
player,201211110chi,chi,BowmZa20,def_int_long,0,,,,,
player,201211110chi,chi,BowmZa20,pass_defended,0,,,,,
player,201211110chi,chi,BowmZa20,sacks,0.0,,,,,
player,201211110chi,chi,BowmZa20,tackles_combined,1,,,,,
player,201211110chi,chi,BowmZa20,tackles_solo,1,,,,,
player,201211110chi,chi,BowmZa20,tackles_assists,0,,,,,
player,201211110chi,chi,BowmZa20,tackles_loss,0,,,,,
player,201211110chi,chi,BowmZa20,qb_hits,0,,,,,
player,201211110chi,chi,BowmZa20,fumbles_rec,0,,,,,
player,201211110chi,chi,BowmZa20,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,BowmZa20,fumbles_rec_td,0,,,,,
player,201211110chi,chi,BowmZa20,fumbles_forced,0,,,,,
player,201211110chi,chi,StelCr99,def_int,0,,,,,
player,201211110chi,chi,StelCr99,def_int_yds,0,,,,,
player,201211110chi,chi,StelCr99,def_int_td,0,,,,,
player,201211110chi,chi,StelCr99,def_int_long,0,,,,,
player,201211110chi,chi,StelCr99,pass_defended,0,,,,,
player,201211110chi,chi,StelCr99,sacks,0.0,,,,,
player,201211110chi,chi,StelCr99,tackles_combined,1,,,,,
player,201211110chi,chi,StelCr99,tackles_solo,0,,,,,
player,201211110chi,chi,StelCr99,tackles_assists,1,,,,,
player,201211110chi,chi,StelCr99,tackles_loss,0,,,,,
player,201211110chi,chi,StelCr99,qb_hits,0,,,,,
player,201211110chi,chi,StelCr99,fumbles_rec,0,,,,,
player,201211110chi,chi,StelCr99,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,StelCr99,fumbles_rec_td,0,,,,,
player,201211110chi,chi,StelCr99,fumbles_forced,0,,,,,
player,201211110chi,chi,WeemEr00,def_int,0,,,,,
player,201211110chi,chi,WeemEr00,def_int_yds,0,,,,,
player,201211110chi,chi,WeemEr00,def_int_td,0,,,,,
player,201211110chi,chi,WeemEr00,def_int_long,0,,,,,
player,201211110chi,chi,WeemEr00,pass_defended,0,,,,,
player,201211110chi,chi,WeemEr00,sacks,0.0,,,,,
player,201211110chi,chi,WeemEr00,tackles_combined,1,,,,,
player,201211110chi,chi,WeemEr00,tackles_solo,0,,,,,
player,201211110chi,chi,WeemEr00,tackles_assists,1,,,,,
player,201211110chi,chi,WeemEr00,tackles_loss,0,,,,,
player,201211110chi,chi,WeemEr00,qb_hits,0,,,,,
player,201211110chi,chi,WeemEr00,fumbles_rec,0,,,,,
player,201211110chi,chi,WeemEr00,fumbles_rec_yds,0,,,,,
player,201211110chi,chi,WeemEr00,fumbles_rec_td,0,,,,,
player,201211110chi,chi,WeemEr00,fumbles_forced,0,,,,,
player,201211110chi,htx,MartKe01,kick_ret,3,,,,,
