game,2012,2,20120916,201209160car,nor,"New Orleans Saints",27,car,"Carolina Panthers",35
player,201209160car,nor,MorgJo01,rec,1,,,,,
player,201209160car,nor,MorgJo01,rec_yds,5,,,,,
player,201209160car,nor,MorgJo01,rec_td,0,,,,,
player,201209160car,nor,MorgJo01,rec_long,5,,,,,
player,201209160car,nor,MorgJo01,fumbles,0,,,,,
player,201209160car,nor,MorgJo01,fumbles_lost,0,,,,,
player,201209160car,nor,ThomDa02,pass_cmp,0,,,,,
player,201209160car,nor,ThomDa02,pass_att,0,,,,,
player,201209160car,nor,ThomDa02,pass_yds,0,,,,,
player,201209160car,nor,ThomDa02,pass_td,0,,,,,
player,201209160car,nor,ThomDa02,pass_int,0,,,,,
player,201209160car,nor,ThomDa02,pass_sacked,0,,,,,
player,201209160car,nor,ThomDa02,pass_sacked_yds,0,,,,,
player,201209160car,nor,ThomDa02,pass_long,0,,,,,
player,201209160car,nor,ThomDa02,pass_rating,,,,,,
player,201209160car,nor,ThomDa02,rush_att,0,,,,,
player,201209160car,nor,ThomDa02,rush_yds,0,,,,,
player,201209160car,nor,ThomDa02,rush_td,0,,,,,
player,201209160car,nor,ThomDa02,rush_long,0,,,,,
player,201209160car,nor,ThomDa02,targets,1,,,,,
player,201209160car,nor,ThomDa02,rec,0,,,,,
player,201209160car,nor,ThomDa02,rec_yds,0,,,,,
player,201209160car,nor,ThomDa02,rec_td,0,,,,,
player,201209160car,nor,ThomDa02,rec_long,0,,,,,
player,201209160car,nor,ThomDa02,fumbles,0,,,,,
player,201209160car,nor,ThomDa02,fumbles_lost,0,,,,,
player,201209160car,car,NewtCa00,pass_cmp,14,,,,,
player,201209160car,car,NewtCa00,pass_att,20,,,,,
player,201209160car,car,NewtCa00,pass_yds,253,,,,,
player,201209160car,car,NewtCa00,pass_td,1,,,,,
player,201209160car,car,NewtCa00,pass_int,0,,,,,
player,201209160car,car,NewtCa00,pass_sacked,1,,,,,
player,201209160car,car,NewtCa00,pass_sacked_yds,9,,,,,
player,201209160car,car,NewtCa00,pass_long,66,,,,,
player,201209160car,car,NewtCa00,pass_rating,129.2,,,,,
player,201209160car,car,NewtCa00,rush_att,13,,,,,
player,201209160car,car,NewtCa00,rush_yds,71,,,,,
player,201209160car,car,NewtCa00,rush_td,1,,,,,
player,201209160car,car,NewtCa00,rush_long,40,,,,,
player,201209160car,car,NewtCa00,targets,0,,,,,
player,201209160car,car,NewtCa00,rec,0,,,,,
player,201209160car,car,NewtCa00,rec_yds,0,,,,,
player,201209160car,car,NewtCa00,rec_td,0,,,,,
player,201209160car,car,NewtCa00,rec_long,0,,,,,
player,201209160car,car,NewtCa00,fumbles,1,,,,,
player,201209160car,car,NewtCa00,fumbles_lost,1,,,,,
player,201209160car,car,WillDe02,pass_cmp,0,,,,,
player,201209160car,car,WillDe02,pass_att,0,,,,,
player,201209160car,car,WillDe02,pass_yds,0,,,,,
player,201209160car,car,WillDe02,pass_td,0,,,,,
player,201209160car,car,WillDe02,pass_int,0,,,,,
player,201209160car,car,WillDe02,pass_sacked,0,,,,,
player,201209160car,car,WillDe02,pass_sacked_yds,0,,,,,
player,201209160car,car,WillDe02,pass_long,0,,,,,
player,201209160car,car,WillDe02,pass_rating,,,,,,
player,201209160car,car,WillDe02,rush_att,14,,,,,
player,201209160car,car,WillDe02,rush_yds,69,,,,,
player,201209160car,car,WillDe02,rush_td,1,,,,,
player,201209160car,car,WillDe02,rush_long,27,,,,,
player,201209160car,car,WillDe02,targets,0,,,,,
player,201209160car,car,WillDe02,rec,0,,,,,
player,201209160car,car,WillDe02,rec_yds,0,,,,,
player,201209160car,car,WillDe02,rec_td,0,,,,,
player,201209160car,car,WillDe02,rec_long,0,,,,,
player,201209160car,car,WillDe02,fumbles,0,,,,,
player,201209160car,car,WillDe02,fumbles_lost,0,,,,,
player,201209160car,car,StewJo00,pass_cmp,0,,,,,
player,201209160car,car,StewJo00,pass_att,0,,,,,
player,201209160car,car,StewJo00,pass_yds,0,,,,,
player,201209160car,car,StewJo00,pass_td,0,,,,,
player,201209160car,car,StewJo00,pass_int,0,,,,,
player,201209160car,car,StewJo00,pass_sacked,0,,,,,
player,201209160car,car,StewJo00,pass_sacked_yds,0,,,,,
player,201209160car,car,StewJo00,pass_long,0,,,,,
player,201209160car,car,StewJo00,pass_rating,,,,,,
player,201209160car,car,StewJo00,rush_att,11,,,,,
player,201209160car,car,StewJo00,rush_yds,51,,,,,
player,201209160car,car,StewJo00,rush_td,0,,,,,
player,201209160car,car,StewJo00,rush_long,16,,,,,
player,201209160car,car,StewJo00,targets,1,,,,,
player,201209160car,car,StewJo00,rec,1,,,,,
player,201209160car,car,StewJo00,rec_yds,17,,,,,
player,201209160car,car,StewJo00,rec_td,1,,,,,
player,201209160car,car,StewJo00,rec_long,17,,,,,
player,201209160car,car,StewJo00,fumbles,0,,,,,
player,201209160car,car,StewJo00,fumbles_lost,0,,,,,
player,201209160car,car,LaFeBr00,pass_cmp,0,,,,,
player,201209160car,car,LaFeBr00,pass_att,0,,,,,
player,201209160car,car,LaFeBr00,pass_yds,0,,,,,
player,201209160car,car,LaFeBr00,pass_td,0,,,,,
player,201209160car,car,LaFeBr00,pass_int,0,,,,,
