game,2012,5,20121007,201210070nor,sdg,"San Diego Chargers",24,nor,"New Orleans Saints",31
player,201210070nor,nor,HendDe00,pass_att,0,,,,,
player,201210070nor,nor,HendDe00,pass_yds,0,,,,,
player,201210070nor,nor,HendDe00,pass_td,0,,,,,
player,201210070nor,nor,HendDe00,pass_int,0,,,,,
player,201210070nor,nor,HendDe00,pass_sacked,0,,,,,
player,201210070nor,nor,HendDe00,pass_sacked_yds,0,,,,,
player,201210070nor,nor,HendDe00,pass_long,0,,,,,
player,201210070nor,nor,HendDe00,pass_rating,,,,,,
player,201210070nor,nor,HendDe00,rush_att,0,,,,,
player,201210070nor,nor,HendDe00,rush_yds,0,,,,,
player,201210070nor,nor,HendDe00,rush_td,0,,,,,
player,201210070nor,nor,HendDe00,rush_long,0,,,,,
player,201210070nor,nor,HendDe00,targets,10,,,,,
player,201210070nor,nor,HendDe00,rec,8,,,,,
player,201210070nor,nor,HendDe00,rec_yds,123,,,,,
player,201210070nor,nor,HendDe00,rec_td,1,,,,,
player,201210070nor,nor,HendDe00,rec_long,41,,,,,
player,201210070nor,nor,HendDe00,fumbles,1,,,,,
player,201210070nor,nor,HendDe00,fumbles_lost,0,,,,,
player,201210070nor,nor,CamaGr00,pass_cmp,0,,,,,
player,201210070nor,nor,CamaGr00,pass_att,0,,,,,
player,201210070nor,nor,CamaGr00,pass_yds,0,,,,,
player,201210070nor,nor,CamaGr00,pass_td,0,,,,,
player,201210070nor,nor,CamaGr00,pass_int,0,,,,,
player,201210070nor,nor,CamaGr00,pass_sacked,0,,,,,
player,201210070nor,nor,CamaGr00,pass_sacked_yds,0,,,,,
player,201210070nor,nor,CamaGr00,pass_long,0,,,,,
player,201210070nor,nor,CamaGr00,pass_rating,,,,,,
player,201210070nor,nor,CamaGr00,rush_att,0,,,,,
player,201210070nor,nor,CamaGr00,rush_yds,0,,,,,
player,201210070nor,nor,CamaGr00,rush_td,0,,,,,
player,201210070nor,nor,CamaGr00,rush_long,0,,,,,
player,201210070nor,nor,CamaGr00,targets,5,,,,,
player,201210070nor,nor,CamaGr00,rec,4,,,,,
player,201210070nor,nor,CamaGr00,rec_yds,44,,,,,
player,201210070nor,nor,CamaGr00,rec_td,0,,,,,
player,201210070nor,nor,CamaGr00,rec_long,13,,,,,
player,201210070nor,nor,CamaGr00,fumbles,0,,,,,
player,201210070nor,nor,CamaGr00,fumbles_lost,0,,,,,
player,201210070nor,nor,GrahJi00,pass_cmp,0,,,,,
player,201210070nor,nor,GrahJi00,pass_att,0,,,,,
player,201210070nor,nor,GrahJi00,pass_yds,0,,,,,
player,201210070nor,nor,GrahJi00,pass_td,0,,,,,
player,201210070nor,nor,GrahJi00,pass_int,0,,,,,
player,201210070nor,nor,GrahJi00,pass_sacked,0,,,,,
player,201210070nor,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201210070nor,nor,GrahJi00,pass_long,0,,,,,
player,201210070nor,nor,GrahJi00,pass_rating,,,,,,
player,201210070nor,nor,GrahJi00,rush_att,0,,,,,
player,201210070nor,nor,GrahJi00,rush_yds,0,,,,,
player,201210070nor,nor,GrahJi00,rush_td,0,,,,,
player,201210070nor,nor,GrahJi00,rush_long,0,,,,,
player,201210070nor,nor,GrahJi00,targets,2,,,,,
player,201210070nor,nor,GrahJi00,rec,1,,,,,
player,201210070nor,nor,GrahJi00,rec_yds,4,,,,,
player,201210070nor,nor,GrahJi00,rec_td,0,,,,,
player,201210070nor,nor,GrahJi00,rec_long,4,,,,,
player,201210070nor,nor,GrahJi00,fumbles,0,,,,,
player,201210070nor,nor,GrahJi00,fumbles_lost,0,,,,,
player,201210070nor,nor,MorgJo01,pass_cmp,0,,,,,
player,201210070nor,nor,MorgJo01,pass_att,0,,,,,
player,201210070nor,nor,MorgJo01,pass_yds,0,,,,,
player,201210070nor,nor,MorgJo01,pass_td,0,,,,,
player,201210070nor,nor,MorgJo01,pass_int,0,,,,,
player,201210070nor,nor,MorgJo01,pass_sacked,0,,,,,
player,201210070nor,nor,MorgJo01,pass_sacked_yds,0,,,,,
player,201210070nor,nor,MorgJo01,pass_long,0,,,,,
player,201210070nor,nor,MorgJo01,pass_rating,,,,,,
player,201210070nor,nor,MorgJo01,rush_att,0,,,,,
player,201210070nor,nor,MorgJo01,rush_yds,0,,,,,
player,201210070nor,nor,MorgJo01,rush_td,0,,,,,
player,201210070nor,nor,MorgJo01,rush_long,0,,,,,
player,201210070nor,nor,MorgJo01,targets,1,,,,,
player,201210070nor,nor,MorgJo01,rec,0,,,,,
player,201210070nor,nor,MorgJo01,rec_yds,0,,,,,
player,201210070nor,nor,MorgJo01,rec_td,0,,,,,
player,201210070nor,nor,MorgJo01,rec_long,0,,,,,
player,201210070nor,nor,MorgJo01,fumbles,0,,,,,
player,201210070nor,nor,MorgJo01,fumbles_lost,0,,,,,
player,201210070nor,sdg,JammQu20,def_int,1,,,,,
player,201210070nor,sdg,JammQu20,def_int_yds,9,,,,,
player,201210070nor,sdg,JammQu20,def_int_td,0,,,,,
player,201210070nor,sdg,JammQu20,def_int_long,9,,,,,
player,201210070nor,sdg,JammQu20,pass_defended,2,,,,,
player,201210070nor,sdg,JammQu20,sacks,0.0,,,,,
player,201210070nor,sdg,JammQu20,tackles_combined,6,,,,,
player,201210070nor,sdg,JammQu20,tackles_solo,4,,,,,
player,201210070nor,sdg,JammQu20,tackles_assists,2,,,,,
player,201210070nor,sdg,JammQu20,tackles_loss,0,,,,,
player,201210070nor,sdg,JammQu20,qb_hits,0,,,,,
player,201210070nor,sdg,JammQu20,fumbles_rec,0,,,,,
player,201210070nor,sdg,JammQu20,fumbles_rec_yds,0,,,,,
player,201210070nor,sdg,JammQu20,fumbles_rec_td,0,,,,,
player,201210070nor,sdg,JammQu20,fumbles_forced,0,,,,,
player,201210070nor,sdg,WeddEr99,def_int,0,,,,,
player,201210070nor,sdg,WeddEr99,def_int_yds,0,,,,,
player,201210070nor,sdg,WeddEr99,def_int_td,0,,,,,
player,201210070nor,sdg,WeddEr99,def_int_long,0,,,,,
player,201210070nor,sdg,WeddEr99,pass_defended,0,,,,,
player,201210070nor,sdg,WeddEr99,sacks,1.0,,,,,
player,201210070nor,sdg,WeddEr99,tackles_combined,7,,,,,
player,201210070nor,sdg,WeddEr99,tackles_solo,6,,,,,
player,201210070nor,sdg,WeddEr99,tackles_assists,1,,,,,
player,201210070nor,sdg,WeddEr99,tackles_loss,0,,,,,
player,201210070nor,sdg,WeddEr99,qb_hits,0,,,,,
player,201210070nor,sdg,WeddEr99,fumbles_rec,0,,,,,
player,201210070nor,sdg,WeddEr99,fumbles_rec_yds,0,,,,,
player,201210070nor,sdg,WeddEr99,fumbles_rec_td,0,,,,,
player,201210070nor,sdg,WeddEr99,fumbles_forced,1,,,,,
player,201210070nor,sdg,PhilSh20,def_int,0,,,,,
player,201210070nor,sdg,PhilSh20,def_int_yds,0,,,,,
player,201210070nor,sdg,PhilSh20,def_int_td,0,,,,,
player,201210070nor,sdg,PhilSh20,def_int_long,0,,,,,
player,201210070nor,sdg,PhilSh20,pass_defended,0,,,,,
player,201210070nor,sdg,PhilSh20,sacks,1.0,,,,,
player,201210070nor,sdg,PhilSh20,tackles_combined,4,,,,,
player,201210070nor,sdg,PhilSh20,tackles_solo,3,,,,,
player,201210070nor,sdg,PhilSh20,tackles_assists,1,,,,,
player,201210070nor,sdg,PhilSh20,tackles_loss,1,,,,,
player,201210070nor,sdg,PhilSh20,qb_hits,1,,,,,
player,201210070nor,sdg,PhilSh20,fumbles_rec,0,,,,,
player,201210070nor,sdg,PhilSh20,fumbles_rec_yds,0,,,,,
player,201210070nor,sdg,PhilSh20,fumbles_rec_td,0,,,,,
player,201210070nor,sdg,PhilSh20,fumbles_forced,0,,,,,
player,201210070nor,sdg,LiugCo00,def_int,0,,,,,
player,201210070nor,sdg,LiugCo00,def_int_yds,0,,,,,
player,201210070nor,sdg,LiugCo00,def_int_td,0,,,,,
player,201210070nor,sdg,LiugCo00,def_int_long,0,,,,,
player,201210070nor,sdg,LiugCo00,pass_defended,2,,,,,
player,201210070nor,sdg,LiugCo00,sacks,1.0,,,,,
player,201210070nor,sdg,LiugCo00,tackles_combined,2,,,,,
player,201210070nor,sdg,LiugCo00,tackles_solo,1,,,,,
player,201210070nor,sdg,LiugCo00,tackles_assists,1,,,,,
player,201210070nor,sdg,LiugCo00,tackles_loss,1,,,,,
player,201210070nor,sdg,LiugCo00,qb_hits,1,,,,,
