game,2012,5,20121007,201210070clt,gnb,"Green Bay Packers",27,clt,"Indianapolis Colts",30
player,201210070clt,gnb,JoneJa04,rush_long,0,,,,,
player,201210070clt,gnb,JoneJa04,targets,7,,,,,
player,201210070clt,gnb,JoneJa04,rec,4,,,,,
player,201210070clt,gnb,JoneJa04,rec_yds,46,,,,,
player,201210070clt,gnb,JoneJa04,rec_td,2,,,,,
player,201210070clt,gnb,JoneJa04,rec_long,24,,,,,
player,201210070clt,gnb,JoneJa04,fumbles,0,,,,,
player,201210070clt,gnb,JoneJa04,fumbles_lost,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_cmp,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_att,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_yds,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_td,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_int,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_sacked,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_long,0,,,,,
player,201210070clt,gnb,NelsJo00,pass_rating,,,,,,
player,201210070clt,gnb,NelsJo00,rush_att,0,,,,,
player,201210070clt,gnb,NelsJo00,rush_yds,0,,,,,
player,201210070clt,gnb,NelsJo00,rush_td,0,,,,,
player,201210070clt,gnb,NelsJo00,rush_long,0,,,,,
player,201210070clt,gnb,NelsJo00,targets,5,,,,,
player,201210070clt,gnb,NelsJo00,rec,2,,,,,
player,201210070clt,gnb,NelsJo00,rec_yds,29,,,,,
player,201210070clt,gnb,NelsJo00,rec_td,0,,,,,
player,201210070clt,gnb,NelsJo00,rec_long,19,,,,,
player,201210070clt,gnb,NelsJo00,fumbles,0,,,,,
player,201210070clt,gnb,NelsJo00,fumbles_lost,0,,,,,
player,201210070clt,gnb,WillD.00,pass_cmp,0,,,,,
player,201210070clt,gnb,WillD.00,pass_att,0,,,,,
player,201210070clt,gnb,WillD.00,pass_yds,0,,,,,
player,201210070clt,gnb,WillD.00,pass_td,0,,,,,
player,201210070clt,gnb,WillD.00,pass_int,0,,,,,
player,201210070clt,gnb,WillD.00,pass_sacked,0,,,,,
player,201210070clt,gnb,WillD.00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,WillD.00,pass_long,0,,,,,
player,201210070clt,gnb,WillD.00,pass_rating,,,,,,
player,201210070clt,gnb,WillD.00,rush_att,0,,,,,
player,201210070clt,gnb,WillD.00,rush_yds,0,,,,,
player,201210070clt,gnb,WillD.00,rush_td,0,,,,,
player,201210070clt,gnb,WillD.00,rush_long,0,,,,,
player,201210070clt,gnb,WillD.00,targets,4,,,,,
player,201210070clt,gnb,WillD.00,rec,2,,,,,
player,201210070clt,gnb,WillD.00,rec_yds,20,,,,,
player,201210070clt,gnb,WillD.00,rec_td,0,,,,,
player,201210070clt,gnb,WillD.00,rec_long,12,,,,,
player,201210070clt,gnb,WillD.00,fumbles,0,,,,,
player,201210070clt,gnb,WillD.00,fumbles_lost,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_cmp,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_att,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_yds,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_td,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_int,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_sacked,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_long,0,,,,,
player,201210070clt,gnb,DrivDo00,pass_rating,,,,,,
player,201210070clt,gnb,DrivDo00,rush_att,0,,,,,
player,201210070clt,gnb,DrivDo00,rush_yds,0,,,,,
player,201210070clt,gnb,DrivDo00,rush_td,0,,,,,
player,201210070clt,gnb,DrivDo00,rush_long,0,,,,,
player,201210070clt,gnb,DrivDo00,targets,2,,,,,
player,201210070clt,gnb,DrivDo00,rec,1,,,,,
player,201210070clt,gnb,DrivDo00,rec_yds,14,,,,,
player,201210070clt,gnb,DrivDo00,rec_td,0,,,,,
player,201210070clt,gnb,DrivDo00,rec_long,14,,,,,
player,201210070clt,gnb,DrivDo00,fumbles,0,,,,,
player,201210070clt,gnb,DrivDo00,fumbles_lost,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_cmp,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_att,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_yds,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_td,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_int,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_sacked,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_long,0,,,,,
player,201210070clt,gnb,FinlJe00,pass_rating,,,,,,
player,201210070clt,gnb,FinlJe00,rush_att,0,,,,,
player,201210070clt,gnb,FinlJe00,rush_yds,0,,,,,
player,201210070clt,gnb,FinlJe00,rush_td,0,,,,,
player,201210070clt,gnb,FinlJe00,rush_long,0,,,,,
player,201210070clt,gnb,FinlJe00,targets,6,,,,,
player,201210070clt,gnb,FinlJe00,rec,3,,,,,
player,201210070clt,gnb,FinlJe00,rec_yds,11,,,,,
player,201210070clt,gnb,FinlJe00,rec_td,0,,,,,
player,201210070clt,gnb,FinlJe00,rec_long,6,,,,,
player,201210070clt,gnb,FinlJe00,fumbles,0,,,,,
player,201210070clt,gnb,FinlJe00,fumbles_lost,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_cmp,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_att,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_yds,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_td,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_int,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_sacked,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_sacked_yds,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_long,0,,,,,
player,201210070clt,gnb,CrabTo00,pass_rating,,,,,,
player,201210070clt,gnb,CrabTo00,rush_att,0,,,,,
player,201210070clt,gnb,CrabTo00,rush_yds,0,,,,,
player,201210070clt,gnb,CrabTo00,rush_td,0,,,,,
player,201210070clt,gnb,CrabTo00,rush_long,0,,,,,
player,201210070clt,gnb,CrabTo00,targets,1,,,,,
player,201210070clt,gnb,CrabTo00,rec,1,,,,,
player,201210070clt,gnb,CrabTo00,rec_yds,6,,,,,
player,201210070clt,gnb,CrabTo00,rec_td,0,,,,,
player,201210070clt,gnb,CrabTo00,rec_long,6,,,,,
player,201210070clt,gnb,CrabTo00,fumbles,0,,,,,
player,201210070clt,gnb,CrabTo00,fumbles_lost,0,,,,,
player,201210070clt,clt,LuckAn00,pass_cmp,31,,,,,
player,201210070clt,clt,LuckAn00,pass_att,55,,,,,
player,201210070clt,clt,LuckAn00,pass_yds,362,,,,,
player,201210070clt,clt,LuckAn00,pass_td,2,,,,,
player,201210070clt,clt,LuckAn00,pass_int,1,,,,,
player,201210070clt,clt,LuckAn00,pass_sacked,4,,,,,
player,201210070clt,clt,LuckAn00,pass_sacked_yds,17,,,,,
player,201210070clt,clt,LuckAn00,pass_long,30,,,,,
player,201210070clt,clt,LuckAn00,pass_rating,81.0,,,,,
player,201210070clt,clt,LuckAn00,rush_att,6,,,,,
player,201210070clt,clt,LuckAn00,rush_yds,24,,,,,
player,201210070clt,clt,LuckAn00,rush_td,1,,,,,
player,201210070clt,clt,LuckAn00,rush_long,9,,,,,
player,201210070clt,clt,LuckAn00,targets,0,,,,,
player,201210070clt,clt,LuckAn00,rec,0,,,,,
player,201210070clt,clt,LuckAn00,rec_yds,0,,,,,
player,201210070clt,clt,LuckAn00,rec_td,0,,,,,
player,201210070clt,clt,LuckAn00,rec_long,0,,,,,
player,201210070clt,clt,LuckAn00,fumbles,1,,,,,
player,201210070clt,clt,LuckAn00,fumbles_lost,0,,,,,
player,201210070clt,clt,BrowDo00,pass_cmp,0,,,,,
player,201210070clt,clt,BrowDo00,pass_att,0,,,,,
player,201210070clt,clt,BrowDo00,pass_yds,0,,,,,
player,201210070clt,clt,BrowDo00,pass_td,0,,,,,
player,201210070clt,clt,BrowDo00,pass_int,0,,,,,
player,201210070clt,clt,BrowDo00,pass_sacked,0,,,,,
player,201210070clt,clt,BrowDo00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,BrowDo00,pass_long,0,,,,,
player,201210070clt,clt,BrowDo00,pass_rating,,,,,,
player,201210070clt,clt,BrowDo00,rush_att,17,,,,,
player,201210070clt,clt,BrowDo00,rush_yds,84,,,,,
player,201210070clt,clt,BrowDo00,rush_td,0,,,,,
player,201210070clt,clt,BrowDo00,rush_long,14,,,,,
player,201210070clt,clt,BrowDo00,targets,2,,,,,
player,201210070clt,clt,BrowDo00,rec,2,,,,,
player,201210070clt,clt,BrowDo00,rec_yds,8,,,,,
player,201210070clt,clt,BrowDo00,rec_td,0,,,,,
player,201210070clt,clt,BrowDo00,rec_long,5,,,,,
player,201210070clt,clt,BrowDo00,fumbles,0,,,,,
player,201210070clt,clt,BrowDo00,fumbles_lost,0,,,,,
player,201210070clt,clt,BallVi00,pass_cmp,0,,,,,
player,201210070clt,clt,BallVi00,pass_att,0,,,,,
player,201210070clt,clt,BallVi00,pass_yds,0,,,,,
player,201210070clt,clt,BallVi00,pass_td,0,,,,,
player,201210070clt,clt,BallVi00,pass_int,0,,,,,
player,201210070clt,clt,BallVi00,pass_sacked,0,,,,,
player,201210070clt,clt,BallVi00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,BallVi00,pass_long,0,,,,,
player,201210070clt,clt,BallVi00,pass_rating,,,,,,
player,201210070clt,clt,BallVi00,rush_att,6,,,,,
player,201210070clt,clt,BallVi00,rush_yds,11,,,,,
player,201210070clt,clt,BallVi00,rush_td,0,,,,,
player,201210070clt,clt,BallVi00,rush_long,7,,,,,
player,201210070clt,clt,BallVi00,targets,1,,,,,
player,201210070clt,clt,BallVi00,rec,1,,,,,
player,201210070clt,clt,BallVi00,rec_yds,4,,,,,
player,201210070clt,clt,BallVi00,rec_td,0,,,,,
player,201210070clt,clt,BallVi00,rec_long,4,,,,,
player,201210070clt,clt,BallVi00,fumbles,0,,,,,
player,201210070clt,clt,BallVi00,fumbles_lost,0,,,,,
player,201210070clt,clt,WaynRe00,pass_cmp,0,,,,,
player,201210070clt,clt,WaynRe00,pass_att,0,,,,,
player,201210070clt,clt,WaynRe00,pass_yds,0,,,,,
player,201210070clt,clt,WaynRe00,pass_td,0,,,,,
player,201210070clt,clt,WaynRe00,pass_int,0,,,,,
player,201210070clt,clt,WaynRe00,pass_sacked,0,,,,,
player,201210070clt,clt,WaynRe00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,WaynRe00,pass_long,0,,,,,
player,201210070clt,clt,WaynRe00,pass_rating,,,,,,
player,201210070clt,clt,WaynRe00,rush_att,0,,,,,
player,201210070clt,clt,WaynRe00,rush_yds,0,,,,,
player,201210070clt,clt,WaynRe00,rush_td,0,,,,,
player,201210070clt,clt,WaynRe00,rush_long,0,,,,,
player,201210070clt,clt,WaynRe00,targets,20,,,,,
player,201210070clt,clt,WaynRe00,rec,13,,,,,
player,201210070clt,clt,WaynRe00,rec_yds,212,,,,,
player,201210070clt,clt,WaynRe00,rec_td,1,,,,,
player,201210070clt,clt,WaynRe00,rec_long,30,,,,,
player,201210070clt,clt,WaynRe00,fumbles,0,,,,,
player,201210070clt,clt,WaynRe00,fumbles_lost,0,,,,,
player,201210070clt,clt,FleeCo00,pass_cmp,0,,,,,
player,201210070clt,clt,FleeCo00,pass_att,0,,,,,
player,201210070clt,clt,FleeCo00,pass_yds,0,,,,,
player,201210070clt,clt,FleeCo00,pass_td,0,,,,,
player,201210070clt,clt,FleeCo00,pass_int,0,,,,,
player,201210070clt,clt,FleeCo00,pass_sacked,0,,,,,
player,201210070clt,clt,FleeCo00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,FleeCo00,pass_long,0,,,,,
player,201210070clt,clt,FleeCo00,pass_rating,,,,,,
player,201210070clt,clt,FleeCo00,rush_att,0,,,,,
player,201210070clt,clt,FleeCo00,rush_yds,0,,,,,
player,201210070clt,clt,FleeCo00,rush_td,0,,,,,
player,201210070clt,clt,FleeCo00,rush_long,0,,,,,
player,201210070clt,clt,FleeCo00,targets,9,,,,,
player,201210070clt,clt,FleeCo00,rec,5,,,,,
player,201210070clt,clt,FleeCo00,rec_yds,41,,,,,
player,201210070clt,clt,FleeCo00,rec_td,0,,,,,
player,201210070clt,clt,FleeCo00,rec_long,18,,,,,
player,201210070clt,clt,FleeCo00,fumbles,0,,,,,
player,201210070clt,clt,FleeCo00,fumbles_lost,0,,,,,
player,201210070clt,clt,AlleDw00,pass_cmp,0,,,,,
player,201210070clt,clt,AlleDw00,pass_att,0,,,,,
player,201210070clt,clt,AlleDw00,pass_yds,0,,,,,
player,201210070clt,clt,AlleDw00,pass_td,0,,,,,
player,201210070clt,clt,AlleDw00,pass_int,0,,,,,
player,201210070clt,clt,AlleDw00,pass_sacked,0,,,,,
player,201210070clt,clt,AlleDw00,pass_sacked_yds,0,,,,,
player,201210070clt,clt,AlleDw00,pass_long,0,,,,,
player,201210070clt,clt,AlleDw00,pass_rating,,,,,,
player,201210070clt,clt,AlleDw00,rush_att,0,,,,,
player,201210070clt,clt,AlleDw00,rush_yds,0,,,,,
player,201210070clt,clt,AlleDw00,rush_td,0,,,,,
player,201210070clt,clt,AlleDw00,rush_long,0,,,,,
player,201210070clt,clt,AlleDw00,targets,5,,,,,
player,201210070clt,clt,AlleDw00,rec,4,,,,,
player,201210070clt,clt,AlleDw00,rec_yds,38,,,,,
player,201210070clt,clt,AlleDw00,rec_td,1,,,,,
