game,2012,14,20121209,201212090car,atl,"Atlanta Falcons",20,car,"Carolina Panthers",30
player,201212090car,atl,DaviDr00,rush_td,0,,,,,
player,201212090car,atl,DaviDr00,rush_long,0,,,,,
player,201212090car,atl,DaviDr00,targets,2,,,,,
player,201212090car,atl,DaviDr00,rec,1,,,,,
player,201212090car,atl,DaviDr00,rec_yds,6,,,,,
player,201212090car,atl,DaviDr00,rec_td,0,,,,,
player,201212090car,atl,DaviDr00,rec_long,6,,,,,
player,201212090car,atl,DaviDr00,fumbles,0,,,,,
player,201212090car,atl,DaviDr00,fumbles_lost,0,,,,,
player,201212090car,atl,SnelJa00,pass_cmp,0,,,,,
player,201212090car,atl,SnelJa00,pass_att,0,,,,,
player,201212090car,atl,SnelJa00,pass_yds,0,,,,,
player,201212090car,atl,SnelJa00,pass_td,0,,,,,
player,201212090car,atl,SnelJa00,pass_int,0,,,,,
player,201212090car,atl,SnelJa00,pass_sacked,0,,,,,
player,201212090car,atl,SnelJa00,pass_sacked_yds,0,,,,,
player,201212090car,atl,SnelJa00,pass_long,0,,,,,
player,201212090car,atl,SnelJa00,pass_rating,,,,,,
player,201212090car,atl,SnelJa00,rush_att,0,,,,,
player,201212090car,atl,SnelJa00,rush_yds,0,,,,,
player,201212090car,atl,SnelJa00,rush_td,0,,,,,
player,201212090car,atl,SnelJa00,rush_long,0,,,,,
player,201212090car,atl,SnelJa00,targets,2,,,,,
player,201212090car,atl,SnelJa00,rec,1,,,,,
player,201212090car,atl,SnelJa00,rec_yds,5,,,,,
player,201212090car,atl,SnelJa00,rec_td,0,,,,,
player,201212090car,atl,SnelJa00,rec_long,5,,,,,
player,201212090car,atl,SnelJa00,fumbles,0,,,,,
player,201212090car,atl,SnelJa00,fumbles_lost,0,,,,,
player,201212090car,atl,PalmMi00,pass_cmp,0,,,,,
player,201212090car,atl,PalmMi00,pass_att,0,,,,,
player,201212090car,atl,PalmMi00,pass_yds,0,,,,,
player,201212090car,atl,PalmMi00,pass_td,0,,,,,
player,201212090car,atl,PalmMi00,pass_int,0,,,,,
player,201212090car,atl,PalmMi00,pass_sacked,0,,,,,
player,201212090car,atl,PalmMi00,pass_sacked_yds,0,,,,,
player,201212090car,atl,PalmMi00,pass_long,0,,,,,
player,201212090car,atl,PalmMi00,pass_rating,,,,,,
player,201212090car,atl,PalmMi00,rush_att,0,,,,,
player,201212090car,atl,PalmMi00,rush_yds,0,,,,,
player,201212090car,atl,PalmMi00,rush_td,0,,,,,
player,201212090car,atl,PalmMi00,rush_long,0,,,,,
player,201212090car,atl,PalmMi00,targets,1,,,,,
player,201212090car,atl,PalmMi00,rec,1,,,,,
player,201212090car,atl,PalmMi00,rec_yds,4,,,,,
player,201212090car,atl,PalmMi00,rec_td,0,,,,,
player,201212090car,atl,PalmMi00,rec_long,4,,,,,
player,201212090car,atl,PalmMi00,fumbles,0,,,,,
player,201212090car,atl,PalmMi00,fumbles_lost,0,,,,,
player,201212090car,atl,SmitAn01,pass_cmp,0,,,,,
player,201212090car,atl,SmitAn01,pass_att,0,,,,,
player,201212090car,atl,SmitAn01,pass_yds,0,,,,,
player,201212090car,atl,SmitAn01,pass_td,0,,,,,
player,201212090car,atl,SmitAn01,pass_int,0,,,,,
player,201212090car,atl,SmitAn01,pass_sacked,0,,,,,
player,201212090car,atl,SmitAn01,pass_sacked_yds,0,,,,,
player,201212090car,atl,SmitAn01,pass_long,0,,,,,
player,201212090car,atl,SmitAn01,pass_rating,,,,,,
player,201212090car,atl,SmitAn01,rush_att,0,,,,,
player,201212090car,atl,SmitAn01,rush_yds,0,,,,,
player,201212090car,atl,SmitAn01,rush_td,0,,,,,
player,201212090car,atl,SmitAn01,rush_long,0,,,,,
player,201212090car,atl,SmitAn01,targets,1,,,,,
player,201212090car,atl,SmitAn01,rec,0,,,,,
player,201212090car,atl,SmitAn01,rec_yds,0,,,,,
player,201212090car,atl,SmitAn01,rec_td,0,,,,,
player,201212090car,atl,SmitAn01,rec_long,0,,,,,
player,201212090car,atl,SmitAn01,fumbles,0,,,,,
player,201212090car,atl,SmitAn01,fumbles_lost,0,,,,,
player,201212090car,atl,ConeKe00,pass_cmp,0,,,,,
player,201212090car,atl,ConeKe00,pass_att,0,,,,,
player,201212090car,atl,ConeKe00,pass_yds,0,,,,,
player,201212090car,atl,ConeKe00,pass_td,0,,,,,
player,201212090car,atl,ConeKe00,pass_int,0,,,,,
player,201212090car,atl,ConeKe00,pass_sacked,0,,,,,
player,201212090car,atl,ConeKe00,pass_sacked_yds,0,,,,,
player,201212090car,atl,ConeKe00,pass_long,0,,,,,
player,201212090car,atl,ConeKe00,pass_rating,,,,,,
player,201212090car,atl,ConeKe00,rush_att,0,,,,,
player,201212090car,atl,ConeKe00,rush_yds,0,,,,,
player,201212090car,atl,ConeKe00,rush_td,0,,,,,
player,201212090car,atl,ConeKe00,rush_long,0,,,,,
player,201212090car,atl,ConeKe00,targets,1,,,,,
player,201212090car,atl,ConeKe00,rec,0,,,,,
player,201212090car,atl,ConeKe00,rec_yds,0,,,,,
player,201212090car,atl,ConeKe00,rec_td,0,,,,,
player,201212090car,atl,ConeKe00,rec_long,0,,,,,
player,201212090car,atl,ConeKe00,fumbles,0,,,,,
player,201212090car,atl,ConeKe00,fumbles_lost,0,,,,,
player,201212090car,car,NewtCa00,pass_cmp,23,,,,,
player,201212090car,car,NewtCa00,pass_att,35,,,,,
player,201212090car,car,NewtCa00,pass_yds,287,,,,,
player,201212090car,car,NewtCa00,pass_td,2,,,,,
player,201212090car,car,NewtCa00,pass_int,0,,,,,
player,201212090car,car,NewtCa00,pass_sacked,1,,,,,
player,201212090car,car,NewtCa00,pass_sacked_yds,7,,,,,
player,201212090car,car,NewtCa00,pass_long,53,,,,,
player,201212090car,car,NewtCa00,pass_rating,110.1,,,,,
player,201212090car,car,NewtCa00,rush_att,9,,,,,
player,201212090car,car,NewtCa00,rush_yds,116,,,,,
player,201212090car,car,NewtCa00,rush_td,1,,,,,
player,201212090car,car,NewtCa00,rush_long,72,,,,,
player,201212090car,car,NewtCa00,targets,0,,,,,
player,201212090car,car,NewtCa00,rec,0,,,,,
player,201212090car,car,NewtCa00,rec_yds,0,,,,,
player,201212090car,car,NewtCa00,rec_td,0,,,,,
player,201212090car,car,NewtCa00,rec_long,0,,,,,
player,201212090car,car,NewtCa00,fumbles,0,,,,,
player,201212090car,car,NewtCa00,fumbles_lost,0,,,,,
player,201212090car,car,WillDe02,pass_cmp,0,,,,,
player,201212090car,car,WillDe02,pass_att,0,,,,,
player,201212090car,car,WillDe02,pass_yds,0,,,,,
player,201212090car,car,WillDe02,pass_td,0,,,,,
player,201212090car,car,WillDe02,pass_int,0,,,,,
player,201212090car,car,WillDe02,pass_sacked,0,,,,,
player,201212090car,car,WillDe02,pass_sacked_yds,0,,,,,
player,201212090car,car,WillDe02,pass_long,0,,,,,
player,201212090car,car,WillDe02,pass_rating,,,,,,
player,201212090car,car,WillDe02,rush_att,17,,,,,
player,201212090car,car,WillDe02,rush_yds,56,,,,,
player,201212090car,car,WillDe02,rush_td,0,,,,,
player,201212090car,car,WillDe02,rush_long,13,,,,,
player,201212090car,car,WillDe02,targets,3,,,,,
