game,2012,5,20121007,201210070nyg,cle,"Cleveland Browns",27,nyg,"New York Giants",41
player,201210070nyg,nyg,PascBe00,pass_rating,,,,,,
player,201210070nyg,nyg,PascBe00,rush_att,0,,,,,
player,201210070nyg,nyg,PascBe00,rush_yds,0,,,,,
player,201210070nyg,nyg,PascBe00,rush_td,0,,,,,
player,201210070nyg,nyg,PascBe00,rush_long,0,,,,,
player,201210070nyg,nyg,PascBe00,targets,1,,,,,
player,201210070nyg,nyg,PascBe00,rec,1,,,,,
player,201210070nyg,nyg,PascBe00,rec_yds,7,,,,,
player,201210070nyg,nyg,PascBe00,rec_td,0,,,,,
player,201210070nyg,nyg,PascBe00,rec_long,7,,,,,
player,201210070nyg,nyg,PascBe00,fumbles,0,,,,,
player,201210070nyg,nyg,PascBe00,fumbles_lost,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_cmp,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_att,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_yds,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_td,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_int,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_sacked,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_sacked_yds,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_long,0,,,,,
player,201210070nyg,nyg,JernJe00,pass_rating,,,,,,
player,201210070nyg,nyg,JernJe00,rush_att,0,,,,,
player,201210070nyg,nyg,JernJe00,rush_yds,0,,,,,
player,201210070nyg,nyg,JernJe00,rush_td,0,,,,,
player,201210070nyg,nyg,JernJe00,rush_long,0,,,,,
player,201210070nyg,nyg,JernJe00,targets,1,,,,,
player,201210070nyg,nyg,JernJe00,rec,1,,,,,
player,201210070nyg,nyg,JernJe00,rec_yds,6,,,,,
player,201210070nyg,nyg,JernJe00,rec_td,0,,,,,
player,201210070nyg,nyg,JernJe00,rec_long,6,,,,,
player,201210070nyg,nyg,JernJe00,fumbles,0,,,,,
player,201210070nyg,nyg,JernJe00,fumbles_lost,0,,,,,
player,201210070nyg,cle,YounUs99,def_int,1,,,,,
player,201210070nyg,cle,YounUs99,def_int_yds,44,,,,,
player,201210070nyg,cle,YounUs99,def_int_td,0,,,,,
player,201210070nyg,cle,YounUs99,def_int_long,44,,,,,
player,201210070nyg,cle,YounUs99,pass_defended,1,,,,,
player,201210070nyg,cle,YounUs99,sacks,0.0,,,,,
player,201210070nyg,cle,YounUs99,tackles_combined,10,,,,,
player,201210070nyg,cle,YounUs99,tackles_solo,5,,,,,
player,201210070nyg,cle,YounUs99,tackles_assists,5,,,,,
player,201210070nyg,cle,YounUs99,tackles_loss,0,,,,,
player,201210070nyg,cle,YounUs99,qb_hits,0,,,,,
player,201210070nyg,cle,YounUs99,fumbles_rec,0,,,,,
player,201210070nyg,cle,YounUs99,fumbles_rec_yds,0,,,,,
player,201210070nyg,cle,YounUs99,fumbles_rec_td,0,,,,,
player,201210070nyg,cle,YounUs99,fumbles_forced,0,,,,,
player,201210070nyg,cle,FortL.00,def_int,0,,,,,
player,201210070nyg,cle,FortL.00,def_int_yds,0,,,,,
player,201210070nyg,cle,FortL.00,def_int_td,0,,,,,
player,201210070nyg,cle,FortL.00,def_int_long,0,,,,,
player,201210070nyg,cle,FortL.00,pass_defended,0,,,,,
player,201210070nyg,cle,FortL.00,sacks,0.0,,,,,
player,201210070nyg,cle,FortL.00,tackles_combined,10,,,,,
player,201210070nyg,cle,FortL.00,tackles_solo,6,,,,,
player,201210070nyg,cle,FortL.00,tackles_assists,4,,,,,
player,201210070nyg,cle,FortL.00,tackles_loss,0,,,,,
player,201210070nyg,cle,FortL.00,qb_hits,0,,,,,
player,201210070nyg,cle,FortL.00,fumbles_rec,0,,,,,
player,201210070nyg,cle,FortL.00,fumbles_rec_yds,0,,,,,
player,201210070nyg,cle,FortL.00,fumbles_rec_td,0,,,,,
player,201210070nyg,cle,FortL.00,fumbles_forced,0,,,,,
player,201210070nyg,cle,SkriBu00,def_int,0,,,,,
player,201210070nyg,cle,SkriBu00,def_int_yds,0,,,,,
player,201210070nyg,cle,SkriBu00,def_int_td,0,,,,,
player,201210070nyg,cle,SkriBu00,def_int_long,0,,,,,
player,201210070nyg,cle,SkriBu00,pass_defended,3,,,,,
player,201210070nyg,cle,SkriBu00,sacks,0.0,,,,,
