game,2012,8,20121028,201210280ram,nwe,"New England Patriots",45,ram,"St. Louis Rams",7
player,201210280ram,ram,BradSa00,rec_long,0,,,,,
player,201210280ram,ram,BradSa00,fumbles,0,,,,,
player,201210280ram,ram,BradSa00,fumbles_lost,0,,,,,
player,201210280ram,ram,ClemKe00,pass_cmp,1,,,,,
player,201210280ram,ram,ClemKe00,pass_att,2,,,,,
player,201210280ram,ram,ClemKe00,pass_yds,39,,,,,
player,201210280ram,ram,ClemKe00,pass_td,0,,,,,
player,201210280ram,ram,ClemKe00,pass_int,1,,,,,
player,201210280ram,ram,ClemKe00,pass_sacked,0,,,,,
player,201210280ram,ram,ClemKe00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,ClemKe00,pass_long,39,,,,,
player,201210280ram,ram,ClemKe00,pass_rating,56.2,,,,,
player,201210280ram,ram,ClemKe00,rush_att,2,,,,,
player,201210280ram,ram,ClemKe00,rush_yds,5,,,,,
player,201210280ram,ram,ClemKe00,rush_td,0,,,,,
player,201210280ram,ram,ClemKe00,rush_long,5,,,,,
player,201210280ram,ram,ClemKe00,targets,0,,,,,
player,201210280ram,ram,ClemKe00,rec,0,,,,,
player,201210280ram,ram,ClemKe00,rec_yds,0,,,,,
player,201210280ram,ram,ClemKe00,rec_td,0,,,,,
player,201210280ram,ram,ClemKe00,rec_long,0,,,,,
player,201210280ram,ram,ClemKe00,fumbles,1,,,,,
player,201210280ram,ram,ClemKe00,fumbles_lost,0,,,,,
player,201210280ram,ram,RichDa00,pass_cmp,0,,,,,
player,201210280ram,ram,RichDa00,pass_att,0,,,,,
player,201210280ram,ram,RichDa00,pass_yds,0,,,,,
player,201210280ram,ram,RichDa00,pass_td,0,,,,,
player,201210280ram,ram,RichDa00,pass_int,0,,,,,
player,201210280ram,ram,RichDa00,pass_sacked,0,,,,,
player,201210280ram,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,RichDa00,pass_long,0,,,,,
player,201210280ram,ram,RichDa00,pass_rating,,,,,,
player,201210280ram,ram,RichDa00,rush_att,7,,,,,
player,201210280ram,ram,RichDa00,rush_yds,53,,,,,
player,201210280ram,ram,RichDa00,rush_td,0,,,,,
player,201210280ram,ram,RichDa00,rush_long,20,,,,,
player,201210280ram,ram,RichDa00,targets,4,,,,,
player,201210280ram,ram,RichDa00,rec,4,,,,,
player,201210280ram,ram,RichDa00,rec_yds,-3,,,,,
player,201210280ram,ram,RichDa00,rec_td,0,,,,,
player,201210280ram,ram,RichDa00,rec_long,7,,,,,
player,201210280ram,ram,RichDa00,fumbles,1,,,,,
player,201210280ram,ram,RichDa00,fumbles_lost,0,,,,,
player,201210280ram,ram,PeadIs00,pass_cmp,0,,,,,
player,201210280ram,ram,PeadIs00,pass_att,0,,,,,
player,201210280ram,ram,PeadIs00,pass_yds,0,,,,,
player,201210280ram,ram,PeadIs00,pass_td,0,,,,,
player,201210280ram,ram,PeadIs00,pass_int,0,,,,,
player,201210280ram,ram,PeadIs00,pass_sacked,0,,,,,
player,201210280ram,ram,PeadIs00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,PeadIs00,pass_long,0,,,,,
player,201210280ram,ram,PeadIs00,pass_rating,,,,,,
player,201210280ram,ram,PeadIs00,rush_att,3,,,,,
player,201210280ram,ram,PeadIs00,rush_yds,32,,,,,
player,201210280ram,ram,PeadIs00,rush_td,0,,,,,
player,201210280ram,ram,PeadIs00,rush_long,19,,,,,
player,201210280ram,ram,PeadIs00,targets,0,,,,,
player,201210280ram,ram,PeadIs00,rec,0,,,,,
player,201210280ram,ram,PeadIs00,rec_yds,0,,,,,
player,201210280ram,ram,PeadIs00,rec_td,0,,,,,
player,201210280ram,ram,PeadIs00,rec_long,0,,,,,
player,201210280ram,ram,PeadIs00,fumbles,0,,,,,
player,201210280ram,ram,PeadIs00,fumbles_lost,0,,,,,
player,201210280ram,ram,JackSt00,pass_cmp,0,,,,,
player,201210280ram,ram,JackSt00,pass_att,0,,,,,
player,201210280ram,ram,JackSt00,pass_yds,0,,,,,
player,201210280ram,ram,JackSt00,pass_td,0,,,,,
player,201210280ram,ram,JackSt00,pass_int,0,,,,,
player,201210280ram,ram,JackSt00,pass_sacked,0,,,,,
player,201210280ram,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,JackSt00,pass_long,0,,,,,
player,201210280ram,ram,JackSt00,pass_rating,,,,,,
player,201210280ram,ram,JackSt00,rush_att,8,,,,,
player,201210280ram,ram,JackSt00,rush_yds,26,,,,,
player,201210280ram,ram,JackSt00,rush_td,0,,,,,
player,201210280ram,ram,JackSt00,rush_long,7,,,,,
player,201210280ram,ram,JackSt00,targets,2,,,,,
player,201210280ram,ram,JackSt00,rec,2,,,,,
player,201210280ram,ram,JackSt00,rec_yds,22,,,,,
player,201210280ram,ram,JackSt00,rec_td,0,,,,,
player,201210280ram,ram,JackSt00,rec_long,14,,,,,
player,201210280ram,ram,JackSt00,fumbles,0,,,,,
player,201210280ram,ram,JackSt00,fumbles_lost,0,,,,,
player,201210280ram,ram,GiveCh00,pass_cmp,0,,,,,
player,201210280ram,ram,GiveCh00,pass_att,0,,,,,
player,201210280ram,ram,GiveCh00,pass_yds,0,,,,,
player,201210280ram,ram,GiveCh00,pass_td,0,,,,,
player,201210280ram,ram,GiveCh00,pass_int,0,,,,,
player,201210280ram,ram,GiveCh00,pass_sacked,0,,,,,
player,201210280ram,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,GiveCh00,pass_long,0,,,,,
player,201210280ram,ram,GiveCh00,pass_rating,,,,,,
player,201210280ram,ram,GiveCh00,rush_att,0,,,,,
player,201210280ram,ram,GiveCh00,rush_yds,0,,,,,
player,201210280ram,ram,GiveCh00,rush_td,0,,,,,
player,201210280ram,ram,GiveCh00,rush_long,0,,,,,
player,201210280ram,ram,GiveCh00,targets,4,,,,,
player,201210280ram,ram,GiveCh00,rec,3,,,,,
player,201210280ram,ram,GiveCh00,rec_yds,63,,,,,
player,201210280ram,ram,GiveCh00,rec_td,1,,,,,
player,201210280ram,ram,GiveCh00,rec_long,50,,,,,
player,201210280ram,ram,GiveCh00,fumbles,0,,,,,
player,201210280ram,ram,GiveCh00,fumbles_lost,0,,,,,
player,201210280ram,ram,GibsBr00,pass_cmp,0,,,,,
player,201210280ram,ram,GibsBr00,pass_att,0,,,,,
player,201210280ram,ram,GibsBr00,pass_yds,0,,,,,
player,201210280ram,ram,GibsBr00,pass_td,0,,,,,
player,201210280ram,ram,GibsBr00,pass_int,0,,,,,
player,201210280ram,ram,GibsBr00,pass_sacked,0,,,,,
player,201210280ram,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,GibsBr00,pass_long,0,,,,,
player,201210280ram,ram,GibsBr00,pass_rating,,,,,,
player,201210280ram,ram,GibsBr00,rush_att,0,,,,,
player,201210280ram,ram,GibsBr00,rush_yds,0,,,,,
player,201210280ram,ram,GibsBr00,rush_td,0,,,,,
player,201210280ram,ram,GibsBr00,rush_long,0,,,,,
player,201210280ram,ram,GibsBr00,targets,3,,,,,
player,201210280ram,ram,GibsBr00,rec,3,,,,,
player,201210280ram,ram,GibsBr00,rec_yds,46,,,,,
player,201210280ram,ram,GibsBr00,rec_td,0,,,,,
player,201210280ram,ram,GibsBr00,rec_long,22,,,,,
player,201210280ram,ram,GibsBr00,fumbles,0,,,,,
player,201210280ram,ram,GibsBr00,fumbles_lost,0,,,,,
player,201210280ram,ram,QuicBr00,pass_cmp,0,,,,,
player,201210280ram,ram,QuicBr00,pass_att,0,,,,,
player,201210280ram,ram,QuicBr00,pass_yds,0,,,,,
player,201210280ram,ram,QuicBr00,pass_td,0,,,,,
player,201210280ram,ram,QuicBr00,pass_int,0,,,,,
player,201210280ram,ram,QuicBr00,pass_sacked,0,,,,,
player,201210280ram,ram,QuicBr00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,QuicBr00,pass_long,0,,,,,
player,201210280ram,ram,QuicBr00,pass_rating,,,,,,
player,201210280ram,ram,QuicBr00,rush_att,0,,,,,
player,201210280ram,ram,QuicBr00,rush_yds,0,,,,,
player,201210280ram,ram,QuicBr00,rush_td,0,,,,,
player,201210280ram,ram,QuicBr00,rush_long,0,,,,,
player,201210280ram,ram,QuicBr00,targets,4,,,,,
player,201210280ram,ram,QuicBr00,rec,1,,,,,
player,201210280ram,ram,QuicBr00,rec_yds,39,,,,,
player,201210280ram,ram,QuicBr00,rec_td,0,,,,,
player,201210280ram,ram,QuicBr00,rec_long,39,,,,,
player,201210280ram,ram,QuicBr00,fumbles,0,,,,,
player,201210280ram,ram,QuicBr00,fumbles_lost,0,,,,,
player,201210280ram,ram,KendLa00,pass_cmp,0,,,,,
player,201210280ram,ram,KendLa00,pass_att,0,,,,,
player,201210280ram,ram,KendLa00,pass_yds,0,,,,,
player,201210280ram,ram,KendLa00,pass_td,0,,,,,
player,201210280ram,ram,KendLa00,pass_int,0,,,,,
player,201210280ram,ram,KendLa00,pass_sacked,0,,,,,
player,201210280ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,KendLa00,pass_long,0,,,,,
player,201210280ram,ram,KendLa00,pass_rating,,,,,,
player,201210280ram,ram,KendLa00,rush_att,0,,,,,
player,201210280ram,ram,KendLa00,rush_yds,0,,,,,
player,201210280ram,ram,KendLa00,rush_td,0,,,,,
player,201210280ram,ram,KendLa00,rush_long,0,,,,,
player,201210280ram,ram,KendLa00,targets,4,,,,,
player,201210280ram,ram,KendLa00,rec,4,,,,,
player,201210280ram,ram,KendLa00,rec_yds,32,,,,,
player,201210280ram,ram,KendLa00,rec_td,0,,,,,
player,201210280ram,ram,KendLa00,rec_long,11,,,,,
player,201210280ram,ram,KendLa00,fumbles,0,,,,,
player,201210280ram,ram,KendLa00,fumbles_lost,0,,,,,
player,201210280ram,ram,MullMa00,pass_cmp,0,,,,,
player,201210280ram,ram,MullMa00,pass_att,0,,,,,
player,201210280ram,ram,MullMa00,pass_yds,0,,,,,
player,201210280ram,ram,MullMa00,pass_td,0,,,,,
player,201210280ram,ram,MullMa00,pass_int,0,,,,,
player,201210280ram,ram,MullMa00,pass_sacked,0,,,,,
player,201210280ram,ram,MullMa00,pass_sacked_yds,0,,,,,
player,201210280ram,ram,MullMa00,pass_long,0,,,,,
player,201210280ram,ram,MullMa00,pass_rating,,,,,,
player,201210280ram,ram,MullMa00,rush_att,0,,,,,
player,201210280ram,ram,MullMa00,rush_yds,0,,,,,
player,201210280ram,ram,MullMa00,rush_td,0,,,,,
player,201210280ram,ram,MullMa00,rush_long,0,,,,,
player,201210280ram,ram,MullMa00,targets,2,,,,,
player,201210280ram,ram,MullMa00,rec,1,,,,,
player,201210280ram,ram,MullMa00,rec_yds,18,,,,,
player,201210280ram,ram,MullMa00,rec_td,0,,,,,
player,201210280ram,ram,MullMa00,rec_long,18,,,,,
player,201210280ram,ram,MullMa00,fumbles,0,,,,,
player,201210280ram,ram,MullMa00,fumbles_lost,0,,,,,
player,201210280ram,ram,PettAu00,pass_cmp,0,,,,,
player,201210280ram,ram,PettAu00,pass_att,0,,,,,
player,201210280ram,ram,PettAu00,pass_yds,0,,,,,
player,201210280ram,ram,PettAu00,pass_td,0,,,,,
player,201210280ram,ram,PettAu00,pass_int,0,,,,,
player,201210280ram,ram,PettAu00,pass_sacked,0,,,,,
