game,2012,8,20121028,201210280den,nor,"New Orleans Saints",14,den,"Denver Broncos",34
player,201210280den,den,ThomDe03,rush_att,0,,,,,
player,201210280den,den,ThomDe03,rush_yds,0,,,,,
player,201210280den,den,ThomDe03,rush_td,0,,,,,
player,201210280den,den,ThomDe03,rush_long,0,,,,,
player,201210280den,den,ThomDe03,targets,9,,,,,
player,201210280den,den,ThomDe03,rec,7,,,,,
player,201210280den,den,ThomDe03,rec_yds,137,,,,,
player,201210280den,den,ThomDe03,rec_td,1,,,,,
player,201210280den,den,ThomDe03,rec_long,41,,,,,
player,201210280den,den,ThomDe03,fumbles,0,,,,,
player,201210280den,den,ThomDe03,fumbles_lost,0,,,,,
player,201210280den,den,GreeVi00,pass_cmp,0,,,,,
player,201210280den,den,GreeVi00,pass_att,0,,,,,
player,201210280den,den,GreeVi00,pass_yds,0,,,,,
player,201210280den,den,GreeVi00,pass_td,0,,,,,
player,201210280den,den,GreeVi00,pass_int,0,,,,,
player,201210280den,den,GreeVi00,pass_sacked,0,,,,,
player,201210280den,den,GreeVi00,pass_sacked_yds,0,,,,,
player,201210280den,den,GreeVi00,pass_long,0,,,,,
player,201210280den,den,GreeVi00,pass_rating,,,,,,
player,201210280den,den,GreeVi00,rush_att,0,,,,,
player,201210280den,den,GreeVi00,rush_yds,0,,,,,
player,201210280den,den,GreeVi00,rush_td,0,,,,,
player,201210280den,den,GreeVi00,rush_long,0,,,,,
player,201210280den,den,GreeVi00,targets,3,,,,,
player,201210280den,den,GreeVi00,rec,3,,,,,
player,201210280den,den,GreeVi00,rec_yds,44,,,,,
player,201210280den,den,GreeVi00,rec_td,0,,,,,
player,201210280den,den,GreeVi00,rec_long,28,,,,,
player,201210280den,den,GreeVi00,fumbles,0,,,,,
player,201210280den,den,GreeVi00,fumbles_lost,0,,,,,
player,201210280den,den,DeckEr00,pass_cmp,0,,,,,
player,201210280den,den,DeckEr00,pass_att,0,,,,,
player,201210280den,den,DeckEr00,pass_yds,0,,,,,
player,201210280den,den,DeckEr00,pass_td,0,,,,,
player,201210280den,den,DeckEr00,pass_int,0,,,,,
player,201210280den,den,DeckEr00,pass_sacked,0,,,,,
player,201210280den,den,DeckEr00,pass_sacked_yds,0,,,,,
player,201210280den,den,DeckEr00,pass_long,0,,,,,
player,201210280den,den,DeckEr00,pass_rating,,,,,,
player,201210280den,den,DeckEr00,rush_att,0,,,,,
player,201210280den,den,DeckEr00,rush_yds,0,,,,,
player,201210280den,den,DeckEr00,rush_td,0,,,,,
player,201210280den,den,DeckEr00,rush_long,0,,,,,
player,201210280den,den,DeckEr00,targets,6,,,,,
player,201210280den,den,DeckEr00,rec,4,,,,,
player,201210280den,den,DeckEr00,rec_yds,43,,,,,
player,201210280den,den,DeckEr00,rec_td,2,,,,,
player,201210280den,den,DeckEr00,rec_long,23,,,,,
player,201210280den,den,DeckEr00,fumbles,0,,,,,
player,201210280den,den,DeckEr00,fumbles_lost,0,,,,,
player,201210280den,den,TammJa00,pass_cmp,0,,,,,
player,201210280den,den,TammJa00,pass_att,0,,,,,
player,201210280den,den,TammJa00,pass_yds,0,,,,,
player,201210280den,den,TammJa00,pass_td,0,,,,,
player,201210280den,den,TammJa00,pass_int,0,,,,,
player,201210280den,den,TammJa00,pass_sacked,0,,,,,
player,201210280den,den,TammJa00,pass_sacked_yds,0,,,,,
player,201210280den,den,TammJa00,pass_long,0,,,,,
player,201210280den,den,TammJa00,pass_rating,,,,,,
player,201210280den,den,TammJa00,rush_att,0,,,,,
