game,2012,13,20121202,201212020ram,sfo,"San Francisco 49ers",13,ram,"St. Louis Rams",16
player,201212020ram,ram,BradSa00,pass_sacked_yds,13,,,,,
player,201212020ram,ram,BradSa00,pass_long,22,,,,,
player,201212020ram,ram,BradSa00,pass_rating,81.2,,,,,
player,201212020ram,ram,BradSa00,rush_att,3,,,,,
player,201212020ram,ram,BradSa00,rush_yds,31,,,,,
player,201212020ram,ram,BradSa00,rush_td,0,,,,,
player,201212020ram,ram,BradSa00,rush_long,14,,,,,
player,201212020ram,ram,BradSa00,targets,0,,,,,
player,201212020ram,ram,BradSa00,rec,0,,,,,
player,201212020ram,ram,BradSa00,rec_yds,0,,,,,
player,201212020ram,ram,BradSa00,rec_td,0,,,,,
player,201212020ram,ram,BradSa00,rec_long,0,,,,,
player,201212020ram,ram,BradSa00,fumbles,0,,,,,
player,201212020ram,ram,BradSa00,fumbles_lost,0,,,,,
player,201212020ram,ram,JackSt00,pass_cmp,0,,,,,
player,201212020ram,ram,JackSt00,pass_att,0,,,,,
player,201212020ram,ram,JackSt00,pass_yds,0,,,,,
player,201212020ram,ram,JackSt00,pass_td,0,,,,,
player,201212020ram,ram,JackSt00,pass_int,0,,,,,
player,201212020ram,ram,JackSt00,pass_sacked,0,,,,,
player,201212020ram,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201212020ram,ram,JackSt00,pass_long,0,,,,,
player,201212020ram,ram,JackSt00,pass_rating,,,,,,
player,201212020ram,ram,JackSt00,rush_att,21,,,,,
player,201212020ram,ram,JackSt00,rush_yds,48,,,,,
player,201212020ram,ram,JackSt00,rush_td,0,,,,,
player,201212020ram,ram,JackSt00,rush_long,9,,,,,
player,201212020ram,ram,JackSt00,targets,7,,,,,
player,201212020ram,ram,JackSt00,rec,5,,,,,
player,201212020ram,ram,JackSt00,rec_yds,69,,,,,
player,201212020ram,ram,JackSt00,rec_td,0,,,,,
player,201212020ram,ram,JackSt00,rec_long,22,,,,,
player,201212020ram,ram,JackSt00,fumbles,0,,,,,
player,201212020ram,ram,JackSt00,fumbles_lost,0,,,,,
player,201212020ram,ram,RichDa00,pass_cmp,0,,,,,
player,201212020ram,ram,RichDa00,pass_att,0,,,,,
player,201212020ram,ram,RichDa00,pass_yds,0,,,,,
player,201212020ram,ram,RichDa00,pass_td,0,,,,,
player,201212020ram,ram,RichDa00,pass_int,0,,,,,
player,201212020ram,ram,RichDa00,pass_sacked,0,,,,,
player,201212020ram,ram,RichDa00,pass_sacked_yds,0,,,,,
player,201212020ram,ram,RichDa00,pass_long,0,,,,,
player,201212020ram,ram,RichDa00,pass_rating,,,,,,
player,201212020ram,ram,RichDa00,rush_att,3,,,,,
player,201212020ram,ram,RichDa00,rush_yds,6,,,,,
player,201212020ram,ram,RichDa00,rush_td,0,,,,,
player,201212020ram,ram,RichDa00,rush_long,3,,,,,
player,201212020ram,ram,RichDa00,targets,3,,,,,
player,201212020ram,ram,RichDa00,rec,3,,,,,
player,201212020ram,ram,RichDa00,rec_yds,7,,,,,
player,201212020ram,ram,RichDa00,rec_td,0,,,,,
player,201212020ram,ram,RichDa00,rec_long,4,,,,,
player,201212020ram,ram,RichDa00,fumbles,0,,,,,
player,201212020ram,ram,RichDa00,fumbles_lost,0,,,,,
player,201212020ram,ram,GiveCh00,pass_cmp,0,,,,,
player,201212020ram,ram,GiveCh00,pass_att,0,,,,,
player,201212020ram,ram,GiveCh00,pass_yds,0,,,,,
player,201212020ram,ram,GiveCh00,pass_td,0,,,,,
player,201212020ram,ram,GiveCh00,pass_int,0,,,,,
player,201212020ram,ram,GiveCh00,pass_sacked,0,,,,,
player,201212020ram,ram,GiveCh00,pass_sacked_yds,0,,,,,
player,201212020ram,ram,GiveCh00,pass_long,0,,,,,
player,201212020ram,ram,GiveCh00,pass_rating,,,,,,
player,201212020ram,ram,GiveCh00,rush_att,0,,,,,
player,201212020ram,ram,GiveCh00,rush_yds,0,,,,,
player,201212020ram,ram,GiveCh00,rush_td,0,,,,,
player,201212020ram,ram,GiveCh00,rush_long,0,,,,,
player,201212020ram,ram,GiveCh00,targets,14,,,,,
player,201212020ram,ram,GiveCh00,rec,11,,,,,
player,201212020ram,ram,GiveCh00,rec_yds,92,,,,,
player,201212020ram,ram,GiveCh00,rec_td,0,,,,,
player,201212020ram,ram,GiveCh00,rec_long,16,,,,,
player,201212020ram,ram,GiveCh00,fumbles,0,,,,,
player,201212020ram,ram,GiveCh00,fumbles_lost,0,,,,,
player,201212020ram,ram,KendLa00,pass_cmp,0,,,,,
player,201212020ram,ram,KendLa00,pass_att,0,,,,,
player,201212020ram,ram,KendLa00,pass_yds,0,,,,,
player,201212020ram,ram,KendLa00,pass_td,0,,,,,
player,201212020ram,ram,KendLa00,pass_int,0,,,,,
player,201212020ram,ram,KendLa00,pass_sacked,0,,,,,
player,201212020ram,ram,KendLa00,pass_sacked_yds,0,,,,,
player,201212020ram,ram,KendLa00,pass_long,0,,,,,
player,201212020ram,ram,KendLa00,pass_rating,,,,,,
player,201212020ram,ram,KendLa00,rush_att,0,,,,,
player,201212020ram,ram,KendLa00,rush_yds,0,,,,,
player,201212020ram,ram,KendLa00,rush_td,0,,,,,
player,201212020ram,ram,KendLa00,rush_long,0,,,,,
player,201212020ram,ram,KendLa00,targets,5,,,,,
player,201212020ram,ram,KendLa00,rec,3,,,,,
player,201212020ram,ram,KendLa00,rec_yds,32,,,,,
player,201212020ram,ram,KendLa00,rec_td,0,,,,,
player,201212020ram,ram,KendLa00,rec_long,20,,,,,
player,201212020ram,ram,KendLa00,fumbles,0,,,,,
player,201212020ram,ram,KendLa00,fumbles_lost,0,,,,,
player,201212020ram,ram,PettAu00,pass_cmp,0,,,,,
player,201212020ram,ram,PettAu00,pass_att,0,,,,,
player,201212020ram,ram,PettAu00,pass_yds,0,,,,,
player,201212020ram,ram,PettAu00,pass_td,0,,,,,
player,201212020ram,ram,PettAu00,pass_int,0,,,,,
player,201212020ram,ram,PettAu00,pass_sacked,0,,,,,
player,201212020ram,ram,PettAu00,pass_sacked_yds,0,,,,,
player,201212020ram,ram,PettAu00,pass_long,0,,,,,
player,201212020ram,ram,PettAu00,pass_rating,,,,,,
player,201212020ram,ram,PettAu00,rush_att,0,,,,,
player,201212020ram,ram,PettAu00,rush_yds,0,,,,,
player,201212020ram,ram,PettAu00,rush_td,0,,,,,
player,201212020ram,ram,PettAu00,rush_long,0,,,,,
player,201212020ram,ram,PettAu00,targets,4,,,,,
player,201212020ram,ram,PettAu00,rec,2,,,,,
player,201212020ram,ram,PettAu00,rec_yds,12,,,,,
player,201212020ram,ram,PettAu00,rec_td,0,,,,,
player,201212020ram,ram,PettAu00,rec_long,7,,,,,
player,201212020ram,ram,PettAu00,fumbles,0,,,,,
player,201212020ram,ram,PettAu00,fumbles_lost,0,,,,,
player,201212020ram,ram,SmitSt02,pass_cmp,0,,,,,
player,201212020ram,ram,SmitSt02,pass_att,0,,,,,
player,201212020ram,ram,SmitSt02,pass_yds,0,,,,,
player,201212020ram,ram,SmitSt02,pass_td,0,,,,,
player,201212020ram,ram,SmitSt02,pass_int,0,,,,,
player,201212020ram,ram,SmitSt02,pass_sacked,0,,,,,
player,201212020ram,ram,SmitSt02,pass_sacked_yds,0,,,,,
player,201212020ram,ram,SmitSt02,pass_long,0,,,,,
player,201212020ram,ram,SmitSt02,pass_rating,,,,,,
player,201212020ram,ram,SmitSt02,rush_att,0,,,,,
