game,2012,9,20121105,201211050nor,phi,"Philadelphia Eagles",13,nor,"New Orleans Saints",28
player,201211050nor,phi,CoopRi00,fumbles,0,,,,,
player,201211050nor,phi,CoopRi00,fumbles_lost,0,,,,,
player,201211050nor,nor,BreeDr00,pass_cmp,21,,,,,
player,201211050nor,nor,BreeDr00,pass_att,27,,,,,
player,201211050nor,nor,BreeDr00,pass_yds,239,,,,,
player,201211050nor,nor,BreeDr00,pass_td,2,,,,,
player,201211050nor,nor,BreeDr00,pass_int,0,,,,,
player,201211050nor,nor,BreeDr00,pass_sacked,2,,,,,
player,201211050nor,nor,BreeDr00,pass_sacked_yds,8,,,,,
player,201211050nor,nor,BreeDr00,pass_long,38,,,,,
player,201211050nor,nor,BreeDr00,pass_rating,128.2,,,,,
player,201211050nor,nor,BreeDr00,rush_att,1,,,,,
player,201211050nor,nor,BreeDr00,rush_yds,-1,,,,,
player,201211050nor,nor,BreeDr00,rush_td,0,,,,,
player,201211050nor,nor,BreeDr00,rush_long,-1,,,,,
player,201211050nor,nor,BreeDr00,targets,0,,,,,
player,201211050nor,nor,BreeDr00,rec,0,,,,,
player,201211050nor,nor,BreeDr00,rec_yds,0,,,,,
player,201211050nor,nor,BreeDr00,rec_td,0,,,,,
player,201211050nor,nor,BreeDr00,rec_long,0,,,,,
player,201211050nor,nor,BreeDr00,fumbles,2,,,,,
player,201211050nor,nor,BreeDr00,fumbles_lost,1,,,,,
player,201211050nor,nor,IvorCh00,pass_cmp,0,,,,,
player,201211050nor,nor,IvorCh00,pass_att,0,,,,,
player,201211050nor,nor,IvorCh00,pass_yds,0,,,,,
player,201211050nor,nor,IvorCh00,pass_td,0,,,,,
player,201211050nor,nor,IvorCh00,pass_int,0,,,,,
player,201211050nor,nor,IvorCh00,pass_sacked,0,,,,,
player,201211050nor,nor,IvorCh00,pass_sacked_yds,0,,,,,
player,201211050nor,nor,IvorCh00,pass_long,0,,,,,
player,201211050nor,nor,IvorCh00,pass_rating,,,,,,
player,201211050nor,nor,IvorCh00,rush_att,10,,,,,
player,201211050nor,nor,IvorCh00,rush_yds,48,,,,,
player,201211050nor,nor,IvorCh00,rush_td,1,,,,,
player,201211050nor,nor,IvorCh00,rush_long,22,,,,,
player,201211050nor,nor,IvorCh00,targets,1,,,,,
player,201211050nor,nor,IvorCh00,rec,1,,,,,
player,201211050nor,nor,IvorCh00,rec_yds,2,,,,,
player,201211050nor,nor,IvorCh00,rec_td,0,,,,,
player,201211050nor,nor,IvorCh00,rec_long,2,,,,,
player,201211050nor,nor,IvorCh00,fumbles,0,,,,,
player,201211050nor,nor,IvorCh00,fumbles_lost,0,,,,,
player,201211050nor,nor,ThomPi00,pass_cmp,0,,,,,
player,201211050nor,nor,ThomPi00,pass_att,0,,,,,
player,201211050nor,nor,ThomPi00,pass_yds,0,,,,,
player,201211050nor,nor,ThomPi00,pass_td,0,,,,,
player,201211050nor,nor,ThomPi00,pass_int,0,,,,,
player,201211050nor,nor,ThomPi00,pass_sacked,0,,,,,
player,201211050nor,nor,ThomPi00,pass_sacked_yds,0,,,,,
player,201211050nor,nor,ThomPi00,pass_long,0,,,,,
player,201211050nor,nor,ThomPi00,pass_rating,,,,,,
player,201211050nor,nor,ThomPi00,rush_att,6,,,,,
player,201211050nor,nor,ThomPi00,rush_yds,44,,,,,
player,201211050nor,nor,ThomPi00,rush_td,0,,,,,
player,201211050nor,nor,ThomPi00,rush_long,19,,,,,
player,201211050nor,nor,ThomPi00,targets,3,,,,,
player,201211050nor,nor,ThomPi00,rec,2,,,,,
player,201211050nor,nor,ThomPi00,rec_yds,26,,,,,
player,201211050nor,nor,ThomPi00,rec_td,0,,,,,
player,201211050nor,nor,ThomPi00,rec_long,22,,,,,
player,201211050nor,nor,ThomPi00,fumbles,0,,,,,
player,201211050nor,nor,ThomPi00,fumbles_lost,0,,,,,
player,201211050nor,nor,IngrMa01,pass_cmp,0,,,,,
player,201211050nor,nor,IngrMa01,pass_att,0,,,,,
player,201211050nor,nor,IngrMa01,pass_yds,0,,,,,
player,201211050nor,nor,IngrMa01,pass_td,0,,,,,
player,201211050nor,nor,IngrMa01,pass_int,0,,,,,
player,201211050nor,nor,IngrMa01,pass_sacked,0,,,,,
player,201211050nor,nor,IngrMa01,pass_sacked_yds,0,,,,,
player,201211050nor,nor,IngrMa01,pass_long,0,,,,,
player,201211050nor,nor,IngrMa01,pass_rating,,,,,,
player,201211050nor,nor,IngrMa01,rush_att,7,,,,,
player,201211050nor,nor,IngrMa01,rush_yds,44,,,,,
player,201211050nor,nor,IngrMa01,rush_td,0,,,,,
player,201211050nor,nor,IngrMa01,rush_long,23,,,,,
player,201211050nor,nor,IngrMa01,targets,2,,,,,
player,201211050nor,nor,IngrMa01,rec,2,,,,,
player,201211050nor,nor,IngrMa01,rec_yds,23,,,,,
player,201211050nor,nor,IngrMa01,rec_td,0,,,,,
player,201211050nor,nor,IngrMa01,rec_long,16,,,,,
player,201211050nor,nor,IngrMa01,fumbles,0,,,,,
player,201211050nor,nor,IngrMa01,fumbles_lost,0,,,,,
player,201211050nor,nor,CadeTr00,pass_cmp,0,,,,,
player,201211050nor,nor,CadeTr00,pass_att,0,,,,,
player,201211050nor,nor,CadeTr00,pass_yds,0,,,,,
player,201211050nor,nor,CadeTr00,pass_td,0,,,,,
player,201211050nor,nor,CadeTr00,pass_int,0,,,,,
player,201211050nor,nor,CadeTr00,pass_sacked,0,,,,,
player,201211050nor,nor,CadeTr00,pass_sacked_yds,0,,,,,
player,201211050nor,nor,CadeTr00,pass_long,0,,,,,
player,201211050nor,nor,CadeTr00,pass_rating,,,,,,
player,201211050nor,nor,CadeTr00,rush_att,1,,,,,
player,201211050nor,nor,CadeTr00,rush_yds,5,,,,,
player,201211050nor,nor,CadeTr00,rush_td,0,,,,,
player,201211050nor,nor,CadeTr00,rush_long,5,,,,,
player,201211050nor,nor,CadeTr00,targets,0,,,,,
player,201211050nor,nor,CadeTr00,rec,0,,,,,
player,201211050nor,nor,CadeTr00,rec_yds,0,,,,,
player,201211050nor,nor,CadeTr00,rec_td,0,,,,,
player,201211050nor,nor,CadeTr00,rec_long,0,,,,,
player,201211050nor,nor,CadeTr00,fumbles,1,,,,,
player,201211050nor,nor,CadeTr00,fumbles_lost,1,,,,,
player,201211050nor,nor,GrahJi00,pass_cmp,0,,,,,
player,201211050nor,nor,GrahJi00,pass_att,0,,,,,
player,201211050nor,nor,GrahJi00,pass_yds,0,,,,,
player,201211050nor,nor,GrahJi00,pass_td,0,,,,,
player,201211050nor,nor,GrahJi00,pass_int,0,,,,,
player,201211050nor,nor,GrahJi00,pass_sacked,0,,,,,
player,201211050nor,nor,GrahJi00,pass_sacked_yds,0,,,,,
player,201211050nor,nor,GrahJi00,pass_long,0,,,,,
player,201211050nor,nor,GrahJi00,pass_rating,,,,,,
player,201211050nor,nor,GrahJi00,rush_att,0,,,,,
player,201211050nor,nor,GrahJi00,rush_yds,0,,,,,
player,201211050nor,nor,GrahJi00,rush_td,0,,,,,
player,201211050nor,nor,GrahJi00,rush_long,0,,,,,
player,201211050nor,nor,GrahJi00,targets,11,,,,,
player,201211050nor,nor,GrahJi00,rec,8,,,,,
player,201211050nor,nor,GrahJi00,rec_yds,72,,,,,
player,201211050nor,nor,GrahJi00,rec_td,1,,,,,
player,201211050nor,nor,GrahJi00,rec_long,17,,,,,
player,201211050nor,nor,GrahJi00,fumbles,0,,,,,
player,201211050nor,nor,GrahJi00,fumbles_lost,0,,,,,
player,201211050nor,nor,MoorLa00,pass_cmp,0,,,,,
player,201211050nor,nor,MoorLa00,pass_att,0,,,,,
