game,2012,2,20120916,201209160mia,rai,"Oakland Raiders",13,mia,"Miami Dolphins",35
player,201209160mia,mia,FasaAn00,rush_td,0,,,,,
player,201209160mia,mia,FasaAn00,rush_long,0,,,,,
player,201209160mia,mia,FasaAn00,targets,3,,,,,
player,201209160mia,mia,FasaAn00,rec,2,,,,,
player,201209160mia,mia,FasaAn00,rec_yds,19,,,,,
player,201209160mia,mia,FasaAn00,rec_td,1,,,,,
player,201209160mia,mia,FasaAn00,rec_long,14,,,,,
player,201209160mia,mia,FasaAn00,fumbles,0,,,,,
player,201209160mia,mia,FasaAn00,fumbles_lost,0,,,,,
player,201209160mia,mia,ClayCh00,pass_cmp,0,,,,,
player,201209160mia,mia,ClayCh00,pass_att,0,,,,,
player,201209160mia,mia,ClayCh00,pass_yds,0,,,,,
player,201209160mia,mia,ClayCh00,pass_td,0,,,,,
player,201209160mia,mia,ClayCh00,pass_int,0,,,,,
player,201209160mia,mia,ClayCh00,pass_sacked,0,,,,,
player,201209160mia,mia,ClayCh00,pass_sacked_yds,0,,,,,
player,201209160mia,mia,ClayCh00,pass_long,0,,,,,
player,201209160mia,mia,ClayCh00,pass_rating,,,,,,
player,201209160mia,mia,ClayCh00,rush_att,0,,,,,
player,201209160mia,mia,ClayCh00,rush_yds,0,,,,,
player,201209160mia,mia,ClayCh00,rush_td,0,,,,,
player,201209160mia,mia,ClayCh00,rush_long,0,,,,,
player,201209160mia,mia,ClayCh00,targets,3,,,,,
player,201209160mia,mia,ClayCh00,rec,1,,,,,
player,201209160mia,mia,ClayCh00,rec_yds,2,,,,,
player,201209160mia,mia,ClayCh00,rec_td,0,,,,,
player,201209160mia,mia,ClayCh00,rec_long,2,,,,,
player,201209160mia,mia,ClayCh00,fumbles,0,,,,,
player,201209160mia,mia,ClayCh00,fumbles_lost,0,,,,,
player,201209160mia,mia,NaanLe00,pass_cmp,0,,,,,
player,201209160mia,mia,NaanLe00,pass_att,0,,,,,
player,201209160mia,mia,NaanLe00,pass_yds,0,,,,,
player,201209160mia,mia,NaanLe00,pass_td,0,,,,,
player,201209160mia,mia,NaanLe00,pass_int,0,,,,,
player,201209160mia,mia,NaanLe00,pass_sacked,0,,,,,
player,201209160mia,mia,NaanLe00,pass_sacked_yds,0,,,,,
player,201209160mia,mia,NaanLe00,pass_long,0,,,,,
player,201209160mia,mia,NaanLe00,pass_rating,,,,,,
player,201209160mia,mia,NaanLe00,rush_att,0,,,,,
player,201209160mia,mia,NaanLe00,rush_yds,0,,,,,
player,201209160mia,mia,NaanLe00,rush_td,0,,,,,
player,201209160mia,mia,NaanLe00,rush_long,0,,,,,
player,201209160mia,mia,NaanLe00,targets,1,,,,,
player,201209160mia,mia,NaanLe00,rec,0,,,,,
player,201209160mia,mia,NaanLe00,rec_yds,0,,,,,
player,201209160mia,mia,NaanLe00,rec_td,0,,,,,
player,201209160mia,mia,NaanLe00,rec_long,0,,,,,
player,201209160mia,mia,NaanLe00,fumbles,0,,,,,
player,201209160mia,mia,NaanLe00,fumbles_lost,0,,,,,
player,201209160mia,rai,ShauMa99,def_int,0,,,,,
player,201209160mia,rai,ShauMa99,def_int_yds,0,,,,,
player,201209160mia,rai,ShauMa99,def_int_td,0,,,,,
player,201209160mia,rai,ShauMa99,def_int_long,0,,,,,
player,201209160mia,rai,ShauMa99,pass_defended,0,,,,,
player,201209160mia,rai,ShauMa99,sacks,1.0,,,,,
