game,2012,3,20120923,201209230chi,ram,"St. Louis Rams",6,chi,"Chicago Bears",23
player,201209230chi,ram,LaurJa99,tackles_combined,11,,,,,
player,201209230chi,ram,LaurJa99,tackles_solo,11,,,,,
player,201209230chi,ram,LaurJa99,tackles_assists,0,,,,,
player,201209230chi,ram,LaurJa99,tackles_loss,1,,,,,
player,201209230chi,ram,LaurJa99,qb_hits,0,,,,,
player,201209230chi,ram,LaurJa99,fumbles_rec,0,,,,,
player,201209230chi,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201209230chi,ram,LaurJa99,fumbles_forced,0,,,,,
player,201209230chi,ram,MikeQu20,def_int,0,,,,,
player,201209230chi,ram,MikeQu20,def_int_yds,0,,,,,
player,201209230chi,ram,MikeQu20,def_int_td,0,,,,,
player,201209230chi,ram,MikeQu20,def_int_long,0,,,,,
player,201209230chi,ram,MikeQu20,pass_defended,0,,,,,
player,201209230chi,ram,MikeQu20,sacks,0.0,,,,,
player,201209230chi,ram,MikeQu20,tackles_combined,8,,,,,
player,201209230chi,ram,MikeQu20,tackles_solo,6,,,,,
player,201209230chi,ram,MikeQu20,tackles_assists,2,,,,,
player,201209230chi,ram,MikeQu20,tackles_loss,0,,,,,
player,201209230chi,ram,MikeQu20,qb_hits,0,,,,,
player,201209230chi,ram,MikeQu20,fumbles_rec,0,,,,,
player,201209230chi,ram,MikeQu20,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,MikeQu20,fumbles_rec_td,0,,,,,
player,201209230chi,ram,MikeQu20,fumbles_forced,0,,,,,
player,201209230chi,ram,DunbJo20,def_int,0,,,,,
player,201209230chi,ram,DunbJo20,def_int_yds,0,,,,,
player,201209230chi,ram,DunbJo20,def_int_td,0,,,,,
player,201209230chi,ram,DunbJo20,def_int_long,0,,,,,
player,201209230chi,ram,DunbJo20,pass_defended,0,,,,,
player,201209230chi,ram,DunbJo20,sacks,0.0,,,,,
player,201209230chi,ram,DunbJo20,tackles_combined,6,,,,,
player,201209230chi,ram,DunbJo20,tackles_solo,3,,,,,
player,201209230chi,ram,DunbJo20,tackles_assists,3,,,,,
player,201209230chi,ram,DunbJo20,tackles_loss,0,,,,,
player,201209230chi,ram,DunbJo20,qb_hits,1,,,,,
player,201209230chi,ram,DunbJo20,fumbles_rec,0,,,,,
player,201209230chi,ram,DunbJo20,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,DunbJo20,fumbles_rec_td,0,,,,,
player,201209230chi,ram,DunbJo20,fumbles_forced,0,,,,,
player,201209230chi,ram,JenkJa03,def_int,0,,,,,
player,201209230chi,ram,JenkJa03,def_int_yds,0,,,,,
player,201209230chi,ram,JenkJa03,def_int_td,0,,,,,
player,201209230chi,ram,JenkJa03,def_int_long,0,,,,,
player,201209230chi,ram,JenkJa03,pass_defended,1,,,,,
player,201209230chi,ram,JenkJa03,sacks,0.0,,,,,
player,201209230chi,ram,JenkJa03,tackles_combined,6,,,,,
player,201209230chi,ram,JenkJa03,tackles_solo,5,,,,,
player,201209230chi,ram,JenkJa03,tackles_assists,1,,,,,
player,201209230chi,ram,JenkJa03,tackles_loss,0,,,,,
player,201209230chi,ram,JenkJa03,qb_hits,0,,,,,
player,201209230chi,ram,JenkJa03,fumbles_rec,0,,,,,
player,201209230chi,ram,JenkJa03,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,JenkJa03,fumbles_rec_td,0,,,,,
player,201209230chi,ram,JenkJa03,fumbles_forced,0,,,,,
player,201209230chi,ram,DahlCr99,def_int,0,,,,,
player,201209230chi,ram,DahlCr99,def_int_yds,0,,,,,
player,201209230chi,ram,DahlCr99,def_int_td,0,,,,,
player,201209230chi,ram,DahlCr99,def_int_long,0,,,,,
player,201209230chi,ram,DahlCr99,pass_defended,0,,,,,
player,201209230chi,ram,DahlCr99,sacks,0.0,,,,,
player,201209230chi,ram,DahlCr99,tackles_combined,4,,,,,
player,201209230chi,ram,DahlCr99,tackles_solo,4,,,,,
player,201209230chi,ram,DahlCr99,tackles_assists,0,,,,,
player,201209230chi,ram,DahlCr99,tackles_loss,0,,,,,
player,201209230chi,ram,DahlCr99,qb_hits,0,,,,,
player,201209230chi,ram,DahlCr99,fumbles_rec,0,,,,,
player,201209230chi,ram,DahlCr99,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,DahlCr99,fumbles_rec_td,0,,,,,
player,201209230chi,ram,DahlCr99,fumbles_forced,0,,,,,
player,201209230chi,ram,McInRo20,def_int,0,,,,,
player,201209230chi,ram,McInRo20,def_int_yds,0,,,,,
player,201209230chi,ram,McInRo20,def_int_td,0,,,,,
player,201209230chi,ram,McInRo20,def_int_long,0,,,,,
player,201209230chi,ram,McInRo20,pass_defended,0,,,,,
player,201209230chi,ram,McInRo20,sacks,0.0,,,,,
player,201209230chi,ram,McInRo20,tackles_combined,4,,,,,
player,201209230chi,ram,McInRo20,tackles_solo,3,,,,,
player,201209230chi,ram,McInRo20,tackles_assists,1,,,,,
player,201209230chi,ram,McInRo20,tackles_loss,0,,,,,
player,201209230chi,ram,McInRo20,qb_hits,0,,,,,
player,201209230chi,ram,McInRo20,fumbles_rec,0,,,,,
player,201209230chi,ram,McInRo20,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,McInRo20,fumbles_rec_td,0,,,,,
player,201209230chi,ram,McInRo20,fumbles_forced,0,,,,,
player,201209230chi,ram,CudjJe00,def_int,0,,,,,
player,201209230chi,ram,CudjJe00,def_int_yds,0,,,,,
player,201209230chi,ram,CudjJe00,def_int_td,0,,,,,
player,201209230chi,ram,CudjJe00,def_int_long,0,,,,,
player,201209230chi,ram,CudjJe00,pass_defended,0,,,,,
player,201209230chi,ram,CudjJe00,sacks,0.0,,,,,
player,201209230chi,ram,CudjJe00,tackles_combined,3,,,,,
player,201209230chi,ram,CudjJe00,tackles_solo,3,,,,,
player,201209230chi,ram,CudjJe00,tackles_assists,0,,,,,
player,201209230chi,ram,CudjJe00,tackles_loss,0,,,,,
player,201209230chi,ram,CudjJe00,qb_hits,0,,,,,
player,201209230chi,ram,CudjJe00,fumbles_rec,0,,,,,
player,201209230chi,ram,CudjJe00,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,CudjJe00,fumbles_rec_td,0,,,,,
player,201209230chi,ram,CudjJe00,fumbles_forced,0,,,,,
player,201209230chi,ram,FletBr99,def_int,0,,,,,
player,201209230chi,ram,FletBr99,def_int_yds,0,,,,,
player,201209230chi,ram,FletBr99,def_int_td,0,,,,,
player,201209230chi,ram,FletBr99,def_int_long,0,,,,,
player,201209230chi,ram,FletBr99,pass_defended,1,,,,,
player,201209230chi,ram,FletBr99,sacks,0.0,,,,,
player,201209230chi,ram,FletBr99,tackles_combined,3,,,,,
player,201209230chi,ram,FletBr99,tackles_solo,3,,,,,
player,201209230chi,ram,FletBr99,tackles_assists,0,,,,,
player,201209230chi,ram,FletBr99,tackles_loss,0,,,,,
player,201209230chi,ram,FletBr99,qb_hits,0,,,,,
player,201209230chi,ram,FletBr99,fumbles_rec,0,,,,,
player,201209230chi,ram,FletBr99,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,FletBr99,fumbles_rec_td,0,,,,,
player,201209230chi,ram,FletBr99,fumbles_forced,0,,,,,
player,201209230chi,ram,HayeWi99,def_int,0,,,,,
player,201209230chi,ram,HayeWi99,def_int_yds,0,,,,,
player,201209230chi,ram,HayeWi99,def_int_td,0,,,,,
player,201209230chi,ram,HayeWi99,def_int_long,0,,,,,
player,201209230chi,ram,HayeWi99,pass_defended,0,,,,,
player,201209230chi,ram,HayeWi99,sacks,0.0,,,,,
player,201209230chi,ram,HayeWi99,tackles_combined,3,,,,,
player,201209230chi,ram,HayeWi99,tackles_solo,3,,,,,
player,201209230chi,ram,HayeWi99,tackles_assists,0,,,,,
player,201209230chi,ram,HayeWi99,tackles_loss,1,,,,,
player,201209230chi,ram,HayeWi99,qb_hits,1,,,,,
player,201209230chi,ram,HayeWi99,fumbles_rec,0,,,,,
player,201209230chi,ram,HayeWi99,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,HayeWi99,fumbles_rec_td,0,,,,,
player,201209230chi,ram,HayeWi99,fumbles_forced,0,,,,,
player,201209230chi,ram,HearKe00,def_int,0,,,,,
player,201209230chi,ram,HearKe00,def_int_yds,0,,,,,
player,201209230chi,ram,HearKe00,def_int_td,0,,,,,
player,201209230chi,ram,HearKe00,def_int_long,0,,,,,
player,201209230chi,ram,HearKe00,pass_defended,0,,,,,
player,201209230chi,ram,HearKe00,sacks,0.0,,,,,
player,201209230chi,ram,HearKe00,tackles_combined,2,,,,,
player,201209230chi,ram,HearKe00,tackles_solo,1,,,,,
player,201209230chi,ram,HearKe00,tackles_assists,1,,,,,
player,201209230chi,ram,HearKe00,tackles_loss,1,,,,,
player,201209230chi,ram,HearKe00,qb_hits,0,,,,,
player,201209230chi,ram,HearKe00,fumbles_rec,0,,,,,
player,201209230chi,ram,HearKe00,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,HearKe00,fumbles_rec_td,0,,,,,
player,201209230chi,ram,HearKe00,fumbles_forced,0,,,,,
player,201209230chi,ram,KendLa00,def_int,0,,,,,
player,201209230chi,ram,KendLa00,def_int_yds,0,,,,,
player,201209230chi,ram,KendLa00,def_int_td,0,,,,,
player,201209230chi,ram,KendLa00,def_int_long,0,,,,,
player,201209230chi,ram,KendLa00,pass_defended,0,,,,,
player,201209230chi,ram,KendLa00,sacks,0.0,,,,,
player,201209230chi,ram,KendLa00,tackles_combined,2,,,,,
player,201209230chi,ram,KendLa00,tackles_solo,2,,,,,
player,201209230chi,ram,KendLa00,tackles_assists,0,,,,,
player,201209230chi,ram,KendLa00,tackles_loss,0,,,,,
player,201209230chi,ram,KendLa00,qb_hits,0,,,,,
player,201209230chi,ram,KendLa00,fumbles_rec,0,,,,,
player,201209230chi,ram,KendLa00,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,KendLa00,fumbles_rec_td,0,,,,,
player,201209230chi,ram,KendLa00,fumbles_forced,0,,,,,
player,201209230chi,ram,HullJo99,def_int,0,,,,,
player,201209230chi,ram,HullJo99,def_int_yds,0,,,,,
player,201209230chi,ram,HullJo99,def_int_td,0,,,,,
player,201209230chi,ram,HullJo99,def_int_long,0,,,,,
player,201209230chi,ram,HullJo99,pass_defended,0,,,,,
player,201209230chi,ram,HullJo99,sacks,0.0,,,,,
player,201209230chi,ram,HullJo99,tackles_combined,1,,,,,
player,201209230chi,ram,HullJo99,tackles_solo,0,,,,,
player,201209230chi,ram,HullJo99,tackles_assists,1,,,,,
player,201209230chi,ram,HullJo99,tackles_loss,0,,,,,
player,201209230chi,ram,HullJo99,qb_hits,0,,,,,
player,201209230chi,ram,HullJo99,fumbles_rec,0,,,,,
player,201209230chi,ram,HullJo99,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,HullJo99,fumbles_rec_td,0,,,,,
player,201209230chi,ram,HullJo99,fumbles_forced,0,,,,,
player,201209230chi,ram,McLeRo00,def_int,0,,,,,
player,201209230chi,ram,McLeRo00,def_int_yds,0,,,,,
player,201209230chi,ram,McLeRo00,def_int_td,0,,,,,
player,201209230chi,ram,McLeRo00,def_int_long,0,,,,,
player,201209230chi,ram,McLeRo00,pass_defended,0,,,,,
player,201209230chi,ram,McLeRo00,sacks,0.0,,,,,
player,201209230chi,ram,McLeRo00,tackles_combined,1,,,,,
player,201209230chi,ram,McLeRo00,tackles_solo,0,,,,,
player,201209230chi,ram,McLeRo00,tackles_assists,1,,,,,
player,201209230chi,ram,McLeRo00,tackles_loss,0,,,,,
player,201209230chi,ram,McLeRo00,qb_hits,0,,,,,
player,201209230chi,ram,McLeRo00,fumbles_rec,0,,,,,
player,201209230chi,ram,McLeRo00,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,McLeRo00,fumbles_rec_td,0,,,,,
player,201209230chi,ram,McLeRo00,fumbles_forced,0,,,,,
player,201209230chi,ram,SimsEu99,def_int,0,,,,,
player,201209230chi,ram,SimsEu99,def_int_yds,0,,,,,
player,201209230chi,ram,SimsEu99,def_int_td,0,,,,,
player,201209230chi,ram,SimsEu99,def_int_long,0,,,,,
player,201209230chi,ram,SimsEu99,pass_defended,1,,,,,
player,201209230chi,ram,SimsEu99,sacks,0.0,,,,,
player,201209230chi,ram,SimsEu99,tackles_combined,1,,,,,
player,201209230chi,ram,SimsEu99,tackles_solo,0,,,,,
player,201209230chi,ram,SimsEu99,tackles_assists,1,,,,,
player,201209230chi,ram,SimsEu99,tackles_loss,0,,,,,
player,201209230chi,ram,SimsEu99,qb_hits,0,,,,,
player,201209230chi,ram,SimsEu99,fumbles_rec,0,,,,,
player,201209230chi,ram,SimsEu99,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,SimsEu99,fumbles_rec_td,0,,,,,
player,201209230chi,ram,SimsEu99,fumbles_forced,0,,,,,
player,201209230chi,ram,QuinRo00,def_int,0,,,,,
player,201209230chi,ram,QuinRo00,def_int_yds,0,,,,,
player,201209230chi,ram,QuinRo00,def_int_td,0,,,,,
player,201209230chi,ram,QuinRo00,def_int_long,0,,,,,
player,201209230chi,ram,QuinRo00,pass_defended,0,,,,,
player,201209230chi,ram,QuinRo00,sacks,0.0,,,,,
player,201209230chi,ram,QuinRo00,tackles_combined,0,,,,,
player,201209230chi,ram,QuinRo00,tackles_solo,0,,,,,
player,201209230chi,ram,QuinRo00,tackles_assists,0,,,,,
player,201209230chi,ram,QuinRo00,tackles_loss,0,,,,,
player,201209230chi,ram,QuinRo00,qb_hits,1,,,,,
player,201209230chi,ram,QuinRo00,fumbles_rec,0,,,,,
player,201209230chi,ram,QuinRo00,fumbles_rec_yds,0,,,,,
player,201209230chi,ram,QuinRo00,fumbles_rec_td,0,,,,,
player,201209230chi,ram,QuinRo00,fumbles_forced,0,,,,,
player,201209230chi,ram,HaggMa20,def_int,,,,,,
player,201209230chi,ram,HaggMa20,def_int_yds,,,,,,
player,201209230chi,ram,HaggMa20,def_int_td,,,,,,
player,201209230chi,ram,HaggMa20,def_int_long,,,,,,
player,201209230chi,ram,HaggMa20,pass_defended,0,,,,,
player,201209230chi,ram,HaggMa20,sacks,0.0,,,,,
player,201209230chi,ram,HaggMa20,tackles_combined,1,,,,,
player,201209230chi,ram,HaggMa20,tackles_solo,1,,,,,
player,201209230chi,ram,HaggMa20,tackles_assists,0,,,,,
player,201209230chi,ram,HaggMa20,tackles_loss,0,,,,,
player,201209230chi,ram,HaggMa20,qb_hits,0,,,,,
player,201209230chi,ram,HaggMa20,fumbles_rec,0,,,,,
player,201209230chi,ram,HaggMa20,fumbles_rec_yds,,,,,,
player,201209230chi,ram,HaggMa20,fumbles_rec_td,,,,,,
player,201209230chi,ram,HaggMa20,fumbles_forced,0,,,,,
player,201209230chi,chi,JennTi20,def_int,1,,,,,
player,201209230chi,chi,JennTi20,def_int_yds,-11,,,,,
player,201209230chi,chi,JennTi20,def_int_td,0,,,,,
player,201209230chi,chi,JennTi20,def_int_long,-11,,,,,
player,201209230chi,chi,JennTi20,pass_defended,3,,,,,
player,201209230chi,chi,JennTi20,sacks,0.0,,,,,
player,201209230chi,chi,JennTi20,tackles_combined,2,,,,,
player,201209230chi,chi,JennTi20,tackles_solo,2,,,,,
player,201209230chi,chi,JennTi20,tackles_assists,0,,,,,
player,201209230chi,chi,JennTi20,tackles_loss,0,,,,,
player,201209230chi,chi,JennTi20,qb_hits,0,,,,,
player,201209230chi,chi,JennTi20,fumbles_rec,0,,,,,
player,201209230chi,chi,JennTi20,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,JennTi20,fumbles_rec_td,0,,,,,
player,201209230chi,chi,JennTi20,fumbles_forced,0,,,,,
player,201209230chi,chi,WrigMa99,def_int,1,,,,,
player,201209230chi,chi,WrigMa99,def_int_yds,45,,,,,
player,201209230chi,chi,WrigMa99,def_int_td,1,,,,,
player,201209230chi,chi,WrigMa99,def_int_long,45,,,,,
player,201209230chi,chi,WrigMa99,pass_defended,1,,,,,
player,201209230chi,chi,WrigMa99,sacks,0.0,,,,,
player,201209230chi,chi,WrigMa99,tackles_combined,2,,,,,
player,201209230chi,chi,WrigMa99,tackles_solo,2,,,,,
player,201209230chi,chi,WrigMa99,tackles_assists,0,,,,,
player,201209230chi,chi,WrigMa99,tackles_loss,0,,,,,
player,201209230chi,chi,WrigMa99,qb_hits,0,,,,,
player,201209230chi,chi,WrigMa99,fumbles_rec,0,,,,,
player,201209230chi,chi,WrigMa99,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,WrigMa99,fumbles_rec_td,0,,,,,
player,201209230chi,chi,WrigMa99,fumbles_forced,0,,,,,
player,201209230chi,chi,IdonIs20,def_int,0,,,,,
player,201209230chi,chi,IdonIs20,def_int_yds,0,,,,,
player,201209230chi,chi,IdonIs20,def_int_td,0,,,,,
player,201209230chi,chi,IdonIs20,def_int_long,0,,,,,
player,201209230chi,chi,IdonIs20,pass_defended,0,,,,,
player,201209230chi,chi,IdonIs20,sacks,2.5,,,,,
player,201209230chi,chi,IdonIs20,tackles_combined,5,,,,,
player,201209230chi,chi,IdonIs20,tackles_solo,4,,,,,
player,201209230chi,chi,IdonIs20,tackles_assists,1,,,,,
player,201209230chi,chi,IdonIs20,tackles_loss,2,,,,,
player,201209230chi,chi,IdonIs20,qb_hits,4,,,,,
player,201209230chi,chi,IdonIs20,fumbles_rec,0,,,,,
player,201209230chi,chi,IdonIs20,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,IdonIs20,fumbles_rec_td,0,,,,,
player,201209230chi,chi,IdonIs20,fumbles_forced,0,,,,,
player,201209230chi,chi,OkoyAm99,def_int,0,,,,,
player,201209230chi,chi,OkoyAm99,def_int_yds,0,,,,,
player,201209230chi,chi,OkoyAm99,def_int_td,0,,,,,
player,201209230chi,chi,OkoyAm99,def_int_long,0,,,,,
player,201209230chi,chi,OkoyAm99,pass_defended,0,,,,,
player,201209230chi,chi,OkoyAm99,sacks,1.0,,,,,
player,201209230chi,chi,OkoyAm99,tackles_combined,3,,,,,
player,201209230chi,chi,OkoyAm99,tackles_solo,3,,,,,
player,201209230chi,chi,OkoyAm99,tackles_assists,0,,,,,
player,201209230chi,chi,OkoyAm99,tackles_loss,2,,,,,
player,201209230chi,chi,OkoyAm99,qb_hits,2,,,,,
player,201209230chi,chi,OkoyAm99,fumbles_rec,0,,,,,
player,201209230chi,chi,OkoyAm99,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,OkoyAm99,fumbles_rec_td,0,,,,,
player,201209230chi,chi,OkoyAm99,fumbles_forced,0,,,,,
player,201209230chi,chi,RoacNi99,def_int,0,,,,,
player,201209230chi,chi,RoacNi99,def_int_yds,0,,,,,
player,201209230chi,chi,RoacNi99,def_int_td,0,,,,,
player,201209230chi,chi,RoacNi99,def_int_long,0,,,,,
player,201209230chi,chi,RoacNi99,pass_defended,0,,,,,
player,201209230chi,chi,RoacNi99,sacks,1.0,,,,,
player,201209230chi,chi,RoacNi99,tackles_combined,2,,,,,
player,201209230chi,chi,RoacNi99,tackles_solo,2,,,,,
player,201209230chi,chi,RoacNi99,tackles_assists,0,,,,,
player,201209230chi,chi,RoacNi99,tackles_loss,1,,,,,
player,201209230chi,chi,RoacNi99,qb_hits,1,,,,,
player,201209230chi,chi,RoacNi99,fumbles_rec,0,,,,,
player,201209230chi,chi,RoacNi99,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,RoacNi99,fumbles_rec_td,0,,,,,
player,201209230chi,chi,RoacNi99,fumbles_forced,0,,,,,
player,201209230chi,chi,PeppJu99,def_int,0,,,,,
player,201209230chi,chi,PeppJu99,def_int_yds,0,,,,,
player,201209230chi,chi,PeppJu99,def_int_td,0,,,,,
player,201209230chi,chi,PeppJu99,def_int_long,0,,,,,
player,201209230chi,chi,PeppJu99,pass_defended,0,,,,,
player,201209230chi,chi,PeppJu99,sacks,0.5,,,,,
player,201209230chi,chi,PeppJu99,tackles_combined,3,,,,,
player,201209230chi,chi,PeppJu99,tackles_solo,2,,,,,
player,201209230chi,chi,PeppJu99,tackles_assists,1,,,,,
player,201209230chi,chi,PeppJu99,tackles_loss,1,,,,,
player,201209230chi,chi,PeppJu99,qb_hits,1,,,,,
player,201209230chi,chi,PeppJu99,fumbles_rec,0,,,,,
player,201209230chi,chi,PeppJu99,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,PeppJu99,fumbles_rec_td,0,,,,,
player,201209230chi,chi,PeppJu99,fumbles_forced,0,,,,,
player,201209230chi,chi,PaeaSt00,def_int,0,,,,,
player,201209230chi,chi,PaeaSt00,def_int_yds,0,,,,,
player,201209230chi,chi,PaeaSt00,def_int_td,0,,,,,
player,201209230chi,chi,PaeaSt00,def_int_long,0,,,,,
player,201209230chi,chi,PaeaSt00,pass_defended,0,,,,,
player,201209230chi,chi,PaeaSt00,sacks,0.5,,,,,
player,201209230chi,chi,PaeaSt00,tackles_combined,2,,,,,
player,201209230chi,chi,PaeaSt00,tackles_solo,0,,,,,
player,201209230chi,chi,PaeaSt00,tackles_assists,2,,,,,
player,201209230chi,chi,PaeaSt00,tackles_loss,0,,,,,
player,201209230chi,chi,PaeaSt00,qb_hits,1,,,,,
player,201209230chi,chi,PaeaSt00,fumbles_rec,0,,,,,
player,201209230chi,chi,PaeaSt00,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,PaeaSt00,fumbles_rec_td,0,,,,,
player,201209230chi,chi,PaeaSt00,fumbles_forced,0,,,,,
player,201209230chi,chi,McClSh00,def_int,0,,,,,
player,201209230chi,chi,McClSh00,def_int_yds,0,,,,,
player,201209230chi,chi,McClSh00,def_int_td,0,,,,,
player,201209230chi,chi,McClSh00,def_int_long,0,,,,,
player,201209230chi,chi,McClSh00,pass_defended,0,,,,,
player,201209230chi,chi,McClSh00,sacks,0.5,,,,,
player,201209230chi,chi,McClSh00,tackles_combined,1,,,,,
player,201209230chi,chi,McClSh00,tackles_solo,0,,,,,
player,201209230chi,chi,McClSh00,tackles_assists,1,,,,,
player,201209230chi,chi,McClSh00,tackles_loss,0,,,,,
player,201209230chi,chi,McClSh00,qb_hits,1,,,,,
player,201209230chi,chi,McClSh00,fumbles_rec,0,,,,,
player,201209230chi,chi,McClSh00,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,McClSh00,fumbles_rec_td,0,,,,,
player,201209230chi,chi,McClSh00,fumbles_forced,0,,,,,
player,201209230chi,chi,BrigLa99,def_int,0,,,,,
player,201209230chi,chi,BrigLa99,def_int_yds,0,,,,,
player,201209230chi,chi,BrigLa99,def_int_td,0,,,,,
player,201209230chi,chi,BrigLa99,def_int_long,0,,,,,
player,201209230chi,chi,BrigLa99,pass_defended,2,,,,,
player,201209230chi,chi,BrigLa99,sacks,0.0,,,,,
player,201209230chi,chi,BrigLa99,tackles_combined,7,,,,,
player,201209230chi,chi,BrigLa99,tackles_solo,7,,,,,
player,201209230chi,chi,BrigLa99,tackles_assists,0,,,,,
player,201209230chi,chi,BrigLa99,tackles_loss,1,,,,,
player,201209230chi,chi,BrigLa99,qb_hits,0,,,,,
player,201209230chi,chi,BrigLa99,fumbles_rec,0,,,,,
player,201209230chi,chi,BrigLa99,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,BrigLa99,fumbles_rec_td,0,,,,,
player,201209230chi,chi,BrigLa99,fumbles_forced,0,,,,,
player,201209230chi,chi,MoorDJ99,def_int,0,,,,,
player,201209230chi,chi,MoorDJ99,def_int_yds,0,,,,,
player,201209230chi,chi,MoorDJ99,def_int_td,0,,,,,
player,201209230chi,chi,MoorDJ99,def_int_long,0,,,,,
player,201209230chi,chi,MoorDJ99,pass_defended,0,,,,,
player,201209230chi,chi,MoorDJ99,sacks,0.0,,,,,
player,201209230chi,chi,MoorDJ99,tackles_combined,4,,,,,
player,201209230chi,chi,MoorDJ99,tackles_solo,4,,,,,
player,201209230chi,chi,MoorDJ99,tackles_assists,0,,,,,
player,201209230chi,chi,MoorDJ99,tackles_loss,0,,,,,
player,201209230chi,chi,MoorDJ99,qb_hits,0,,,,,
player,201209230chi,chi,MoorDJ99,fumbles_rec,0,,,,,
player,201209230chi,chi,MoorDJ99,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,MoorDJ99,fumbles_rec_td,0,,,,,
player,201209230chi,chi,MoorDJ99,fumbles_forced,0,,,,,
player,201209230chi,chi,TillCh20,def_int,0,,,,,
player,201209230chi,chi,TillCh20,def_int_yds,0,,,,,
player,201209230chi,chi,TillCh20,def_int_td,0,,,,,
player,201209230chi,chi,TillCh20,def_int_long,0,,,,,
player,201209230chi,chi,TillCh20,pass_defended,0,,,,,
player,201209230chi,chi,TillCh20,sacks,0.0,,,,,
player,201209230chi,chi,TillCh20,tackles_combined,4,,,,,
player,201209230chi,chi,TillCh20,tackles_solo,4,,,,,
player,201209230chi,chi,TillCh20,tackles_assists,0,,,,,
player,201209230chi,chi,TillCh20,tackles_loss,0,,,,,
player,201209230chi,chi,TillCh20,qb_hits,0,,,,,
player,201209230chi,chi,TillCh20,fumbles_rec,0,,,,,
player,201209230chi,chi,TillCh20,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,TillCh20,fumbles_rec_td,0,,,,,
player,201209230chi,chi,TillCh20,fumbles_forced,0,,,,,
player,201209230chi,chi,UrlaBr00,def_int,0,,,,,
player,201209230chi,chi,UrlaBr00,def_int_yds,0,,,,,
player,201209230chi,chi,UrlaBr00,def_int_td,0,,,,,
player,201209230chi,chi,UrlaBr00,def_int_long,0,,,,,
player,201209230chi,chi,UrlaBr00,pass_defended,1,,,,,
player,201209230chi,chi,UrlaBr00,sacks,0.0,,,,,
player,201209230chi,chi,UrlaBr00,tackles_combined,4,,,,,
player,201209230chi,chi,UrlaBr00,tackles_solo,3,,,,,
player,201209230chi,chi,UrlaBr00,tackles_assists,1,,,,,
player,201209230chi,chi,UrlaBr00,tackles_loss,1,,,,,
player,201209230chi,chi,UrlaBr00,qb_hits,0,,,,,
player,201209230chi,chi,UrlaBr00,fumbles_rec,0,,,,,
player,201209230chi,chi,UrlaBr00,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,UrlaBr00,fumbles_rec_td,0,,,,,
player,201209230chi,chi,UrlaBr00,fumbles_forced,0,,,,,
player,201209230chi,chi,ContCh00,def_int,0,,,,,
player,201209230chi,chi,ContCh00,def_int_yds,0,,,,,
player,201209230chi,chi,ContCh00,def_int_td,0,,,,,
player,201209230chi,chi,ContCh00,def_int_long,0,,,,,
player,201209230chi,chi,ContCh00,pass_defended,0,,,,,
player,201209230chi,chi,ContCh00,sacks,0.0,,,,,
player,201209230chi,chi,ContCh00,tackles_combined,3,,,,,
player,201209230chi,chi,ContCh00,tackles_solo,3,,,,,
player,201209230chi,chi,ContCh00,tackles_assists,0,,,,,
player,201209230chi,chi,ContCh00,tackles_loss,0,,,,,
player,201209230chi,chi,ContCh00,qb_hits,0,,,,,
player,201209230chi,chi,ContCh00,fumbles_rec,0,,,,,
player,201209230chi,chi,ContCh00,fumbles_rec_yds,0,,,,,
player,201209230chi,chi,ContCh00,fumbles_rec_td,0,,,,,
player,201209230chi,chi,ContCh00,fumbles_forced,0,,,,,
player,201209230chi,chi,MeltHe99,def_int,0,,,,,
player,201209230chi,chi,MeltHe99,def_int_yds,0,,,,,
player,201209230chi,chi,MeltHe99,def_int_td,0,,,,,
player,201209230chi,chi,MeltHe99,def_int_long,0,,,,,
player,201209230chi,chi,MeltHe99,pass_defended,0,,,,,
player,201209230chi,chi,MeltHe99,sacks,0.0,,,,,
player,201209230chi,chi,MeltHe99,tackles_combined,2,,,,,
player,201209230chi,chi,MeltHe99,tackles_solo,2,,,,,
