game,2012,8,20121028,201210280dal,nyg,"New York Giants",29,dal,"Dallas Cowboys",24
player,201210280dal,dal,WittJa00,rec_yds,167,,,,,
player,201210280dal,dal,WittJa00,rec_td,0,,,,,
player,201210280dal,dal,WittJa00,rec_long,20,,,,,
player,201210280dal,dal,WittJa00,fumbles,0,,,,,
player,201210280dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201210280dal,dal,AustMi00,pass_cmp,0,,,,,
player,201210280dal,dal,AustMi00,pass_att,0,,,,,
player,201210280dal,dal,AustMi00,pass_yds,0,,,,,
player,201210280dal,dal,AustMi00,pass_td,0,,,,,
player,201210280dal,dal,AustMi00,pass_int,0,,,,,
player,201210280dal,dal,AustMi00,pass_sacked,0,,,,,
player,201210280dal,dal,AustMi00,pass_sacked_yds,0,,,,,
player,201210280dal,dal,AustMi00,pass_long,0,,,,,
player,201210280dal,dal,AustMi00,pass_rating,,,,,,
player,201210280dal,dal,AustMi00,rush_att,0,,,,,
player,201210280dal,dal,AustMi00,rush_yds,0,,,,,
player,201210280dal,dal,AustMi00,rush_td,0,,,,,
player,201210280dal,dal,AustMi00,rush_long,0,,,,,
player,201210280dal,dal,AustMi00,targets,16,,,,,
player,201210280dal,dal,AustMi00,rec,9,,,,,
player,201210280dal,dal,AustMi00,rec_yds,133,,,,,
player,201210280dal,dal,AustMi00,rec_td,0,,,,,
player,201210280dal,dal,AustMi00,rec_long,25,,,,,
player,201210280dal,dal,AustMi00,fumbles,0,,,,,
player,201210280dal,dal,AustMi00,fumbles_lost,0,,,,,
player,201210280dal,dal,BryaDe01,pass_cmp,0,,,,,
player,201210280dal,dal,BryaDe01,pass_att,0,,,,,
player,201210280dal,dal,BryaDe01,pass_yds,0,,,,,
player,201210280dal,dal,BryaDe01,pass_td,0,,,,,
player,201210280dal,dal,BryaDe01,pass_int,0,,,,,
player,201210280dal,dal,BryaDe01,pass_sacked,0,,,,,
player,201210280dal,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201210280dal,dal,BryaDe01,pass_long,0,,,,,
player,201210280dal,dal,BryaDe01,pass_rating,,,,,,
player,201210280dal,dal,BryaDe01,rush_att,0,,,,,
player,201210280dal,dal,BryaDe01,rush_yds,0,,,,,
player,201210280dal,dal,BryaDe01,rush_td,0,,,,,
player,201210280dal,dal,BryaDe01,rush_long,0,,,,,
player,201210280dal,dal,BryaDe01,targets,11,,,,,
player,201210280dal,dal,BryaDe01,rec,5,,,,,
player,201210280dal,dal,BryaDe01,rec_yds,110,,,,,
player,201210280dal,dal,BryaDe01,rec_td,0,,,,,
player,201210280dal,dal,BryaDe01,rec_long,55,,,,,
player,201210280dal,dal,BryaDe01,fumbles,2,,,,,
player,201210280dal,dal,BryaDe01,fumbles_lost,1,,,,,
player,201210280dal,dal,PhilJo00,pass_cmp,0,,,,,
player,201210280dal,dal,PhilJo00,pass_att,0,,,,,
player,201210280dal,dal,PhilJo00,pass_yds,0,,,,,
player,201210280dal,dal,PhilJo00,pass_td,0,,,,,
player,201210280dal,dal,PhilJo00,pass_int,0,,,,,
player,201210280dal,dal,PhilJo00,pass_sacked,0,,,,,
player,201210280dal,dal,PhilJo00,pass_sacked_yds,0,,,,,
player,201210280dal,dal,PhilJo00,pass_long,0,,,,,
player,201210280dal,dal,PhilJo00,pass_rating,,,,,,
player,201210280dal,dal,PhilJo00,rush_att,0,,,,,
player,201210280dal,dal,PhilJo00,rush_yds,0,,,,,
player,201210280dal,dal,PhilJo00,rush_td,0,,,,,
player,201210280dal,dal,PhilJo00,rush_long,0,,,,,
player,201210280dal,dal,PhilJo00,targets,3,,,,,
player,201210280dal,dal,PhilJo00,rec,3,,,,,
player,201210280dal,dal,PhilJo00,rec_yds,14,,,,,
player,201210280dal,dal,PhilJo00,rec_td,1,,,,,
player,201210280dal,dal,PhilJo00,rec_long,8,,,,,
player,201210280dal,dal,PhilJo00,fumbles,0,,,,,
player,201210280dal,dal,PhilJo00,fumbles_lost,0,,,,,
player,201210280dal,dal,TannPh00,pass_cmp,0,,,,,
player,201210280dal,dal,TannPh00,pass_att,0,,,,,
player,201210280dal,dal,TannPh00,pass_yds,0,,,,,
player,201210280dal,dal,TannPh00,pass_td,0,,,,,
player,201210280dal,dal,TannPh00,pass_int,0,,,,,
player,201210280dal,dal,TannPh00,pass_sacked,0,,,,,
player,201210280dal,dal,TannPh00,pass_sacked_yds,0,,,,,
player,201210280dal,dal,TannPh00,pass_long,0,,,,,
player,201210280dal,dal,TannPh00,pass_rating,,,,,,
player,201210280dal,dal,TannPh00,rush_att,2,,,,,
player,201210280dal,dal,TannPh00,rush_yds,0,,,,,
player,201210280dal,dal,TannPh00,rush_td,0,,,,,
player,201210280dal,dal,TannPh00,rush_long,0,,,,,
player,201210280dal,dal,TannPh00,targets,1,,,,,
player,201210280dal,dal,TannPh00,rec,1,,,,,
player,201210280dal,dal,TannPh00,rec_yds,13,,,,,
player,201210280dal,dal,TannPh00,rec_td,0,,,,,
player,201210280dal,dal,TannPh00,rec_long,13,,,,,
player,201210280dal,dal,TannPh00,fumbles,0,,,,,
player,201210280dal,dal,TannPh00,fumbles_lost,0,,,,,
player,201210280dal,dal,OgleKe00,pass_cmp,0,,,,,
player,201210280dal,dal,OgleKe00,pass_att,0,,,,,
player,201210280dal,dal,OgleKe00,pass_yds,0,,,,,
player,201210280dal,dal,OgleKe00,pass_td,0,,,,,
player,201210280dal,dal,OgleKe00,pass_int,0,,,,,
player,201210280dal,dal,OgleKe00,pass_sacked,0,,,,,
player,201210280dal,dal,OgleKe00,pass_sacked_yds,0,,,,,
player,201210280dal,dal,OgleKe00,pass_long,0,,,,,
player,201210280dal,dal,OgleKe00,pass_rating,,,,,,
player,201210280dal,dal,OgleKe00,rush_att,0,,,,,
player,201210280dal,dal,OgleKe00,rush_yds,0,,,,,
player,201210280dal,dal,OgleKe00,rush_td,0,,,,,
player,201210280dal,dal,OgleKe00,rush_long,0,,,,,
player,201210280dal,dal,OgleKe00,targets,3,,,,,
player,201210280dal,dal,OgleKe00,rec,0,,,,,
player,201210280dal,dal,OgleKe00,rec_yds,0,,,,,
player,201210280dal,dal,OgleKe00,rec_td,0,,,,,
player,201210280dal,dal,OgleKe00,rec_long,0,,,,,
player,201210280dal,dal,OgleKe00,fumbles,0,,,,,
player,201210280dal,dal,OgleKe00,fumbles_lost,0,,,,,
player,201210280dal,dal,HannJa00,pass_cmp,0,,,,,
player,201210280dal,dal,HannJa00,pass_att,0,,,,,
player,201210280dal,dal,HannJa00,pass_yds,0,,,,,
player,201210280dal,dal,HannJa00,pass_td,0,,,,,
player,201210280dal,dal,HannJa00,pass_int,0,,,,,
