game,2016,14,20161211,201612110gnb,sea,"Seattle Seahawks",10,gnb,"Green Bay Packers",38
player,201612110gnb,sea,KearJe01,pass_sacked_yds,0,,,,,
player,201612110gnb,sea,KearJe01,pass_long,0,,,,,
player,201612110gnb,sea,KearJe01,pass_rating,,,,,,
player,201612110gnb,sea,KearJe01,rush_att,0,,,,,
player,201612110gnb,sea,KearJe01,rush_yds,0,,,,,
player,201612110gnb,sea,KearJe01,rush_td,0,,,,,
player,201612110gnb,sea,KearJe01,rush_long,0,,,,,
player,201612110gnb,sea,KearJe01,targets,6,,,,,
player,201612110gnb,sea,KearJe01,rec,1,,,,,
player,201612110gnb,sea,KearJe01,rec_yds,7,,,,,
player,201612110gnb,sea,KearJe01,rec_td,0,,,,,
player,201612110gnb,sea,KearJe01,rec_long,7,,,,,
player,201612110gnb,sea,KearJe01,fumbles,0,,,,,
player,201612110gnb,sea,KearJe01,fumbles_lost,0,,,,,
player,201612110gnb,gnb,RodgAa00,pass_cmp,18,,,,,
player,201612110gnb,gnb,RodgAa00,pass_att,23,,,,,
player,201612110gnb,gnb,RodgAa00,pass_yds,246,,,,,
player,201612110gnb,gnb,RodgAa00,pass_td,3,,,,,
player,201612110gnb,gnb,RodgAa00,pass_int,0,,,,,
player,201612110gnb,gnb,RodgAa00,pass_sacked,1,,,,,
player,201612110gnb,gnb,RodgAa00,pass_sacked_yds,9,,,,,
player,201612110gnb,gnb,RodgAa00,pass_long,0,,,,,
player,201612110gnb,gnb,RodgAa00,pass_rating,150.8,,,,,
player,201612110gnb,gnb,RodgAa00,rush_att,3,,,,,
player,201612110gnb,gnb,RodgAa00,rush_yds,-6,,,,,
player,201612110gnb,gnb,RodgAa00,rush_td,0,,,,,
player,201612110gnb,gnb,RodgAa00,rush_long,-1,,,,,
player,201612110gnb,gnb,RodgAa00,targets,0,,,,,
player,201612110gnb,gnb,RodgAa00,rec,0,,,,,
player,201612110gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201612110gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201612110gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201612110gnb,gnb,RodgAa00,fumbles,0,,,,,
player,201612110gnb,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_cmp,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_att,2,,,,,
player,201612110gnb,gnb,HundBr00,pass_yds,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_td,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_int,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_sacked,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_long,0,,,,,
player,201612110gnb,gnb,HundBr00,pass_rating,39.6,,,,,
player,201612110gnb,gnb,HundBr00,rush_att,2,,,,,
player,201612110gnb,gnb,HundBr00,rush_yds,-2,,,,,
player,201612110gnb,gnb,HundBr00,rush_td,0,,,,,
player,201612110gnb,gnb,HundBr00,rush_long,-1,,,,,
player,201612110gnb,gnb,HundBr00,targets,0,,,,,
player,201612110gnb,gnb,HundBr00,rec,0,,,,,
player,201612110gnb,gnb,HundBr00,rec_yds,0,,,,,
player,201612110gnb,gnb,HundBr00,rec_td,0,,,,,
player,201612110gnb,gnb,HundBr00,rec_long,0,,,,,
player,201612110gnb,gnb,HundBr00,fumbles,0,,,,,
player,201612110gnb,gnb,HundBr00,fumbles_lost,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_cmp,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_att,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_yds,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_td,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_int,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_sacked,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_long,0,,,,,
player,201612110gnb,gnb,MontTy01,pass_rating,,,,,,
player,201612110gnb,gnb,MontTy01,rush_att,9,,,,,
player,201612110gnb,gnb,MontTy01,rush_yds,41,,,,,
player,201612110gnb,gnb,MontTy01,rush_td,1,,,,,
player,201612110gnb,gnb,MontTy01,rush_long,17,,,,,
player,201612110gnb,gnb,MontTy01,targets,4,,,,,
player,201612110gnb,gnb,MontTy01,rec,3,,,,,
player,201612110gnb,gnb,MontTy01,rec_yds,45,,,,,
player,201612110gnb,gnb,MontTy01,rec_td,0,,,,,
player,201612110gnb,gnb,MontTy01,rec_long,24,,,,,
player,201612110gnb,gnb,MontTy01,fumbles,0,,,,,
player,201612110gnb,gnb,MontTy01,fumbles_lost,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_cmp,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_att,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_yds,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_td,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_int,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_sacked,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_long,0,,,,,
player,201612110gnb,gnb,MichCh00,pass_rating,,,,,,
player,201612110gnb,gnb,MichCh00,rush_att,10,,,,,
player,201612110gnb,gnb,MichCh00,rush_yds,36,,,,,
player,201612110gnb,gnb,MichCh00,rush_td,0,,,,,
player,201612110gnb,gnb,MichCh00,rush_long,10,,,,,
player,201612110gnb,gnb,MichCh00,targets,0,,,,,
player,201612110gnb,gnb,MichCh00,rec,0,,,,,
player,201612110gnb,gnb,MichCh00,rec_yds,0,,,,,
player,201612110gnb,gnb,MichCh00,rec_td,0,,,,,
player,201612110gnb,gnb,MichCh00,rec_long,0,,,,,
player,201612110gnb,gnb,MichCh00,fumbles,0,,,,,
player,201612110gnb,gnb,MichCh00,fumbles_lost,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_cmp,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_att,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_yds,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_td,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_int,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_sacked,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_sacked_yds,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_long,0,,,,,
player,201612110gnb,gnb,JaniJe00,pass_rating,,,,,,
player,201612110gnb,gnb,JaniJe00,rush_att,1,,,,,
player,201612110gnb,gnb,JaniJe00,rush_yds,19,,,,,
player,201612110gnb,gnb,JaniJe00,rush_td,1,,,,,
player,201612110gnb,gnb,JaniJe00,rush_long,19,,,,,
player,201612110gnb,gnb,JaniJe00,targets,0,,,,,
player,201612110gnb,gnb,JaniJe00,rec,0,,,,,
player,201612110gnb,gnb,JaniJe00,rec_yds,0,,,,,
player,201612110gnb,gnb,JaniJe00,rec_td,0,,,,,
player,201612110gnb,gnb,JaniJe00,rec_long,0,,,,,
player,201612110gnb,gnb,JaniJe00,fumbles,0,,,,,
player,201612110gnb,gnb,JaniJe00,fumbles_lost,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_cmp,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_att,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_yds,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_td,0,,,,,
player,201612110gnb,gnb,StarJa00,pass_int,0,,,,,
