game,2016,9,20161106,201611060gnb,clt,"Indianapolis Colts",31,gnb,"Green Bay Packers",26
player,201611060gnb,gnb,PeriJu00,rec,2,,,,,
player,201611060gnb,gnb,PeriJu00,rec_yds,18,,,,,
player,201611060gnb,gnb,PeriJu00,rec_td,0,,,,,
player,201611060gnb,gnb,PeriJu00,rec_long,9,,,,,
player,201611060gnb,gnb,PeriJu00,fumbles,0,,,,,
player,201611060gnb,gnb,PeriJu00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_cmp,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_att,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_yds,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_td,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_int,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_sacked,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_long,0,,,,,
player,201611060gnb,gnb,CobbRa00,pass_rating,,,,,,
player,201611060gnb,gnb,CobbRa00,rush_att,0,,,,,
player,201611060gnb,gnb,CobbRa00,rush_yds,0,,,,,
player,201611060gnb,gnb,CobbRa00,rush_td,0,,,,,
player,201611060gnb,gnb,CobbRa00,rush_long,0,,,,,
player,201611060gnb,gnb,CobbRa00,targets,2,,,,,
player,201611060gnb,gnb,CobbRa00,rec,2,,,,,
player,201611060gnb,gnb,CobbRa00,rec_yds,14,,,,,
player,201611060gnb,gnb,CobbRa00,rec_td,1,,,,,
player,201611060gnb,gnb,CobbRa00,rec_long,11,,,,,
player,201611060gnb,gnb,CobbRa00,fumbles,0,,,,,
player,201611060gnb,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_cmp,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_att,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_yds,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_td,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_int,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_sacked,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_sacked_yds,0,,,,,
player,201611060gnb,gnb,AlliGe01,pass_long,0,,,,,
