game,2016,5,20161009,201610090min,htx,"Houston Texans",13,min,"Minnesota Vikings",31
player,201610090min,htx,CushBr99,def_int_long,0,,,,,
player,201610090min,htx,CushBr99,pass_defended,0,,,,,
player,201610090min,htx,CushBr99,sacks,0.0,,,,,
player,201610090min,htx,CushBr99,tackles_combined,5,,,,,
player,201610090min,htx,CushBr99,tackles_solo,2,,,,,
player,201610090min,htx,CushBr99,tackles_assists,3,,,,,
player,201610090min,htx,CushBr99,tackles_loss,0,,,,,
player,201610090min,htx,CushBr99,qb_hits,0,,,,,
player,201610090min,htx,CushBr99,fumbles_rec,0,,,,,
player,201610090min,htx,CushBr99,fumbles_rec_yds,0,,,,,
player,201610090min,htx,CushBr99,fumbles_rec_td,0,,,,,
player,201610090min,htx,CushBr99,fumbles_forced,0,,,,,
player,201610090min,htx,JohnKe04,def_int,0,,,,,
player,201610090min,htx,JohnKe04,def_int_yds,0,,,,,
player,201610090min,htx,JohnKe04,def_int_td,0,,,,,
player,201610090min,htx,JohnKe04,def_int_long,0,,,,,
player,201610090min,htx,JohnKe04,pass_defended,1,,,,,
player,201610090min,htx,JohnKe04,sacks,0.0,,,,,
player,201610090min,htx,JohnKe04,tackles_combined,5,,,,,
player,201610090min,htx,JohnKe04,tackles_solo,4,,,,,
player,201610090min,htx,JohnKe04,tackles_assists,1,,,,,
player,201610090min,htx,JohnKe04,tackles_loss,0,,,,,
player,201610090min,htx,JohnKe04,qb_hits,0,,,,,
player,201610090min,htx,JohnKe04,fumbles_rec,0,,,,,
player,201610090min,htx,JohnKe04,fumbles_rec_yds,0,,,,,
player,201610090min,htx,JohnKe04,fumbles_rec_td,0,,,,,
player,201610090min,htx,JohnKe04,fumbles_forced,0,,,,,
player,201610090min,htx,SimoJo01,def_int,0,,,,,
player,201610090min,htx,SimoJo01,def_int_yds,0,,,,,
player,201610090min,htx,SimoJo01,def_int_td,0,,,,,
player,201610090min,htx,SimoJo01,def_int_long,0,,,,,
player,201610090min,htx,SimoJo01,pass_defended,1,,,,,
player,201610090min,htx,SimoJo01,sacks,0.0,,,,,
player,201610090min,htx,SimoJo01,tackles_combined,5,,,,,
player,201610090min,htx,SimoJo01,tackles_solo,3,,,,,
player,201610090min,htx,SimoJo01,tackles_assists,2,,,,,
player,201610090min,htx,SimoJo01,tackles_loss,1,,,,,
player,201610090min,htx,SimoJo01,qb_hits,0,,,,,
player,201610090min,htx,SimoJo01,fumbles_rec,0,,,,,
player,201610090min,htx,SimoJo01,fumbles_rec_yds,0,,,,,
player,201610090min,htx,SimoJo01,fumbles_rec_td,0,,,,,
player,201610090min,htx,SimoJo01,fumbles_forced,0,,,,,
player,201610090min,htx,DillK.00,def_int,0,,,,,
player,201610090min,htx,DillK.00,def_int_yds,0,,,,,
player,201610090min,htx,DillK.00,def_int_td,0,,,,,
player,201610090min,htx,DillK.00,def_int_long,0,,,,,
player,201610090min,htx,DillK.00,pass_defended,0,,,,,
player,201610090min,htx,DillK.00,sacks,0.0,,,,,
player,201610090min,htx,DillK.00,tackles_combined,4,,,,,
player,201610090min,htx,DillK.00,tackles_solo,3,,,,,
player,201610090min,htx,DillK.00,tackles_assists,1,,,,,
player,201610090min,htx,DillK.00,tackles_loss,0,,,,,
player,201610090min,htx,DillK.00,qb_hits,0,,,,,
player,201610090min,htx,DillK.00,fumbles_rec,0,,,,,
player,201610090min,htx,DillK.00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,DillK.00,fumbles_rec_td,0,,,,,
player,201610090min,htx,DillK.00,fumbles_forced,0,,,,,
player,201610090min,htx,JoseJo20,def_int,0,,,,,
player,201610090min,htx,JoseJo20,def_int_yds,0,,,,,
player,201610090min,htx,JoseJo20,def_int_td,0,,,,,
player,201610090min,htx,JoseJo20,def_int_long,0,,,,,
player,201610090min,htx,JoseJo20,pass_defended,0,,,,,
player,201610090min,htx,JoseJo20,sacks,0.0,,,,,
player,201610090min,htx,JoseJo20,tackles_combined,4,,,,,
player,201610090min,htx,JoseJo20,tackles_solo,3,,,,,
player,201610090min,htx,JoseJo20,tackles_assists,1,,,,,
player,201610090min,htx,JoseJo20,tackles_loss,0,,,,,
player,201610090min,htx,JoseJo20,qb_hits,0,,,,,
player,201610090min,htx,JoseJo20,fumbles_rec,0,,,,,
player,201610090min,htx,JoseJo20,fumbles_rec_yds,0,,,,,
player,201610090min,htx,JoseJo20,fumbles_rec_td,0,,,,,
player,201610090min,htx,JoseJo20,fumbles_forced,0,,,,,
player,201610090min,htx,ScarBr00,def_int,0,,,,,
player,201610090min,htx,ScarBr00,def_int_yds,0,,,,,
player,201610090min,htx,ScarBr00,def_int_td,0,,,,,
player,201610090min,htx,ScarBr00,def_int_long,0,,,,,
player,201610090min,htx,ScarBr00,pass_defended,0,,,,,
player,201610090min,htx,ScarBr00,sacks,0.0,,,,,
player,201610090min,htx,ScarBr00,tackles_combined,3,,,,,
player,201610090min,htx,ScarBr00,tackles_solo,2,,,,,
player,201610090min,htx,ScarBr00,tackles_assists,1,,,,,
player,201610090min,htx,ScarBr00,tackles_loss,0,,,,,
player,201610090min,htx,ScarBr00,qb_hits,0,,,,,
player,201610090min,htx,ScarBr00,fumbles_rec,0,,,,,
player,201610090min,htx,ScarBr00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,ScarBr00,fumbles_rec_td,0,,,,,
player,201610090min,htx,ScarBr00,fumbles_forced,0,,,,,
player,201610090min,htx,BouyA.00,def_int,0,,,,,
player,201610090min,htx,BouyA.00,def_int_yds,0,,,,,
player,201610090min,htx,BouyA.00,def_int_td,0,,,,,
player,201610090min,htx,BouyA.00,def_int_long,0,,,,,
player,201610090min,htx,BouyA.00,pass_defended,0,,,,,
player,201610090min,htx,BouyA.00,sacks,0.0,,,,,
player,201610090min,htx,BouyA.00,tackles_combined,2,,,,,
player,201610090min,htx,BouyA.00,tackles_solo,2,,,,,
player,201610090min,htx,BouyA.00,tackles_assists,0,,,,,
player,201610090min,htx,BouyA.00,tackles_loss,0,,,,,
player,201610090min,htx,BouyA.00,qb_hits,0,,,,,
player,201610090min,htx,BouyA.00,fumbles_rec,0,,,,,
player,201610090min,htx,BouyA.00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,BouyA.00,fumbles_rec_td,0,,,,,
player,201610090min,htx,BouyA.00,fumbles_forced,0,,,,,
player,201610090min,htx,DempQu99,def_int,0,,,,,
player,201610090min,htx,DempQu99,def_int_yds,0,,,,,
player,201610090min,htx,DempQu99,def_int_td,0,,,,,
player,201610090min,htx,DempQu99,def_int_long,0,,,,,
player,201610090min,htx,DempQu99,pass_defended,0,,,,,
player,201610090min,htx,DempQu99,sacks,0.0,,,,,
player,201610090min,htx,DempQu99,tackles_combined,2,,,,,
player,201610090min,htx,DempQu99,tackles_solo,0,,,,,
player,201610090min,htx,DempQu99,tackles_assists,2,,,,,
player,201610090min,htx,DempQu99,tackles_loss,0,,,,,
player,201610090min,htx,DempQu99,qb_hits,0,,,,,
player,201610090min,htx,DempQu99,fumbles_rec,0,,,,,
player,201610090min,htx,DempQu99,fumbles_rec_yds,0,,,,,
player,201610090min,htx,DempQu99,fumbles_rec_td,0,,,,,
player,201610090min,htx,DempQu99,fumbles_forced,0,,,,,
player,201610090min,htx,MoorCo00,def_int,0,,,,,
player,201610090min,htx,MoorCo00,def_int_yds,0,,,,,
player,201610090min,htx,MoorCo00,def_int_td,0,,,,,
player,201610090min,htx,MoorCo00,def_int_long,0,,,,,
player,201610090min,htx,MoorCo00,pass_defended,0,,,,,
player,201610090min,htx,MoorCo00,sacks,0.0,,,,,
player,201610090min,htx,MoorCo00,tackles_combined,2,,,,,
player,201610090min,htx,MoorCo00,tackles_solo,1,,,,,
player,201610090min,htx,MoorCo00,tackles_assists,1,,,,,
player,201610090min,htx,MoorCo00,tackles_loss,0,,,,,
player,201610090min,htx,MoorCo00,qb_hits,0,,,,,
player,201610090min,htx,MoorCo00,fumbles_rec,0,,,,,
player,201610090min,htx,MoorCo00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,MoorCo00,fumbles_rec_td,0,,,,,
player,201610090min,htx,MoorCo00,fumbles_forced,0,,,,,
player,201610090min,htx,WilfVi20,def_int,0,,,,,
player,201610090min,htx,WilfVi20,def_int_yds,0,,,,,
player,201610090min,htx,WilfVi20,def_int_td,0,,,,,
player,201610090min,htx,WilfVi20,def_int_long,0,,,,,
player,201610090min,htx,WilfVi20,pass_defended,0,,,,,
player,201610090min,htx,WilfVi20,sacks,0.0,,,,,
player,201610090min,htx,WilfVi20,tackles_combined,2,,,,,
player,201610090min,htx,WilfVi20,tackles_solo,1,,,,,
player,201610090min,htx,WilfVi20,tackles_assists,1,,,,,
player,201610090min,htx,WilfVi20,tackles_loss,0,,,,,
player,201610090min,htx,WilfVi20,qb_hits,1,,,,,
player,201610090min,htx,WilfVi20,fumbles_rec,0,,,,,
player,201610090min,htx,WilfVi20,fumbles_rec_yds,0,,,,,
player,201610090min,htx,WilfVi20,fumbles_rec_td,0,,,,,
player,201610090min,htx,WilfVi20,fumbles_forced,0,,,,,
player,201610090min,htx,BullMa00,def_int,0,,,,,
player,201610090min,htx,BullMa00,def_int_yds,0,,,,,
player,201610090min,htx,BullMa00,def_int_td,0,,,,,
player,201610090min,htx,BullMa00,def_int_long,0,,,,,
player,201610090min,htx,BullMa00,pass_defended,0,,,,,
player,201610090min,htx,BullMa00,sacks,0.0,,,,,
player,201610090min,htx,BullMa00,tackles_combined,1,,,,,
player,201610090min,htx,BullMa00,tackles_solo,1,,,,,
player,201610090min,htx,BullMa00,tackles_assists,0,,,,,
player,201610090min,htx,BullMa00,tackles_loss,0,,,,,
player,201610090min,htx,BullMa00,qb_hits,0,,,,,
player,201610090min,htx,BullMa00,fumbles_rec,0,,,,,
player,201610090min,htx,BullMa00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,BullMa00,fumbles_rec_td,0,,,,,
player,201610090min,htx,BullMa00,fumbles_forced,0,,,,,
player,201610090min,htx,DentAk00,def_int,0,,,,,
player,201610090min,htx,DentAk00,def_int_yds,0,,,,,
player,201610090min,htx,DentAk00,def_int_td,0,,,,,
player,201610090min,htx,DentAk00,def_int_long,0,,,,,
player,201610090min,htx,DentAk00,pass_defended,0,,,,,
player,201610090min,htx,DentAk00,sacks,0.0,,,,,
player,201610090min,htx,DentAk00,tackles_combined,1,,,,,
player,201610090min,htx,DentAk00,tackles_solo,1,,,,,
player,201610090min,htx,DentAk00,tackles_assists,0,,,,,
player,201610090min,htx,DentAk00,tackles_loss,0,,,,,
player,201610090min,htx,DentAk00,qb_hits,0,,,,,
player,201610090min,htx,DentAk00,fumbles_rec,0,,,,,
player,201610090min,htx,DentAk00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,DentAk00,fumbles_rec_td,0,,,,,
player,201610090min,htx,DentAk00,fumbles_forced,0,,,,,
player,201610090min,htx,ErviTy00,def_int,0,,,,,
player,201610090min,htx,ErviTy00,def_int_yds,0,,,,,
player,201610090min,htx,ErviTy00,def_int_td,0,,,,,
player,201610090min,htx,ErviTy00,def_int_long,0,,,,,
player,201610090min,htx,ErviTy00,pass_defended,0,,,,,
player,201610090min,htx,ErviTy00,sacks,0.0,,,,,
player,201610090min,htx,ErviTy00,tackles_combined,1,,,,,
player,201610090min,htx,ErviTy00,tackles_solo,1,,,,,
player,201610090min,htx,ErviTy00,tackles_assists,0,,,,,
player,201610090min,htx,ErviTy00,tackles_loss,0,,,,,
player,201610090min,htx,ErviTy00,qb_hits,0,,,,,
player,201610090min,htx,ErviTy00,fumbles_rec,0,,,,,
player,201610090min,htx,ErviTy00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,ErviTy00,fumbles_rec_td,0,,,,,
player,201610090min,htx,ErviTy00,fumbles_forced,0,,,,,
player,201610090min,htx,HeatJo00,def_int,0,,,,,
player,201610090min,htx,HeatJo00,def_int_yds,0,,,,,
player,201610090min,htx,HeatJo00,def_int_td,0,,,,,
player,201610090min,htx,HeatJo00,def_int_long,0,,,,,
player,201610090min,htx,HeatJo00,pass_defended,0,,,,,
player,201610090min,htx,HeatJo00,sacks,0.0,,,,,
player,201610090min,htx,HeatJo00,tackles_combined,1,,,,,
player,201610090min,htx,HeatJo00,tackles_solo,1,,,,,
player,201610090min,htx,HeatJo00,tackles_assists,0,,,,,
player,201610090min,htx,HeatJo00,tackles_loss,0,,,,,
player,201610090min,htx,HeatJo00,qb_hits,0,,,,,
player,201610090min,htx,HeatJo00,fumbles_rec,0,,,,,
player,201610090min,htx,HeatJo00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,HeatJo00,fumbles_rec_td,0,,,,,
player,201610090min,htx,HeatJo00,fumbles_forced,0,,,,,
player,201610090min,htx,PleaEd00,def_int,0,,,,,
player,201610090min,htx,PleaEd00,def_int_yds,0,,,,,
player,201610090min,htx,PleaEd00,def_int_td,0,,,,,
player,201610090min,htx,PleaEd00,def_int_long,0,,,,,
player,201610090min,htx,PleaEd00,pass_defended,2,,,,,
player,201610090min,htx,PleaEd00,sacks,0.0,,,,,
player,201610090min,htx,PleaEd00,tackles_combined,1,,,,,
player,201610090min,htx,PleaEd00,tackles_solo,0,,,,,
player,201610090min,htx,PleaEd00,tackles_assists,1,,,,,
player,201610090min,htx,PleaEd00,tackles_loss,0,,,,,
player,201610090min,htx,PleaEd00,qb_hits,0,,,,,
player,201610090min,htx,PleaEd00,fumbles_rec,0,,,,,
player,201610090min,htx,PleaEd00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,PleaEd00,fumbles_rec_td,0,,,,,
player,201610090min,htx,PleaEd00,fumbles_forced,0,,,,,
player,201610090min,htx,ReadD.00,def_int,0,,,,,
player,201610090min,htx,ReadD.00,def_int_yds,0,,,,,
player,201610090min,htx,ReadD.00,def_int_td,0,,,,,
player,201610090min,htx,ReadD.00,def_int_long,0,,,,,
player,201610090min,htx,ReadD.00,pass_defended,0,,,,,
player,201610090min,htx,ReadD.00,sacks,0.0,,,,,
player,201610090min,htx,ReadD.00,tackles_combined,1,,,,,
player,201610090min,htx,ReadD.00,tackles_solo,0,,,,,
player,201610090min,htx,ReadD.00,tackles_assists,1,,,,,
player,201610090min,htx,ReadD.00,tackles_loss,0,,,,,
player,201610090min,htx,ReadD.00,qb_hits,0,,,,,
player,201610090min,htx,ReadD.00,fumbles_rec,0,,,,,
player,201610090min,htx,ReadD.00,fumbles_rec_yds,0,,,,,
player,201610090min,htx,ReadD.00,fumbles_rec_td,0,,,,,
player,201610090min,htx,ReadD.00,fumbles_forced,0,,,,,
player,201610090min,min,SendAn00,def_int,1,,,,,
player,201610090min,min,SendAn00,def_int_yds,2,,,,,
player,201610090min,min,SendAn00,def_int_td,0,,,,,
player,201610090min,min,SendAn00,def_int_long,2,,,,,
player,201610090min,min,SendAn00,pass_defended,1,,,,,
player,201610090min,min,SendAn00,sacks,0.0,,,,,
player,201610090min,min,SendAn00,tackles_combined,6,,,,,
player,201610090min,min,SendAn00,tackles_solo,5,,,,,
player,201610090min,min,SendAn00,tackles_assists,1,,,,,
player,201610090min,min,SendAn00,tackles_loss,0,,,,,
player,201610090min,min,SendAn00,qb_hits,0,,,,,
player,201610090min,min,SendAn00,fumbles_rec,0,,,,,
player,201610090min,min,SendAn00,fumbles_rec_yds,0,,,,,
player,201610090min,min,SendAn00,fumbles_rec_td,0,,,,,
player,201610090min,min,SendAn00,fumbles_forced,0,,,,,
player,201610090min,min,RobiBr98,def_int,0,,,,,
player,201610090min,min,RobiBr98,def_int_yds,0,,,,,
player,201610090min,min,RobiBr98,def_int_td,0,,,,,
player,201610090min,min,RobiBr98,def_int_long,0,,,,,
player,201610090min,min,RobiBr98,pass_defended,0,,,,,
player,201610090min,min,RobiBr98,sacks,2.0,,,,,
player,201610090min,min,RobiBr98,tackles_combined,2,,,,,
player,201610090min,min,RobiBr98,tackles_solo,2,,,,,
player,201610090min,min,RobiBr98,tackles_assists,0,,,,,
player,201610090min,min,RobiBr98,tackles_loss,1,,,,,
player,201610090min,min,RobiBr98,qb_hits,3,,,,,
player,201610090min,min,RobiBr98,fumbles_rec,0,,,,,
player,201610090min,min,RobiBr98,fumbles_rec_yds,0,,,,,
player,201610090min,min,RobiBr98,fumbles_rec_td,0,,,,,
player,201610090min,min,RobiBr98,fumbles_forced,1,,,,,
player,201610090min,min,HuntDa01,def_int,0,,,,,
player,201610090min,min,HuntDa01,def_int_yds,0,,,,,
player,201610090min,min,HuntDa01,def_int_td,0,,,,,
player,201610090min,min,HuntDa01,def_int_long,0,,,,,
player,201610090min,min,HuntDa01,pass_defended,1,,,,,
player,201610090min,min,HuntDa01,sacks,1.0,,,,,
player,201610090min,min,HuntDa01,tackles_combined,3,,,,,
player,201610090min,min,HuntDa01,tackles_solo,1,,,,,
player,201610090min,min,HuntDa01,tackles_assists,2,,,,,
player,201610090min,min,HuntDa01,tackles_loss,1,,,,,
player,201610090min,min,HuntDa01,qb_hits,1,,,,,
player,201610090min,min,HuntDa01,fumbles_rec,0,,,,,
player,201610090min,min,HuntDa01,fumbles_rec_yds,0,,,,,
player,201610090min,min,HuntDa01,fumbles_rec_td,0,,,,,
player,201610090min,min,HuntDa01,fumbles_forced,0,,,,,
player,201610090min,min,JohnTo01,def_int,0,,,,,
player,201610090min,min,JohnTo01,def_int_yds,0,,,,,
player,201610090min,min,JohnTo01,def_int_td,0,,,,,
player,201610090min,min,JohnTo01,def_int_long,0,,,,,
player,201610090min,min,JohnTo01,pass_defended,0,,,,,
player,201610090min,min,JohnTo01,sacks,1.0,,,,,
player,201610090min,min,JohnTo01,tackles_combined,2,,,,,
player,201610090min,min,JohnTo01,tackles_solo,2,,,,,
player,201610090min,min,JohnTo01,tackles_assists,0,,,,,
player,201610090min,min,JohnTo01,tackles_loss,1,,,,,
player,201610090min,min,JohnTo01,qb_hits,6,,,,,
player,201610090min,min,JohnTo01,fumbles_rec,0,,,,,
player,201610090min,min,JohnTo01,fumbles_rec_yds,0,,,,,
player,201610090min,min,JohnTo01,fumbles_rec_td,0,,,,,
player,201610090min,min,JohnTo01,fumbles_forced,0,,,,,
player,201610090min,min,MunnCa99,def_int,0,,,,,
player,201610090min,min,MunnCa99,def_int_yds,0,,,,,
player,201610090min,min,MunnCa99,def_int_td,0,,,,,
player,201610090min,min,MunnCa99,def_int_long,0,,,,,
player,201610090min,min,MunnCa99,pass_defended,1,,,,,
player,201610090min,min,MunnCa99,sacks,0.0,,,,,
player,201610090min,min,MunnCa99,tackles_combined,6,,,,,
player,201610090min,min,MunnCa99,tackles_solo,5,,,,,
player,201610090min,min,MunnCa99,tackles_assists,1,,,,,
player,201610090min,min,MunnCa99,tackles_loss,1,,,,,
player,201610090min,min,MunnCa99,qb_hits,0,,,,,
player,201610090min,min,MunnCa99,fumbles_rec,0,,,,,
player,201610090min,min,MunnCa99,fumbles_rec_yds,0,,,,,
player,201610090min,min,MunnCa99,fumbles_rec_td,0,,,,,
player,201610090min,min,MunnCa99,fumbles_forced,0,,,,,
player,201610090min,min,SmitHa00,def_int,0,,,,,
player,201610090min,min,SmitHa00,def_int_yds,0,,,,,
player,201610090min,min,SmitHa00,def_int_td,0,,,,,
player,201610090min,min,SmitHa00,def_int_long,0,,,,,
player,201610090min,min,SmitHa00,pass_defended,1,,,,,
player,201610090min,min,SmitHa00,sacks,0.0,,,,,
player,201610090min,min,SmitHa00,tackles_combined,6,,,,,
player,201610090min,min,SmitHa00,tackles_solo,4,,,,,
player,201610090min,min,SmitHa00,tackles_assists,2,,,,,
player,201610090min,min,SmitHa00,tackles_loss,0,,,,,
player,201610090min,min,SmitHa00,qb_hits,0,,,,,
player,201610090min,min,SmitHa00,fumbles_rec,0,,,,,
player,201610090min,min,SmitHa00,fumbles_rec_yds,0,,,,,
player,201610090min,min,SmitHa00,fumbles_rec_td,0,,,,,
player,201610090min,min,SmitHa00,fumbles_forced,0,,,,,
player,201610090min,min,KendEr00,def_int,0,,,,,
player,201610090min,min,KendEr00,def_int_yds,0,,,,,
player,201610090min,min,KendEr00,def_int_td,0,,,,,
player,201610090min,min,KendEr00,def_int_long,0,,,,,
player,201610090min,min,KendEr00,pass_defended,2,,,,,
player,201610090min,min,KendEr00,sacks,0.0,,,,,
player,201610090min,min,KendEr00,tackles_combined,5,,,,,
player,201610090min,min,KendEr00,tackles_solo,4,,,,,
player,201610090min,min,KendEr00,tackles_assists,1,,,,,
player,201610090min,min,KendEr00,tackles_loss,0,,,,,
player,201610090min,min,KendEr00,qb_hits,0,,,,,
player,201610090min,min,KendEr00,fumbles_rec,0,,,,,
player,201610090min,min,KendEr00,fumbles_rec_yds,0,,,,,
player,201610090min,min,KendEr00,fumbles_rec_td,0,,,,,
player,201610090min,min,KendEr00,fumbles_forced,0,,,,,
player,201610090min,min,JoseLi99,def_int,0,,,,,
player,201610090min,min,JoseLi99,def_int_yds,0,,,,,
player,201610090min,min,JoseLi99,def_int_td,0,,,,,
player,201610090min,min,JoseLi99,def_int_long,0,,,,,
player,201610090min,min,JoseLi99,pass_defended,0,,,,,
player,201610090min,min,JoseLi99,sacks,0.0,,,,,
player,201610090min,min,JoseLi99,tackles_combined,4,,,,,
player,201610090min,min,JoseLi99,tackles_solo,0,,,,,
player,201610090min,min,JoseLi99,tackles_assists,4,,,,,
player,201610090min,min,JoseLi99,tackles_loss,0,,,,,
player,201610090min,min,JoseLi99,qb_hits,2,,,,,
player,201610090min,min,JoseLi99,fumbles_rec,0,,,,,
player,201610090min,min,JoseLi99,fumbles_rec_yds,0,,,,,
player,201610090min,min,JoseLi99,fumbles_rec_td,0,,,,,
player,201610090min,min,JoseLi99,fumbles_forced,0,,,,,
player,201610090min,min,BarrAn00,def_int,0,,,,,
player,201610090min,min,BarrAn00,def_int_yds,0,,,,,
player,201610090min,min,BarrAn00,def_int_td,0,,,,,
player,201610090min,min,BarrAn00,def_int_long,0,,,,,
player,201610090min,min,BarrAn00,pass_defended,0,,,,,
player,201610090min,min,BarrAn00,sacks,0.0,,,,,
player,201610090min,min,BarrAn00,tackles_combined,2,,,,,
player,201610090min,min,BarrAn00,tackles_solo,1,,,,,
player,201610090min,min,BarrAn00,tackles_assists,1,,,,,
player,201610090min,min,BarrAn00,tackles_loss,0,,,,,
player,201610090min,min,BarrAn00,qb_hits,2,,,,,
player,201610090min,min,BarrAn00,fumbles_rec,0,,,,,
player,201610090min,min,BarrAn00,fumbles_rec_yds,0,,,,,
player,201610090min,min,BarrAn00,fumbles_rec_td,0,,,,,
player,201610090min,min,BarrAn00,fumbles_forced,0,,,,,
player,201610090min,min,GreeCh99,def_int,0,,,,,
player,201610090min,min,GreeCh99,def_int_yds,0,,,,,
player,201610090min,min,GreeCh99,def_int_td,0,,,,,
player,201610090min,min,GreeCh99,def_int_long,0,,,,,
player,201610090min,min,GreeCh99,pass_defended,0,,,,,
player,201610090min,min,GreeCh99,sacks,0.0,,,,,
player,201610090min,min,GreeCh99,tackles_combined,2,,,,,
player,201610090min,min,GreeCh99,tackles_solo,2,,,,,
player,201610090min,min,GreeCh99,tackles_assists,0,,,,,
player,201610090min,min,GreeCh99,tackles_loss,0,,,,,
player,201610090min,min,GreeCh99,qb_hits,0,,,,,
player,201610090min,min,GreeCh99,fumbles_rec,0,,,,,
player,201610090min,min,GreeCh99,fumbles_rec_yds,0,,,,,
player,201610090min,min,GreeCh99,fumbles_rec_td,0,,,,,
player,201610090min,min,GreeCh99,fumbles_forced,0,,,,,
player,201610090min,min,GrifEv99,def_int,0,,,,,
player,201610090min,min,GrifEv99,def_int_yds,0,,,,,
player,201610090min,min,GrifEv99,def_int_td,0,,,,,
player,201610090min,min,GrifEv99,def_int_long,0,,,,,
player,201610090min,min,GrifEv99,pass_defended,0,,,,,
player,201610090min,min,GrifEv99,sacks,0.0,,,,,
player,201610090min,min,GrifEv99,tackles_combined,2,,,,,
player,201610090min,min,GrifEv99,tackles_solo,0,,,,,
player,201610090min,min,GrifEv99,tackles_assists,2,,,,,
player,201610090min,min,GrifEv99,tackles_loss,0,,,,,
player,201610090min,min,GrifEv99,qb_hits,1,,,,,
player,201610090min,min,GrifEv99,fumbles_rec,0,,,,,
player,201610090min,min,GrifEv99,fumbles_rec_yds,0,,,,,
player,201610090min,min,GrifEv99,fumbles_rec_td,0,,,,,
player,201610090min,min,GrifEv99,fumbles_forced,0,,,,,
player,201610090min,min,LamuEm00,def_int,0,,,,,
player,201610090min,min,LamuEm00,def_int_yds,0,,,,,
player,201610090min,min,LamuEm00,def_int_td,0,,,,,
player,201610090min,min,LamuEm00,def_int_long,0,,,,,
player,201610090min,min,LamuEm00,pass_defended,0,,,,,
player,201610090min,min,LamuEm00,sacks,0.0,,,,,
player,201610090min,min,LamuEm00,tackles_combined,2,,,,,
player,201610090min,min,LamuEm00,tackles_solo,1,,,,,
player,201610090min,min,LamuEm00,tackles_assists,1,,,,,
player,201610090min,min,LamuEm00,tackles_loss,0,,,,,
player,201610090min,min,LamuEm00,qb_hits,0,,,,,
player,201610090min,min,LamuEm00,fumbles_rec,0,,,,,
player,201610090min,min,LamuEm00,fumbles_rec_yds,0,,,,,
player,201610090min,min,LamuEm00,fumbles_rec_td,0,,,,,
player,201610090min,min,LamuEm00,fumbles_forced,0,,,,,
player,201610090min,min,RhodXa00,def_int,0,,,,,
player,201610090min,min,RhodXa00,def_int_yds,0,,,,,
player,201610090min,min,RhodXa00,def_int_td,0,,,,,
player,201610090min,min,RhodXa00,def_int_long,0,,,,,
player,201610090min,min,RhodXa00,pass_defended,0,,,,,
player,201610090min,min,RhodXa00,sacks,0.0,,,,,
player,201610090min,min,RhodXa00,tackles_combined,2,,,,,
player,201610090min,min,RhodXa00,tackles_solo,2,,,,,
player,201610090min,min,RhodXa00,tackles_assists,0,,,,,
player,201610090min,min,RhodXa00,tackles_loss,0,,,,,
player,201610090min,min,RhodXa00,qb_hits,0,,,,,
player,201610090min,min,RhodXa00,fumbles_rec,0,,,,,
player,201610090min,min,RhodXa00,fumbles_rec_yds,0,,,,,
player,201610090min,min,RhodXa00,fumbles_rec_td,0,,,,,
player,201610090min,min,RhodXa00,fumbles_forced,0,,,,,
player,201610090min,min,StepSh00,def_int,0,,,,,
player,201610090min,min,StepSh00,def_int_yds,0,,,,,
player,201610090min,min,StepSh00,def_int_td,0,,,,,
player,201610090min,min,StepSh00,def_int_long,0,,,,,
player,201610090min,min,StepSh00,pass_defended,0,,,,,
player,201610090min,min,StepSh00,sacks,0.0,,,,,
player,201610090min,min,StepSh00,tackles_combined,2,,,,,
player,201610090min,min,StepSh00,tackles_solo,2,,,,,
player,201610090min,min,StepSh00,tackles_assists,0,,,,,
player,201610090min,min,StepSh00,tackles_loss,0,,,,,
player,201610090min,min,StepSh00,qb_hits,0,,,,,
player,201610090min,min,StepSh00,fumbles_rec,0,,,,,
player,201610090min,min,StepSh00,fumbles_rec_yds,0,,,,,
player,201610090min,min,StepSh00,fumbles_rec_td,0,,,,,
player,201610090min,min,StepSh00,fumbles_forced,0,,,,,
player,201610090min,min,ColeAu00,def_int,0,,,,,
player,201610090min,min,ColeAu00,def_int_yds,0,,,,,
player,201610090min,min,ColeAu00,def_int_td,0,,,,,
player,201610090min,min,ColeAu00,def_int_long,0,,,,,
player,201610090min,min,ColeAu00,pass_defended,0,,,,,
player,201610090min,min,ColeAu00,sacks,0.0,,,,,
player,201610090min,min,ColeAu00,tackles_combined,1,,,,,
player,201610090min,min,ColeAu00,tackles_solo,1,,,,,
player,201610090min,min,ColeAu00,tackles_assists,0,,,,,
player,201610090min,min,ColeAu00,tackles_loss,0,,,,,
player,201610090min,min,ColeAu00,qb_hits,0,,,,,
player,201610090min,min,ColeAu00,fumbles_rec,0,,,,,
player,201610090min,min,ColeAu00,fumbles_rec_yds,0,,,,,
