game,2016,2,20160918,201609180nyg,nor,"New Orleans Saints",13,nyg,"New York Giants",16
player,201609180nyg,nor,ColeBr00,pass_att,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_yds,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_td,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_int,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_sacked,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_long,0,,,,,
player,201609180nyg,nor,ColeBr00,pass_rating,,,,,,
player,201609180nyg,nor,ColeBr00,rush_att,0,,,,,
player,201609180nyg,nor,ColeBr00,rush_yds,0,,,,,
player,201609180nyg,nor,ColeBr00,rush_td,0,,,,,
player,201609180nyg,nor,ColeBr00,rush_long,0,,,,,
player,201609180nyg,nor,ColeBr00,targets,4,,,,,
player,201609180nyg,nor,ColeBr00,rec,2,,,,,
player,201609180nyg,nor,ColeBr00,rec_yds,15,,,,,
player,201609180nyg,nor,ColeBr00,rec_td,0,,,,,
player,201609180nyg,nor,ColeBr00,rec_long,10,,,,,
player,201609180nyg,nor,ColeBr00,fumbles,0,,,,,
player,201609180nyg,nor,ColeBr00,fumbles_lost,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_cmp,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_att,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_yds,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_td,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_int,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_sacked,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_sacked_yds,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_long,0,,,,,
player,201609180nyg,nor,LewiTo00,pass_rating,,,,,,
player,201609180nyg,nor,LewiTo00,rush_att,0,,,,,
player,201609180nyg,nor,LewiTo00,rush_yds,0,,,,,
player,201609180nyg,nor,LewiTo00,rush_td,0,,,,,
player,201609180nyg,nor,LewiTo00,rush_long,0,,,,,
player,201609180nyg,nor,LewiTo00,targets,1,,,,,
player,201609180nyg,nor,LewiTo00,rec,1,,,,,
player,201609180nyg,nor,LewiTo00,rec_yds,-1,,,,,
player,201609180nyg,nor,LewiTo00,rec_td,0,,,,,
player,201609180nyg,nor,LewiTo00,rec_long,-1,,,,,
player,201609180nyg,nor,LewiTo00,fumbles,0,,,,,
player,201609180nyg,nor,LewiTo00,fumbles_lost,0,,,,,
player,201609180nyg,nyg,MannEl00,pass_cmp,32,,,,,
player,201609180nyg,nyg,MannEl00,pass_att,41,,,,,
player,201609180nyg,nyg,MannEl00,pass_yds,368,,,,,
player,201609180nyg,nyg,MannEl00,pass_td,0,,,,,
player,201609180nyg,nyg,MannEl00,pass_int,0,,,,,
player,201609180nyg,nyg,MannEl00,pass_sacked,2,,,,,
player,201609180nyg,nyg,MannEl00,pass_sacked_yds,15,,,,,
player,201609180nyg,nyg,MannEl00,pass_long,40,,,,,
player,201609180nyg,nyg,MannEl00,pass_rating,104.1,,,,,
player,201609180nyg,nyg,MannEl00,rush_att,4,,,,,
player,201609180nyg,nyg,MannEl00,rush_yds,-4,,,,,
player,201609180nyg,nyg,MannEl00,rush_td,0,,,,,
