game,2016,4,20161002,201610020htx,oti,"Tennessee Titans",20,htx,"Houston Texans",27
player,201610020htx,oti,FasaAn00,pass_rating,,,,,,
player,201610020htx,oti,FasaAn00,rush_att,0,,,,,
player,201610020htx,oti,FasaAn00,rush_yds,0,,,,,
player,201610020htx,oti,FasaAn00,rush_td,0,,,,,
player,201610020htx,oti,FasaAn00,rush_long,0,,,,,
player,201610020htx,oti,FasaAn00,targets,1,,,,,
player,201610020htx,oti,FasaAn00,rec,0,,,,,
player,201610020htx,oti,FasaAn00,rec_yds,0,,,,,
player,201610020htx,oti,FasaAn00,rec_td,0,,,,,
player,201610020htx,oti,FasaAn00,rec_long,0,,,,,
player,201610020htx,oti,FasaAn00,fumbles,0,,,,,
player,201610020htx,oti,FasaAn00,fumbles_lost,0,,,,,
player,201610020htx,htx,OsweBr00,pass_cmp,25,,,,,
player,201610020htx,htx,OsweBr00,pass_att,37,,,,,
player,201610020htx,htx,OsweBr00,pass_yds,254,,,,,
player,201610020htx,htx,OsweBr00,pass_td,2,,,,,
player,201610020htx,htx,OsweBr00,pass_int,2,,,,,
player,201610020htx,htx,OsweBr00,pass_sacked,1,,,,,
player,201610020htx,htx,OsweBr00,pass_sacked_yds,10,,,,,
player,201610020htx,htx,OsweBr00,pass_long,45,,,,,
player,201610020htx,htx,OsweBr00,pass_rating,82.5,,,,,
player,201610020htx,htx,OsweBr00,rush_att,1,,,,,
player,201610020htx,htx,OsweBr00,rush_yds,14,,,,,
player,201610020htx,htx,OsweBr00,rush_td,0,,,,,
player,201610020htx,htx,OsweBr00,rush_long,14,,,,,
player,201610020htx,htx,OsweBr00,targets,0,,,,,
player,201610020htx,htx,OsweBr00,rec,0,,,,,
player,201610020htx,htx,OsweBr00,rec_yds,0,,,,,
player,201610020htx,htx,OsweBr00,rec_td,0,,,,,
player,201610020htx,htx,OsweBr00,rec_long,0,,,,,
player,201610020htx,htx,OsweBr00,fumbles,0,,,,,
player,201610020htx,htx,OsweBr00,fumbles_lost,0,,,,,
player,201610020htx,htx,MillLa01,pass_cmp,0,,,,,
player,201610020htx,htx,MillLa01,pass_att,0,,,,,
player,201610020htx,htx,MillLa01,pass_yds,0,,,,,
player,201610020htx,htx,MillLa01,pass_td,0,,,,,
player,201610020htx,htx,MillLa01,pass_int,0,,,,,
player,201610020htx,htx,MillLa01,pass_sacked,0,,,,,
player,201610020htx,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201610020htx,htx,MillLa01,pass_long,0,,,,,
player,201610020htx,htx,MillLa01,pass_rating,,,,,,
player,201610020htx,htx,MillLa01,rush_att,19,,,,,
player,201610020htx,htx,MillLa01,rush_yds,82,,,,,
player,201610020htx,htx,MillLa01,rush_td,0,,,,,
player,201610020htx,htx,MillLa01,rush_long,14,,,,,
player,201610020htx,htx,MillLa01,targets,3,,,,,
player,201610020htx,htx,MillLa01,rec,3,,,,,
player,201610020htx,htx,MillLa01,rec_yds,26,,,,,
player,201610020htx,htx,MillLa01,rec_td,0,,,,,
player,201610020htx,htx,MillLa01,rec_long,11,,,,,
player,201610020htx,htx,MillLa01,fumbles,0,,,,,
player,201610020htx,htx,MillLa01,fumbles_lost,0,,,,,
player,201610020htx,htx,BlueAl00,pass_cmp,0,,,,,
player,201610020htx,htx,BlueAl00,pass_att,0,,,,,
player,201610020htx,htx,BlueAl00,pass_yds,0,,,,,
player,201610020htx,htx,BlueAl00,pass_td,0,,,,,
player,201610020htx,htx,BlueAl00,pass_int,0,,,,,
player,201610020htx,htx,BlueAl00,pass_sacked,0,,,,,
player,201610020htx,htx,BlueAl00,pass_sacked_yds,0,,,,,
player,201610020htx,htx,BlueAl00,pass_long,0,,,,,
player,201610020htx,htx,BlueAl00,pass_rating,,,,,,
player,201610020htx,htx,BlueAl00,rush_att,3,,,,,
player,201610020htx,htx,BlueAl00,rush_yds,19,,,,,
player,201610020htx,htx,BlueAl00,rush_td,0,,,,,
player,201610020htx,htx,BlueAl00,rush_long,17,,,,,
player,201610020htx,htx,BlueAl00,targets,1,,,,,
player,201610020htx,htx,BlueAl00,rec,1,,,,,
player,201610020htx,htx,BlueAl00,rec_yds,4,,,,,
player,201610020htx,htx,BlueAl00,rec_td,0,,,,,
player,201610020htx,htx,BlueAl00,rec_long,4,,,,,
player,201610020htx,htx,BlueAl00,fumbles,0,,,,,
player,201610020htx,htx,BlueAl00,fumbles_lost,0,,,,,
player,201610020htx,htx,FullWi01,pass_cmp,0,,,,,
player,201610020htx,htx,FullWi01,pass_att,0,,,,,
player,201610020htx,htx,FullWi01,pass_yds,0,,,,,
player,201610020htx,htx,FullWi01,pass_td,0,,,,,
player,201610020htx,htx,FullWi01,pass_int,0,,,,,
player,201610020htx,htx,FullWi01,pass_sacked,0,,,,,
player,201610020htx,htx,FullWi01,pass_sacked_yds,0,,,,,
player,201610020htx,htx,FullWi01,pass_long,0,,,,,
player,201610020htx,htx,FullWi01,pass_rating,,,,,,
player,201610020htx,htx,FullWi01,rush_att,0,,,,,
player,201610020htx,htx,FullWi01,rush_yds,0,,,,,
player,201610020htx,htx,FullWi01,rush_td,0,,,,,
player,201610020htx,htx,FullWi01,rush_long,0,,,,,
player,201610020htx,htx,FullWi01,targets,9,,,,,
player,201610020htx,htx,FullWi01,rec,7,,,,,
player,201610020htx,htx,FullWi01,rec_yds,81,,,,,
player,201610020htx,htx,FullWi01,rec_td,1,,,,,
player,201610020htx,htx,FullWi01,rec_long,28,,,,,
player,201610020htx,htx,FullWi01,fumbles,0,,,,,
player,201610020htx,htx,FullWi01,fumbles_lost,0,,,,,
player,201610020htx,htx,GrifRy00,pass_cmp,0,,,,,
player,201610020htx,htx,GrifRy00,pass_att,0,,,,,
player,201610020htx,htx,GrifRy00,pass_yds,0,,,,,
player,201610020htx,htx,GrifRy00,pass_td,0,,,,,
player,201610020htx,htx,GrifRy00,pass_int,0,,,,,
player,201610020htx,htx,GrifRy00,pass_sacked,0,,,,,
player,201610020htx,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201610020htx,htx,GrifRy00,pass_long,0,,,,,
player,201610020htx,htx,GrifRy00,pass_rating,,,,,,
player,201610020htx,htx,GrifRy00,rush_att,0,,,,,
player,201610020htx,htx,GrifRy00,rush_yds,0,,,,,
player,201610020htx,htx,GrifRy00,rush_td,0,,,,,
player,201610020htx,htx,GrifRy00,rush_long,0,,,,,
player,201610020htx,htx,GrifRy00,targets,5,,,,,
player,201610020htx,htx,GrifRy00,rec,3,,,,,
player,201610020htx,htx,GrifRy00,rec_yds,54,,,,,
player,201610020htx,htx,GrifRy00,rec_td,0,,,,,
player,201610020htx,htx,GrifRy00,rec_long,45,,,,,
player,201610020htx,htx,GrifRy00,fumbles,0,,,,,
player,201610020htx,htx,GrifRy00,fumbles_lost,0,,,,,
player,201610020htx,htx,FiedC.00,pass_cmp,0,,,,,
player,201610020htx,htx,FiedC.00,pass_att,0,,,,,
player,201610020htx,htx,FiedC.00,pass_yds,0,,,,,
player,201610020htx,htx,FiedC.00,pass_td,0,,,,,
player,201610020htx,htx,FiedC.00,pass_int,0,,,,,
player,201610020htx,htx,FiedC.00,pass_sacked,0,,,,,
player,201610020htx,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201610020htx,htx,FiedC.00,pass_long,0,,,,,
player,201610020htx,htx,FiedC.00,pass_rating,,,,,,
player,201610020htx,htx,FiedC.00,rush_att,0,,,,,
player,201610020htx,htx,FiedC.00,rush_yds,0,,,,,
player,201610020htx,htx,FiedC.00,rush_td,0,,,,,
player,201610020htx,htx,FiedC.00,rush_long,0,,,,,
player,201610020htx,htx,FiedC.00,targets,5,,,,,
player,201610020htx,htx,FiedC.00,rec,4,,,,,
player,201610020htx,htx,FiedC.00,rec_yds,48,,,,,
player,201610020htx,htx,FiedC.00,rec_td,1,,,,,
player,201610020htx,htx,FiedC.00,rec_long,18,,,,,
player,201610020htx,htx,FiedC.00,fumbles,0,,,,,
player,201610020htx,htx,FiedC.00,fumbles_lost,0,,,,,
player,201610020htx,htx,StroJa01,pass_cmp,0,,,,,
player,201610020htx,htx,StroJa01,pass_att,0,,,,,
player,201610020htx,htx,StroJa01,pass_yds,0,,,,,
