game,2016,15,20161218,201612180min,clt,"Indianapolis Colts",34,min,"Minnesota Vikings",6
player,201612180min,min,AsiaMa00,rec_long,20,,,,,
player,201612180min,min,AsiaMa00,fumbles,0,,,,,
player,201612180min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201612180min,min,DiggSt00,pass_cmp,0,,,,,
player,201612180min,min,DiggSt00,pass_att,0,,,,,
player,201612180min,min,DiggSt00,pass_yds,0,,,,,
player,201612180min,min,DiggSt00,pass_td,0,,,,,
player,201612180min,min,DiggSt00,pass_int,0,,,,,
player,201612180min,min,DiggSt00,pass_sacked,0,,,,,
player,201612180min,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201612180min,min,DiggSt00,pass_long,0,,,,,
player,201612180min,min,DiggSt00,pass_rating,,,,,,
player,201612180min,min,DiggSt00,rush_att,0,,,,,
player,201612180min,min,DiggSt00,rush_yds,0,,,,,
player,201612180min,min,DiggSt00,rush_td,0,,,,,
player,201612180min,min,DiggSt00,rush_long,0,,,,,
player,201612180min,min,DiggSt00,targets,5,,,,,
player,201612180min,min,DiggSt00,rec,2,,,,,
player,201612180min,min,DiggSt00,rec_yds,13,,,,,
player,201612180min,min,DiggSt00,rec_td,0,,,,,
player,201612180min,min,DiggSt00,rec_long,11,,,,,
player,201612180min,min,DiggSt00,fumbles,0,,,,,
player,201612180min,min,DiggSt00,fumbles_lost,0,,,,,
player,201612180min,min,WrigJa02,pass_cmp,0,,,,,
player,201612180min,min,WrigJa02,pass_att,0,,,,,
player,201612180min,min,WrigJa02,pass_yds,0,,,,,
player,201612180min,min,WrigJa02,pass_td,0,,,,,
player,201612180min,min,WrigJa02,pass_int,0,,,,,
player,201612180min,min,WrigJa02,pass_sacked,0,,,,,
player,201612180min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201612180min,min,WrigJa02,pass_long,0,,,,,
player,201612180min,min,WrigJa02,pass_rating,,,,,,
player,201612180min,min,WrigJa02,rush_att,0,,,,,
player,201612180min,min,WrigJa02,rush_yds,0,,,,,
player,201612180min,min,WrigJa02,rush_td,0,,,,,
player,201612180min,min,WrigJa02,rush_long,0,,,,,
player,201612180min,min,WrigJa02,targets,2,,,,,
player,201612180min,min,WrigJa02,rec,1,,,,,
player,201612180min,min,WrigJa02,rec_yds,2,,,,,
player,201612180min,min,WrigJa02,rec_td,0,,,,,
player,201612180min,min,WrigJa02,rec_long,2,,,,,
player,201612180min,min,WrigJa02,fumbles,0,,,,,
player,201612180min,min,WrigJa02,fumbles_lost,0,,,,,
player,201612180min,min,ThieAd00,pass_cmp,0,,,,,
player,201612180min,min,ThieAd00,pass_att,0,,,,,
player,201612180min,min,ThieAd00,pass_yds,0,,,,,
player,201612180min,min,ThieAd00,pass_td,0,,,,,
player,201612180min,min,ThieAd00,pass_int,0,,,,,
player,201612180min,min,ThieAd00,pass_sacked,0,,,,,
player,201612180min,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201612180min,min,ThieAd00,pass_long,0,,,,,
player,201612180min,min,ThieAd00,pass_rating,,,,,,
player,201612180min,min,ThieAd00,rush_att,0,,,,,
player,201612180min,min,ThieAd00,rush_yds,0,,,,,
player,201612180min,min,ThieAd00,rush_td,0,,,,,
player,201612180min,min,ThieAd00,rush_long,0,,,,,
player,201612180min,min,ThieAd00,targets,1,,,,,
player,201612180min,min,ThieAd00,rec,0,,,,,
player,201612180min,min,ThieAd00,rec_yds,0,,,,,
player,201612180min,min,ThieAd00,rec_td,0,,,,,
player,201612180min,min,ThieAd00,rec_long,0,,,,,
player,201612180min,min,ThieAd00,fumbles,0,,,,,
player,201612180min,min,ThieAd00,fumbles_lost,0,,,,,
player,201612180min,clt,AdamMi21,def_int,1,,,,,
player,201612180min,clt,AdamMi21,def_int_yds,0,,,,,
player,201612180min,clt,AdamMi21,def_int_td,0,,,,,
player,201612180min,clt,AdamMi21,def_int_long,0,,,,,
player,201612180min,clt,AdamMi21,pass_defended,1,,,,,
player,201612180min,clt,AdamMi21,sacks,0.0,,,,,
player,201612180min,clt,AdamMi21,tackles_combined,6,,,,,
player,201612180min,clt,AdamMi21,tackles_solo,5,,,,,
