game,2016,11,20161120,201611200was,gnb,"Green Bay Packers",24,was,"Washington Redskins",42
player,201611200was,was,KellRo00,rush_yds,137,,,,,
player,201611200was,was,KellRo00,rush_td,3,,,,,
player,201611200was,was,KellRo00,rush_long,66,,,,,
player,201611200was,was,KellRo00,targets,2,,,,,
player,201611200was,was,KellRo00,rec,0,,,,,
player,201611200was,was,KellRo00,rec_yds,0,,,,,
player,201611200was,was,KellRo00,rec_td,0,,,,,
player,201611200was,was,KellRo00,rec_long,0,,,,,
player,201611200was,was,KellRo00,fumbles,0,,,,,
player,201611200was,was,KellRo00,fumbles_lost,0,,,,,
player,201611200was,was,ThomCh03,pass_cmp,0,,,,,
player,201611200was,was,ThomCh03,pass_att,0,,,,,
player,201611200was,was,ThomCh03,pass_yds,0,,,,,
player,201611200was,was,ThomCh03,pass_td,0,,,,,
player,201611200was,was,ThomCh03,pass_int,0,,,,,
player,201611200was,was,ThomCh03,pass_sacked,0,,,,,
player,201611200was,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201611200was,was,ThomCh03,pass_long,0,,,,,
player,201611200was,was,ThomCh03,pass_rating,,,,,,
player,201611200was,was,ThomCh03,rush_att,2,,,,,
player,201611200was,was,ThomCh03,rush_yds,10,,,,,
player,201611200was,was,ThomCh03,rush_td,0,,,,,
player,201611200was,was,ThomCh03,rush_long,9,,,,,
player,201611200was,was,ThomCh03,targets,3,,,,,
player,201611200was,was,ThomCh03,rec,1,,,,,
player,201611200was,was,ThomCh03,rec_yds,9,,,,,
player,201611200was,was,ThomCh03,rec_td,0,,,,,
player,201611200was,was,ThomCh03,rec_long,9,,,,,
player,201611200was,was,ThomCh03,fumbles,0,,,,,
player,201611200was,was,ThomCh03,fumbles_lost,0,,,,,
player,201611200was,was,GarcPi00,pass_cmp,0,,,,,
player,201611200was,was,GarcPi00,pass_att,0,,,,,
player,201611200was,was,GarcPi00,pass_yds,0,,,,,
player,201611200was,was,GarcPi00,pass_td,0,,,,,
player,201611200was,was,GarcPi00,pass_int,0,,,,,
player,201611200was,was,GarcPi00,pass_sacked,0,,,,,
