game,2016,8,20161030,201610300dal,phi,"Philadelphia Eagles",23,dal,"Dallas Cowboys",29
player,201610300dal,dal,BeasCo00,pass_long,0,,,,,
player,201610300dal,dal,BeasCo00,pass_rating,39.6,,,,,
player,201610300dal,dal,BeasCo00,rush_att,0,,,,,
player,201610300dal,dal,BeasCo00,rush_yds,0,,,,,
player,201610300dal,dal,BeasCo00,rush_td,0,,,,,
player,201610300dal,dal,BeasCo00,rush_long,0,,,,,
player,201610300dal,dal,BeasCo00,targets,7,,,,,
player,201610300dal,dal,BeasCo00,rec,4,,,,,
player,201610300dal,dal,BeasCo00,rec_yds,53,,,,,
player,201610300dal,dal,BeasCo00,rec_td,0,,,,,
player,201610300dal,dal,BeasCo00,rec_long,24,,,,,
player,201610300dal,dal,BeasCo00,fumbles,0,,,,,
player,201610300dal,dal,BeasCo00,fumbles_lost,0,,,,,
player,201610300dal,dal,ElliEz00,pass_cmp,0,,,,,
player,201610300dal,dal,ElliEz00,pass_att,0,,,,,
player,201610300dal,dal,ElliEz00,pass_yds,0,,,,,
player,201610300dal,dal,ElliEz00,pass_td,0,,,,,
player,201610300dal,dal,ElliEz00,pass_int,0,,,,,
player,201610300dal,dal,ElliEz00,pass_sacked,0,,,,,
player,201610300dal,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201610300dal,dal,ElliEz00,pass_long,0,,,,,
player,201610300dal,dal,ElliEz00,pass_rating,,,,,,
player,201610300dal,dal,ElliEz00,rush_att,22,,,,,
player,201610300dal,dal,ElliEz00,rush_yds,96,,,,,
player,201610300dal,dal,ElliEz00,rush_td,0,,,,,
player,201610300dal,dal,ElliEz00,rush_long,16,,,,,
player,201610300dal,dal,ElliEz00,targets,4,,,,,
player,201610300dal,dal,ElliEz00,rec,4,,,,,
player,201610300dal,dal,ElliEz00,rec_yds,52,,,,,
player,201610300dal,dal,ElliEz00,rec_td,0,,,,,
player,201610300dal,dal,ElliEz00,rec_long,25,,,,,
player,201610300dal,dal,ElliEz00,fumbles,0,,,,,
player,201610300dal,dal,ElliEz00,fumbles_lost,0,,,,,
player,201610300dal,dal,JoneCh02,pass_cmp,0,,,,,
player,201610300dal,dal,JoneCh02,pass_att,0,,,,,
player,201610300dal,dal,JoneCh02,pass_yds,0,,,,,
player,201610300dal,dal,JoneCh02,pass_td,0,,,,,
player,201610300dal,dal,JoneCh02,pass_int,0,,,,,
player,201610300dal,dal,JoneCh02,pass_sacked,0,,,,,
player,201610300dal,dal,JoneCh02,pass_sacked_yds,0,,,,,
player,201610300dal,dal,JoneCh02,pass_long,0,,,,,
player,201610300dal,dal,JoneCh02,pass_rating,,,,,,
player,201610300dal,dal,JoneCh02,rush_att,1,,,,,
player,201610300dal,dal,JoneCh02,rush_yds,30,,,,,
player,201610300dal,dal,JoneCh02,rush_td,0,,,,,
player,201610300dal,dal,JoneCh02,rush_long,30,,,,,
player,201610300dal,dal,JoneCh02,targets,0,,,,,
player,201610300dal,dal,JoneCh02,rec,0,,,,,
player,201610300dal,dal,JoneCh02,rec_yds,0,,,,,
player,201610300dal,dal,JoneCh02,rec_td,0,,,,,
player,201610300dal,dal,JoneCh02,rec_long,0,,,,,
player,201610300dal,dal,JoneCh02,fumbles,0,,,,,
player,201610300dal,dal,JoneCh02,fumbles_lost,0,,,,,
player,201610300dal,dal,WhitLu00,pass_cmp,0,,,,,
player,201610300dal,dal,WhitLu00,pass_att,0,,,,,
player,201610300dal,dal,WhitLu00,pass_yds,0,,,,,
player,201610300dal,dal,WhitLu00,pass_td,0,,,,,
player,201610300dal,dal,WhitLu00,pass_int,0,,,,,
player,201610300dal,dal,WhitLu00,pass_sacked,0,,,,,
player,201610300dal,dal,WhitLu00,pass_sacked_yds,0,,,,,
player,201610300dal,dal,WhitLu00,pass_long,0,,,,,
player,201610300dal,dal,WhitLu00,pass_rating,,,,,,
player,201610300dal,dal,WhitLu00,rush_att,1,,,,,
player,201610300dal,dal,WhitLu00,rush_yds,17,,,,,
player,201610300dal,dal,WhitLu00,rush_td,0,,,,,
player,201610300dal,dal,WhitLu00,rush_long,17,,,,,
player,201610300dal,dal,WhitLu00,targets,0,,,,,
player,201610300dal,dal,WhitLu00,rec,0,,,,,
player,201610300dal,dal,WhitLu00,rec_yds,0,,,,,
player,201610300dal,dal,WhitLu00,rec_td,0,,,,,
player,201610300dal,dal,WhitLu00,rec_long,0,,,,,
player,201610300dal,dal,WhitLu00,fumbles,1,,,,,
player,201610300dal,dal,WhitLu00,fumbles_lost,0,,,,,
player,201610300dal,dal,MorrAl00,pass_cmp,0,,,,,
player,201610300dal,dal,MorrAl00,pass_att,0,,,,,
player,201610300dal,dal,MorrAl00,pass_yds,0,,,,,
player,201610300dal,dal,MorrAl00,pass_td,0,,,,,
player,201610300dal,dal,MorrAl00,pass_int,0,,,,,
player,201610300dal,dal,MorrAl00,pass_sacked,0,,,,,
player,201610300dal,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201610300dal,dal,MorrAl00,pass_long,0,,,,,
player,201610300dal,dal,MorrAl00,pass_rating,,,,,,
player,201610300dal,dal,MorrAl00,rush_att,3,,,,,
player,201610300dal,dal,MorrAl00,rush_yds,6,,,,,
player,201610300dal,dal,MorrAl00,rush_td,0,,,,,
player,201610300dal,dal,MorrAl00,rush_long,8,,,,,
player,201610300dal,dal,MorrAl00,targets,0,,,,,
player,201610300dal,dal,MorrAl00,rec,0,,,,,
player,201610300dal,dal,MorrAl00,rec_yds,0,,,,,
player,201610300dal,dal,MorrAl00,rec_td,0,,,,,
player,201610300dal,dal,MorrAl00,rec_long,0,,,,,
player,201610300dal,dal,MorrAl00,fumbles,0,,,,,
player,201610300dal,dal,MorrAl00,fumbles_lost,0,,,,,
player,201610300dal,dal,BryaDe01,pass_cmp,0,,,,,
