game,2016,1,20160911,201609110phi,cle,"Cleveland Browns",10,phi,"Philadelphia Eagles",29
player,201609110phi,phi,MathRy00,rec_td,0,,,,,
player,201609110phi,phi,MathRy00,rec_long,0,,,,,
player,201609110phi,phi,MathRy00,fumbles,0,,,,,
player,201609110phi,phi,MathRy00,fumbles_lost,0,,,,,
player,201609110phi,phi,BarnKe00,pass_cmp,0,,,,,
player,201609110phi,phi,BarnKe00,pass_att,0,,,,,
player,201609110phi,phi,BarnKe00,pass_yds,0,,,,,
player,201609110phi,phi,BarnKe00,pass_td,0,,,,,
player,201609110phi,phi,BarnKe00,pass_int,0,,,,,
player,201609110phi,phi,BarnKe00,pass_sacked,0,,,,,
player,201609110phi,phi,BarnKe00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,BarnKe00,pass_long,0,,,,,
player,201609110phi,phi,BarnKe00,pass_rating,,,,,,
player,201609110phi,phi,BarnKe00,rush_att,4,,,,,
player,201609110phi,phi,BarnKe00,rush_yds,42,,,,,
player,201609110phi,phi,BarnKe00,rush_td,0,,,,,
player,201609110phi,phi,BarnKe00,rush_long,19,,,,,
player,201609110phi,phi,BarnKe00,targets,0,,,,,
player,201609110phi,phi,BarnKe00,rec,0,,,,,
player,201609110phi,phi,BarnKe00,rec_yds,0,,,,,
player,201609110phi,phi,BarnKe00,rec_td,0,,,,,
player,201609110phi,phi,BarnKe00,rec_long,0,,,,,
player,201609110phi,phi,BarnKe00,fumbles,0,,,,,
player,201609110phi,phi,BarnKe00,fumbles_lost,0,,,,,
player,201609110phi,phi,SproDa00,pass_cmp,0,,,,,
player,201609110phi,phi,SproDa00,pass_att,0,,,,,
player,201609110phi,phi,SproDa00,pass_yds,0,,,,,
player,201609110phi,phi,SproDa00,pass_td,0,,,,,
player,201609110phi,phi,SproDa00,pass_int,0,,,,,
player,201609110phi,phi,SproDa00,pass_sacked,0,,,,,
player,201609110phi,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201609110phi,phi,SproDa00,pass_long,0,,,,,
player,201609110phi,phi,SproDa00,pass_rating,,,,,,
player,201609110phi,phi,SproDa00,rush_att,5,,,,,
