game,2016,14,20161212,201612120nwe,rav,"Baltimore Ravens",23,nwe,"New England Patriots",30
player,201612120nwe,rav,WallDa01,rush_td,0,,,,,
player,201612120nwe,rav,WallDa01,rush_long,0,,,,,
player,201612120nwe,rav,WallDa01,targets,3,,,,,
player,201612120nwe,rav,WallDa01,rec,1,,,,,
player,201612120nwe,rav,WallDa01,rec_yds,3,,,,,
player,201612120nwe,rav,WallDa01,rec_td,1,,,,,
player,201612120nwe,rav,WallDa01,rec_long,3,,,,,
player,201612120nwe,rav,WallDa01,fumbles,0,,,,,
player,201612120nwe,rav,WallDa01,fumbles_lost,0,,,,,
player,201612120nwe,nwe,BradTo00,pass_cmp,25,,,,,
player,201612120nwe,nwe,BradTo00,pass_att,38,,,,,
player,201612120nwe,nwe,BradTo00,pass_yds,406,,,,,
player,201612120nwe,nwe,BradTo00,pass_td,3,,,,,
player,201612120nwe,nwe,BradTo00,pass_int,1,,,,,
player,201612120nwe,nwe,BradTo00,pass_sacked,1,,,,,
player,201612120nwe,nwe,BradTo00,pass_sacked_yds,5,,,,,
player,201612120nwe,nwe,BradTo00,pass_long,79,,,,,
player,201612120nwe,nwe,BradTo00,pass_rating,116.8,,,,,
player,201612120nwe,nwe,BradTo00,rush_att,1,,,,,
player,201612120nwe,nwe,BradTo00,rush_yds,-1,,,,,
player,201612120nwe,nwe,BradTo00,rush_td,0,,,,,
player,201612120nwe,nwe,BradTo00,rush_long,-1,,,,,
player,201612120nwe,nwe,BradTo00,targets,0,,,,,
player,201612120nwe,nwe,BradTo00,rec,0,,,,,
player,201612120nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201612120nwe,nwe,BradTo00,rec_td,0,,,,,
player,201612120nwe,nwe,BradTo00,rec_long,0,,,,,
player,201612120nwe,nwe,BradTo00,fumbles,0,,,,,
player,201612120nwe,nwe,BradTo00,fumbles_lost,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_cmp,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_att,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_yds,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_td,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_int,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_sacked,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_sacked_yds,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_long,0,,,,,
player,201612120nwe,nwe,BlouLe00,pass_rating,,,,,,
player,201612120nwe,nwe,BlouLe00,rush_att,18,,,,,
player,201612120nwe,nwe,BlouLe00,rush_yds,72,,,,,
player,201612120nwe,nwe,BlouLe00,rush_td,1,,,,,
player,201612120nwe,nwe,BlouLe00,rush_long,13,,,,,
player,201612120nwe,nwe,BlouLe00,targets,1,,,,,
player,201612120nwe,nwe,BlouLe00,rec,1,,,,,
player,201612120nwe,nwe,BlouLe00,rec_yds,7,,,,,
player,201612120nwe,nwe,BlouLe00,rec_td,0,,,,,
player,201612120nwe,nwe,BlouLe00,rec_long,7,,,,,
player,201612120nwe,nwe,BlouLe00,fumbles,0,,,,,
player,201612120nwe,nwe,BlouLe00,fumbles_lost,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_cmp,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_att,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_yds,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_td,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_int,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_sacked,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_long,0,,,,,
player,201612120nwe,nwe,LewiDi00,pass_rating,,,,,,
player,201612120nwe,nwe,LewiDi00,rush_att,3,,,,,
player,201612120nwe,nwe,LewiDi00,rush_yds,14,,,,,
player,201612120nwe,nwe,LewiDi00,rush_td,0,,,,,
player,201612120nwe,nwe,LewiDi00,rush_long,8,,,,,
player,201612120nwe,nwe,LewiDi00,targets,1,,,,,
player,201612120nwe,nwe,LewiDi00,rec,1,,,,,
player,201612120nwe,nwe,LewiDi00,rec_yds,5,,,,,
player,201612120nwe,nwe,LewiDi00,rec_td,0,,,,,
