game,2016,15,20161218,201612180dal,tam,"Tampa Bay Buccaneers",20,dal,"Dallas Cowboys",26
player,201612180dal,tam,GrimBr20,fumbles_rec,0,,,,,
player,201612180dal,tam,GrimBr20,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,GrimBr20,fumbles_rec_td,0,,,,,
player,201612180dal,tam,GrimBr20,fumbles_forced,0,,,,,
player,201612180dal,tam,ElliJa01,def_int,0,,,,,
player,201612180dal,tam,ElliJa01,def_int_yds,0,,,,,
player,201612180dal,tam,ElliJa01,def_int_td,0,,,,,
player,201612180dal,tam,ElliJa01,def_int_long,0,,,,,
player,201612180dal,tam,ElliJa01,pass_defended,0,,,,,
player,201612180dal,tam,ElliJa01,sacks,0.0,,,,,
player,201612180dal,tam,ElliJa01,tackles_combined,4,,,,,
player,201612180dal,tam,ElliJa01,tackles_solo,2,,,,,
player,201612180dal,tam,ElliJa01,tackles_assists,2,,,,,
player,201612180dal,tam,ElliJa01,tackles_loss,1,,,,,
player,201612180dal,tam,ElliJa01,qb_hits,0,,,,,
player,201612180dal,tam,ElliJa01,fumbles_rec,0,,,,,
player,201612180dal,tam,ElliJa01,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,ElliJa01,fumbles_rec_td,0,,,,,
player,201612180dal,tam,ElliJa01,fumbles_forced,0,,,,,
player,201612180dal,tam,AyerRo99,def_int,0,,,,,
player,201612180dal,tam,AyerRo99,def_int_yds,0,,,,,
player,201612180dal,tam,AyerRo99,def_int_td,0,,,,,
player,201612180dal,tam,AyerRo99,def_int_long,0,,,,,
player,201612180dal,tam,AyerRo99,pass_defended,0,,,,,
player,201612180dal,tam,AyerRo99,sacks,0.0,,,,,
player,201612180dal,tam,AyerRo99,tackles_combined,3,,,,,
player,201612180dal,tam,AyerRo99,tackles_solo,2,,,,,
player,201612180dal,tam,AyerRo99,tackles_assists,1,,,,,
player,201612180dal,tam,AyerRo99,tackles_loss,1,,,,,
player,201612180dal,tam,AyerRo99,qb_hits,1,,,,,
player,201612180dal,tam,AyerRo99,fumbles_rec,0,,,,,
player,201612180dal,tam,AyerRo99,fumbles_rec_yds,0,,,,,
player,201612180dal,tam,AyerRo99,fumbles_rec_td,0,,,,,
player,201612180dal,tam,AyerRo99,fumbles_forced,0,,,,,
player,201612180dal,tam,HargVe00,def_int,0,,,,,
player,201612180dal,tam,HargVe00,def_int_yds,0,,,,,
player,201612180dal,tam,HargVe00,def_int_td,0,,,,,
player,201612180dal,tam,HargVe00,def_int_long,0,,,,,
player,201612180dal,tam,HargVe00,pass_defended,0,,,,,
player,201612180dal,tam,HargVe00,sacks,0.0,,,,,
player,201612180dal,tam,HargVe00,tackles_combined,3,,,,,
player,201612180dal,tam,HargVe00,tackles_solo,3,,,,,
player,201612180dal,tam,HargVe00,tackles_assists,0,,,,,
