game,2016,13,20161204,201612040atl,kan,"Kansas City Chiefs",29,atl,"Atlanta Falcons",28
player,201612040atl,atl,HoopAu00,rec_td,0,,,,,
player,201612040atl,atl,HoopAu00,rec_long,0,,,,,
player,201612040atl,atl,HoopAu00,fumbles,0,,,,,
player,201612040atl,atl,HoopAu00,fumbles_lost,0,,,,,
player,201612040atl,kan,BerrEr99,def_int,1,,,,,
player,201612040atl,kan,BerrEr99,def_int_yds,37,,,,,
player,201612040atl,kan,BerrEr99,def_int_td,1,,,,,
player,201612040atl,kan,BerrEr99,def_int_long,37,,,,,
player,201612040atl,kan,BerrEr99,pass_defended,1,,,,,
player,201612040atl,kan,BerrEr99,sacks,0.0,,,,,
player,201612040atl,kan,BerrEr99,tackles_combined,2,,,,,
player,201612040atl,kan,BerrEr99,tackles_solo,2,,,,,
player,201612040atl,kan,BerrEr99,tackles_assists,0,,,,,
player,201612040atl,kan,BerrEr99,tackles_loss,0,,,,,
player,201612040atl,kan,BerrEr99,qb_hits,0,,,,,
player,201612040atl,kan,BerrEr99,fumbles_rec,0,,,,,
player,201612040atl,kan,BerrEr99,fumbles_rec_yds,0,,,,,
player,201612040atl,kan,BerrEr99,fumbles_rec_td,0,,,,,
player,201612040atl,kan,BerrEr99,fumbles_forced,0,,,,,
player,201612040atl,kan,HousJu00,def_int,0,,,,,
player,201612040atl,kan,HousJu00,def_int_yds,0,,,,,
player,201612040atl,kan,HousJu00,def_int_td,0,,,,,
player,201612040atl,kan,HousJu00,def_int_long,0,,,,,
player,201612040atl,kan,HousJu00,pass_defended,0,,,,,
player,201612040atl,kan,HousJu00,sacks,1.0,,,,,
player,201612040atl,kan,HousJu00,tackles_combined,4,,,,,
player,201612040atl,kan,HousJu00,tackles_solo,4,,,,,
player,201612040atl,kan,HousJu00,tackles_assists,0,,,,,
player,201612040atl,kan,HousJu00,tackles_loss,1,,,,,
player,201612040atl,kan,HousJu00,qb_hits,1,,,,,
player,201612040atl,kan,HousJu00,fumbles_rec,0,,,,,
player,201612040atl,kan,HousJu00,fumbles_rec_yds,0,,,,,
player,201612040atl,kan,HousJu00,fumbles_rec_td,0,,,,,
player,201612040atl,kan,HousJu00,fumbles_forced,0,,,,,
player,201612040atl,kan,HaliTa20,def_int,0,,,,,
player,201612040atl,kan,HaliTa20,def_int_yds,0,,,,,
player,201612040atl,kan,HaliTa20,def_int_td,0,,,,,
player,201612040atl,kan,HaliTa20,def_int_long,0,,,,,
player,201612040atl,kan,HaliTa20,pass_defended,0,,,,,
player,201612040atl,kan,HaliTa20,sacks,1.0,,,,,
player,201612040atl,kan,HaliTa20,tackles_combined,2,,,,,
player,201612040atl,kan,HaliTa20,tackles_solo,2,,,,,
player,201612040atl,kan,HaliTa20,tackles_assists,0,,,,,
player,201612040atl,kan,HaliTa20,tackles_loss,2,,,,,
player,201612040atl,kan,HaliTa20,qb_hits,3,,,,,
player,201612040atl,kan,HaliTa20,fumbles_rec,0,,,,,
player,201612040atl,kan,HaliTa20,fumbles_rec_yds,0,,,,,
player,201612040atl,kan,HaliTa20,fumbles_rec_td,0,,,,,
player,201612040atl,kan,HaliTa20,fumbles_forced,0,,,,,
player,201612040atl,kan,JohnDe25,def_int,0,,,,,
player,201612040atl,kan,JohnDe25,def_int_yds,0,,,,,
player,201612040atl,kan,JohnDe25,def_int_td,0,,,,,
