game,2016,10,20161113,201611130oti,gnb,"Green Bay Packers",25,oti,"Tennessee Titans",47
player,201611130oti,gnb,MartBl01,qb_hits,0,,,,,
player,201611130oti,gnb,MartBl01,fumbles_rec,0,,,,,
player,201611130oti,gnb,MartBl01,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,MartBl01,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,MartBl01,fumbles_forced,0,,,,,
player,201611130oti,gnb,ClinHa00,def_int,0,,,,,
player,201611130oti,gnb,ClinHa00,def_int_yds,0,,,,,
player,201611130oti,gnb,ClinHa00,def_int_td,0,,,,,
player,201611130oti,gnb,ClinHa00,def_int_long,0,,,,,
player,201611130oti,gnb,ClinHa00,pass_defended,0,,,,,
player,201611130oti,gnb,ClinHa00,sacks,0.0,,,,,
player,201611130oti,gnb,ClinHa00,tackles_combined,7,,,,,
player,201611130oti,gnb,ClinHa00,tackles_solo,5,,,,,
player,201611130oti,gnb,ClinHa00,tackles_assists,2,,,,,
player,201611130oti,gnb,ClinHa00,tackles_loss,0,,,,,
player,201611130oti,gnb,ClinHa00,qb_hits,0,,,,,
player,201611130oti,gnb,ClinHa00,fumbles_rec,0,,,,,
player,201611130oti,gnb,ClinHa00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,ClinHa00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,ClinHa00,fumbles_forced,0,,,,,
player,201611130oti,gnb,PerrNi00,def_int,0,,,,,
player,201611130oti,gnb,PerrNi00,def_int_yds,0,,,,,
player,201611130oti,gnb,PerrNi00,def_int_td,0,,,,,
player,201611130oti,gnb,PerrNi00,def_int_long,0,,,,,
player,201611130oti,gnb,PerrNi00,pass_defended,0,,,,,
player,201611130oti,gnb,PerrNi00,sacks,0.0,,,,,
player,201611130oti,gnb,PerrNi00,tackles_combined,6,,,,,
player,201611130oti,gnb,PerrNi00,tackles_solo,3,,,,,
player,201611130oti,gnb,PerrNi00,tackles_assists,3,,,,,
player,201611130oti,gnb,PerrNi00,tackles_loss,1,,,,,
player,201611130oti,gnb,PerrNi00,qb_hits,0,,,,,
player,201611130oti,gnb,PerrNi00,fumbles_rec,0,,,,,
player,201611130oti,gnb,PerrNi00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,PerrNi00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,PerrNi00,fumbles_forced,0,,,,,
player,201611130oti,gnb,ThomJo04,def_int,0,,,,,
player,201611130oti,gnb,ThomJo04,def_int_yds,0,,,,,
player,201611130oti,gnb,ThomJo04,def_int_td,0,,,,,
player,201611130oti,gnb,ThomJo04,def_int_long,0,,,,,
player,201611130oti,gnb,ThomJo04,pass_defended,0,,,,,
player,201611130oti,gnb,ThomJo04,sacks,0.0,,,,,
player,201611130oti,gnb,ThomJo04,tackles_combined,6,,,,,
player,201611130oti,gnb,ThomJo04,tackles_solo,3,,,,,
player,201611130oti,gnb,ThomJo04,tackles_assists,3,,,,,
player,201611130oti,gnb,ThomJo04,tackles_loss,0,,,,,
player,201611130oti,gnb,ThomJo04,qb_hits,0,,,,,
player,201611130oti,gnb,ThomJo04,fumbles_rec,0,,,,,
player,201611130oti,gnb,ThomJo04,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,ThomJo04,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,ThomJo04,fumbles_forced,0,,,,,
player,201611130oti,gnb,BricKe00,def_int,0,,,,,
player,201611130oti,gnb,BricKe00,def_int_yds,0,,,,,
player,201611130oti,gnb,BricKe00,def_int_td,0,,,,,
player,201611130oti,gnb,BricKe00,def_int_long,0,,,,,
player,201611130oti,gnb,BricKe00,pass_defended,1,,,,,
player,201611130oti,gnb,BricKe00,sacks,0.0,,,,,
player,201611130oti,gnb,BricKe00,tackles_combined,5,,,,,
player,201611130oti,gnb,BricKe00,tackles_solo,4,,,,,
player,201611130oti,gnb,BricKe00,tackles_assists,1,,,,,
player,201611130oti,gnb,BricKe00,tackles_loss,0,,,,,
player,201611130oti,gnb,BricKe00,qb_hits,0,,,,,
player,201611130oti,gnb,BricKe00,fumbles_rec,0,,,,,
player,201611130oti,gnb,BricKe00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,BricKe00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,BricKe00,fumbles_forced,0,,,,,
player,201611130oti,gnb,ElliJa02,def_int,0,,,,,
player,201611130oti,gnb,ElliJa02,def_int_yds,0,,,,,
player,201611130oti,gnb,ElliJa02,def_int_td,0,,,,,
player,201611130oti,gnb,ElliJa02,def_int_long,0,,,,,
player,201611130oti,gnb,ElliJa02,pass_defended,0,,,,,
player,201611130oti,gnb,ElliJa02,sacks,0.0,,,,,
player,201611130oti,gnb,ElliJa02,tackles_combined,3,,,,,
player,201611130oti,gnb,ElliJa02,tackles_solo,3,,,,,
player,201611130oti,gnb,ElliJa02,tackles_assists,0,,,,,
player,201611130oti,gnb,ElliJa02,tackles_loss,2,,,,,
player,201611130oti,gnb,ElliJa02,qb_hits,0,,,,,
player,201611130oti,gnb,ElliJa02,fumbles_rec,0,,,,,
player,201611130oti,gnb,ElliJa02,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,ElliJa02,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,ElliJa02,fumbles_forced,0,,,,,
player,201611130oti,gnb,HydeMi00,def_int,0,,,,,
player,201611130oti,gnb,HydeMi00,def_int_yds,0,,,,,
player,201611130oti,gnb,HydeMi00,def_int_td,0,,,,,
player,201611130oti,gnb,HydeMi00,def_int_long,0,,,,,
player,201611130oti,gnb,HydeMi00,pass_defended,0,,,,,
player,201611130oti,gnb,HydeMi00,sacks,0.0,,,,,
player,201611130oti,gnb,HydeMi00,tackles_combined,3,,,,,
player,201611130oti,gnb,HydeMi00,tackles_solo,3,,,,,
player,201611130oti,gnb,HydeMi00,tackles_assists,0,,,,,
player,201611130oti,gnb,HydeMi00,tackles_loss,0,,,,,
player,201611130oti,gnb,HydeMi00,qb_hits,0,,,,,
player,201611130oti,gnb,HydeMi00,fumbles_rec,0,,,,,
player,201611130oti,gnb,HydeMi00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,HydeMi00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,HydeMi00,fumbles_forced,0,,,,,
player,201611130oti,gnb,GuntLa00,def_int,0,,,,,
player,201611130oti,gnb,GuntLa00,def_int_yds,0,,,,,
player,201611130oti,gnb,GuntLa00,def_int_td,0,,,,,
player,201611130oti,gnb,GuntLa00,def_int_long,0,,,,,
player,201611130oti,gnb,GuntLa00,pass_defended,1,,,,,
player,201611130oti,gnb,GuntLa00,sacks,0.0,,,,,
player,201611130oti,gnb,GuntLa00,tackles_combined,2,,,,,
player,201611130oti,gnb,GuntLa00,tackles_solo,2,,,,,
player,201611130oti,gnb,GuntLa00,tackles_assists,0,,,,,
player,201611130oti,gnb,GuntLa00,tackles_loss,0,,,,,
player,201611130oti,gnb,GuntLa00,qb_hits,0,,,,,
player,201611130oti,gnb,GuntLa00,fumbles_rec,0,,,,,
player,201611130oti,gnb,GuntLa00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,GuntLa00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,GuntLa00,fumbles_forced,0,,,,,
player,201611130oti,gnb,JoneDa03,def_int,0,,,,,
player,201611130oti,gnb,JoneDa03,def_int_yds,0,,,,,
player,201611130oti,gnb,JoneDa03,def_int_td,0,,,,,
player,201611130oti,gnb,JoneDa03,def_int_long,0,,,,,
player,201611130oti,gnb,JoneDa03,pass_defended,0,,,,,
player,201611130oti,gnb,JoneDa03,sacks,0.0,,,,,
player,201611130oti,gnb,JoneDa03,tackles_combined,2,,,,,
player,201611130oti,gnb,JoneDa03,tackles_solo,1,,,,,
player,201611130oti,gnb,JoneDa03,tackles_assists,1,,,,,
player,201611130oti,gnb,JoneDa03,tackles_loss,1,,,,,
player,201611130oti,gnb,JoneDa03,qb_hits,0,,,,,
player,201611130oti,gnb,JoneDa03,fumbles_rec,0,,,,,
player,201611130oti,gnb,JoneDa03,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,JoneDa03,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,JoneDa03,fumbles_forced,0,,,,,
player,201611130oti,gnb,RollQu00,def_int,0,,,,,
player,201611130oti,gnb,RollQu00,def_int_yds,0,,,,,
player,201611130oti,gnb,RollQu00,def_int_td,0,,,,,
player,201611130oti,gnb,RollQu00,def_int_long,0,,,,,
player,201611130oti,gnb,RollQu00,pass_defended,0,,,,,
player,201611130oti,gnb,RollQu00,sacks,0.0,,,,,
player,201611130oti,gnb,RollQu00,tackles_combined,2,,,,,
player,201611130oti,gnb,RollQu00,tackles_solo,2,,,,,
player,201611130oti,gnb,RollQu00,tackles_assists,0,,,,,
player,201611130oti,gnb,RollQu00,tackles_loss,0,,,,,
player,201611130oti,gnb,RollQu00,qb_hits,0,,,,,
player,201611130oti,gnb,RollQu00,fumbles_rec,0,,,,,
player,201611130oti,gnb,RollQu00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,RollQu00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,RollQu00,fumbles_forced,0,,,,,
player,201611130oti,gnb,ClarKe01,def_int,0,,,,,
player,201611130oti,gnb,ClarKe01,def_int_yds,0,,,,,
player,201611130oti,gnb,ClarKe01,def_int_td,0,,,,,
player,201611130oti,gnb,ClarKe01,def_int_long,0,,,,,
player,201611130oti,gnb,ClarKe01,pass_defended,0,,,,,
player,201611130oti,gnb,ClarKe01,sacks,0.0,,,,,
player,201611130oti,gnb,ClarKe01,tackles_combined,1,,,,,
player,201611130oti,gnb,ClarKe01,tackles_solo,1,,,,,
player,201611130oti,gnb,ClarKe01,tackles_assists,0,,,,,
player,201611130oti,gnb,ClarKe01,tackles_loss,0,,,,,
player,201611130oti,gnb,ClarKe01,qb_hits,0,,,,,
player,201611130oti,gnb,ClarKe01,fumbles_rec,0,,,,,
player,201611130oti,gnb,ClarKe01,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,ClarKe01,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,ClarKe01,fumbles_forced,0,,,,,
player,201611130oti,gnb,DaniMi00,def_int,0,,,,,
player,201611130oti,gnb,DaniMi00,def_int_yds,0,,,,,
player,201611130oti,gnb,DaniMi00,def_int_td,0,,,,,
player,201611130oti,gnb,DaniMi00,def_int_long,0,,,,,
player,201611130oti,gnb,DaniMi00,pass_defended,0,,,,,
player,201611130oti,gnb,DaniMi00,sacks,0.0,,,,,
player,201611130oti,gnb,DaniMi00,tackles_combined,1,,,,,
player,201611130oti,gnb,DaniMi00,tackles_solo,0,,,,,
player,201611130oti,gnb,DaniMi00,tackles_assists,1,,,,,
player,201611130oti,gnb,DaniMi00,tackles_loss,0,,,,,
player,201611130oti,gnb,DaniMi00,qb_hits,0,,,,,
player,201611130oti,gnb,DaniMi00,fumbles_rec,0,,,,,
player,201611130oti,gnb,DaniMi00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,DaniMi00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,DaniMi00,fumbles_forced,0,,,,,
player,201611130oti,gnb,FackKy00,def_int,0,,,,,
player,201611130oti,gnb,FackKy00,def_int_yds,0,,,,,
player,201611130oti,gnb,FackKy00,def_int_td,0,,,,,
player,201611130oti,gnb,FackKy00,def_int_long,0,,,,,
player,201611130oti,gnb,FackKy00,pass_defended,0,,,,,
player,201611130oti,gnb,FackKy00,sacks,0.0,,,,,
player,201611130oti,gnb,FackKy00,tackles_combined,1,,,,,
player,201611130oti,gnb,FackKy00,tackles_solo,1,,,,,
player,201611130oti,gnb,FackKy00,tackles_assists,0,,,,,
player,201611130oti,gnb,FackKy00,tackles_loss,0,,,,,
player,201611130oti,gnb,FackKy00,qb_hits,0,,,,,
player,201611130oti,gnb,FackKy00,fumbles_rec,0,,,,,
player,201611130oti,gnb,FackKy00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,FackKy00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,FackKy00,fumbles_forced,0,,,,,
player,201611130oti,gnb,GoodDe00,def_int,0,,,,,
player,201611130oti,gnb,GoodDe00,def_int_yds,0,,,,,
player,201611130oti,gnb,GoodDe00,def_int_td,0,,,,,
player,201611130oti,gnb,GoodDe00,def_int_long,0,,,,,
player,201611130oti,gnb,GoodDe00,pass_defended,0,,,,,
player,201611130oti,gnb,GoodDe00,sacks,0.0,,,,,
player,201611130oti,gnb,GoodDe00,tackles_combined,1,,,,,
player,201611130oti,gnb,GoodDe00,tackles_solo,0,,,,,
player,201611130oti,gnb,GoodDe00,tackles_assists,1,,,,,
player,201611130oti,gnb,GoodDe00,tackles_loss,0,,,,,
player,201611130oti,gnb,GoodDe00,qb_hits,0,,,,,
player,201611130oti,gnb,GoodDe00,fumbles_rec,0,,,,,
player,201611130oti,gnb,GoodDe00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,GoodDe00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,GoodDe00,fumbles_forced,0,,,,,
player,201611130oti,gnb,PennMi00,def_int,0,,,,,
player,201611130oti,gnb,PennMi00,def_int_yds,0,,,,,
player,201611130oti,gnb,PennMi00,def_int_td,0,,,,,
player,201611130oti,gnb,PennMi00,def_int_long,0,,,,,
player,201611130oti,gnb,PennMi00,pass_defended,0,,,,,
player,201611130oti,gnb,PennMi00,sacks,0.0,,,,,
player,201611130oti,gnb,PennMi00,tackles_combined,1,,,,,
player,201611130oti,gnb,PennMi00,tackles_solo,0,,,,,
player,201611130oti,gnb,PennMi00,tackles_assists,1,,,,,
player,201611130oti,gnb,PennMi00,tackles_loss,0,,,,,
player,201611130oti,gnb,PennMi00,qb_hits,0,,,,,
player,201611130oti,gnb,PennMi00,fumbles_rec,0,,,,,
player,201611130oti,gnb,PennMi00,fumbles_rec_yds,0,,,,,
player,201611130oti,gnb,PennMi00,fumbles_rec_td,0,,,,,
player,201611130oti,gnb,PennMi00,fumbles_forced,0,,,,,
player,201611130oti,oti,McCaBr99,def_int,1,,,,,
player,201611130oti,oti,McCaBr99,def_int_yds,33,,,,,
player,201611130oti,oti,McCaBr99,def_int_td,0,,,,,
player,201611130oti,oti,McCaBr99,def_int_long,33,,,,,
player,201611130oti,oti,McCaBr99,pass_defended,1,,,,,
player,201611130oti,oti,McCaBr99,sacks,0.0,,,,,
player,201611130oti,oti,McCaBr99,tackles_combined,4,,,,,
player,201611130oti,oti,McCaBr99,tackles_solo,4,,,,,
player,201611130oti,oti,McCaBr99,tackles_assists,0,,,,,
player,201611130oti,oti,McCaBr99,tackles_loss,0,,,,,
player,201611130oti,oti,McCaBr99,qb_hits,0,,,,,
player,201611130oti,oti,McCaBr99,fumbles_rec,0,,,,,
player,201611130oti,oti,McCaBr99,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,McCaBr99,fumbles_rec_td,0,,,,,
player,201611130oti,oti,McCaBr99,fumbles_forced,0,,,,,
player,201611130oti,oti,CoxxPe99,def_int,1,,,,,
player,201611130oti,oti,CoxxPe99,def_int_yds,0,,,,,
player,201611130oti,oti,CoxxPe99,def_int_td,0,,,,,
player,201611130oti,oti,CoxxPe99,def_int_long,0,,,,,
player,201611130oti,oti,CoxxPe99,pass_defended,4,,,,,
player,201611130oti,oti,CoxxPe99,sacks,0.0,,,,,
player,201611130oti,oti,CoxxPe99,tackles_combined,2,,,,,
player,201611130oti,oti,CoxxPe99,tackles_solo,2,,,,,
player,201611130oti,oti,CoxxPe99,tackles_assists,0,,,,,
player,201611130oti,oti,CoxxPe99,tackles_loss,0,,,,,
player,201611130oti,oti,CoxxPe99,qb_hits,0,,,,,
player,201611130oti,oti,CoxxPe99,fumbles_rec,0,,,,,
player,201611130oti,oti,CoxxPe99,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,CoxxPe99,fumbles_rec_td,0,,,,,
player,201611130oti,oti,CoxxPe99,fumbles_forced,0,,,,,
player,201611130oti,oti,OrakBr99,def_int,0,,,,,
player,201611130oti,oti,OrakBr99,def_int_yds,0,,,,,
player,201611130oti,oti,OrakBr99,def_int_td,0,,,,,
player,201611130oti,oti,OrakBr99,def_int_long,0,,,,,
player,201611130oti,oti,OrakBr99,pass_defended,0,,,,,
player,201611130oti,oti,OrakBr99,sacks,2.0,,,,,
player,201611130oti,oti,OrakBr99,tackles_combined,4,,,,,
player,201611130oti,oti,OrakBr99,tackles_solo,4,,,,,
player,201611130oti,oti,OrakBr99,tackles_assists,0,,,,,
player,201611130oti,oti,OrakBr99,tackles_loss,2,,,,,
player,201611130oti,oti,OrakBr99,qb_hits,2,,,,,
player,201611130oti,oti,OrakBr99,fumbles_rec,0,,,,,
player,201611130oti,oti,OrakBr99,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,OrakBr99,fumbles_rec_td,0,,,,,
player,201611130oti,oti,OrakBr99,fumbles_forced,0,,,,,
player,201611130oti,oti,ByarKe01,def_int,0,,,,,
player,201611130oti,oti,ByarKe01,def_int_yds,0,,,,,
player,201611130oti,oti,ByarKe01,def_int_td,0,,,,,
player,201611130oti,oti,ByarKe01,def_int_long,0,,,,,
player,201611130oti,oti,ByarKe01,pass_defended,0,,,,,
player,201611130oti,oti,ByarKe01,sacks,1.0,,,,,
player,201611130oti,oti,ByarKe01,tackles_combined,8,,,,,
player,201611130oti,oti,ByarKe01,tackles_solo,8,,,,,
player,201611130oti,oti,ByarKe01,tackles_assists,0,,,,,
player,201611130oti,oti,ByarKe01,tackles_loss,1,,,,,
player,201611130oti,oti,ByarKe01,qb_hits,1,,,,,
player,201611130oti,oti,ByarKe01,fumbles_rec,0,,,,,
player,201611130oti,oti,ByarKe01,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,ByarKe01,fumbles_rec_td,0,,,,,
player,201611130oti,oti,ByarKe01,fumbles_forced,0,,,,,
player,201611130oti,oti,JoneDa04,def_int,0,,,,,
player,201611130oti,oti,JoneDa04,def_int_yds,0,,,,,
player,201611130oti,oti,JoneDa04,def_int_td,0,,,,,
player,201611130oti,oti,JoneDa04,def_int_long,0,,,,,
player,201611130oti,oti,JoneDa04,pass_defended,0,,,,,
player,201611130oti,oti,JoneDa04,sacks,1.0,,,,,
player,201611130oti,oti,JoneDa04,tackles_combined,2,,,,,
player,201611130oti,oti,JoneDa04,tackles_solo,1,,,,,
player,201611130oti,oti,JoneDa04,tackles_assists,1,,,,,
player,201611130oti,oti,JoneDa04,tackles_loss,1,,,,,
player,201611130oti,oti,JoneDa04,qb_hits,1,,,,,
player,201611130oti,oti,JoneDa04,fumbles_rec,0,,,,,
player,201611130oti,oti,JoneDa04,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,JoneDa04,fumbles_rec_td,0,,,,,
player,201611130oti,oti,JoneDa04,fumbles_forced,0,,,,,
player,201611130oti,oti,MorgDe99,def_int,0,,,,,
player,201611130oti,oti,MorgDe99,def_int_yds,0,,,,,
player,201611130oti,oti,MorgDe99,def_int_td,0,,,,,
player,201611130oti,oti,MorgDe99,def_int_long,0,,,,,
player,201611130oti,oti,MorgDe99,pass_defended,0,,,,,
player,201611130oti,oti,MorgDe99,sacks,1.0,,,,,
player,201611130oti,oti,MorgDe99,tackles_combined,2,,,,,
player,201611130oti,oti,MorgDe99,tackles_solo,2,,,,,
player,201611130oti,oti,MorgDe99,tackles_assists,0,,,,,
player,201611130oti,oti,MorgDe99,tackles_loss,1,,,,,
player,201611130oti,oti,MorgDe99,qb_hits,2,,,,,
player,201611130oti,oti,MorgDe99,fumbles_rec,0,,,,,
player,201611130oti,oti,MorgDe99,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,MorgDe99,fumbles_rec_td,0,,,,,
player,201611130oti,oti,MorgDe99,fumbles_forced,0,,,,,
player,201611130oti,oti,JohnRa98,def_int,0,,,,,
player,201611130oti,oti,JohnRa98,def_int_yds,0,,,,,
player,201611130oti,oti,JohnRa98,def_int_td,0,,,,,
player,201611130oti,oti,JohnRa98,def_int_long,0,,,,,
player,201611130oti,oti,JohnRa98,pass_defended,0,,,,,
player,201611130oti,oti,JohnRa98,sacks,0.0,,,,,
player,201611130oti,oti,JohnRa98,tackles_combined,5,,,,,
player,201611130oti,oti,JohnRa98,tackles_solo,4,,,,,
player,201611130oti,oti,JohnRa98,tackles_assists,1,,,,,
player,201611130oti,oti,JohnRa98,tackles_loss,0,,,,,
player,201611130oti,oti,JohnRa98,qb_hits,0,,,,,
player,201611130oti,oti,JohnRa98,fumbles_rec,0,,,,,
player,201611130oti,oti,JohnRa98,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,JohnRa98,fumbles_rec_td,0,,,,,
player,201611130oti,oti,JohnRa98,fumbles_forced,0,,,,,
player,201611130oti,oti,McCoJa99,def_int,0,,,,,
player,201611130oti,oti,McCoJa99,def_int_yds,0,,,,,
player,201611130oti,oti,McCoJa99,def_int_td,0,,,,,
player,201611130oti,oti,McCoJa99,def_int_long,0,,,,,
player,201611130oti,oti,McCoJa99,pass_defended,1,,,,,
player,201611130oti,oti,McCoJa99,sacks,0.0,,,,,
player,201611130oti,oti,McCoJa99,tackles_combined,5,,,,,
player,201611130oti,oti,McCoJa99,tackles_solo,5,,,,,
player,201611130oti,oti,McCoJa99,tackles_assists,0,,,,,
player,201611130oti,oti,McCoJa99,tackles_loss,0,,,,,
player,201611130oti,oti,McCoJa99,qb_hits,0,,,,,
player,201611130oti,oti,McCoJa99,fumbles_rec,0,,,,,
player,201611130oti,oti,McCoJa99,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,McCoJa99,fumbles_rec_td,0,,,,,
player,201611130oti,oti,McCoJa99,fumbles_forced,0,,,,,
player,201611130oti,oti,SearDa00,def_int,0,,,,,
player,201611130oti,oti,SearDa00,def_int_yds,0,,,,,
player,201611130oti,oti,SearDa00,def_int_td,0,,,,,
player,201611130oti,oti,SearDa00,def_int_long,0,,,,,
player,201611130oti,oti,SearDa00,pass_defended,0,,,,,
player,201611130oti,oti,SearDa00,sacks,0.0,,,,,
player,201611130oti,oti,SearDa00,tackles_combined,4,,,,,
player,201611130oti,oti,SearDa00,tackles_solo,4,,,,,
player,201611130oti,oti,SearDa00,tackles_assists,0,,,,,
player,201611130oti,oti,SearDa00,tackles_loss,0,,,,,
player,201611130oti,oti,SearDa00,qb_hits,0,,,,,
player,201611130oti,oti,SearDa00,fumbles_rec,0,,,,,
player,201611130oti,oti,SearDa00,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,SearDa00,fumbles_rec_td,0,,,,,
player,201611130oti,oti,SearDa00,fumbles_forced,0,,,,,
player,201611130oti,oti,StafDa00,def_int,0,,,,,
player,201611130oti,oti,StafDa00,def_int_yds,0,,,,,
player,201611130oti,oti,StafDa00,def_int_td,0,,,,,
player,201611130oti,oti,StafDa00,def_int_long,0,,,,,
player,201611130oti,oti,StafDa00,pass_defended,0,,,,,
player,201611130oti,oti,StafDa00,sacks,0.0,,,,,
player,201611130oti,oti,StafDa00,tackles_combined,4,,,,,
player,201611130oti,oti,StafDa00,tackles_solo,2,,,,,
player,201611130oti,oti,StafDa00,tackles_assists,2,,,,,
player,201611130oti,oti,StafDa00,tackles_loss,0,,,,,
player,201611130oti,oti,StafDa00,qb_hits,0,,,,,
player,201611130oti,oti,StafDa00,fumbles_rec,0,,,,,
player,201611130oti,oti,StafDa00,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,StafDa00,fumbles_rec_td,0,,,,,
player,201611130oti,oti,StafDa00,fumbles_forced,0,,,,,
player,201611130oti,oti,BlakAn00,def_int,0,,,,,
player,201611130oti,oti,BlakAn00,def_int_yds,0,,,,,
player,201611130oti,oti,BlakAn00,def_int_td,0,,,,,
player,201611130oti,oti,BlakAn00,def_int_long,0,,,,,
player,201611130oti,oti,BlakAn00,pass_defended,1,,,,,
player,201611130oti,oti,BlakAn00,sacks,0.0,,,,,
player,201611130oti,oti,BlakAn00,tackles_combined,2,,,,,
player,201611130oti,oti,BlakAn00,tackles_solo,2,,,,,
player,201611130oti,oti,BlakAn00,tackles_assists,0,,,,,
player,201611130oti,oti,BlakAn00,tackles_loss,0,,,,,
player,201611130oti,oti,BlakAn00,qb_hits,0,,,,,
player,201611130oti,oti,BlakAn00,fumbles_rec,0,,,,,
player,201611130oti,oti,BlakAn00,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,BlakAn00,fumbles_rec_td,0,,,,,
player,201611130oti,oti,BlakAn00,fumbles_forced,0,,,,,
player,201611130oti,oti,CaseJu00,def_int,0,,,,,
player,201611130oti,oti,CaseJu00,def_int_yds,0,,,,,
player,201611130oti,oti,CaseJu00,def_int_td,0,,,,,
player,201611130oti,oti,CaseJu00,def_int_long,0,,,,,
player,201611130oti,oti,CaseJu00,pass_defended,0,,,,,
player,201611130oti,oti,CaseJu00,sacks,0.0,,,,,
player,201611130oti,oti,CaseJu00,tackles_combined,2,,,,,
player,201611130oti,oti,CaseJu00,tackles_solo,1,,,,,
player,201611130oti,oti,CaseJu00,tackles_assists,1,,,,,
player,201611130oti,oti,CaseJu00,tackles_loss,0,,,,,
player,201611130oti,oti,CaseJu00,qb_hits,0,,,,,
player,201611130oti,oti,CaseJu00,fumbles_rec,0,,,,,
player,201611130oti,oti,CaseJu00,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,CaseJu00,fumbles_rec_td,0,,,,,
player,201611130oti,oti,CaseJu00,fumbles_forced,0,,,,,
player,201611130oti,oti,SimsLe00,def_int,0,,,,,
player,201611130oti,oti,SimsLe00,def_int_yds,0,,,,,
player,201611130oti,oti,SimsLe00,def_int_td,0,,,,,
player,201611130oti,oti,SimsLe00,def_int_long,0,,,,,
player,201611130oti,oti,SimsLe00,pass_defended,0,,,,,
player,201611130oti,oti,SimsLe00,sacks,0.0,,,,,
player,201611130oti,oti,SimsLe00,tackles_combined,2,,,,,
player,201611130oti,oti,SimsLe00,tackles_solo,2,,,,,
player,201611130oti,oti,SimsLe00,tackles_assists,0,,,,,
player,201611130oti,oti,SimsLe00,tackles_loss,0,,,,,
player,201611130oti,oti,SimsLe00,qb_hits,0,,,,,
player,201611130oti,oti,SimsLe00,fumbles_rec,1,,,,,
player,201611130oti,oti,SimsLe00,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,SimsLe00,fumbles_rec_td,0,,,,,
player,201611130oti,oti,SimsLe00,fumbles_forced,0,,,,,
player,201611130oti,oti,WillAv00,def_int,0,,,,,
player,201611130oti,oti,WillAv00,def_int_yds,0,,,,,
player,201611130oti,oti,WillAv00,def_int_td,0,,,,,
player,201611130oti,oti,WillAv00,def_int_long,0,,,,,
player,201611130oti,oti,WillAv00,pass_defended,0,,,,,
player,201611130oti,oti,WillAv00,sacks,0.0,,,,,
player,201611130oti,oti,WillAv00,tackles_combined,2,,,,,
player,201611130oti,oti,WillAv00,tackles_solo,2,,,,,
player,201611130oti,oti,WillAv00,tackles_assists,0,,,,,
player,201611130oti,oti,WillAv00,tackles_loss,0,,,,,
player,201611130oti,oti,WillAv00,qb_hits,0,,,,,
player,201611130oti,oti,WillAv00,fumbles_rec,0,,,,,
player,201611130oti,oti,WillAv00,fumbles_rec_yds,0,,,,,
player,201611130oti,oti,WillAv00,fumbles_rec_td,0,,,,,
player,201611130oti,oti,WillAv00,fumbles_forced,0,,,,,
player,201611130oti,oti,BassDa00,def_int,0,,,,,
player,201611130oti,oti,BassDa00,def_int_yds,0,,,,,
player,201611130oti,oti,BassDa00,def_int_td,0,,,,,
player,201611130oti,oti,BassDa00,def_int_long,0,,,,,
player,201611130oti,oti,BassDa00,pass_defended,0,,,,,
player,201611130oti,oti,BassDa00,sacks,0.0,,,,,
