game,2016,12,20161128,201611280phi,gnb,"Green Bay Packers",27,phi,"Philadelphia Eagles",13
player,201611280phi,gnb,CobbRa00,fumbles_lost,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_cmp,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_att,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_yds,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_td,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_int,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_sacked,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_long,0,,,,,
player,201611280phi,gnb,JaniJe00,pass_rating,,,,,,
player,201611280phi,gnb,JaniJe00,rush_att,0,,,,,
player,201611280phi,gnb,JaniJe00,rush_yds,0,,,,,
player,201611280phi,gnb,JaniJe00,rush_td,0,,,,,
player,201611280phi,gnb,JaniJe00,rush_long,0,,,,,
player,201611280phi,gnb,JaniJe00,targets,1,,,,,
player,201611280phi,gnb,JaniJe00,rec,1,,,,,
player,201611280phi,gnb,JaniJe00,rec_yds,7,,,,,
player,201611280phi,gnb,JaniJe00,rec_td,0,,,,,
player,201611280phi,gnb,JaniJe00,rec_long,7,,,,,
player,201611280phi,gnb,JaniJe00,fumbles,0,,,,,
player,201611280phi,gnb,JaniJe00,fumbles_lost,0,,,,,
player,201611280phi,gnb,CookJa02,pass_cmp,0,,,,,
player,201611280phi,gnb,CookJa02,pass_att,0,,,,,
player,201611280phi,gnb,CookJa02,pass_yds,0,,,,,
player,201611280phi,gnb,CookJa02,pass_td,0,,,,,
player,201611280phi,gnb,CookJa02,pass_int,0,,,,,
player,201611280phi,gnb,CookJa02,pass_sacked,0,,,,,
player,201611280phi,gnb,CookJa02,pass_sacked_yds,0,,,,,
player,201611280phi,gnb,CookJa02,pass_long,0,,,,,
player,201611280phi,gnb,CookJa02,pass_rating,,,,,,
player,201611280phi,gnb,CookJa02,rush_att,0,,,,,
player,201611280phi,gnb,CookJa02,rush_yds,0,,,,,
