game,2016,17,20170101,201701010min,chi,"Chicago Bears",10,min,"Minnesota Vikings",38
player,201701010min,chi,ThomDe04,pass_long,0,,,,,
player,201701010min,chi,ThomDe04,pass_rating,,,,,,
player,201701010min,chi,ThomDe04,rush_att,0,,,,,
player,201701010min,chi,ThomDe04,rush_yds,0,,,,,
player,201701010min,chi,ThomDe04,rush_td,0,,,,,
player,201701010min,chi,ThomDe04,rush_long,0,,,,,
player,201701010min,chi,ThomDe04,targets,2,,,,,
player,201701010min,chi,ThomDe04,rec,0,,,,,
player,201701010min,chi,ThomDe04,rec_yds,0,,,,,
player,201701010min,chi,ThomDe04,rec_td,0,,,,,
player,201701010min,chi,ThomDe04,rec_long,0,,,,,
player,201701010min,chi,ThomDe04,fumbles,0,,,,,
player,201701010min,chi,ThomDe04,fumbles_lost,0,,,,,
player,201701010min,min,BradSa00,pass_cmp,25,,,,,
player,201701010min,min,BradSa00,pass_att,33,,,,,
player,201701010min,min,BradSa00,pass_yds,250,,,,,
player,201701010min,min,BradSa00,pass_td,3,,,,,
player,201701010min,min,BradSa00,pass_int,1,,,,,
player,201701010min,min,BradSa00,pass_sacked,0,,,,,
player,201701010min,min,BradSa00,pass_sacked_yds,0,,,,,
player,201701010min,min,BradSa00,pass_long,39,,,,,
player,201701010min,min,BradSa00,pass_rating,114.5,,,,,
player,201701010min,min,BradSa00,rush_att,1,,,,,
player,201701010min,min,BradSa00,rush_yds,24,,,,,
player,201701010min,min,BradSa00,rush_td,0,,,,,
player,201701010min,min,BradSa00,rush_long,24,,,,,
player,201701010min,min,BradSa00,targets,0,,,,,
player,201701010min,min,BradSa00,rec,0,,,,,
player,201701010min,min,BradSa00,rec_yds,0,,,,,
player,201701010min,min,BradSa00,rec_td,0,,,,,
player,201701010min,min,BradSa00,rec_long,0,,,,,
player,201701010min,min,BradSa00,fumbles,0,,,,,
player,201701010min,min,BradSa00,fumbles_lost,0,,,,,
player,201701010min,min,HillSh00,pass_cmp,0,,,,,
player,201701010min,min,HillSh00,pass_att,1,,,,,
player,201701010min,min,HillSh00,pass_yds,0,,,,,
player,201701010min,min,HillSh00,pass_td,0,,,,,
player,201701010min,min,HillSh00,pass_int,0,,,,,
player,201701010min,min,HillSh00,pass_sacked,0,,,,,
player,201701010min,min,HillSh00,pass_sacked_yds,0,,,,,
player,201701010min,min,HillSh00,pass_long,0,,,,,
player,201701010min,min,HillSh00,pass_rating,39.6,,,,,
player,201701010min,min,HillSh00,rush_att,3,,,,,
player,201701010min,min,HillSh00,rush_yds,-3,,,,,
player,201701010min,min,HillSh00,rush_td,0,,,,,
player,201701010min,min,HillSh00,rush_long,-1,,,,,
player,201701010min,min,HillSh00,targets,0,,,,,
player,201701010min,min,HillSh00,rec,0,,,,,
player,201701010min,min,HillSh00,rec_yds,0,,,,,
player,201701010min,min,HillSh00,rec_td,0,,,,,
player,201701010min,min,HillSh00,rec_long,0,,,,,
player,201701010min,min,HillSh00,fumbles,0,,,,,
player,201701010min,min,HillSh00,fumbles_lost,0,,,,,
player,201701010min,min,McKiJe00,pass_cmp,0,,,,,
player,201701010min,min,McKiJe00,pass_att,0,,,,,
player,201701010min,min,McKiJe00,pass_yds,0,,,,,
player,201701010min,min,McKiJe00,pass_td,0,,,,,
player,201701010min,min,McKiJe00,pass_int,0,,,,,
player,201701010min,min,McKiJe00,pass_sacked,0,,,,,
player,201701010min,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201701010min,min,McKiJe00,pass_long,0,,,,,
player,201701010min,min,McKiJe00,pass_rating,,,,,,
player,201701010min,min,McKiJe00,rush_att,16,,,,,
player,201701010min,min,McKiJe00,rush_yds,89,,,,,
player,201701010min,min,McKiJe00,rush_td,1,,,,,
player,201701010min,min,McKiJe00,rush_long,36,,,,,
player,201701010min,min,McKiJe00,targets,4,,,,,
player,201701010min,min,McKiJe00,rec,3,,,,,
player,201701010min,min,McKiJe00,rec_yds,21,,,,,
player,201701010min,min,McKiJe00,rec_td,1,,,,,
player,201701010min,min,McKiJe00,rec_long,16,,,,,
player,201701010min,min,McKiJe00,fumbles,0,,,,,
player,201701010min,min,McKiJe00,fumbles_lost,0,,,,,
player,201701010min,min,AsiaMa00,pass_cmp,0,,,,,
player,201701010min,min,AsiaMa00,pass_att,0,,,,,
player,201701010min,min,AsiaMa00,pass_yds,0,,,,,
player,201701010min,min,AsiaMa00,pass_td,0,,,,,
player,201701010min,min,AsiaMa00,pass_int,0,,,,,
player,201701010min,min,AsiaMa00,pass_sacked,0,,,,,
player,201701010min,min,AsiaMa00,pass_sacked_yds,0,,,,,
player,201701010min,min,AsiaMa00,pass_long,0,,,,,
player,201701010min,min,AsiaMa00,pass_rating,,,,,,
player,201701010min,min,AsiaMa00,rush_att,8,,,,,
player,201701010min,min,AsiaMa00,rush_yds,14,,,,,
player,201701010min,min,AsiaMa00,rush_td,0,,,,,
player,201701010min,min,AsiaMa00,rush_long,4,,,,,
player,201701010min,min,AsiaMa00,targets,3,,,,,
player,201701010min,min,AsiaMa00,rec,3,,,,,
player,201701010min,min,AsiaMa00,rec_yds,31,,,,,
player,201701010min,min,AsiaMa00,rec_td,0,,,,,
player,201701010min,min,AsiaMa00,rec_long,17,,,,,
player,201701010min,min,AsiaMa00,fumbles,0,,,,,
player,201701010min,min,AsiaMa00,fumbles_lost,0,,,,,
player,201701010min,min,RudoKy00,pass_cmp,0,,,,,
player,201701010min,min,RudoKy00,pass_att,0,,,,,
player,201701010min,min,RudoKy00,pass_yds,0,,,,,
player,201701010min,min,RudoKy00,pass_td,0,,,,,
player,201701010min,min,RudoKy00,pass_int,0,,,,,
player,201701010min,min,RudoKy00,pass_sacked,0,,,,,
player,201701010min,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201701010min,min,RudoKy00,pass_long,0,,,,,
player,201701010min,min,RudoKy00,pass_rating,,,,,,
player,201701010min,min,RudoKy00,rush_att,0,,,,,
player,201701010min,min,RudoKy00,rush_yds,0,,,,,
player,201701010min,min,RudoKy00,rush_td,0,,,,,
player,201701010min,min,RudoKy00,rush_long,0,,,,,
player,201701010min,min,RudoKy00,targets,15,,,,,
player,201701010min,min,RudoKy00,rec,11,,,,,
player,201701010min,min,RudoKy00,rec_yds,117,,,,,
player,201701010min,min,RudoKy00,rec_td,1,,,,,
player,201701010min,min,RudoKy00,rec_long,22,,,,,
player,201701010min,min,RudoKy00,fumbles,0,,,,,
player,201701010min,min,RudoKy00,fumbles_lost,0,,,,,
player,201701010min,min,PattCo00,pass_cmp,0,,,,,
player,201701010min,min,PattCo00,pass_att,0,,,,,
player,201701010min,min,PattCo00,pass_yds,0,,,,,
player,201701010min,min,PattCo00,pass_td,0,,,,,
player,201701010min,min,PattCo00,pass_int,0,,,,,
player,201701010min,min,PattCo00,pass_sacked,0,,,,,
player,201701010min,min,PattCo00,pass_sacked_yds,0,,,,,
player,201701010min,min,PattCo00,pass_long,0,,,,,
player,201701010min,min,PattCo00,pass_rating,,,,,,
player,201701010min,min,PattCo00,rush_att,0,,,,,
player,201701010min,min,PattCo00,rush_yds,0,,,,,
player,201701010min,min,PattCo00,rush_td,0,,,,,
player,201701010min,min,PattCo00,rush_long,0,,,,,
player,201701010min,min,PattCo00,targets,2,,,,,
player,201701010min,min,PattCo00,rec,1,,,,,
player,201701010min,min,PattCo00,rec_yds,39,,,,,
player,201701010min,min,PattCo00,rec_td,0,,,,,
player,201701010min,min,PattCo00,rec_long,39,,,,,
player,201701010min,min,PattCo00,fumbles,0,,,,,
player,201701010min,min,PattCo00,fumbles_lost,0,,,,,
player,201701010min,min,WrigJa02,pass_cmp,0,,,,,
player,201701010min,min,WrigJa02,pass_att,0,,,,,
player,201701010min,min,WrigJa02,pass_yds,0,,,,,
player,201701010min,min,WrigJa02,pass_td,0,,,,,
player,201701010min,min,WrigJa02,pass_int,0,,,,,
player,201701010min,min,WrigJa02,pass_sacked,0,,,,,
player,201701010min,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201701010min,min,WrigJa02,pass_long,0,,,,,
player,201701010min,min,WrigJa02,pass_rating,,,,,,
player,201701010min,min,WrigJa02,rush_att,0,,,,,
player,201701010min,min,WrigJa02,rush_yds,0,,,,,
player,201701010min,min,WrigJa02,rush_td,0,,,,,
player,201701010min,min,WrigJa02,rush_long,0,,,,,
player,201701010min,min,WrigJa02,targets,7,,,,,
player,201701010min,min,WrigJa02,rec,5,,,,,
player,201701010min,min,WrigJa02,rec_yds,24,,,,,
player,201701010min,min,WrigJa02,rec_td,1,,,,,
player,201701010min,min,WrigJa02,rec_long,9,,,,,
player,201701010min,min,WrigJa02,fumbles,0,,,,,
player,201701010min,min,WrigJa02,fumbles_lost,0,,,,,
player,201701010min,min,JohnCh08,pass_cmp,0,,,,,
player,201701010min,min,JohnCh08,pass_att,0,,,,,
player,201701010min,min,JohnCh08,pass_yds,0,,,,,
player,201701010min,min,JohnCh08,pass_td,0,,,,,
player,201701010min,min,JohnCh08,pass_int,0,,,,,
player,201701010min,min,JohnCh08,pass_sacked,0,,,,,
player,201701010min,min,JohnCh08,pass_sacked_yds,0,,,,,
player,201701010min,min,JohnCh08,pass_long,0,,,,,
player,201701010min,min,JohnCh08,pass_rating,,,,,,
player,201701010min,min,JohnCh08,rush_att,0,,,,,
player,201701010min,min,JohnCh08,rush_yds,0,,,,,
player,201701010min,min,JohnCh08,rush_td,0,,,,,
player,201701010min,min,JohnCh08,rush_long,0,,,,,
player,201701010min,min,JohnCh08,targets,1,,,,,
player,201701010min,min,JohnCh08,rec,1,,,,,
player,201701010min,min,JohnCh08,rec_yds,11,,,,,
player,201701010min,min,JohnCh08,rec_td,0,,,,,
player,201701010min,min,JohnCh08,rec_long,11,,,,,
player,201701010min,min,JohnCh08,fumbles,0,,,,,
player,201701010min,min,JohnCh08,fumbles_lost,0,,,,,
player,201701010min,min,ThieAd00,pass_cmp,0,,,,,
player,201701010min,min,ThieAd00,pass_att,0,,,,,
player,201701010min,min,ThieAd00,pass_yds,0,,,,,
player,201701010min,min,ThieAd00,pass_td,0,,,,,
player,201701010min,min,ThieAd00,pass_int,0,,,,,
player,201701010min,min,ThieAd00,pass_sacked,0,,,,,
player,201701010min,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201701010min,min,ThieAd00,pass_long,0,,,,,
player,201701010min,min,ThieAd00,pass_rating,,,,,,
player,201701010min,min,ThieAd00,rush_att,0,,,,,
player,201701010min,min,ThieAd00,rush_yds,0,,,,,
player,201701010min,min,ThieAd00,rush_td,0,,,,,
player,201701010min,min,ThieAd00,rush_long,0,,,,,
player,201701010min,min,ThieAd00,targets,1,,,,,
player,201701010min,min,ThieAd00,rec,1,,,,,
player,201701010min,min,ThieAd00,rec_yds,7,,,,,
player,201701010min,min,ThieAd00,rec_td,0,,,,,
player,201701010min,min,ThieAd00,rec_long,7,,,,,
player,201701010min,min,ThieAd00,fumbles,0,,,,,
player,201701010min,min,ThieAd00,fumbles_lost,0,,,,,
player,201701010min,min,FrueIs00,pass_cmp,0,,,,,
player,201701010min,min,FrueIs00,pass_att,0,,,,,
player,201701010min,min,FrueIs00,pass_yds,0,,,,,
player,201701010min,min,FrueIs00,pass_td,0,,,,,
player,201701010min,min,FrueIs00,pass_int,0,,,,,
player,201701010min,min,FrueIs00,pass_sacked,0,,,,,
player,201701010min,min,FrueIs00,pass_sacked_yds,0,,,,,
player,201701010min,min,FrueIs00,pass_long,0,,,,,
player,201701010min,min,FrueIs00,pass_rating,,,,,,
player,201701010min,min,FrueIs00,rush_att,0,,,,,
player,201701010min,min,FrueIs00,rush_yds,0,,,,,
player,201701010min,min,FrueIs00,rush_td,0,,,,,
player,201701010min,min,FrueIs00,rush_long,0,,,,,
player,201701010min,min,FrueIs00,targets,1,,,,,
player,201701010min,min,FrueIs00,rec,0,,,,,
player,201701010min,min,FrueIs00,rec_yds,0,,,,,
player,201701010min,min,FrueIs00,rec_td,0,,,,,
player,201701010min,min,FrueIs00,rec_long,0,,,,,
player,201701010min,min,FrueIs00,fumbles,0,,,,,
player,201701010min,min,FrueIs00,fumbles_lost,0,,,,,
player,201701010min,chi,LeBlCr01,def_int,1,,,,,
player,201701010min,chi,LeBlCr01,def_int_yds,0,,,,,
player,201701010min,chi,LeBlCr01,def_int_td,0,,,,,
player,201701010min,chi,LeBlCr01,def_int_long,0,,,,,
player,201701010min,chi,LeBlCr01,pass_defended,1,,,,,
player,201701010min,chi,LeBlCr01,sacks,0.0,,,,,
player,201701010min,chi,LeBlCr01,tackles_combined,2,,,,,
player,201701010min,chi,LeBlCr01,tackles_solo,2,,,,,
player,201701010min,chi,LeBlCr01,tackles_assists,0,,,,,
player,201701010min,chi,LeBlCr01,tackles_loss,0,,,,,
player,201701010min,chi,LeBlCr01,qb_hits,0,,,,,
player,201701010min,chi,LeBlCr01,fumbles_rec,0,,,,,
player,201701010min,chi,LeBlCr01,fumbles_rec_yds,0,,,,,
player,201701010min,chi,LeBlCr01,fumbles_rec_td,0,,,,,
player,201701010min,chi,LeBlCr01,fumbles_forced,0,,,,,
player,201701010min,chi,FreeJe00,def_int,0,,,,,
player,201701010min,chi,FreeJe00,def_int_yds,0,,,,,
player,201701010min,chi,FreeJe00,def_int_td,0,,,,,
player,201701010min,chi,FreeJe00,def_int_long,0,,,,,
player,201701010min,chi,FreeJe00,pass_defended,2,,,,,
player,201701010min,chi,FreeJe00,sacks,0.0,,,,,
player,201701010min,chi,FreeJe00,tackles_combined,10,,,,,
player,201701010min,chi,FreeJe00,tackles_solo,9,,,,,
player,201701010min,chi,FreeJe00,tackles_assists,1,,,,,
player,201701010min,chi,FreeJe00,tackles_loss,0,,,,,
player,201701010min,chi,FreeJe00,qb_hits,0,,,,,
player,201701010min,chi,FreeJe00,fumbles_rec,0,,,,,
player,201701010min,chi,FreeJe00,fumbles_rec_yds,0,,,,,
player,201701010min,chi,FreeJe00,fumbles_rec_td,0,,,,,
player,201701010min,chi,FreeJe00,fumbles_forced,0,,,,,
player,201701010min,chi,JoneHa02,def_int,0,,,,,
