game,2016,3,20160925,201609250phi,pit,"Pittsburgh Steelers",3,phi,"Philadelphia Eagles",34
player,201609250phi,phi,GreeDo00,pass_cmp,0,,,,,
player,201609250phi,phi,GreeDo00,pass_att,0,,,,,
player,201609250phi,phi,GreeDo00,pass_yds,0,,,,,
player,201609250phi,phi,GreeDo00,pass_td,0,,,,,
player,201609250phi,phi,GreeDo00,pass_int,0,,,,,
player,201609250phi,phi,GreeDo00,pass_sacked,0,,,,,
player,201609250phi,phi,GreeDo00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,GreeDo00,pass_long,0,,,,,
player,201609250phi,phi,GreeDo00,pass_rating,,,,,,
player,201609250phi,phi,GreeDo00,rush_att,0,,,,,
player,201609250phi,phi,GreeDo00,rush_yds,0,,,,,
player,201609250phi,phi,GreeDo00,rush_td,0,,,,,
player,201609250phi,phi,GreeDo00,rush_long,0,,,,,
player,201609250phi,phi,GreeDo00,targets,4,,,,,
player,201609250phi,phi,GreeDo00,rec,3,,,,,
player,201609250phi,phi,GreeDo00,rec_yds,33,,,,,
player,201609250phi,phi,GreeDo00,rec_td,0,,,,,
player,201609250phi,phi,GreeDo00,rec_long,19,,,,,
player,201609250phi,phi,GreeDo00,fumbles,0,,,,,
player,201609250phi,phi,GreeDo00,fumbles_lost,0,,,,,
player,201609250phi,phi,AghoNe00,pass_cmp,0,,,,,
player,201609250phi,phi,AghoNe00,pass_att,0,,,,,
player,201609250phi,phi,AghoNe00,pass_yds,0,,,,,
player,201609250phi,phi,AghoNe00,pass_td,0,,,,,
player,201609250phi,phi,AghoNe00,pass_int,0,,,,,
player,201609250phi,phi,AghoNe00,pass_sacked,0,,,,,
player,201609250phi,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201609250phi,phi,AghoNe00,pass_long,0,,,,,
player,201609250phi,phi,AghoNe00,pass_rating,,,,,,
player,201609250phi,phi,AghoNe00,rush_att,0,,,,,
player,201609250phi,phi,AghoNe00,rush_yds,0,,,,,
player,201609250phi,phi,AghoNe00,rush_td,0,,,,,
player,201609250phi,phi,AghoNe00,rush_long,0,,,,,
player,201609250phi,phi,AghoNe00,targets,3,,,,,
player,201609250phi,phi,AghoNe00,rec,3,,,,,
player,201609250phi,phi,AghoNe00,rec_yds,21,,,,,
player,201609250phi,phi,AghoNe00,rec_td,0,,,,,
player,201609250phi,phi,AghoNe00,rec_long,11,,,,,
player,201609250phi,phi,AghoNe00,fumbles,0,,,,,
