game,2019,1,20190908,201909080car,ram,"Los Angeles Rams",30,car,"Carolina Panthers",27
player,201909080car,ram,RappTa00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,RappTa00,fumbles_rec_td,0,,,,,
player,201909080car,ram,RappTa00,fumbles_forced,0,,,,,
player,201909080car,ram,WeddEr99,def_int,0,,,,,
player,201909080car,ram,WeddEr99,def_int_yds,0,,,,,
player,201909080car,ram,WeddEr99,def_int_td,0,,,,,
player,201909080car,ram,WeddEr99,def_int_long,0,,,,,
player,201909080car,ram,WeddEr99,pass_defended,0,,,,,
player,201909080car,ram,WeddEr99,sacks,0.0,,,,,
player,201909080car,ram,WeddEr99,tackles_combined,6,,,,,
player,201909080car,ram,WeddEr99,tackles_solo,2,,,,,
player,201909080car,ram,WeddEr99,tackles_assists,4,,,,,
player,201909080car,ram,WeddEr99,tackles_loss,0,,,,,
player,201909080car,ram,WeddEr99,qb_hits,0,,,,,
player,201909080car,ram,WeddEr99,fumbles_rec,0,,,,,
player,201909080car,ram,WeddEr99,fumbles_rec_yds,0,,,,,
player,201909080car,ram,WeddEr99,fumbles_rec_td,0,,,,,
player,201909080car,ram,WeddEr99,fumbles_forced,0,,,,,
player,201909080car,ram,ChriMa00,def_int,0,,,,,
player,201909080car,ram,ChriMa00,def_int_yds,0,,,,,
player,201909080car,ram,ChriMa00,def_int_td,0,,,,,
player,201909080car,ram,ChriMa00,def_int_long,0,,,,,
player,201909080car,ram,ChriMa00,pass_defended,0,,,,,
player,201909080car,ram,ChriMa00,sacks,0.0,,,,,
player,201909080car,ram,ChriMa00,tackles_combined,4,,,,,
player,201909080car,ram,ChriMa00,tackles_solo,2,,,,,
player,201909080car,ram,ChriMa00,tackles_assists,2,,,,,
player,201909080car,ram,ChriMa00,tackles_loss,0,,,,,
player,201909080car,ram,ChriMa00,qb_hits,0,,,,,
player,201909080car,ram,ChriMa00,fumbles_rec,0,,,,,
player,201909080car,ram,ChriMa00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,ChriMa00,fumbles_rec_td,0,,,,,
player,201909080car,ram,ChriMa00,fumbles_forced,0,,,,,
player,201909080car,ram,PeteMa00,def_int,0,,,,,
player,201909080car,ram,PeteMa00,def_int_yds,0,,,,,
player,201909080car,ram,PeteMa00,def_int_td,0,,,,,
player,201909080car,ram,PeteMa00,def_int_long,0,,,,,
player,201909080car,ram,PeteMa00,pass_defended,0,,,,,
player,201909080car,ram,PeteMa00,sacks,0.0,,,,,
player,201909080car,ram,PeteMa00,tackles_combined,4,,,,,
player,201909080car,ram,PeteMa00,tackles_solo,2,,,,,
player,201909080car,ram,PeteMa00,tackles_assists,2,,,,,
player,201909080car,ram,PeteMa00,tackles_loss,0,,,,,
player,201909080car,ram,PeteMa00,qb_hits,0,,,,,
player,201909080car,ram,PeteMa00,fumbles_rec,0,,,,,
player,201909080car,ram,PeteMa00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,PeteMa00,fumbles_rec_td,0,,,,,
player,201909080car,ram,PeteMa00,fumbles_forced,0,,,,,
player,201909080car,ram,HageBr00,def_int,0,,,,,
player,201909080car,ram,HageBr00,def_int_yds,0,,,,,
player,201909080car,ram,HageBr00,def_int_td,0,,,,,
player,201909080car,ram,HageBr00,def_int_long,0,,,,,
player,201909080car,ram,HageBr00,pass_defended,0,,,,,
player,201909080car,ram,HageBr00,sacks,0.0,,,,,
player,201909080car,ram,HageBr00,tackles_combined,3,,,,,
player,201909080car,ram,HageBr00,tackles_solo,1,,,,,
player,201909080car,ram,HageBr00,tackles_assists,2,,,,,
player,201909080car,ram,HageBr00,tackles_loss,0,,,,,
player,201909080car,ram,HageBr00,qb_hits,0,,,,,
player,201909080car,ram,HageBr00,fumbles_rec,0,,,,,
player,201909080car,ram,HageBr00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,HageBr00,fumbles_rec_td,0,,,,,
player,201909080car,ram,HageBr00,fumbles_forced,0,,,,,
player,201909080car,ram,BrocMi00,def_int,0,,,,,
player,201909080car,ram,BrocMi00,def_int_yds,0,,,,,
player,201909080car,ram,BrocMi00,def_int_td,0,,,,,
player,201909080car,ram,BrocMi00,def_int_long,0,,,,,
player,201909080car,ram,BrocMi00,pass_defended,0,,,,,
player,201909080car,ram,BrocMi00,sacks,0.0,,,,,
player,201909080car,ram,BrocMi00,tackles_combined,2,,,,,
player,201909080car,ram,BrocMi00,tackles_solo,2,,,,,
player,201909080car,ram,BrocMi00,tackles_assists,0,,,,,
player,201909080car,ram,BrocMi00,tackles_loss,0,,,,,
player,201909080car,ram,BrocMi00,qb_hits,0,,,,,
player,201909080car,ram,BrocMi00,fumbles_rec,0,,,,,
player,201909080car,ram,BrocMi00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,BrocMi00,fumbles_rec_td,0,,,,,
player,201909080car,ram,BrocMi00,fumbles_forced,0,,,,,
player,201909080car,ram,RobeNi00,def_int,0,,,,,
player,201909080car,ram,RobeNi00,def_int_yds,0,,,,,
player,201909080car,ram,RobeNi00,def_int_td,0,,,,,
player,201909080car,ram,RobeNi00,def_int_long,0,,,,,
player,201909080car,ram,RobeNi00,pass_defended,0,,,,,
player,201909080car,ram,RobeNi00,sacks,0.0,,,,,
player,201909080car,ram,RobeNi00,tackles_combined,2,,,,,
player,201909080car,ram,RobeNi00,tackles_solo,2,,,,,
player,201909080car,ram,RobeNi00,tackles_assists,0,,,,,
player,201909080car,ram,RobeNi00,tackles_loss,0,,,,,
player,201909080car,ram,RobeNi00,qb_hits,0,,,,,
player,201909080car,ram,RobeNi00,fumbles_rec,0,,,,,
player,201909080car,ram,RobeNi00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,RobeNi00,fumbles_rec_td,0,,,,,
player,201909080car,ram,RobeNi00,fumbles_forced,0,,,,,
player,201909080car,ram,DonaAa00,def_int,0,,,,,
player,201909080car,ram,DonaAa00,def_int_yds,0,,,,,
player,201909080car,ram,DonaAa00,def_int_td,0,,,,,
player,201909080car,ram,DonaAa00,def_int_long,0,,,,,
player,201909080car,ram,DonaAa00,pass_defended,0,,,,,
player,201909080car,ram,DonaAa00,sacks,0.0,,,,,
player,201909080car,ram,DonaAa00,tackles_combined,1,,,,,
player,201909080car,ram,DonaAa00,tackles_solo,1,,,,,
player,201909080car,ram,DonaAa00,tackles_assists,0,,,,,
player,201909080car,ram,DonaAa00,tackles_loss,0,,,,,
player,201909080car,ram,DonaAa00,qb_hits,1,,,,,
player,201909080car,ram,DonaAa00,fumbles_rec,0,,,,,
player,201909080car,ram,DonaAa00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,DonaAa00,fumbles_rec_td,0,,,,,
player,201909080car,ram,DonaAa00,fumbles_forced,0,,,,,
player,201909080car,ram,EbukSa00,def_int,0,,,,,
player,201909080car,ram,EbukSa00,def_int_yds,0,,,,,
player,201909080car,ram,EbukSa00,def_int_td,0,,,,,
player,201909080car,ram,EbukSa00,def_int_long,0,,,,,
player,201909080car,ram,EbukSa00,pass_defended,0,,,,,
player,201909080car,ram,EbukSa00,sacks,0.0,,,,,
player,201909080car,ram,EbukSa00,tackles_combined,1,,,,,
player,201909080car,ram,EbukSa00,tackles_solo,1,,,,,
player,201909080car,ram,EbukSa00,tackles_assists,0,,,,,
player,201909080car,ram,EbukSa00,tackles_loss,0,,,,,
player,201909080car,ram,EbukSa00,qb_hits,0,,,,,
player,201909080car,ram,EbukSa00,fumbles_rec,1,,,,,
player,201909080car,ram,EbukSa00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,EbukSa00,fumbles_rec_td,0,,,,,
player,201909080car,ram,EbukSa00,fumbles_forced,1,,,,,
player,201909080car,ram,FoxxMo00,def_int,0,,,,,
player,201909080car,ram,FoxxMo00,def_int_yds,0,,,,,
player,201909080car,ram,FoxxMo00,def_int_td,0,,,,,
player,201909080car,ram,FoxxMo00,def_int_long,0,,,,,
player,201909080car,ram,FoxxMo00,pass_defended,0,,,,,
player,201909080car,ram,FoxxMo00,sacks,0.0,,,,,
player,201909080car,ram,FoxxMo00,tackles_combined,1,,,,,
player,201909080car,ram,FoxxMo00,tackles_solo,1,,,,,
player,201909080car,ram,FoxxMo00,tackles_assists,0,,,,,
player,201909080car,ram,FoxxMo00,tackles_loss,0,,,,,
player,201909080car,ram,FoxxMo00,qb_hits,0,,,,,
player,201909080car,ram,FoxxMo00,fumbles_rec,0,,,,,
player,201909080car,ram,FoxxMo00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,FoxxMo00,fumbles_rec_td,0,,,,,
player,201909080car,ram,FoxxMo00,fumbles_forced,0,,,,,
player,201909080car,ram,TaliAq99,def_int,0,,,,,
player,201909080car,ram,TaliAq99,def_int_yds,0,,,,,
player,201909080car,ram,TaliAq99,def_int_td,0,,,,,
player,201909080car,ram,TaliAq99,def_int_long,0,,,,,
player,201909080car,ram,TaliAq99,pass_defended,1,,,,,
player,201909080car,ram,TaliAq99,sacks,0.0,,,,,
player,201909080car,ram,TaliAq99,tackles_combined,1,,,,,
player,201909080car,ram,TaliAq99,tackles_solo,0,,,,,
player,201909080car,ram,TaliAq99,tackles_assists,1,,,,,
player,201909080car,ram,TaliAq99,tackles_loss,0,,,,,
player,201909080car,ram,TaliAq99,qb_hits,0,,,,,
player,201909080car,ram,TaliAq99,fumbles_rec,0,,,,,
player,201909080car,ram,TaliAq99,fumbles_rec_yds,0,,,,,
player,201909080car,ram,TaliAq99,fumbles_rec_td,0,,,,,
player,201909080car,ram,TaliAq99,fumbles_forced,0,,,,,
player,201909080car,ram,BlytAu00,def_int,0,,,,,
player,201909080car,ram,BlytAu00,def_int_yds,0,,,,,
player,201909080car,ram,BlytAu00,def_int_td,0,,,,,
player,201909080car,ram,BlytAu00,def_int_long,0,,,,,
player,201909080car,ram,BlytAu00,pass_defended,0,,,,,
player,201909080car,ram,BlytAu00,sacks,0.0,,,,,
player,201909080car,ram,BlytAu00,tackles_combined,0,,,,,
player,201909080car,ram,BlytAu00,tackles_solo,0,,,,,
player,201909080car,ram,BlytAu00,tackles_assists,0,,,,,
player,201909080car,ram,BlytAu00,tackles_loss,0,,,,,
player,201909080car,ram,BlytAu00,qb_hits,0,,,,,
player,201909080car,ram,BlytAu00,fumbles_rec,1,,,,,
player,201909080car,ram,BlytAu00,fumbles_rec_yds,0,,,,,
player,201909080car,ram,BlytAu00,fumbles_rec_td,0,,,,,
player,201909080car,ram,BlytAu00,fumbles_forced,0,,,,,
player,201909080car,car,BradJa00,def_int,1,,,,,
player,201909080car,car,BradJa00,def_int_yds,0,,,,,
player,201909080car,car,BradJa00,def_int_td,0,,,,,
player,201909080car,car,BradJa00,def_int_long,0,,,,,
player,201909080car,car,BradJa00,pass_defended,2,,,,,
player,201909080car,car,BradJa00,sacks,1.0,,,,,
player,201909080car,car,BradJa00,tackles_combined,4,,,,,
player,201909080car,car,BradJa00,tackles_solo,2,,,,,
player,201909080car,car,BradJa00,tackles_assists,2,,,,,
player,201909080car,car,BradJa00,tackles_loss,1,,,,,
player,201909080car,car,BradJa00,qb_hits,1,,,,,
player,201909080car,car,BradJa00,fumbles_rec,0,,,,,
player,201909080car,car,BradJa00,fumbles_rec_yds,0,,,,,
player,201909080car,car,BradJa00,fumbles_rec_td,0,,,,,
player,201909080car,car,BradJa00,fumbles_forced,0,,,,,
player,201909080car,car,BostTr00,def_int,0,,,,,
player,201909080car,car,BostTr00,def_int_yds,0,,,,,
player,201909080car,car,BostTr00,def_int_td,0,,,,,
player,201909080car,car,BostTr00,def_int_long,0,,,,,
player,201909080car,car,BostTr00,pass_defended,0,,,,,
player,201909080car,car,BostTr00,sacks,0.0,,,,,
player,201909080car,car,BostTr00,tackles_combined,9,,,,,
player,201909080car,car,BostTr00,tackles_solo,7,,,,,
player,201909080car,car,BostTr00,tackles_assists,2,,,,,
player,201909080car,car,BostTr00,tackles_loss,0,,,,,
player,201909080car,car,BostTr00,qb_hits,0,,,,,
player,201909080car,car,BostTr00,fumbles_rec,0,,,,,
player,201909080car,car,BostTr00,fumbles_rec_yds,0,,,,,
player,201909080car,car,BostTr00,fumbles_rec_td,0,,,,,
player,201909080car,car,BostTr00,fumbles_forced,0,,,,,
player,201909080car,car,ThomSh01,def_int,0,,,,,
player,201909080car,car,ThomSh01,def_int_yds,0,,,,,
player,201909080car,car,ThomSh01,def_int_td,0,,,,,
player,201909080car,car,ThomSh01,def_int_long,0,,,,,
player,201909080car,car,ThomSh01,pass_defended,1,,,,,
player,201909080car,car,ThomSh01,sacks,0.0,,,,,
player,201909080car,car,ThomSh01,tackles_combined,9,,,,,
player,201909080car,car,ThomSh01,tackles_solo,7,,,,,
player,201909080car,car,ThomSh01,tackles_assists,2,,,,,
player,201909080car,car,ThomSh01,tackles_loss,0,,,,,
player,201909080car,car,ThomSh01,qb_hits,0,,,,,
player,201909080car,car,ThomSh01,fumbles_rec,0,,,,,
player,201909080car,car,ThomSh01,fumbles_rec_yds,0,,,,,
player,201909080car,car,ThomSh01,fumbles_rec_td,0,,,,,
player,201909080car,car,ThomSh01,fumbles_forced,0,,,,,
player,201909080car,car,KuecLu00,def_int,0,,,,,
player,201909080car,car,KuecLu00,def_int_yds,0,,,,,
player,201909080car,car,KuecLu00,def_int_td,0,,,,,
player,201909080car,car,KuecLu00,def_int_long,0,,,,,
player,201909080car,car,KuecLu00,pass_defended,1,,,,,
player,201909080car,car,KuecLu00,sacks,0.0,,,,,
player,201909080car,car,KuecLu00,tackles_combined,8,,,,,
player,201909080car,car,KuecLu00,tackles_solo,4,,,,,
player,201909080car,car,KuecLu00,tackles_assists,4,,,,,
player,201909080car,car,KuecLu00,tackles_loss,0,,,,,
player,201909080car,car,KuecLu00,qb_hits,0,,,,,
player,201909080car,car,KuecLu00,fumbles_rec,0,,,,,
player,201909080car,car,KuecLu00,fumbles_rec_yds,0,,,,,
player,201909080car,car,KuecLu00,fumbles_rec_td,0,,,,,
player,201909080car,car,KuecLu00,fumbles_forced,0,,,,,
player,201909080car,car,ReidEr00,def_int,0,,,,,
player,201909080car,car,ReidEr00,def_int_yds,0,,,,,
player,201909080car,car,ReidEr00,def_int_td,0,,,,,
player,201909080car,car,ReidEr00,def_int_long,0,,,,,
player,201909080car,car,ReidEr00,pass_defended,0,,,,,
player,201909080car,car,ReidEr00,sacks,0.0,,,,,
player,201909080car,car,ReidEr00,tackles_combined,5,,,,,
player,201909080car,car,ReidEr00,tackles_solo,4,,,,,
player,201909080car,car,ReidEr00,tackles_assists,1,,,,,
player,201909080car,car,ReidEr00,tackles_loss,0,,,,,
player,201909080car,car,ReidEr00,qb_hits,0,,,,,
player,201909080car,car,ReidEr00,fumbles_rec,0,,,,,
player,201909080car,car,ReidEr00,fumbles_rec_yds,0,,,,,
player,201909080car,car,ReidEr00,fumbles_rec_td,0,,,,,
player,201909080car,car,ReidEr00,fumbles_forced,0,,,,,
player,201909080car,car,ElliJa01,def_int,0,,,,,
player,201909080car,car,ElliJa01,def_int_yds,0,,,,,
player,201909080car,car,ElliJa01,def_int_td,0,,,,,
player,201909080car,car,ElliJa01,def_int_long,0,,,,,
player,201909080car,car,ElliJa01,pass_defended,1,,,,,
player,201909080car,car,ElliJa01,sacks,0.0,,,,,
player,201909080car,car,ElliJa01,tackles_combined,4,,,,,
player,201909080car,car,ElliJa01,tackles_solo,1,,,,,
player,201909080car,car,ElliJa01,tackles_assists,3,,,,,
player,201909080car,car,ElliJa01,tackles_loss,0,,,,,
player,201909080car,car,ElliJa01,qb_hits,0,,,,,
player,201909080car,car,ElliJa01,fumbles_rec,0,,,,,
player,201909080car,car,ElliJa01,fumbles_rec_yds,0,,,,,
player,201909080car,car,ElliJa01,fumbles_rec_td,0,,,,,
player,201909080car,car,ElliJa01,fumbles_forced,0,,,,,
player,201909080car,car,ObadEf00,def_int,0,,,,,
player,201909080car,car,ObadEf00,def_int_yds,0,,,,,
player,201909080car,car,ObadEf00,def_int_td,0,,,,,
player,201909080car,car,ObadEf00,def_int_long,0,,,,,
player,201909080car,car,ObadEf00,pass_defended,0,,,,,
player,201909080car,car,ObadEf00,sacks,0.0,,,,,
player,201909080car,car,ObadEf00,tackles_combined,4,,,,,
player,201909080car,car,ObadEf00,tackles_solo,2,,,,,
player,201909080car,car,ObadEf00,tackles_assists,2,,,,,
player,201909080car,car,ObadEf00,tackles_loss,0,,,,,
player,201909080car,car,ObadEf00,qb_hits,0,,,,,
player,201909080car,car,ObadEf00,fumbles_rec,0,,,,,
player,201909080car,car,ObadEf00,fumbles_rec_yds,0,,,,,
player,201909080car,car,ObadEf00,fumbles_rec_td,0,,,,,
player,201909080car,car,ObadEf00,fumbles_forced,0,,,,,
player,201909080car,car,CartJe00,def_int,0,,,,,
player,201909080car,car,CartJe00,def_int_yds,0,,,,,
player,201909080car,car,CartJe00,def_int_td,0,,,,,
player,201909080car,car,CartJe00,def_int_long,0,,,,,
player,201909080car,car,CartJe00,pass_defended,0,,,,,
player,201909080car,car,CartJe00,sacks,0.0,,,,,
player,201909080car,car,CartJe00,tackles_combined,3,,,,,
player,201909080car,car,CartJe00,tackles_solo,2,,,,,
player,201909080car,car,CartJe00,tackles_assists,1,,,,,
player,201909080car,car,CartJe00,tackles_loss,0,,,,,
player,201909080car,car,CartJe00,qb_hits,0,,,,,
player,201909080car,car,CartJe00,fumbles_rec,0,,,,,
player,201909080car,car,CartJe00,fumbles_rec_yds,0,,,,,
player,201909080car,car,CartJe00,fumbles_rec_td,0,,,,,
player,201909080car,car,CartJe00,fumbles_forced,0,,,,,
player,201909080car,car,JackDo02,def_int,0,,,,,
player,201909080car,car,JackDo02,def_int_yds,0,,,,,
player,201909080car,car,JackDo02,def_int_td,0,,,,,
player,201909080car,car,JackDo02,def_int_long,0,,,,,
player,201909080car,car,JackDo02,pass_defended,1,,,,,
player,201909080car,car,JackDo02,sacks,0.0,,,,,
player,201909080car,car,JackDo02,tackles_combined,3,,,,,
player,201909080car,car,JackDo02,tackles_solo,3,,,,,
player,201909080car,car,JackDo02,tackles_assists,0,,,,,
player,201909080car,car,JackDo02,tackles_loss,0,,,,,
player,201909080car,car,JackDo02,qb_hits,0,,,,,
player,201909080car,car,JackDo02,fumbles_rec,0,,,,,
player,201909080car,car,JackDo02,fumbles_rec_yds,0,,,,,
player,201909080car,car,JackDo02,fumbles_rec_td,0,,,,,
player,201909080car,car,JackDo02,fumbles_forced,0,,,,,
player,201909080car,car,PoexDo00,def_int,0,,,,,
player,201909080car,car,PoexDo00,def_int_yds,0,,,,,
player,201909080car,car,PoexDo00,def_int_td,0,,,,,
player,201909080car,car,PoexDo00,def_int_long,0,,,,,
player,201909080car,car,PoexDo00,pass_defended,0,,,,,
player,201909080car,car,PoexDo00,sacks,0.0,,,,,
player,201909080car,car,PoexDo00,tackles_combined,3,,,,,
player,201909080car,car,PoexDo00,tackles_solo,2,,,,,
player,201909080car,car,PoexDo00,tackles_assists,1,,,,,
player,201909080car,car,PoexDo00,tackles_loss,1,,,,,
player,201909080car,car,PoexDo00,qb_hits,0,,,,,
player,201909080car,car,PoexDo00,fumbles_rec,0,,,,,
player,201909080car,car,PoexDo00,fumbles_rec_yds,0,,,,,
player,201909080car,car,PoexDo00,fumbles_rec_td,0,,,,,
player,201909080car,car,PoexDo00,fumbles_forced,0,,,,,
player,201909080car,car,ShorKa00,def_int,0,,,,,
player,201909080car,car,ShorKa00,def_int_yds,0,,,,,
player,201909080car,car,ShorKa00,def_int_td,0,,,,,
player,201909080car,car,ShorKa00,def_int_long,0,,,,,
player,201909080car,car,ShorKa00,pass_defended,0,,,,,
player,201909080car,car,ShorKa00,sacks,0.0,,,,,
player,201909080car,car,ShorKa00,tackles_combined,3,,,,,
player,201909080car,car,ShorKa00,tackles_solo,3,,,,,
player,201909080car,car,ShorKa00,tackles_assists,0,,,,,
player,201909080car,car,ShorKa00,tackles_loss,1,,,,,
player,201909080car,car,ShorKa00,qb_hits,2,,,,,
player,201909080car,car,ShorKa00,fumbles_rec,0,,,,,
player,201909080car,car,ShorKa00,fumbles_rec_yds,0,,,,,
player,201909080car,car,ShorKa00,fumbles_rec_td,0,,,,,
player,201909080car,car,ShorKa00,fumbles_forced,0,,,,,
player,201909080car,car,BurnBr00,def_int,0,,,,,
player,201909080car,car,BurnBr00,def_int_yds,0,,,,,
player,201909080car,car,BurnBr00,def_int_td,0,,,,,
player,201909080car,car,BurnBr00,def_int_long,0,,,,,
player,201909080car,car,BurnBr00,pass_defended,0,,,,,
player,201909080car,car,BurnBr00,sacks,0.0,,,,,
player,201909080car,car,BurnBr00,tackles_combined,2,,,,,
player,201909080car,car,BurnBr00,tackles_solo,1,,,,,
player,201909080car,car,BurnBr00,tackles_assists,1,,,,,
player,201909080car,car,BurnBr00,tackles_loss,1,,,,,
player,201909080car,car,BurnBr00,qb_hits,2,,,,,
player,201909080car,car,BurnBr00,fumbles_rec,0,,,,,
player,201909080car,car,BurnBr00,fumbles_rec_yds,0,,,,,
player,201909080car,car,BurnBr00,fumbles_rec_td,0,,,,,
player,201909080car,car,BurnBr00,fumbles_forced,0,,,,,
player,201909080car,car,CockRo00,def_int,0,,,,,
player,201909080car,car,CockRo00,def_int_yds,0,,,,,
player,201909080car,car,CockRo00,def_int_td,0,,,,,
player,201909080car,car,CockRo00,def_int_long,0,,,,,
player,201909080car,car,CockRo00,pass_defended,0,,,,,
player,201909080car,car,CockRo00,sacks,0.0,,,,,
player,201909080car,car,CockRo00,tackles_combined,1,,,,,
player,201909080car,car,CockRo00,tackles_solo,1,,,,,
player,201909080car,car,CockRo00,tackles_assists,0,,,,,
player,201909080car,car,CockRo00,tackles_loss,0,,,,,
player,201909080car,car,CockRo00,qb_hits,0,,,,,
player,201909080car,car,CockRo00,fumbles_rec,0,,,,,
player,201909080car,car,CockRo00,fumbles_rec_yds,0,,,,,
player,201909080car,car,CockRo00,fumbles_rec_td,0,,,,,
player,201909080car,car,CockRo00,fumbles_forced,0,,,,,
player,201909080car,car,GaulRa00,def_int,0,,,,,
player,201909080car,car,GaulRa00,def_int_yds,0,,,,,
player,201909080car,car,GaulRa00,def_int_td,0,,,,,
player,201909080car,car,GaulRa00,def_int_long,0,,,,,
player,201909080car,car,GaulRa00,pass_defended,0,,,,,
player,201909080car,car,GaulRa00,sacks,0.0,,,,,
player,201909080car,car,GaulRa00,tackles_combined,1,,,,,
player,201909080car,car,GaulRa00,tackles_solo,1,,,,,
player,201909080car,car,GaulRa00,tackles_assists,0,,,,,
player,201909080car,car,GaulRa00,tackles_loss,0,,,,,
player,201909080car,car,GaulRa00,qb_hits,0,,,,,
player,201909080car,car,GaulRa00,fumbles_rec,0,,,,,
player,201909080car,car,GaulRa00,fumbles_rec_yds,0,,,,,
player,201909080car,car,GaulRa00,fumbles_rec_td,0,,,,,
player,201909080car,car,GaulRa00,fumbles_forced,0,,,,,
player,201909080car,car,McCoGe99,def_int,0,,,,,
player,201909080car,car,McCoGe99,def_int_yds,0,,,,,
player,201909080car,car,McCoGe99,def_int_td,0,,,,,
player,201909080car,car,McCoGe99,def_int_long,0,,,,,
player,201909080car,car,McCoGe99,pass_defended,0,,,,,
player,201909080car,car,McCoGe99,sacks,0.0,,,,,
player,201909080car,car,McCoGe99,tackles_combined,1,,,,,
player,201909080car,car,McCoGe99,tackles_solo,1,,,,,
player,201909080car,car,McCoGe99,tackles_assists,0,,,,,
player,201909080car,car,McCoGe99,tackles_loss,0,,,,,
player,201909080car,car,McCoGe99,qb_hits,0,,,,,
player,201909080car,car,McCoGe99,fumbles_rec,0,,,,,
player,201909080car,car,McCoGe99,fumbles_rec_yds,0,,,,,
player,201909080car,car,McCoGe99,fumbles_rec_td,0,,,,,
player,201909080car,car,McCoGe99,fumbles_forced,0,,,,,
player,201909080car,car,AddiMa00,def_int,0,,,,,
player,201909080car,car,AddiMa00,def_int_yds,0,,,,,
player,201909080car,car,AddiMa00,def_int_td,0,,,,,
player,201909080car,car,AddiMa00,def_int_long,0,,,,,
player,201909080car,car,AddiMa00,pass_defended,0,,,,,
player,201909080car,car,AddiMa00,sacks,0.0,,,,,
player,201909080car,car,AddiMa00,tackles_combined,0,,,,,
player,201909080car,car,AddiMa00,tackles_solo,0,,,,,
player,201909080car,car,AddiMa00,tackles_assists,0,,,,,
player,201909080car,car,AddiMa00,tackles_loss,0,,,,,
player,201909080car,car,AddiMa00,qb_hits,1,,,,,
player,201909080car,car,AddiMa00,fumbles_rec,0,,,,,
player,201909080car,car,AddiMa00,fumbles_rec_yds,0,,,,,
player,201909080car,car,AddiMa00,fumbles_rec_td,0,,,,,
player,201909080car,car,AddiMa00,fumbles_forced,0,,,,,
player,201909080car,ram,NatsJo00,kick_ret,0,,,,,
player,201909080car,ram,NatsJo00,kick_ret_yds,0,,,,,
player,201909080car,ram,NatsJo00,kick_ret_yds_per_ret,,,,,,
player,201909080car,ram,NatsJo00,kick_ret_td,0,,,,,
player,201909080car,ram,NatsJo00,kick_ret_long,0,,,,,
player,201909080car,ram,NatsJo00,punt_ret,2,,,,,
player,201909080car,ram,NatsJo00,punt_ret_yds,19,,,,,
player,201909080car,ram,NatsJo00,punt_ret_yds_per_ret,9.5,,,,,
player,201909080car,ram,NatsJo00,punt_ret_td,0,,,,,
player,201909080car,ram,NatsJo00,punt_ret_long,16,,,,,
player,201909080car,car,McClRa00,kick_ret,2,,,,,
player,201909080car,car,McClRa00,kick_ret_yds,51,,,,,
player,201909080car,car,McClRa00,kick_ret_yds_per_ret,25.5,,,,,
player,201909080car,car,McClRa00,kick_ret_td,0,,,,,
player,201909080car,car,McClRa00,kick_ret_long,26,,,,,
player,201909080car,car,McClRa00,punt_ret,2,,,,,
player,201909080car,car,McClRa00,punt_ret_yds,24,,,,,
player,201909080car,car,McClRa00,punt_ret_yds_per_ret,12.0,,,,,
player,201909080car,car,McClRa00,punt_ret_td,0,,,,,
player,201909080car,car,McClRa00,punt_ret_long,13,,,,,
player,201909080car,ram,ZuerGr00,xpm,3,,,,,
player,201909080car,ram,ZuerGr00,xpa,3,,,,,
player,201909080car,ram,ZuerGr00,fgm,3,,,,,
player,201909080car,ram,ZuerGr00,fga,4,,,,,
player,201909080car,ram,ZuerGr00,punt,0,,,,,
player,201909080car,ram,ZuerGr00,punt_yds,0,,,,,
player,201909080car,ram,ZuerGr00,punt_yds_per_punt,,,,,,
player,201909080car,ram,ZuerGr00,punt_long,0,,,,,
player,201909080car,ram,HekkJo00,xpm,,,,,,
player,201909080car,ram,HekkJo00,xpa,,,,,,
player,201909080car,ram,HekkJo00,fgm,,,,,,
player,201909080car,ram,HekkJo00,fga,,,,,,
player,201909080car,ram,HekkJo00,punt,3,,,,,
player,201909080car,ram,HekkJo00,punt_yds,138,,,,,
player,201909080car,ram,HekkJo00,punt_yds_per_punt,46.0,,,,,
player,201909080car,ram,HekkJo00,punt_long,68,,,,,
player,201909080car,car,SlyeJo00,xpm,3,,,,,
player,201909080car,car,SlyeJo00,xpa,3,,,,,
player,201909080car,car,SlyeJo00,fgm,2,,,,,
player,201909080car,car,SlyeJo00,fga,3,,,,,
player,201909080car,car,SlyeJo00,punt,0,,,,,
player,201909080car,car,SlyeJo00,punt_yds,0,,,,,
player,201909080car,car,SlyeJo00,punt_yds_per_punt,,,,,,
player,201909080car,car,SlyeJo00,punt_long,0,,,,,
player,201909080car,car,PalaMi00,xpm,,,,,,
player,201909080car,car,PalaMi00,xpa,,,,,,
player,201909080car,car,PalaMi00,fgm,,,,,,
player,201909080car,car,PalaMi00,fga,,,,,,
player,201909080car,car,PalaMi00,punt,4,,,,,
player,201909080car,car,PalaMi00,punt_yds,193,,,,,
player,201909080car,car,PalaMi00,punt_yds_per_punt,48.3,,,,,
player,201909080car,car,PalaMi00,punt_long,58,,,,,
