game,2019,13,20191201,201912010mia,phi,"Philadelphia Eagles",31,mia,"Miami Dolphins",37
player,201912010mia,mia,GesiMi00,pass_long,0,,,,,
player,201912010mia,mia,GesiMi00,pass_rating,,,,,,
player,201912010mia,mia,GesiMi00,rush_att,0,,,,,
player,201912010mia,mia,GesiMi00,rush_yds,0,,,,,
player,201912010mia,mia,GesiMi00,rush_td,0,,,,,
player,201912010mia,mia,GesiMi00,rush_long,0,,,,,
player,201912010mia,mia,GesiMi00,targets,7,,,,,
player,201912010mia,mia,GesiMi00,rec,5,,,,,
player,201912010mia,mia,GesiMi00,rec_yds,79,,,,,
player,201912010mia,mia,GesiMi00,rec_td,1,,,,,
player,201912010mia,mia,GesiMi00,rec_long,21,,,,,
player,201912010mia,mia,GesiMi00,fumbles,0,,,,,
player,201912010mia,mia,GesiMi00,fumbles_lost,0,,,,,
player,201912010mia,mia,HurnAl01,pass_cmp,0,,,,,
player,201912010mia,mia,HurnAl01,pass_att,0,,,,,
player,201912010mia,mia,HurnAl01,pass_yds,0,,,,,
player,201912010mia,mia,HurnAl01,pass_td,0,,,,,
player,201912010mia,mia,HurnAl01,pass_int,0,,,,,
player,201912010mia,mia,HurnAl01,pass_sacked,0,,,,,
player,201912010mia,mia,HurnAl01,pass_sacked_yds,0,,,,,
player,201912010mia,mia,HurnAl01,pass_long,0,,,,,
player,201912010mia,mia,HurnAl01,pass_rating,,,,,,
player,201912010mia,mia,HurnAl01,rush_att,0,,,,,
player,201912010mia,mia,HurnAl01,rush_yds,0,,,,,
player,201912010mia,mia,HurnAl01,rush_td,0,,,,,
player,201912010mia,mia,HurnAl01,rush_long,0,,,,,
player,201912010mia,mia,HurnAl01,targets,4,,,,,
player,201912010mia,mia,HurnAl01,rec,3,,,,,
player,201912010mia,mia,HurnAl01,rec_yds,33,,,,,
player,201912010mia,mia,HurnAl01,rec_td,0,,,,,
player,201912010mia,mia,HurnAl01,rec_long,14,,,,,
player,201912010mia,mia,HurnAl01,fumbles,0,,,,,
player,201912010mia,mia,HurnAl01,fumbles_lost,0,,,,,
player,201912010mia,mia,SmytDu00,pass_cmp,0,,,,,
player,201912010mia,mia,SmytDu00,pass_att,0,,,,,
player,201912010mia,mia,SmytDu00,pass_yds,0,,,,,
player,201912010mia,mia,SmytDu00,pass_td,0,,,,,
player,201912010mia,mia,SmytDu00,pass_int,0,,,,,
player,201912010mia,mia,SmytDu00,pass_sacked,0,,,,,
player,201912010mia,mia,SmytDu00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,SmytDu00,pass_long,0,,,,,
player,201912010mia,mia,SmytDu00,pass_rating,,,,,,
player,201912010mia,mia,SmytDu00,rush_att,0,,,,,
player,201912010mia,mia,SmytDu00,rush_yds,0,,,,,
player,201912010mia,mia,SmytDu00,rush_td,0,,,,,
player,201912010mia,mia,SmytDu00,rush_long,0,,,,,
player,201912010mia,mia,SmytDu00,targets,3,,,,,
player,201912010mia,mia,SmytDu00,rec,2,,,,,
player,201912010mia,mia,SmytDu00,rec_yds,13,,,,,
player,201912010mia,mia,SmytDu00,rec_td,0,,,,,
player,201912010mia,mia,SmytDu00,rec_long,7,,,,,
player,201912010mia,mia,SmytDu00,fumbles,0,,,,,
player,201912010mia,mia,SmytDu00,fumbles_lost,0,,,,,
player,201912010mia,mia,SandJa00,pass_cmp,0,,,,,
player,201912010mia,mia,SandJa00,pass_att,0,,,,,
player,201912010mia,mia,SandJa00,pass_yds,0,,,,,
player,201912010mia,mia,SandJa00,pass_td,0,,,,,
player,201912010mia,mia,SandJa00,pass_int,0,,,,,
player,201912010mia,mia,SandJa00,pass_sacked,0,,,,,
player,201912010mia,mia,SandJa00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,SandJa00,pass_long,0,,,,,
player,201912010mia,mia,SandJa00,pass_rating,,,,,,
player,201912010mia,mia,SandJa00,rush_att,0,,,,,
player,201912010mia,mia,SandJa00,rush_yds,0,,,,,
player,201912010mia,mia,SandJa00,rush_td,0,,,,,
player,201912010mia,mia,SandJa00,rush_long,0,,,,,
player,201912010mia,mia,SandJa00,targets,1,,,,,
player,201912010mia,mia,SandJa00,rec,1,,,,,
player,201912010mia,mia,SandJa00,rec_yds,1,,,,,
player,201912010mia,mia,SandJa00,rec_td,1,,,,,
player,201912010mia,mia,SandJa00,rec_long,1,,,,,
player,201912010mia,mia,SandJa00,fumbles,0,,,,,
player,201912010mia,mia,SandJa00,fumbles_lost,0,,,,,
player,201912010mia,mia,WalfCl00,pass_cmp,0,,,,,
player,201912010mia,mia,WalfCl00,pass_att,0,,,,,
player,201912010mia,mia,WalfCl00,pass_yds,0,,,,,
player,201912010mia,mia,WalfCl00,pass_td,0,,,,,
player,201912010mia,mia,WalfCl00,pass_int,0,,,,,
player,201912010mia,mia,WalfCl00,pass_sacked,0,,,,,
player,201912010mia,mia,WalfCl00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,WalfCl00,pass_long,0,,,,,
player,201912010mia,mia,WalfCl00,pass_rating,,,,,,
player,201912010mia,mia,WalfCl00,rush_att,0,,,,,
player,201912010mia,mia,WalfCl00,rush_yds,0,,,,,
player,201912010mia,mia,WalfCl00,rush_td,0,,,,,
player,201912010mia,mia,WalfCl00,rush_long,0,,,,,
player,201912010mia,mia,WalfCl00,targets,1,,,,,
player,201912010mia,mia,WalfCl00,rec,0,,,,,
player,201912010mia,mia,WalfCl00,rec_yds,0,,,,,
player,201912010mia,mia,WalfCl00,rec_td,0,,,,,
player,201912010mia,mia,WalfCl00,rec_long,0,,,,,
player,201912010mia,mia,WalfCl00,fumbles,0,,,,,
player,201912010mia,mia,WalfCl00,fumbles_lost,0,,,,,
player,201912010mia,mia,FordIs00,pass_cmp,0,,,,,
player,201912010mia,mia,FordIs00,pass_att,0,,,,,
player,201912010mia,mia,FordIs00,pass_yds,0,,,,,
player,201912010mia,mia,FordIs00,pass_td,0,,,,,
player,201912010mia,mia,FordIs00,pass_int,0,,,,,
player,201912010mia,mia,FordIs00,pass_sacked,0,,,,,
player,201912010mia,mia,FordIs00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,FordIs00,pass_long,0,,,,,
player,201912010mia,mia,FordIs00,pass_rating,,,,,,
player,201912010mia,mia,FordIs00,rush_att,0,,,,,
player,201912010mia,mia,FordIs00,rush_yds,0,,,,,
player,201912010mia,mia,FordIs00,rush_td,0,,,,,
player,201912010mia,mia,FordIs00,rush_long,0,,,,,
player,201912010mia,mia,FordIs00,targets,1,,,,,
player,201912010mia,mia,FordIs00,rec,0,,,,,
player,201912010mia,mia,FordIs00,rec_yds,0,,,,,
player,201912010mia,mia,FordIs00,rec_td,0,,,,,
player,201912010mia,mia,FordIs00,rec_long,0,,,,,
player,201912010mia,mia,FordIs00,fumbles,0,,,,,
player,201912010mia,mia,FordIs00,fumbles_lost,0,,,,,
player,201912010mia,mia,BallKa00,pass_cmp,0,,,,,
player,201912010mia,mia,BallKa00,pass_att,0,,,,,
player,201912010mia,mia,BallKa00,pass_yds,0,,,,,
player,201912010mia,mia,BallKa00,pass_td,0,,,,,
player,201912010mia,mia,BallKa00,pass_int,0,,,,,
player,201912010mia,mia,BallKa00,pass_sacked,0,,,,,
player,201912010mia,mia,BallKa00,pass_sacked_yds,0,,,,,
player,201912010mia,mia,BallKa00,pass_long,0,,,,,
player,201912010mia,mia,BallKa00,pass_rating,,,,,,
player,201912010mia,mia,BallKa00,rush_att,3,,,,,
