game,2019,9,20191103,201911030car,oti,"Tennessee Titans",20,car,"Carolina Panthers",30
player,201911030car,car,AlleKy00,rec_yds,0,,,,,
player,201911030car,car,AlleKy00,rec_td,0,,,,,
player,201911030car,car,AlleKy00,rec_long,0,,,,,
player,201911030car,car,AlleKy00,fumbles,0,,,,,
player,201911030car,car,AlleKy00,fumbles_lost,0,,,,,
player,201911030car,car,McCaCh01,pass_cmp,0,,,,,
player,201911030car,car,McCaCh01,pass_att,0,,,,,
player,201911030car,car,McCaCh01,pass_yds,0,,,,,
player,201911030car,car,McCaCh01,pass_td,0,,,,,
player,201911030car,car,McCaCh01,pass_int,0,,,,,
player,201911030car,car,McCaCh01,pass_sacked,0,,,,,
player,201911030car,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201911030car,car,McCaCh01,pass_long,0,,,,,
player,201911030car,car,McCaCh01,pass_rating,,,,,,
player,201911030car,car,McCaCh01,rush_att,24,,,,,
player,201911030car,car,McCaCh01,rush_yds,146,,,,,
player,201911030car,car,McCaCh01,rush_td,2,,,,,
player,201911030car,car,McCaCh01,rush_long,58,,,,,
player,201911030car,car,McCaCh01,targets,3,,,,,
player,201911030car,car,McCaCh01,rec,3,,,,,
player,201911030car,car,McCaCh01,rec_yds,20,,,,,
player,201911030car,car,McCaCh01,rec_td,1,,,,,
player,201911030car,car,McCaCh01,rec_long,10,,,,,
player,201911030car,car,McCaCh01,fumbles,0,,,,,
player,201911030car,car,McCaCh01,fumbles_lost,0,,,,,
player,201911030car,car,SamuCu00,pass_cmp,0,,,,,
player,201911030car,car,SamuCu00,pass_att,0,,,,,
player,201911030car,car,SamuCu00,pass_yds,0,,,,,
player,201911030car,car,SamuCu00,pass_td,0,,,,,
player,201911030car,car,SamuCu00,pass_int,0,,,,,
player,201911030car,car,SamuCu00,pass_sacked,0,,,,,
player,201911030car,car,SamuCu00,pass_sacked_yds,0,,,,,
player,201911030car,car,SamuCu00,pass_long,0,,,,,
player,201911030car,car,SamuCu00,pass_rating,,,,,,
player,201911030car,car,SamuCu00,rush_att,1,,,,,
player,201911030car,car,SamuCu00,rush_yds,10,,,,,
player,201911030car,car,SamuCu00,rush_td,0,,,,,
player,201911030car,car,SamuCu00,rush_long,10,,,,,
player,201911030car,car,SamuCu00,targets,6,,,,,
player,201911030car,car,SamuCu00,rec,3,,,,,
player,201911030car,car,SamuCu00,rec_yds,64,,,,,
player,201911030car,car,SamuCu00,rec_td,1,,,,,
player,201911030car,car,SamuCu00,rec_long,32,,,,,
player,201911030car,car,SamuCu00,fumbles,0,,,,,
player,201911030car,car,SamuCu00,fumbles_lost,0,,,,,
player,201911030car,car,BonnRe00,pass_cmp,0,,,,,
player,201911030car,car,BonnRe00,pass_att,0,,,,,
player,201911030car,car,BonnRe00,pass_yds,0,,,,,
player,201911030car,car,BonnRe00,pass_td,0,,,,,
player,201911030car,car,BonnRe00,pass_int,0,,,,,
player,201911030car,car,BonnRe00,pass_sacked,0,,,,,
player,201911030car,car,BonnRe00,pass_sacked_yds,0,,,,,
player,201911030car,car,BonnRe00,pass_long,0,,,,,
player,201911030car,car,BonnRe00,pass_rating,,,,,,
player,201911030car,car,BonnRe00,rush_att,3,,,,,
player,201911030car,car,BonnRe00,rush_yds,6,,,,,
player,201911030car,car,BonnRe00,rush_td,0,,,,,
player,201911030car,car,BonnRe00,rush_long,4,,,,,
player,201911030car,car,BonnRe00,targets,1,,,,,
player,201911030car,car,BonnRe00,rec,1,,,,,
player,201911030car,car,BonnRe00,rec_yds,7,,,,,
player,201911030car,car,BonnRe00,rec_td,0,,,,,
player,201911030car,car,BonnRe00,rec_long,7,,,,,
player,201911030car,car,BonnRe00,fumbles,0,,,,,
player,201911030car,car,BonnRe00,fumbles_lost,0,,,,,
player,201911030car,car,JoneCo01,pass_cmp,0,,,,,
player,201911030car,car,JoneCo01,pass_att,0,,,,,
player,201911030car,car,JoneCo01,pass_yds,0,,,,,
player,201911030car,car,JoneCo01,pass_td,0,,,,,
player,201911030car,car,JoneCo01,pass_int,0,,,,,
player,201911030car,car,JoneCo01,pass_sacked,0,,,,,
player,201911030car,car,JoneCo01,pass_sacked_yds,0,,,,,
player,201911030car,car,JoneCo01,pass_long,0,,,,,
player,201911030car,car,JoneCo01,pass_rating,,,,,,
player,201911030car,car,JoneCo01,rush_att,1,,,,,
player,201911030car,car,JoneCo01,rush_yds,5,,,,,
player,201911030car,car,JoneCo01,rush_td,0,,,,,
player,201911030car,car,JoneCo01,rush_long,5,,,,,
player,201911030car,car,JoneCo01,targets,0,,,,,
player,201911030car,car,JoneCo01,rec,0,,,,,
player,201911030car,car,JoneCo01,rec_yds,0,,,,,
player,201911030car,car,JoneCo01,rec_td,0,,,,,
