game,2019,3,20190922,201909220kan,rav,"Baltimore Ravens",28,kan,"Kansas City Chiefs",33
player,201909220kan,rav,BoykMi00,pass_sacked_yds,0,,,,,
player,201909220kan,rav,BoykMi00,pass_long,0,,,,,
player,201909220kan,rav,BoykMi00,pass_rating,,,,,,
player,201909220kan,rav,BoykMi00,rush_att,0,,,,,
player,201909220kan,rav,BoykMi00,rush_yds,0,,,,,
player,201909220kan,rav,BoykMi00,rush_td,0,,,,,
player,201909220kan,rav,BoykMi00,rush_long,0,,,,,
player,201909220kan,rav,BoykMi00,targets,1,,,,,
player,201909220kan,rav,BoykMi00,rec,0,,,,,
player,201909220kan,rav,BoykMi00,rec_yds,0,,,,,
player,201909220kan,rav,BoykMi00,rec_td,0,,,,,
player,201909220kan,rav,BoykMi00,rec_long,0,,,,,
player,201909220kan,rav,BoykMi00,fumbles,0,,,,,
player,201909220kan,rav,BoykMi00,fumbles_lost,0,,,,,
player,201909220kan,kan,MahoPa00,pass_cmp,27,,,,,
player,201909220kan,kan,MahoPa00,pass_att,37,,,,,
player,201909220kan,kan,MahoPa00,pass_yds,374,,,,,
player,201909220kan,kan,MahoPa00,pass_td,3,,,,,
player,201909220kan,kan,MahoPa00,pass_int,0,,,,,
player,201909220kan,kan,MahoPa00,pass_sacked,1,,,,,
player,201909220kan,kan,MahoPa00,pass_sacked_yds,11,,,,,
player,201909220kan,kan,MahoPa00,pass_long,83,,,,,
player,201909220kan,kan,MahoPa00,pass_rating,132.0,,,,,
player,201909220kan,kan,MahoPa00,rush_att,4,,,,,
player,201909220kan,kan,MahoPa00,rush_yds,9,,,,,
player,201909220kan,kan,MahoPa00,rush_td,0,,,,,
player,201909220kan,kan,MahoPa00,rush_long,11,,,,,
player,201909220kan,kan,MahoPa00,targets,0,,,,,
player,201909220kan,kan,MahoPa00,rec,0,,,,,
player,201909220kan,kan,MahoPa00,rec_yds,0,,,,,
player,201909220kan,kan,MahoPa00,rec_td,0,,,,,
player,201909220kan,kan,MahoPa00,rec_long,0,,,,,
player,201909220kan,kan,MahoPa00,fumbles,1,,,,,
player,201909220kan,kan,MahoPa00,fumbles_lost,0,,,,,
player,201909220kan,kan,WillDa10,pass_cmp,0,,,,,
player,201909220kan,kan,WillDa10,pass_att,0,,,,,
player,201909220kan,kan,WillDa10,pass_yds,0,,,,,
player,201909220kan,kan,WillDa10,pass_td,0,,,,,
player,201909220kan,kan,WillDa10,pass_int,0,,,,,
player,201909220kan,kan,WillDa10,pass_sacked,0,,,,,
player,201909220kan,kan,WillDa10,pass_sacked_yds,0,,,,,
player,201909220kan,kan,WillDa10,pass_long,0,,,,,
player,201909220kan,kan,WillDa10,pass_rating,,,,,,
player,201909220kan,kan,WillDa10,rush_att,9,,,,,
player,201909220kan,kan,WillDa10,rush_yds,62,,,,,
player,201909220kan,kan,WillDa10,rush_td,0,,,,,
player,201909220kan,kan,WillDa10,rush_long,41,,,,,
player,201909220kan,kan,WillDa10,targets,5,,,,,
player,201909220kan,kan,WillDa10,rec,5,,,,,
player,201909220kan,kan,WillDa10,rec_yds,47,,,,,
player,201909220kan,kan,WillDa10,rec_td,0,,,,,
player,201909220kan,kan,WillDa10,rec_long,16,,,,,
player,201909220kan,kan,WillDa10,fumbles,0,,,,,
player,201909220kan,kan,WillDa10,fumbles_lost,0,,,,,
player,201909220kan,kan,McCoLe01,pass_cmp,0,,,,,
player,201909220kan,kan,McCoLe01,pass_att,0,,,,,
player,201909220kan,kan,McCoLe01,pass_yds,0,,,,,
player,201909220kan,kan,McCoLe01,pass_td,0,,,,,
player,201909220kan,kan,McCoLe01,pass_int,0,,,,,
player,201909220kan,kan,McCoLe01,pass_sacked,0,,,,,
player,201909220kan,kan,McCoLe01,pass_sacked_yds,0,,,,,
player,201909220kan,kan,McCoLe01,pass_long,0,,,,,
player,201909220kan,kan,McCoLe01,pass_rating,,,,,,
player,201909220kan,kan,McCoLe01,rush_att,8,,,,,
player,201909220kan,kan,McCoLe01,rush_yds,54,,,,,
player,201909220kan,kan,McCoLe01,rush_td,1,,,,,
player,201909220kan,kan,McCoLe01,rush_long,25,,,,,
player,201909220kan,kan,McCoLe01,targets,3,,,,,
player,201909220kan,kan,McCoLe01,rec,3,,,,,
player,201909220kan,kan,McCoLe01,rec_yds,26,,,,,
player,201909220kan,kan,McCoLe01,rec_td,1,,,,,
player,201909220kan,kan,McCoLe01,rec_long,14,,,,,
player,201909220kan,kan,McCoLe01,fumbles,0,,,,,
player,201909220kan,kan,McCoLe01,fumbles_lost,0,,,,,
player,201909220kan,kan,ThomDa06,pass_cmp,0,,,,,
player,201909220kan,kan,ThomDa06,pass_att,0,,,,,
player,201909220kan,kan,ThomDa06,pass_yds,0,,,,,
player,201909220kan,kan,ThomDa06,pass_td,0,,,,,
player,201909220kan,kan,ThomDa06,pass_int,0,,,,,
player,201909220kan,kan,ThomDa06,pass_sacked,0,,,,,
player,201909220kan,kan,ThomDa06,pass_sacked_yds,0,,,,,
player,201909220kan,kan,ThomDa06,pass_long,0,,,,,
player,201909220kan,kan,ThomDa06,pass_rating,,,,,,
player,201909220kan,kan,ThomDa06,rush_att,3,,,,,
player,201909220kan,kan,ThomDa06,rush_yds,8,,,,,
player,201909220kan,kan,ThomDa06,rush_td,0,,,,,
player,201909220kan,kan,ThomDa06,rush_long,8,,,,,
player,201909220kan,kan,ThomDa06,targets,0,,,,,
player,201909220kan,kan,ThomDa06,rec,0,,,,,
player,201909220kan,kan,ThomDa06,rec_yds,0,,,,,
player,201909220kan,kan,ThomDa06,rec_td,0,,,,,
player,201909220kan,kan,ThomDa06,rec_long,0,,,,,
player,201909220kan,kan,ThomDa06,fumbles,0,,,,,
player,201909220kan,kan,ThomDa06,fumbles_lost,0,,,,,
player,201909220kan,kan,HardMe00,pass_cmp,0,,,,,
player,201909220kan,kan,HardMe00,pass_att,0,,,,,
player,201909220kan,kan,HardMe00,pass_yds,0,,,,,
player,201909220kan,kan,HardMe00,pass_td,0,,,,,
player,201909220kan,kan,HardMe00,pass_int,0,,,,,
player,201909220kan,kan,HardMe00,pass_sacked,0,,,,,
player,201909220kan,kan,HardMe00,pass_sacked_yds,0,,,,,
player,201909220kan,kan,HardMe00,pass_long,0,,,,,
player,201909220kan,kan,HardMe00,pass_rating,,,,,,
player,201909220kan,kan,HardMe00,rush_att,1,,,,,
player,201909220kan,kan,HardMe00,rush_yds,7,,,,,
player,201909220kan,kan,HardMe00,rush_td,0,,,,,
player,201909220kan,kan,HardMe00,rush_long,7,,,,,
player,201909220kan,kan,HardMe00,targets,5,,,,,
player,201909220kan,kan,HardMe00,rec,2,,,,,
player,201909220kan,kan,HardMe00,rec_yds,97,,,,,
player,201909220kan,kan,HardMe00,rec_td,1,,,,,
player,201909220kan,kan,HardMe00,rec_long,83,,,,,
player,201909220kan,kan,HardMe00,fumbles,0,,,,,
player,201909220kan,kan,HardMe00,fumbles_lost,0,,,,,
player,201909220kan,kan,KelcTr00,pass_cmp,0,,,,,
player,201909220kan,kan,KelcTr00,pass_att,0,,,,,
player,201909220kan,kan,KelcTr00,pass_yds,0,,,,,
player,201909220kan,kan,KelcTr00,pass_td,0,,,,,
player,201909220kan,kan,KelcTr00,pass_int,0,,,,,
player,201909220kan,kan,KelcTr00,pass_sacked,0,,,,,
player,201909220kan,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201909220kan,kan,KelcTr00,pass_long,0,,,,,
player,201909220kan,kan,KelcTr00,pass_rating,,,,,,
player,201909220kan,kan,KelcTr00,rush_att,0,,,,,
player,201909220kan,kan,KelcTr00,rush_yds,0,,,,,
player,201909220kan,kan,KelcTr00,rush_td,0,,,,,
player,201909220kan,kan,KelcTr00,rush_long,0,,,,,
player,201909220kan,kan,KelcTr00,targets,8,,,,,
player,201909220kan,kan,KelcTr00,rec,7,,,,,
player,201909220kan,kan,KelcTr00,rec_yds,89,,,,,
player,201909220kan,kan,KelcTr00,rec_td,0,,,,,
player,201909220kan,kan,KelcTr00,rec_long,21,,,,,
player,201909220kan,kan,KelcTr00,fumbles,0,,,,,
player,201909220kan,kan,KelcTr00,fumbles_lost,0,,,,,
player,201909220kan,kan,WatkSa00,pass_cmp,0,,,,,
player,201909220kan,kan,WatkSa00,pass_att,0,,,,,
player,201909220kan,kan,WatkSa00,pass_yds,0,,,,,
player,201909220kan,kan,WatkSa00,pass_td,0,,,,,
player,201909220kan,kan,WatkSa00,pass_int,0,,,,,
player,201909220kan,kan,WatkSa00,pass_sacked,0,,,,,
player,201909220kan,kan,WatkSa00,pass_sacked_yds,0,,,,,
player,201909220kan,kan,WatkSa00,pass_long,0,,,,,
player,201909220kan,kan,WatkSa00,pass_rating,,,,,,
player,201909220kan,kan,WatkSa00,rush_att,0,,,,,
player,201909220kan,kan,WatkSa00,rush_yds,0,,,,,
player,201909220kan,kan,WatkSa00,rush_td,0,,,,,
player,201909220kan,kan,WatkSa00,rush_long,0,,,,,
player,201909220kan,kan,WatkSa00,targets,8,,,,,
player,201909220kan,kan,WatkSa00,rec,5,,,,,
player,201909220kan,kan,WatkSa00,rec_yds,64,,,,,
player,201909220kan,kan,WatkSa00,rec_td,0,,,,,
player,201909220kan,kan,WatkSa00,rec_long,36,,,,,
player,201909220kan,kan,WatkSa00,fumbles,1,,,,,
player,201909220kan,kan,WatkSa00,fumbles_lost,0,,,,,
player,201909220kan,kan,RobiDe01,pass_cmp,0,,,,,
player,201909220kan,kan,RobiDe01,pass_att,0,,,,,
player,201909220kan,kan,RobiDe01,pass_yds,0,,,,,
player,201909220kan,kan,RobiDe01,pass_td,0,,,,,
player,201909220kan,kan,RobiDe01,pass_int,0,,,,,
player,201909220kan,kan,RobiDe01,pass_sacked,0,,,,,
player,201909220kan,kan,RobiDe01,pass_sacked_yds,0,,,,,
player,201909220kan,kan,RobiDe01,pass_long,0,,,,,
player,201909220kan,kan,RobiDe01,pass_rating,,,,,,
player,201909220kan,kan,RobiDe01,rush_att,0,,,,,
