game,2019,11,20191118,201911180sdg,kan,"Kansas City Chiefs",24,sdg,"Los Angeles Chargers",17
player,201911180sdg,kan,JoneCh09,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,JoneCh09,fumbles_forced,0,,,,,
player,201911180sdg,kan,McCoLe01,def_int,0,,,,,
player,201911180sdg,kan,McCoLe01,def_int_yds,0,,,,,
player,201911180sdg,kan,McCoLe01,def_int_td,0,,,,,
player,201911180sdg,kan,McCoLe01,def_int_long,0,,,,,
player,201911180sdg,kan,McCoLe01,pass_defended,0,,,,,
player,201911180sdg,kan,McCoLe01,sacks,0.0,,,,,
player,201911180sdg,kan,McCoLe01,tackles_combined,0,,,,,
player,201911180sdg,kan,McCoLe01,tackles_solo,0,,,,,
player,201911180sdg,kan,McCoLe01,tackles_assists,0,,,,,
player,201911180sdg,kan,McCoLe01,tackles_loss,0,,,,,
player,201911180sdg,kan,McCoLe01,qb_hits,0,,,,,
player,201911180sdg,kan,McCoLe01,fumbles_rec,1,,,,,
player,201911180sdg,kan,McCoLe01,fumbles_rec_yds,0,,,,,
player,201911180sdg,kan,McCoLe01,fumbles_rec_td,0,,,,,
player,201911180sdg,kan,McCoLe01,fumbles_forced,0,,,,,
player,201911180sdg,sdg,JenkRa00,def_int,1,,,,,
player,201911180sdg,sdg,JenkRa00,def_int_yds,2,,,,,
player,201911180sdg,sdg,JenkRa00,def_int_td,0,,,,,
player,201911180sdg,sdg,JenkRa00,def_int_long,2,,,,,
player,201911180sdg,sdg,JenkRa00,pass_defended,1,,,,,
player,201911180sdg,sdg,JenkRa00,sacks,0.0,,,,,
player,201911180sdg,sdg,JenkRa00,tackles_combined,3,,,,,
player,201911180sdg,sdg,JenkRa00,tackles_solo,1,,,,,
player,201911180sdg,sdg,JenkRa00,tackles_assists,2,,,,,
player,201911180sdg,sdg,JenkRa00,tackles_loss,0,,,,,
player,201911180sdg,sdg,JenkRa00,qb_hits,0,,,,,
player,201911180sdg,sdg,JenkRa00,fumbles_rec,0,,,,,
player,201911180sdg,sdg,JenkRa00,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,JenkRa00,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,JenkRa00,fumbles_forced,0,,,,,
player,201911180sdg,sdg,IngrMe00,def_int,0,,,,,
player,201911180sdg,sdg,IngrMe00,def_int_yds,0,,,,,
player,201911180sdg,sdg,IngrMe00,def_int_td,0,,,,,
player,201911180sdg,sdg,IngrMe00,def_int_long,0,,,,,
player,201911180sdg,sdg,IngrMe00,pass_defended,2,,,,,
player,201911180sdg,sdg,IngrMe00,sacks,1.0,,,,,
player,201911180sdg,sdg,IngrMe00,tackles_combined,5,,,,,
player,201911180sdg,sdg,IngrMe00,tackles_solo,4,,,,,
player,201911180sdg,sdg,IngrMe00,tackles_assists,1,,,,,
player,201911180sdg,sdg,IngrMe00,tackles_loss,2,,,,,
player,201911180sdg,sdg,IngrMe00,qb_hits,2,,,,,
player,201911180sdg,sdg,IngrMe00,fumbles_rec,0,,,,,
player,201911180sdg,sdg,IngrMe00,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,IngrMe00,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,IngrMe00,fumbles_forced,0,,,,,
player,201911180sdg,sdg,DaviTh20,def_int,0,,,,,
player,201911180sdg,sdg,DaviTh20,def_int_yds,0,,,,,
player,201911180sdg,sdg,DaviTh20,def_int_td,0,,,,,
player,201911180sdg,sdg,DaviTh20,def_int_long,0,,,,,
player,201911180sdg,sdg,DaviTh20,pass_defended,1,,,,,
player,201911180sdg,sdg,DaviTh20,sacks,0.0,,,,,
player,201911180sdg,sdg,DaviTh20,tackles_combined,12,,,,,
player,201911180sdg,sdg,DaviTh20,tackles_solo,6,,,,,
player,201911180sdg,sdg,DaviTh20,tackles_assists,6,,,,,
player,201911180sdg,sdg,DaviTh20,tackles_loss,0,,,,,
player,201911180sdg,sdg,DaviTh20,qb_hits,0,,,,,
player,201911180sdg,sdg,DaviTh20,fumbles_rec,0,,,,,
player,201911180sdg,sdg,DaviTh20,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,DaviTh20,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,DaviTh20,fumbles_forced,0,,,,,
player,201911180sdg,sdg,WatkJa01,def_int,0,,,,,
player,201911180sdg,sdg,WatkJa01,def_int_yds,0,,,,,
player,201911180sdg,sdg,WatkJa01,def_int_td,0,,,,,
player,201911180sdg,sdg,WatkJa01,def_int_long,0,,,,,
player,201911180sdg,sdg,WatkJa01,pass_defended,0,,,,,
player,201911180sdg,sdg,WatkJa01,sacks,0.0,,,,,
player,201911180sdg,sdg,WatkJa01,tackles_combined,11,,,,,
player,201911180sdg,sdg,WatkJa01,tackles_solo,7,,,,,
player,201911180sdg,sdg,WatkJa01,tackles_assists,4,,,,,
player,201911180sdg,sdg,WatkJa01,tackles_loss,0,,,,,
player,201911180sdg,sdg,WatkJa01,qb_hits,0,,,,,
player,201911180sdg,sdg,WatkJa01,fumbles_rec,0,,,,,
player,201911180sdg,sdg,WatkJa01,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,WatkJa01,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,WatkJa01,fumbles_forced,0,,,,,
player,201911180sdg,sdg,PerrDe00,def_int,0,,,,,
player,201911180sdg,sdg,PerrDe00,def_int_yds,0,,,,,
player,201911180sdg,sdg,PerrDe00,def_int_td,0,,,,,
player,201911180sdg,sdg,PerrDe00,def_int_long,0,,,,,
player,201911180sdg,sdg,PerrDe00,pass_defended,0,,,,,
player,201911180sdg,sdg,PerrDe00,sacks,0.0,,,,,
player,201911180sdg,sdg,PerrDe00,tackles_combined,7,,,,,
player,201911180sdg,sdg,PerrDe00,tackles_solo,6,,,,,
player,201911180sdg,sdg,PerrDe00,tackles_assists,1,,,,,
player,201911180sdg,sdg,PerrDe00,tackles_loss,0,,,,,
player,201911180sdg,sdg,PerrDe00,qb_hits,0,,,,,
player,201911180sdg,sdg,PerrDe00,fumbles_rec,0,,,,,
player,201911180sdg,sdg,PerrDe00,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,PerrDe00,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,PerrDe00,fumbles_forced,1,,,,,
player,201911180sdg,sdg,SquaDa00,def_int,0,,,,,
player,201911180sdg,sdg,SquaDa00,def_int_yds,0,,,,,
player,201911180sdg,sdg,SquaDa00,def_int_td,0,,,,,
player,201911180sdg,sdg,SquaDa00,def_int_long,0,,,,,
player,201911180sdg,sdg,SquaDa00,pass_defended,0,,,,,
player,201911180sdg,sdg,SquaDa00,sacks,0.0,,,,,
player,201911180sdg,sdg,SquaDa00,tackles_combined,4,,,,,
player,201911180sdg,sdg,SquaDa00,tackles_solo,1,,,,,
player,201911180sdg,sdg,SquaDa00,tackles_assists,3,,,,,
player,201911180sdg,sdg,SquaDa00,tackles_loss,1,,,,,
player,201911180sdg,sdg,SquaDa00,qb_hits,0,,,,,
player,201911180sdg,sdg,SquaDa00,fumbles_rec,0,,,,,
player,201911180sdg,sdg,SquaDa00,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,SquaDa00,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,SquaDa00,fumbles_forced,0,,,,,
player,201911180sdg,sdg,BrowJa05,def_int,0,,,,,
player,201911180sdg,sdg,BrowJa05,def_int_yds,0,,,,,
player,201911180sdg,sdg,BrowJa05,def_int_td,0,,,,,
player,201911180sdg,sdg,BrowJa05,def_int_long,0,,,,,
player,201911180sdg,sdg,BrowJa05,pass_defended,0,,,,,
player,201911180sdg,sdg,BrowJa05,sacks,0.0,,,,,
player,201911180sdg,sdg,BrowJa05,tackles_combined,3,,,,,
player,201911180sdg,sdg,BrowJa05,tackles_solo,3,,,,,
player,201911180sdg,sdg,BrowJa05,tackles_assists,0,,,,,
player,201911180sdg,sdg,BrowJa05,tackles_loss,0,,,,,
player,201911180sdg,sdg,BrowJa05,qb_hits,0,,,,,
player,201911180sdg,sdg,BrowJa05,fumbles_rec,0,,,,,
player,201911180sdg,sdg,BrowJa05,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,BrowJa05,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,BrowJa05,fumbles_forced,0,,,,,
player,201911180sdg,sdg,JoneJu03,def_int,0,,,,,
player,201911180sdg,sdg,JoneJu03,def_int_yds,0,,,,,
player,201911180sdg,sdg,JoneJu03,def_int_td,0,,,,,
player,201911180sdg,sdg,JoneJu03,def_int_long,0,,,,,
player,201911180sdg,sdg,JoneJu03,pass_defended,0,,,,,
player,201911180sdg,sdg,JoneJu03,sacks,0.0,,,,,
player,201911180sdg,sdg,JoneJu03,tackles_combined,3,,,,,
player,201911180sdg,sdg,JoneJu03,tackles_solo,2,,,,,
player,201911180sdg,sdg,JoneJu03,tackles_assists,1,,,,,
player,201911180sdg,sdg,JoneJu03,tackles_loss,0,,,,,
player,201911180sdg,sdg,JoneJu03,qb_hits,0,,,,,
player,201911180sdg,sdg,JoneJu03,fumbles_rec,0,,,,,
player,201911180sdg,sdg,JoneJu03,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,JoneJu03,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,JoneJu03,fumbles_forced,0,,,,,
player,201911180sdg,sdg,BosaJo00,def_int,0,,,,,
player,201911180sdg,sdg,BosaJo00,def_int_yds,0,,,,,
player,201911180sdg,sdg,BosaJo00,def_int_td,0,,,,,
player,201911180sdg,sdg,BosaJo00,def_int_long,0,,,,,
player,201911180sdg,sdg,BosaJo00,pass_defended,0,,,,,
player,201911180sdg,sdg,BosaJo00,sacks,0.0,,,,,
player,201911180sdg,sdg,BosaJo00,tackles_combined,2,,,,,
player,201911180sdg,sdg,BosaJo00,tackles_solo,2,,,,,
player,201911180sdg,sdg,BosaJo00,tackles_assists,0,,,,,
player,201911180sdg,sdg,BosaJo00,tackles_loss,0,,,,,
player,201911180sdg,sdg,BosaJo00,qb_hits,2,,,,,
player,201911180sdg,sdg,BosaJo00,fumbles_rec,0,,,,,
player,201911180sdg,sdg,BosaJo00,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,BosaJo00,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,BosaJo00,fumbles_forced,0,,,,,
player,201911180sdg,sdg,DaviMi03,def_int,0,,,,,
player,201911180sdg,sdg,DaviMi03,def_int_yds,0,,,,,
player,201911180sdg,sdg,DaviMi03,def_int_td,0,,,,,
player,201911180sdg,sdg,DaviMi03,def_int_long,0,,,,,
player,201911180sdg,sdg,DaviMi03,pass_defended,1,,,,,
player,201911180sdg,sdg,DaviMi03,sacks,0.0,,,,,
player,201911180sdg,sdg,DaviMi03,tackles_combined,1,,,,,
player,201911180sdg,sdg,DaviMi03,tackles_solo,1,,,,,
player,201911180sdg,sdg,DaviMi03,tackles_assists,0,,,,,
player,201911180sdg,sdg,DaviMi03,tackles_loss,0,,,,,
player,201911180sdg,sdg,DaviMi03,qb_hits,0,,,,,
player,201911180sdg,sdg,DaviMi03,fumbles_rec,0,,,,,
player,201911180sdg,sdg,DaviMi03,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,DaviMi03,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,DaviMi03,fumbles_forced,0,,,,,
player,201911180sdg,sdg,HaywCa00,def_int,0,,,,,
player,201911180sdg,sdg,HaywCa00,def_int_yds,0,,,,,
player,201911180sdg,sdg,HaywCa00,def_int_td,0,,,,,
player,201911180sdg,sdg,HaywCa00,def_int_long,0,,,,,
player,201911180sdg,sdg,HaywCa00,pass_defended,0,,,,,
player,201911180sdg,sdg,HaywCa00,sacks,0.0,,,,,
player,201911180sdg,sdg,HaywCa00,tackles_combined,1,,,,,
player,201911180sdg,sdg,HaywCa00,tackles_solo,1,,,,,
player,201911180sdg,sdg,HaywCa00,tackles_assists,0,,,,,
player,201911180sdg,sdg,HaywCa00,tackles_loss,0,,,,,
player,201911180sdg,sdg,HaywCa00,qb_hits,0,,,,,
player,201911180sdg,sdg,HaywCa00,fumbles_rec,0,,,,,
player,201911180sdg,sdg,HaywCa00,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,HaywCa00,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,HaywCa00,fumbles_forced,0,,,,,
player,201911180sdg,sdg,MebaBr99,def_int,0,,,,,
player,201911180sdg,sdg,MebaBr99,def_int_yds,0,,,,,
player,201911180sdg,sdg,MebaBr99,def_int_td,0,,,,,
player,201911180sdg,sdg,MebaBr99,def_int_long,0,,,,,
player,201911180sdg,sdg,MebaBr99,pass_defended,0,,,,,
player,201911180sdg,sdg,MebaBr99,sacks,0.0,,,,,
player,201911180sdg,sdg,MebaBr99,tackles_combined,1,,,,,
player,201911180sdg,sdg,MebaBr99,tackles_solo,1,,,,,
player,201911180sdg,sdg,MebaBr99,tackles_assists,0,,,,,
player,201911180sdg,sdg,MebaBr99,tackles_loss,0,,,,,
player,201911180sdg,sdg,MebaBr99,qb_hits,0,,,,,
player,201911180sdg,sdg,MebaBr99,fumbles_rec,0,,,,,
player,201911180sdg,sdg,MebaBr99,fumbles_rec_yds,0,,,,,
player,201911180sdg,sdg,MebaBr99,fumbles_rec_td,0,,,,,
player,201911180sdg,sdg,MebaBr99,fumbles_forced,0,,,,,
player,201911180sdg,sdg,RochIs00,def_int,0,,,,,
player,201911180sdg,sdg,RochIs00,def_int_yds,0,,,,,
player,201911180sdg,sdg,RochIs00,def_int_td,0,,,,,
player,201911180sdg,sdg,RochIs00,def_int_long,0,,,,,
player,201911180sdg,sdg,RochIs00,pass_defended,0,,,,,
player,201911180sdg,sdg,RochIs00,sacks,0.0,,,,,
player,201911180sdg,sdg,RochIs00,tackles_combined,1,,,,,
player,201911180sdg,sdg,RochIs00,tackles_solo,0,,,,,
player,201911180sdg,sdg,RochIs00,tackles_assists,1,,,,,
