game,2019,7,20191020,201910200was,sfo,"San Francisco 49ers",9,was,"Washington Redskins",0
player,201910200was,was,RichPa01,fumbles_lost,0,,,,,
player,201910200was,sfo,BosaNi00,def_int,0,,,,,
player,201910200was,sfo,BosaNi00,def_int_yds,0,,,,,
player,201910200was,sfo,BosaNi00,def_int_td,0,,,,,
player,201910200was,sfo,BosaNi00,def_int_long,0,,,,,
player,201910200was,sfo,BosaNi00,pass_defended,0,,,,,
player,201910200was,sfo,BosaNi00,sacks,1.0,,,,,
player,201910200was,sfo,BosaNi00,tackles_combined,7,,,,,
player,201910200was,sfo,BosaNi00,tackles_solo,5,,,,,
player,201910200was,sfo,BosaNi00,tackles_assists,2,,,,,
player,201910200was,sfo,BosaNi00,tackles_loss,4,,,,,
player,201910200was,sfo,BosaNi00,qb_hits,1,,,,,
player,201910200was,sfo,BosaNi00,fumbles_rec,0,,,,,
player,201910200was,sfo,BosaNi00,fumbles_rec_yds,0,,,,,
player,201910200was,sfo,BosaNi00,fumbles_rec_td,0,,,,,
player,201910200was,sfo,BosaNi00,fumbles_forced,0,,,,,
player,201910200was,sfo,ArmsAr01,def_int,0,,,,,
player,201910200was,sfo,ArmsAr01,def_int_yds,0,,,,,
player,201910200was,sfo,ArmsAr01,def_int_td,0,,,,,
player,201910200was,sfo,ArmsAr01,def_int_long,0,,,,,
player,201910200was,sfo,ArmsAr01,pass_defended,0,,,,,
player,201910200was,sfo,ArmsAr01,sacks,1.0,,,,,
player,201910200was,sfo,ArmsAr01,tackles_combined,3,,,,,
player,201910200was,sfo,ArmsAr01,tackles_solo,2,,,,,
player,201910200was,sfo,ArmsAr01,tackles_assists,1,,,,,
player,201910200was,sfo,ArmsAr01,tackles_loss,1,,,,,
player,201910200was,sfo,ArmsAr01,qb_hits,1,,,,,
player,201910200was,sfo,ArmsAr01,fumbles_rec,0,,,,,
player,201910200was,sfo,ArmsAr01,fumbles_rec_yds,0,,,,,
player,201910200was,sfo,ArmsAr01,fumbles_rec_td,0,,,,,
player,201910200was,sfo,ArmsAr01,fumbles_forced,0,,,,,
player,201910200was,sfo,FordDe00,def_int,0,,,,,
player,201910200was,sfo,FordDe00,def_int_yds,0,,,,,
player,201910200was,sfo,FordDe00,def_int_td,0,,,,,
