game,2019,13,20191201,201912010kan,rai,"Oakland Raiders",9,kan,"Kansas City Chiefs",40
player,201912010kan,kan,ThomDa06,pass_yds,0,,,,,
player,201912010kan,kan,ThomDa06,pass_td,0,,,,,
player,201912010kan,kan,ThomDa06,pass_int,0,,,,,
player,201912010kan,kan,ThomDa06,pass_sacked,0,,,,,
player,201912010kan,kan,ThomDa06,pass_sacked_yds,0,,,,,
player,201912010kan,kan,ThomDa06,pass_long,0,,,,,
player,201912010kan,kan,ThomDa06,pass_rating,,,,,,
player,201912010kan,kan,ThomDa06,rush_att,11,,,,,
player,201912010kan,kan,ThomDa06,rush_yds,44,,,,,
player,201912010kan,kan,ThomDa06,rush_td,1,,,,,
player,201912010kan,kan,ThomDa06,rush_long,9,,,,,
player,201912010kan,kan,ThomDa06,targets,0,,,,,
player,201912010kan,kan,ThomDa06,rec,0,,,,,
player,201912010kan,kan,ThomDa06,rec_yds,0,,,,,
player,201912010kan,kan,ThomDa06,rec_td,0,,,,,
player,201912010kan,kan,ThomDa06,rec_long,0,,,,,
player,201912010kan,kan,ThomDa06,fumbles,0,,,,,
player,201912010kan,kan,ThomDa06,fumbles_lost,0,,,,,
player,201912010kan,kan,WillDa10,pass_cmp,0,,,,,
player,201912010kan,kan,WillDa10,pass_att,0,,,,,
player,201912010kan,kan,WillDa10,pass_yds,0,,,,,
player,201912010kan,kan,WillDa10,pass_td,0,,,,,
player,201912010kan,kan,WillDa10,pass_int,0,,,,,
player,201912010kan,kan,WillDa10,pass_sacked,0,,,,,
player,201912010kan,kan,WillDa10,pass_sacked_yds,0,,,,,
player,201912010kan,kan,WillDa10,pass_long,0,,,,,
player,201912010kan,kan,WillDa10,pass_rating,,,,,,
player,201912010kan,kan,WillDa10,rush_att,6,,,,,
player,201912010kan,kan,WillDa10,rush_yds,13,,,,,
player,201912010kan,kan,WillDa10,rush_td,0,,,,,
player,201912010kan,kan,WillDa10,rush_long,15,,,,,
player,201912010kan,kan,WillDa10,targets,2,,,,,
player,201912010kan,kan,WillDa10,rec,1,,,,,
player,201912010kan,kan,WillDa10,rec_yds,3,,,,,
player,201912010kan,kan,WillDa10,rec_td,1,,,,,
player,201912010kan,kan,WillDa10,rec_long,3,,,,,
player,201912010kan,kan,WillDa10,fumbles,0,,,,,
player,201912010kan,kan,WillDa10,fumbles_lost,0,,,,,
player,201912010kan,kan,McCoLe01,pass_cmp,0,,,,,
player,201912010kan,kan,McCoLe01,pass_att,0,,,,,
player,201912010kan,kan,McCoLe01,pass_yds,0,,,,,
player,201912010kan,kan,McCoLe01,pass_td,0,,,,,
player,201912010kan,kan,McCoLe01,pass_int,0,,,,,
player,201912010kan,kan,McCoLe01,pass_sacked,0,,,,,
player,201912010kan,kan,McCoLe01,pass_sacked_yds,0,,,,,
player,201912010kan,kan,McCoLe01,pass_long,0,,,,,
player,201912010kan,kan,McCoLe01,pass_rating,,,,,,
player,201912010kan,kan,McCoLe01,rush_att,5,,,,,
player,201912010kan,kan,McCoLe01,rush_yds,10,,,,,
player,201912010kan,kan,McCoLe01,rush_td,1,,,,,
player,201912010kan,kan,McCoLe01,rush_long,6,,,,,
player,201912010kan,kan,McCoLe01,targets,3,,,,,
player,201912010kan,kan,McCoLe01,rec,3,,,,,
player,201912010kan,kan,McCoLe01,rec_yds,20,,,,,
player,201912010kan,kan,McCoLe01,rec_td,0,,,,,
