game,2019,9,20191103,201911030sea,tam,"Tampa Bay Buccaneers",34,sea,"Seattle Seahawks",40
player,201911030sea,sea,RoosJo00,st_pct,19%,,,,,
player,201911030sea,sea,JoneJa08,pos,T,,,,,
player,201911030sea,sea,JoneJa08,offense,0,,,,,
player,201911030sea,sea,JoneJa08,off_pct,0%,,,,,
player,201911030sea,sea,JoneJa08,defense,0,,,,,
player,201911030sea,sea,JoneJa08,def_pct,0%,,,,,
player,201911030sea,sea,JoneJa08,special_teams,7,,,,,
player,201911030sea,sea,JoneJa08,st_pct,19%,,,,,
player,201911030sea,tam,SmitDo02,pos,T,,,,,
player,201911030sea,tam,SmitDo02,offense,79,,,,,
player,201911030sea,tam,SmitDo02,off_pct,100%,,,,,
player,201911030sea,tam,SmitDo02,defense,0,,,,,
player,201911030sea,tam,SmitDo02,def_pct,0%,,,,,
player,201911030sea,tam,SmitDo02,special_teams,7,,,,,
player,201911030sea,tam,SmitDo02,st_pct,19%,,,,,
player,201911030sea,tam,MarpAl00,pos,G,,,,,
player,201911030sea,tam,MarpAl00,offense,79,,,,,
player,201911030sea,tam,MarpAl00,off_pct,100%,,,,,
player,201911030sea,tam,MarpAl00,defense,0,,,,,
player,201911030sea,tam,MarpAl00,def_pct,0%,,,,,
player,201911030sea,tam,MarpAl00,special_teams,7,,,,,
player,201911030sea,tam,MarpAl00,st_pct,19%,,,,,
player,201911030sea,tam,WinsJa00,pos,QB,,,,,
player,201911030sea,tam,WinsJa00,offense,79,,,,,
player,201911030sea,tam,WinsJa00,off_pct,100%,,,,,
player,201911030sea,tam,WinsJa00,defense,0,,,,,
player,201911030sea,tam,WinsJa00,def_pct,0%,,,,,
player,201911030sea,tam,WinsJa00,special_teams,0,,,,,
player,201911030sea,tam,WinsJa00,st_pct,0%,,,,,
player,201911030sea,tam,JensRy00,pos,C,,,,,
player,201911030sea,tam,JensRy00,offense,79,,,,,
player,201911030sea,tam,JensRy00,off_pct,100%,,,,,
player,201911030sea,tam,JensRy00,defense,0,,,,,
player,201911030sea,tam,JensRy00,def_pct,0%,,,,,
player,201911030sea,tam,JensRy00,special_teams,0,,,,,
player,201911030sea,tam,JensRy00,st_pct,0%,,,,,
player,201911030sea,tam,DotsDe00,pos,T,,,,,
player,201911030sea,tam,DotsDe00,offense,79,,,,,
player,201911030sea,tam,DotsDe00,off_pct,100%,,,,,
player,201911030sea,tam,DotsDe00,defense,0,,,,,
player,201911030sea,tam,DotsDe00,def_pct,0%,,,,,
player,201911030sea,tam,DotsDe00,special_teams,0,,,,,
player,201911030sea,tam,DotsDe00,st_pct,0%,,,,,
player,201911030sea,tam,CappAl00,pos,G,,,,,
player,201911030sea,tam,CappAl00,offense,79,,,,,
player,201911030sea,tam,CappAl00,off_pct,100%,,,,,
player,201911030sea,tam,CappAl00,defense,0,,,,,
player,201911030sea,tam,CappAl00,def_pct,0%,,,,,
player,201911030sea,tam,CappAl00,special_teams,0,,,,,
player,201911030sea,tam,CappAl00,st_pct,0%,,,,,
player,201911030sea,tam,GodwCh00,pos,WR,,,,,
player,201911030sea,tam,GodwCh00,offense,76,,,,,
player,201911030sea,tam,GodwCh00,off_pct,96%,,,,,
player,201911030sea,tam,GodwCh00,defense,0,,,,,
player,201911030sea,tam,GodwCh00,def_pct,0%,,,,,
player,201911030sea,tam,GodwCh00,special_teams,0,,,,,
player,201911030sea,tam,GodwCh00,st_pct,0%,,,,,
player,201911030sea,tam,EvanMi00,pos,WR,,,,,
player,201911030sea,tam,EvanMi00,offense,68,,,,,
player,201911030sea,tam,EvanMi00,off_pct,86%,,,,,
player,201911030sea,tam,EvanMi00,defense,0,,,,,
player,201911030sea,tam,EvanMi00,def_pct,0%,,,,,
player,201911030sea,tam,EvanMi00,special_teams,0,,,,,
player,201911030sea,tam,EvanMi00,st_pct,0%,,,,,
player,201911030sea,tam,HudsTa00,pos,TE,,,,,
player,201911030sea,tam,HudsTa00,offense,49,,,,,
player,201911030sea,tam,HudsTa00,off_pct,62%,,,,,
