game,2019,2,20190915,201909150det,sdg,"Los Angeles Chargers",10,det,"Detroit Lions",13
player,201909150det,det,JoneMa02,targets,6,,,,,
player,201909150det,det,JoneMa02,rec,5,,,,,
player,201909150det,det,JoneMa02,rec_yds,43,,,,,
player,201909150det,det,JoneMa02,rec_td,0,,,,,
player,201909150det,det,JoneMa02,rec_long,24,,,,,
player,201909150det,det,JoneMa02,fumbles,0,,,,,
player,201909150det,det,JoneMa02,fumbles_lost,0,,,,,
player,201909150det,det,JameJe00,pass_cmp,0,,,,,
player,201909150det,det,JameJe00,pass_att,0,,,,,
player,201909150det,det,JameJe00,pass_yds,0,,,,,
player,201909150det,det,JameJe00,pass_td,0,,,,,
player,201909150det,det,JameJe00,pass_int,0,,,,,
player,201909150det,det,JameJe00,pass_sacked,0,,,,,
player,201909150det,det,JameJe00,pass_sacked_yds,0,,,,,
player,201909150det,det,JameJe00,pass_long,0,,,,,
player,201909150det,det,JameJe00,pass_rating,,,,,,
player,201909150det,det,JameJe00,rush_att,0,,,,,
player,201909150det,det,JameJe00,rush_yds,0,,,,,
player,201909150det,det,JameJe00,rush_td,0,,,,,
player,201909150det,det,JameJe00,rush_long,0,,,,,
player,201909150det,det,JameJe00,targets,4,,,,,
player,201909150det,det,JameJe00,rec,3,,,,,
player,201909150det,det,JameJe00,rec_yds,18,,,,,
player,201909150det,det,JameJe00,rec_td,0,,,,,
player,201909150det,det,JameJe00,rec_long,7,,,,,
player,201909150det,det,JameJe00,fumbles,0,,,,,
player,201909150det,det,JameJe00,fumbles_lost,0,,,,,
player,201909150det,det,ThomLo00,pass_cmp,0,,,,,
player,201909150det,det,ThomLo00,pass_att,0,,,,,
player,201909150det,det,ThomLo00,pass_yds,0,,,,,
player,201909150det,det,ThomLo00,pass_td,0,,,,,
player,201909150det,det,ThomLo00,pass_int,0,,,,,
player,201909150det,det,ThomLo00,pass_sacked,0,,,,,
player,201909150det,det,ThomLo00,pass_sacked_yds,0,,,,,
player,201909150det,det,ThomLo00,pass_long,0,,,,,
player,201909150det,det,ThomLo00,pass_rating,,,,,,
player,201909150det,det,ThomLo00,rush_att,0,,,,,
player,201909150det,det,ThomLo00,rush_yds,0,,,,,
player,201909150det,det,ThomLo00,rush_td,0,,,,,
player,201909150det,det,ThomLo00,rush_long,0,,,,,
player,201909150det,det,ThomLo00,targets,1,,,,,
player,201909150det,det,ThomLo00,rec,1,,,,,
player,201909150det,det,ThomLo00,rec_yds,7,,,,,
player,201909150det,det,ThomLo00,rec_td,0,,,,,
player,201909150det,det,ThomLo00,rec_long,7,,,,,
player,201909150det,det,ThomLo00,fumbles,0,,,,,
player,201909150det,det,ThomLo00,fumbles_lost,0,,,,,
player,201909150det,det,HockTJ00,pass_cmp,0,,,,,
player,201909150det,det,HockTJ00,pass_att,0,,,,,
player,201909150det,det,HockTJ00,pass_yds,0,,,,,
player,201909150det,det,HockTJ00,pass_td,0,,,,,
player,201909150det,det,HockTJ00,pass_int,0,,,,,
player,201909150det,det,HockTJ00,pass_sacked,0,,,,,
player,201909150det,det,HockTJ00,pass_sacked_yds,0,,,,,
player,201909150det,det,HockTJ00,pass_long,0,,,,,
player,201909150det,det,HockTJ00,pass_rating,,,,,,
player,201909150det,det,HockTJ00,rush_att,0,,,,,
player,201909150det,det,HockTJ00,rush_yds,0,,,,,
player,201909150det,det,HockTJ00,rush_td,0,,,,,
player,201909150det,det,HockTJ00,rush_long,0,,,,,
player,201909150det,det,HockTJ00,targets,3,,,,,
player,201909150det,det,HockTJ00,rec,1,,,,,
player,201909150det,det,HockTJ00,rec_yds,7,,,,,
player,201909150det,det,HockTJ00,rec_td,0,,,,,
player,201909150det,det,HockTJ00,rec_long,7,,,,,
player,201909150det,det,HockTJ00,fumbles,0,,,,,
player,201909150det,det,HockTJ00,fumbles_lost,0,,,,,
player,201909150det,det,AmenDa00,pass_cmp,0,,,,,
player,201909150det,det,AmenDa00,pass_att,0,,,,,
player,201909150det,det,AmenDa00,pass_yds,0,,,,,
player,201909150det,det,AmenDa00,pass_td,0,,,,,
player,201909150det,det,AmenDa00,pass_int,0,,,,,
player,201909150det,det,AmenDa00,pass_sacked,0,,,,,
player,201909150det,det,AmenDa00,pass_sacked_yds,0,,,,,
player,201909150det,det,AmenDa00,pass_long,0,,,,,
player,201909150det,det,AmenDa00,pass_rating,,,,,,
player,201909150det,det,AmenDa00,rush_att,0,,,,,
player,201909150det,det,AmenDa00,rush_yds,0,,,,,
player,201909150det,det,AmenDa00,rush_td,0,,,,,
player,201909150det,det,AmenDa00,rush_long,0,,,,,
player,201909150det,det,AmenDa00,targets,1,,,,,
player,201909150det,det,AmenDa00,rec,0,,,,,
player,201909150det,det,AmenDa00,rec_yds,0,,,,,
player,201909150det,det,AmenDa00,rec_td,0,,,,,
player,201909150det,det,AmenDa00,rec_long,0,,,,,
player,201909150det,det,AmenDa00,fumbles,0,,,,,
player,201909150det,det,AmenDa00,fumbles_lost,0,,,,,
player,201909150det,sdg,HaywCa00,def_int,1,,,,,
player,201909150det,sdg,HaywCa00,def_int_yds,0,,,,,
player,201909150det,sdg,HaywCa00,def_int_td,0,,,,,
player,201909150det,sdg,HaywCa00,def_int_long,0,,,,,
player,201909150det,sdg,HaywCa00,pass_defended,1,,,,,
player,201909150det,sdg,HaywCa00,sacks,0.0,,,,,
player,201909150det,sdg,HaywCa00,tackles_combined,3,,,,,
player,201909150det,sdg,HaywCa00,tackles_solo,1,,,,,
player,201909150det,sdg,HaywCa00,tackles_assists,2,,,,,
player,201909150det,sdg,HaywCa00,tackles_loss,0,,,,,
player,201909150det,sdg,HaywCa00,qb_hits,0,,,,,
player,201909150det,sdg,HaywCa00,fumbles_rec,0,,,,,
player,201909150det,sdg,HaywCa00,fumbles_rec_yds,0,,,,,
player,201909150det,sdg,HaywCa00,fumbles_rec_td,0,,,,,
player,201909150det,sdg,HaywCa00,fumbles_forced,0,,,,,
player,201909150det,sdg,JenkRa00,def_int,1,,,,,
player,201909150det,sdg,JenkRa00,def_int_yds,0,,,,,
player,201909150det,sdg,JenkRa00,def_int_td,0,,,,,
player,201909150det,sdg,JenkRa00,def_int_long,0,,,,,
player,201909150det,sdg,JenkRa00,pass_defended,1,,,,,
player,201909150det,sdg,JenkRa00,sacks,0.0,,,,,
player,201909150det,sdg,JenkRa00,tackles_combined,1,,,,,
player,201909150det,sdg,JenkRa00,tackles_solo,1,,,,,
player,201909150det,sdg,JenkRa00,tackles_assists,0,,,,,
player,201909150det,sdg,JenkRa00,tackles_loss,0,,,,,
player,201909150det,sdg,JenkRa00,qb_hits,0,,,,,
player,201909150det,sdg,JenkRa00,fumbles_rec,0,,,,,
player,201909150det,sdg,JenkRa00,fumbles_rec_yds,0,,,,,
player,201909150det,sdg,JenkRa00,fumbles_rec_td,0,,,,,
player,201909150det,sdg,JenkRa00,fumbles_forced,0,,,,,
player,201909150det,sdg,DaviTh20,def_int,0,,,,,
player,201909150det,sdg,DaviTh20,def_int_yds,0,,,,,
player,201909150det,sdg,DaviTh20,def_int_td,0,,,,,
player,201909150det,sdg,DaviTh20,def_int_long,0,,,,,
player,201909150det,sdg,DaviTh20,pass_defended,0,,,,,
player,201909150det,sdg,DaviTh20,sacks,0.0,,,,,
player,201909150det,sdg,DaviTh20,tackles_combined,12,,,,,
player,201909150det,sdg,DaviTh20,tackles_solo,6,,,,,
player,201909150det,sdg,DaviTh20,tackles_assists,6,,,,,
player,201909150det,sdg,DaviTh20,tackles_loss,0,,,,,
player,201909150det,sdg,DaviTh20,qb_hits,0,,,,,
player,201909150det,sdg,DaviTh20,fumbles_rec,0,,,,,
player,201909150det,sdg,DaviTh20,fumbles_rec_yds,0,,,,,
player,201909150det,sdg,DaviTh20,fumbles_rec_td,0,,,,,
player,201909150det,sdg,DaviTh20,fumbles_forced,0,,,,,
