game,2019,10,20191110,201911100dal,min,"Minnesota Vikings",28,dal,"Dallas Cowboys",24
player,201911100dal,dal,CobbRa00,pass_cmp,0,,,,,
player,201911100dal,dal,CobbRa00,pass_att,1,,,,,
player,201911100dal,dal,CobbRa00,pass_yds,0,,,,,
player,201911100dal,dal,CobbRa00,pass_td,0,,,,,
player,201911100dal,dal,CobbRa00,pass_int,0,,,,,
player,201911100dal,dal,CobbRa00,pass_sacked,0,,,,,
player,201911100dal,dal,CobbRa00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,CobbRa00,pass_long,0,,,,,
player,201911100dal,dal,CobbRa00,pass_rating,39.6,,,,,
player,201911100dal,dal,CobbRa00,rush_att,0,,,,,
player,201911100dal,dal,CobbRa00,rush_yds,0,,,,,
player,201911100dal,dal,CobbRa00,rush_td,0,,,,,
player,201911100dal,dal,CobbRa00,rush_long,0,,,,,
player,201911100dal,dal,CobbRa00,targets,8,,,,,
player,201911100dal,dal,CobbRa00,rec,6,,,,,
player,201911100dal,dal,CobbRa00,rec_yds,106,,,,,
player,201911100dal,dal,CobbRa00,rec_td,1,,,,,
player,201911100dal,dal,CobbRa00,rec_long,24,,,,,
player,201911100dal,dal,CobbRa00,fumbles,0,,,,,
player,201911100dal,dal,CobbRa00,fumbles_lost,0,,,,,
player,201911100dal,dal,ElliEz00,pass_cmp,0,,,,,
player,201911100dal,dal,ElliEz00,pass_att,0,,,,,
player,201911100dal,dal,ElliEz00,pass_yds,0,,,,,
player,201911100dal,dal,ElliEz00,pass_td,0,,,,,
player,201911100dal,dal,ElliEz00,pass_int,0,,,,,
player,201911100dal,dal,ElliEz00,pass_sacked,0,,,,,
player,201911100dal,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,ElliEz00,pass_long,0,,,,,
player,201911100dal,dal,ElliEz00,pass_rating,,,,,,
player,201911100dal,dal,ElliEz00,rush_att,20,,,,,
player,201911100dal,dal,ElliEz00,rush_yds,47,,,,,
player,201911100dal,dal,ElliEz00,rush_td,0,,,,,
player,201911100dal,dal,ElliEz00,rush_long,6,,,,,
player,201911100dal,dal,ElliEz00,targets,3,,,,,
player,201911100dal,dal,ElliEz00,rec,2,,,,,
player,201911100dal,dal,ElliEz00,rec_yds,16,,,,,
player,201911100dal,dal,ElliEz00,rec_td,0,,,,,
player,201911100dal,dal,ElliEz00,rec_long,12,,,,,
player,201911100dal,dal,ElliEz00,fumbles,0,,,,,
player,201911100dal,dal,ElliEz00,fumbles_lost,0,,,,,
player,201911100dal,dal,AustTa00,pass_cmp,0,,,,,
player,201911100dal,dal,AustTa00,pass_att,0,,,,,
player,201911100dal,dal,AustTa00,pass_yds,0,,,,,
player,201911100dal,dal,AustTa00,pass_td,0,,,,,
player,201911100dal,dal,AustTa00,pass_int,0,,,,,
player,201911100dal,dal,AustTa00,pass_sacked,0,,,,,
player,201911100dal,dal,AustTa00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,AustTa00,pass_long,0,,,,,
player,201911100dal,dal,AustTa00,pass_rating,,,,,,
player,201911100dal,dal,AustTa00,rush_att,1,,,,,
player,201911100dal,dal,AustTa00,rush_yds,7,,,,,
player,201911100dal,dal,AustTa00,rush_td,0,,,,,
player,201911100dal,dal,AustTa00,rush_long,7,,,,,
player,201911100dal,dal,AustTa00,targets,0,,,,,
player,201911100dal,dal,AustTa00,rec,0,,,,,
player,201911100dal,dal,AustTa00,rec_yds,0,,,,,
player,201911100dal,dal,AustTa00,rec_td,0,,,,,
player,201911100dal,dal,AustTa00,rec_long,0,,,,,
player,201911100dal,dal,AustTa00,fumbles,0,,,,,
player,201911100dal,dal,AustTa00,fumbles_lost,0,,,,,
player,201911100dal,dal,CoopAm00,pass_cmp,0,,,,,
player,201911100dal,dal,CoopAm00,pass_att,0,,,,,
player,201911100dal,dal,CoopAm00,pass_yds,0,,,,,
player,201911100dal,dal,CoopAm00,pass_td,0,,,,,
player,201911100dal,dal,CoopAm00,pass_int,0,,,,,
player,201911100dal,dal,CoopAm00,pass_sacked,0,,,,,
player,201911100dal,dal,CoopAm00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,CoopAm00,pass_long,0,,,,,
player,201911100dal,dal,CoopAm00,pass_rating,,,,,,
player,201911100dal,dal,CoopAm00,rush_att,0,,,,,
player,201911100dal,dal,CoopAm00,rush_yds,0,,,,,
player,201911100dal,dal,CoopAm00,rush_td,0,,,,,
player,201911100dal,dal,CoopAm00,rush_long,0,,,,,
player,201911100dal,dal,CoopAm00,targets,14,,,,,
player,201911100dal,dal,CoopAm00,rec,11,,,,,
player,201911100dal,dal,CoopAm00,rec_yds,147,,,,,
player,201911100dal,dal,CoopAm00,rec_td,1,,,,,
player,201911100dal,dal,CoopAm00,rec_long,20,,,,,
player,201911100dal,dal,CoopAm00,fumbles,0,,,,,
player,201911100dal,dal,CoopAm00,fumbles_lost,0,,,,,
player,201911100dal,dal,GallMi00,pass_cmp,0,,,,,
player,201911100dal,dal,GallMi00,pass_att,0,,,,,
player,201911100dal,dal,GallMi00,pass_yds,0,,,,,
player,201911100dal,dal,GallMi00,pass_td,0,,,,,
player,201911100dal,dal,GallMi00,pass_int,0,,,,,
player,201911100dal,dal,GallMi00,pass_sacked,0,,,,,
player,201911100dal,dal,GallMi00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,GallMi00,pass_long,0,,,,,
player,201911100dal,dal,GallMi00,pass_rating,,,,,,
player,201911100dal,dal,GallMi00,rush_att,0,,,,,
player,201911100dal,dal,GallMi00,rush_yds,0,,,,,
player,201911100dal,dal,GallMi00,rush_td,0,,,,,
player,201911100dal,dal,GallMi00,rush_long,0,,,,,
player,201911100dal,dal,GallMi00,targets,10,,,,,
player,201911100dal,dal,GallMi00,rec,4,,,,,
player,201911100dal,dal,GallMi00,rec_yds,76,,,,,
player,201911100dal,dal,GallMi00,rec_td,1,,,,,
player,201911100dal,dal,GallMi00,rec_long,25,,,,,
player,201911100dal,dal,GallMi00,fumbles,0,,,,,
player,201911100dal,dal,GallMi00,fumbles_lost,0,,,,,
player,201911100dal,dal,JarwBl00,pass_cmp,0,,,,,
player,201911100dal,dal,JarwBl00,pass_att,0,,,,,
player,201911100dal,dal,JarwBl00,pass_yds,0,,,,,
player,201911100dal,dal,JarwBl00,pass_td,0,,,,,
player,201911100dal,dal,JarwBl00,pass_int,0,,,,,
player,201911100dal,dal,JarwBl00,pass_sacked,0,,,,,
player,201911100dal,dal,JarwBl00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,JarwBl00,pass_long,0,,,,,
player,201911100dal,dal,JarwBl00,pass_rating,,,,,,
player,201911100dal,dal,JarwBl00,rush_att,0,,,,,
player,201911100dal,dal,JarwBl00,rush_yds,0,,,,,
player,201911100dal,dal,JarwBl00,rush_td,0,,,,,
player,201911100dal,dal,JarwBl00,rush_long,0,,,,,
player,201911100dal,dal,JarwBl00,targets,4,,,,,
player,201911100dal,dal,JarwBl00,rec,3,,,,,
player,201911100dal,dal,JarwBl00,rec_yds,35,,,,,
player,201911100dal,dal,JarwBl00,rec_td,0,,,,,
player,201911100dal,dal,JarwBl00,rec_long,26,,,,,
player,201911100dal,dal,JarwBl00,fumbles,0,,,,,
player,201911100dal,dal,JarwBl00,fumbles_lost,0,,,,,
player,201911100dal,dal,WittJa00,pass_cmp,0,,,,,
player,201911100dal,dal,WittJa00,pass_att,0,,,,,
player,201911100dal,dal,WittJa00,pass_yds,0,,,,,
player,201911100dal,dal,WittJa00,pass_td,0,,,,,
player,201911100dal,dal,WittJa00,pass_int,0,,,,,
player,201911100dal,dal,WittJa00,pass_sacked,0,,,,,
player,201911100dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,WittJa00,pass_long,0,,,,,
player,201911100dal,dal,WittJa00,pass_rating,,,,,,
player,201911100dal,dal,WittJa00,rush_att,0,,,,,
player,201911100dal,dal,WittJa00,rush_yds,0,,,,,
player,201911100dal,dal,WittJa00,rush_td,0,,,,,
player,201911100dal,dal,WittJa00,rush_long,0,,,,,
player,201911100dal,dal,WittJa00,targets,5,,,,,
player,201911100dal,dal,WittJa00,rec,2,,,,,
player,201911100dal,dal,WittJa00,rec_yds,17,,,,,
player,201911100dal,dal,WittJa00,rec_td,0,,,,,
player,201911100dal,dal,WittJa00,rec_long,9,,,,,
player,201911100dal,dal,WittJa00,fumbles,0,,,,,
player,201911100dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201911100dal,dal,PollTo00,pass_cmp,0,,,,,
player,201911100dal,dal,PollTo00,pass_att,0,,,,,
player,201911100dal,dal,PollTo00,pass_yds,0,,,,,
player,201911100dal,dal,PollTo00,pass_td,0,,,,,
player,201911100dal,dal,PollTo00,pass_int,0,,,,,
player,201911100dal,dal,PollTo00,pass_sacked,0,,,,,
player,201911100dal,dal,PollTo00,pass_sacked_yds,0,,,,,
player,201911100dal,dal,PollTo00,pass_long,0,,,,,
player,201911100dal,dal,PollTo00,pass_rating,,,,,,
player,201911100dal,dal,PollTo00,rush_att,1,,,,,
player,201911100dal,dal,PollTo00,rush_yds,-4,,,,,
player,201911100dal,dal,PollTo00,rush_td,0,,,,,
player,201911100dal,dal,PollTo00,rush_long,-4,,,,,
player,201911100dal,dal,PollTo00,targets,0,,,,,
player,201911100dal,dal,PollTo00,rec,0,,,,,
player,201911100dal,dal,PollTo00,rec_yds,0,,,,,
player,201911100dal,dal,PollTo00,rec_td,0,,,,,
player,201911100dal,dal,PollTo00,rec_long,0,,,,,
player,201911100dal,dal,PollTo00,fumbles,0,,,,,
player,201911100dal,dal,PollTo00,fumbles_lost,0,,,,,
player,201911100dal,min,KearJa00,def_int,1,,,,,
player,201911100dal,min,KearJa00,def_int_yds,0,,,,,
player,201911100dal,min,KearJa00,def_int_td,0,,,,,
player,201911100dal,min,KearJa00,def_int_long,0,,,,,
player,201911100dal,min,KearJa00,pass_defended,1,,,,,
player,201911100dal,min,KearJa00,sacks,0.0,,,,,
player,201911100dal,min,KearJa00,tackles_combined,0,,,,,
player,201911100dal,min,KearJa00,tackles_solo,0,,,,,
player,201911100dal,min,KearJa00,tackles_assists,0,,,,,
player,201911100dal,min,KearJa00,tackles_loss,0,,,,,
player,201911100dal,min,KearJa00,qb_hits,0,,,,,
player,201911100dal,min,KearJa00,fumbles_rec,0,,,,,
player,201911100dal,min,KearJa00,fumbles_rec_yds,0,,,,,
player,201911100dal,min,KearJa00,fumbles_rec_td,0,,,,,
player,201911100dal,min,KearJa00,fumbles_forced,0,,,,,
player,201911100dal,min,GrifEv99,def_int,0,,,,,
player,201911100dal,min,GrifEv99,def_int_yds,0,,,,,
player,201911100dal,min,GrifEv99,def_int_td,0,,,,,
player,201911100dal,min,GrifEv99,def_int_long,0,,,,,
player,201911100dal,min,GrifEv99,pass_defended,0,,,,,
player,201911100dal,min,GrifEv99,sacks,0.5,,,,,
player,201911100dal,min,GrifEv99,tackles_combined,5,,,,,
player,201911100dal,min,GrifEv99,tackles_solo,2,,,,,
player,201911100dal,min,GrifEv99,tackles_assists,3,,,,,
player,201911100dal,min,GrifEv99,tackles_loss,1,,,,,
player,201911100dal,min,GrifEv99,qb_hits,4,,,,,
player,201911100dal,min,GrifEv99,fumbles_rec,0,,,,,
player,201911100dal,min,GrifEv99,fumbles_rec_yds,0,,,,,
player,201911100dal,min,GrifEv99,fumbles_rec_td,0,,,,,
player,201911100dal,min,GrifEv99,fumbles_forced,0,,,,,
player,201911100dal,min,WattAr01,def_int,0,,,,,
player,201911100dal,min,WattAr01,def_int_yds,0,,,,,
player,201911100dal,min,WattAr01,def_int_td,0,,,,,
player,201911100dal,min,WattAr01,def_int_long,0,,,,,
player,201911100dal,min,WattAr01,pass_defended,0,,,,,
player,201911100dal,min,WattAr01,sacks,0.5,,,,,
player,201911100dal,min,WattAr01,tackles_combined,3,,,,,
player,201911100dal,min,WattAr01,tackles_solo,2,,,,,
player,201911100dal,min,WattAr01,tackles_assists,1,,,,,
player,201911100dal,min,WattAr01,tackles_loss,0,,,,,
player,201911100dal,min,WattAr01,qb_hits,1,,,,,
player,201911100dal,min,WattAr01,fumbles_rec,0,,,,,
player,201911100dal,min,WattAr01,fumbles_rec_yds,0,,,,,
player,201911100dal,min,WattAr01,fumbles_rec_td,0,,,,,
player,201911100dal,min,WattAr01,fumbles_forced,0,,,,,
player,201911100dal,min,BarrAn00,def_int,0,,,,,
player,201911100dal,min,BarrAn00,def_int_yds,0,,,,,
player,201911100dal,min,BarrAn00,def_int_td,0,,,,,
player,201911100dal,min,BarrAn00,def_int_long,0,,,,,
player,201911100dal,min,BarrAn00,pass_defended,0,,,,,
player,201911100dal,min,BarrAn00,sacks,0.0,,,,,
player,201911100dal,min,BarrAn00,tackles_combined,7,,,,,
player,201911100dal,min,BarrAn00,tackles_solo,6,,,,,
player,201911100dal,min,BarrAn00,tackles_assists,1,,,,,
player,201911100dal,min,BarrAn00,tackles_loss,1,,,,,
player,201911100dal,min,BarrAn00,qb_hits,0,,,,,
player,201911100dal,min,BarrAn00,fumbles_rec,0,,,,,
player,201911100dal,min,BarrAn00,fumbles_rec_yds,0,,,,,
player,201911100dal,min,BarrAn00,fumbles_rec_td,0,,,,,
