game,2019,5,20191006,201910060nor,tam,"Tampa Bay Buccaneers",24,nor,"New Orleans Saints",31
player,201910060nor,nor,HillJo02,pass_rating,,,,,,
player,201910060nor,nor,HillJo02,rush_att,0,,,,,
player,201910060nor,nor,HillJo02,rush_yds,0,,,,,
player,201910060nor,nor,HillJo02,rush_td,0,,,,,
player,201910060nor,nor,HillJo02,rush_long,0,,,,,
player,201910060nor,nor,HillJo02,targets,4,,,,,
player,201910060nor,nor,HillJo02,rec,3,,,,,
player,201910060nor,nor,HillJo02,rec_yds,39,,,,,
player,201910060nor,nor,HillJo02,rec_td,0,,,,,
player,201910060nor,nor,HillJo02,rec_long,26,,,,,
player,201910060nor,nor,HillJo02,fumbles,0,,,,,
player,201910060nor,nor,HillJo02,fumbles_lost,0,,,,,
player,201910060nor,tam,BuntSe00,def_int,1,,,,,
player,201910060nor,tam,BuntSe00,def_int_yds,14,,,,,
player,201910060nor,tam,BuntSe00,def_int_td,0,,,,,
player,201910060nor,tam,BuntSe00,def_int_long,14,,,,,
player,201910060nor,tam,BuntSe00,pass_defended,1,,,,,
player,201910060nor,tam,BuntSe00,sacks,0.0,,,,,
player,201910060nor,tam,BuntSe00,tackles_combined,5,,,,,
player,201910060nor,tam,BuntSe00,tackles_solo,3,,,,,
player,201910060nor,tam,BuntSe00,tackles_assists,2,,,,,
player,201910060nor,tam,BuntSe00,tackles_loss,0,,,,,
player,201910060nor,tam,BuntSe00,qb_hits,0,,,,,
player,201910060nor,tam,BuntSe00,fumbles_rec,0,,,,,
player,201910060nor,tam,BuntSe00,fumbles_rec_yds,0,,,,,
player,201910060nor,tam,BuntSe00,fumbles_rec_td,0,,,,,
player,201910060nor,tam,BuntSe00,fumbles_forced,0,,,,,
player,201910060nor,tam,MintKe00,def_int,0,,,,,
player,201910060nor,tam,MintKe00,def_int_yds,0,,,,,
player,201910060nor,tam,MintKe00,def_int_td,0,,,,,
player,201910060nor,tam,MintKe00,def_int_long,0,,,,,
player,201910060nor,tam,MintKe00,pass_defended,0,,,,,
player,201910060nor,tam,MintKe00,sacks,0.0,,,,,
player,201910060nor,tam,MintKe00,tackles_combined,10,,,,,
player,201910060nor,tam,MintKe00,tackles_solo,9,,,,,
player,201910060nor,tam,MintKe00,tackles_assists,1,,,,,
player,201910060nor,tam,MintKe00,tackles_loss,0,,,,,
player,201910060nor,tam,MintKe00,qb_hits,0,,,,,
player,201910060nor,tam,MintKe00,fumbles_rec,0,,,,,
player,201910060nor,tam,MintKe00,fumbles_rec_yds,0,,,,,
player,201910060nor,tam,MintKe00,fumbles_rec_td,0,,,,,
player,201910060nor,tam,MintKe00,fumbles_forced,0,,,,,
player,201910060nor,tam,WhitJo03,def_int,0,,,,,
player,201910060nor,tam,WhitJo03,def_int_yds,0,,,,,
player,201910060nor,tam,WhitJo03,def_int_td,0,,,,,
player,201910060nor,tam,WhitJo03,def_int_long,0,,,,,
player,201910060nor,tam,WhitJo03,pass_defended,2,,,,,
player,201910060nor,tam,WhitJo03,sacks,0.0,,,,,
player,201910060nor,tam,WhitJo03,tackles_combined,7,,,,,
player,201910060nor,tam,WhitJo03,tackles_solo,6,,,,,
player,201910060nor,tam,WhitJo03,tackles_assists,1,,,,,
player,201910060nor,tam,WhitJo03,tackles_loss,0,,,,,
player,201910060nor,tam,WhitJo03,qb_hits,0,,,,,
player,201910060nor,tam,WhitJo03,fumbles_rec,0,,,,,
player,201910060nor,tam,WhitJo03,fumbles_rec_yds,0,,,,,
player,201910060nor,tam,WhitJo03,fumbles_rec_td,0,,,,,
player,201910060nor,tam,WhitJo03,fumbles_forced,0,,,,,
player,201910060nor,tam,DaviLa00,def_int,0,,,,,
player,201910060nor,tam,DaviLa00,def_int_yds,0,,,,,
player,201910060nor,tam,DaviLa00,def_int_td,0,,,,,
player,201910060nor,tam,DaviLa00,def_int_long,0,,,,,
player,201910060nor,tam,DaviLa00,pass_defended,0,,,,,
player,201910060nor,tam,DaviLa00,sacks,0.0,,,,,
player,201910060nor,tam,DaviLa00,tackles_combined,5,,,,,
player,201910060nor,tam,DaviLa00,tackles_solo,5,,,,,
player,201910060nor,tam,DaviLa00,tackles_assists,0,,,,,
player,201910060nor,tam,DaviLa00,tackles_loss,0,,,,,
player,201910060nor,tam,DaviLa00,qb_hits,1,,,,,
player,201910060nor,tam,DaviLa00,fumbles_rec,0,,,,,
player,201910060nor,tam,DaviLa00,fumbles_rec_yds,0,,,,,
player,201910060nor,tam,DaviLa00,fumbles_rec_td,0,,,,,
player,201910060nor,tam,DaviLa00,fumbles_forced,0,,,,,
player,201910060nor,tam,DaviCa02,def_int,0,,,,,
player,201910060nor,tam,DaviCa02,def_int_yds,0,,,,,
player,201910060nor,tam,DaviCa02,def_int_td,0,,,,,
player,201910060nor,tam,DaviCa02,def_int_long,0,,,,,
player,201910060nor,tam,DaviCa02,pass_defended,0,,,,,
player,201910060nor,tam,DaviCa02,sacks,0.0,,,,,
player,201910060nor,tam,DaviCa02,tackles_combined,5,,,,,
player,201910060nor,tam,DaviCa02,tackles_solo,5,,,,,
