game,2019,14,20191208,201912080gnb,was,"Washington Redskins",15,gnb,"Green Bay Packers",20
player,201912080gnb,gnb,RodgAa00,targets,0,,,,,
player,201912080gnb,gnb,RodgAa00,rec,0,,,,,
player,201912080gnb,gnb,RodgAa00,rec_yds,0,,,,,
player,201912080gnb,gnb,RodgAa00,rec_td,0,,,,,
player,201912080gnb,gnb,RodgAa00,rec_long,0,,,,,
player,201912080gnb,gnb,RodgAa00,fumbles,1,,,,,
player,201912080gnb,gnb,RodgAa00,fumbles_lost,1,,,,,
player,201912080gnb,gnb,JoneAa00,pass_cmp,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_att,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_yds,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_td,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_int,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_sacked,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_long,0,,,,,
player,201912080gnb,gnb,JoneAa00,pass_rating,,,,,,
player,201912080gnb,gnb,JoneAa00,rush_att,16,,,,,
player,201912080gnb,gnb,JoneAa00,rush_yds,134,,,,,
player,201912080gnb,gnb,JoneAa00,rush_td,1,,,,,
player,201912080gnb,gnb,JoneAa00,rush_long,42,,,,,
player,201912080gnb,gnb,JoneAa00,targets,7,,,,,
player,201912080gnb,gnb,JoneAa00,rec,6,,,,,
player,201912080gnb,gnb,JoneAa00,rec_yds,58,,,,,
player,201912080gnb,gnb,JoneAa00,rec_td,0,,,,,
player,201912080gnb,gnb,JoneAa00,rec_long,25,,,,,
player,201912080gnb,gnb,JoneAa00,fumbles,0,,,,,
player,201912080gnb,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_cmp,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_att,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_yds,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_td,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_int,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_sacked,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_long,0,,,,,
player,201912080gnb,gnb,WillJa06,pass_rating,,,,,,
player,201912080gnb,gnb,WillJa06,rush_att,7,,,,,
player,201912080gnb,gnb,WillJa06,rush_yds,24,,,,,
player,201912080gnb,gnb,WillJa06,rush_td,0,,,,,
player,201912080gnb,gnb,WillJa06,rush_long,7,,,,,
player,201912080gnb,gnb,WillJa06,targets,1,,,,,
player,201912080gnb,gnb,WillJa06,rec,0,,,,,
player,201912080gnb,gnb,WillJa06,rec_yds,0,,,,,
player,201912080gnb,gnb,WillJa06,rec_td,0,,,,,
player,201912080gnb,gnb,WillJa06,rec_long,0,,,,,
player,201912080gnb,gnb,WillJa06,fumbles,0,,,,,
player,201912080gnb,gnb,WillJa06,fumbles_lost,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_cmp,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_att,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_yds,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_td,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_int,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_sacked,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_sacked_yds,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_long,0,,,,,
player,201912080gnb,gnb,GrahJi00,pass_rating,,,,,,
player,201912080gnb,gnb,GrahJi00,rush_att,0,,,,,
player,201912080gnb,gnb,GrahJi00,rush_yds,0,,,,,
player,201912080gnb,gnb,GrahJi00,rush_td,0,,,,,
player,201912080gnb,gnb,GrahJi00,rush_long,0,,,,,
