game,2018,2,20180916,201809160tam,phi,"Philadelphia Eagles",21,tam,"Tampa Bay Buccaneers",27
player,201809160tam,tam,FitzRy00,fumbles_lost,0,,,,,
player,201809160tam,tam,BarbPe01,pass_cmp,0,,,,,
player,201809160tam,tam,BarbPe01,pass_att,0,,,,,
player,201809160tam,tam,BarbPe01,pass_yds,0,,,,,
player,201809160tam,tam,BarbPe01,pass_td,0,,,,,
player,201809160tam,tam,BarbPe01,pass_int,0,,,,,
player,201809160tam,tam,BarbPe01,pass_sacked,0,,,,,
player,201809160tam,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201809160tam,tam,BarbPe01,pass_long,0,,,,,
player,201809160tam,tam,BarbPe01,pass_rating,,,,,,
player,201809160tam,tam,BarbPe01,rush_att,16,,,,,
player,201809160tam,tam,BarbPe01,rush_yds,22,,,,,
player,201809160tam,tam,BarbPe01,rush_td,0,,,,,
player,201809160tam,tam,BarbPe01,rush_long,9,,,,,
player,201809160tam,tam,BarbPe01,targets,2,,,,,
player,201809160tam,tam,BarbPe01,rec,1,,,,,
player,201809160tam,tam,BarbPe01,rec_yds,7,,,,,
player,201809160tam,tam,BarbPe01,rec_td,0,,,,,
player,201809160tam,tam,BarbPe01,rec_long,7,,,,,
player,201809160tam,tam,BarbPe01,fumbles,0,,,,,
player,201809160tam,tam,BarbPe01,fumbles_lost,0,,,,,
player,201809160tam,tam,RodgJa00,pass_cmp,0,,,,,
player,201809160tam,tam,RodgJa00,pass_att,0,,,,,
player,201809160tam,tam,RodgJa00,pass_yds,0,,,,,
player,201809160tam,tam,RodgJa00,pass_td,0,,,,,
player,201809160tam,tam,RodgJa00,pass_int,0,,,,,
player,201809160tam,tam,RodgJa00,pass_sacked,0,,,,,
player,201809160tam,tam,RodgJa00,pass_sacked_yds,0,,,,,
player,201809160tam,tam,RodgJa00,pass_long,0,,,,,
player,201809160tam,tam,RodgJa00,pass_rating,,,,,,
player,201809160tam,tam,RodgJa00,rush_att,5,,,,,
player,201809160tam,tam,RodgJa00,rush_yds,13,,,,,
player,201809160tam,tam,RodgJa00,rush_td,0,,,,,
player,201809160tam,tam,RodgJa00,rush_long,7,,,,,
player,201809160tam,tam,RodgJa00,targets,3,,,,,
player,201809160tam,tam,RodgJa00,rec,3,,,,,
player,201809160tam,tam,RodgJa00,rec_yds,23,,,,,
player,201809160tam,tam,RodgJa00,rec_td,0,,,,,
player,201809160tam,tam,RodgJa00,rec_long,13,,,,,
player,201809160tam,tam,RodgJa00,fumbles,0,,,,,
player,201809160tam,tam,RodgJa00,fumbles_lost,0,,,,,
player,201809160tam,tam,WilsSh01,pass_cmp,0,,,,,
player,201809160tam,tam,WilsSh01,pass_att,0,,,,,
player,201809160tam,tam,WilsSh01,pass_yds,0,,,,,
player,201809160tam,tam,WilsSh01,pass_td,0,,,,,
player,201809160tam,tam,WilsSh01,pass_int,0,,,,,
player,201809160tam,tam,WilsSh01,pass_sacked,0,,,,,
player,201809160tam,tam,WilsSh01,pass_sacked_yds,0,,,,,
player,201809160tam,tam,WilsSh01,pass_long,0,,,,,
player,201809160tam,tam,WilsSh01,pass_rating,,,,,,
player,201809160tam,tam,WilsSh01,rush_att,1,,,,,
player,201809160tam,tam,WilsSh01,rush_yds,9,,,,,
player,201809160tam,tam,WilsSh01,rush_td,0,,,,,
player,201809160tam,tam,WilsSh01,rush_long,9,,,,,
player,201809160tam,tam,WilsSh01,targets,0,,,,,
player,201809160tam,tam,WilsSh01,rec,0,,,,,
player,201809160tam,tam,WilsSh01,rec_yds,0,,,,,
player,201809160tam,tam,WilsSh01,rec_td,0,,,,,
player,201809160tam,tam,WilsSh01,rec_long,0,,,,,
player,201809160tam,tam,WilsSh01,fumbles,0,,,,,
player,201809160tam,tam,WilsSh01,fumbles_lost,0,,,,,
player,201809160tam,tam,JackDe00,pass_cmp,0,,,,,
player,201809160tam,tam,JackDe00,pass_att,0,,,,,
player,201809160tam,tam,JackDe00,pass_yds,0,,,,,
player,201809160tam,tam,JackDe00,pass_td,0,,,,,
player,201809160tam,tam,JackDe00,pass_int,0,,,,,
player,201809160tam,tam,JackDe00,pass_sacked,0,,,,,
player,201809160tam,tam,JackDe00,pass_sacked_yds,0,,,,,
player,201809160tam,tam,JackDe00,pass_long,0,,,,,
player,201809160tam,tam,JackDe00,pass_rating,,,,,,
player,201809160tam,tam,JackDe00,rush_att,0,,,,,
player,201809160tam,tam,JackDe00,rush_yds,0,,,,,
player,201809160tam,tam,JackDe00,rush_td,0,,,,,
player,201809160tam,tam,JackDe00,rush_long,0,,,,,
player,201809160tam,tam,JackDe00,targets,4,,,,,
player,201809160tam,tam,JackDe00,rec,4,,,,,
player,201809160tam,tam,JackDe00,rec_yds,129,,,,,
player,201809160tam,tam,JackDe00,rec_td,1,,,,,
player,201809160tam,tam,JackDe00,rec_long,75,,,,,
player,201809160tam,tam,JackDe00,fumbles,0,,,,,
player,201809160tam,tam,JackDe00,fumbles_lost,0,,,,,
player,201809160tam,tam,HowaO.00,pass_cmp,0,,,,,
player,201809160tam,tam,HowaO.00,pass_att,0,,,,,
player,201809160tam,tam,HowaO.00,pass_yds,0,,,,,
player,201809160tam,tam,HowaO.00,pass_td,0,,,,,
player,201809160tam,tam,HowaO.00,pass_int,0,,,,,
player,201809160tam,tam,HowaO.00,pass_sacked,0,,,,,
player,201809160tam,tam,HowaO.00,pass_sacked_yds,0,,,,,
player,201809160tam,tam,HowaO.00,pass_long,0,,,,,
player,201809160tam,tam,HowaO.00,pass_rating,,,,,,
player,201809160tam,tam,HowaO.00,rush_att,0,,,,,
player,201809160tam,tam,HowaO.00,rush_yds,0,,,,,
player,201809160tam,tam,HowaO.00,rush_td,0,,,,,
player,201809160tam,tam,HowaO.00,rush_long,0,,,,,
player,201809160tam,tam,HowaO.00,targets,4,,,,,
player,201809160tam,tam,HowaO.00,rec,3,,,,,
player,201809160tam,tam,HowaO.00,rec_yds,96,,,,,
player,201809160tam,tam,HowaO.00,rec_td,1,,,,,
player,201809160tam,tam,HowaO.00,rec_long,75,,,,,
player,201809160tam,tam,HowaO.00,fumbles,0,,,,,
player,201809160tam,tam,HowaO.00,fumbles_lost,0,,,,,
player,201809160tam,tam,EvanMi00,pass_cmp,0,,,,,
player,201809160tam,tam,EvanMi00,pass_att,0,,,,,
player,201809160tam,tam,EvanMi00,pass_yds,0,,,,,
player,201809160tam,tam,EvanMi00,pass_td,0,,,,,
player,201809160tam,tam,EvanMi00,pass_int,0,,,,,
player,201809160tam,tam,EvanMi00,pass_sacked,0,,,,,
player,201809160tam,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201809160tam,tam,EvanMi00,pass_long,0,,,,,
player,201809160tam,tam,EvanMi00,pass_rating,,,,,,
player,201809160tam,tam,EvanMi00,rush_att,0,,,,,
player,201809160tam,tam,EvanMi00,rush_yds,0,,,,,
player,201809160tam,tam,EvanMi00,rush_td,0,,,,,
player,201809160tam,tam,EvanMi00,rush_long,0,,,,,
player,201809160tam,tam,EvanMi00,targets,12,,,,,
player,201809160tam,tam,EvanMi00,rec,10,,,,,
player,201809160tam,tam,EvanMi00,rec_yds,83,,,,,
player,201809160tam,tam,EvanMi00,rec_td,1,,,,,
player,201809160tam,tam,EvanMi00,rec_long,16,,,,,
player,201809160tam,tam,EvanMi00,fumbles,1,,,,,
player,201809160tam,tam,EvanMi00,fumbles_lost,1,,,,,
player,201809160tam,tam,GodwCh00,pass_cmp,0,,,,,
player,201809160tam,tam,GodwCh00,pass_att,0,,,,,
player,201809160tam,tam,GodwCh00,pass_yds,0,,,,,
player,201809160tam,tam,GodwCh00,pass_td,0,,,,,
player,201809160tam,tam,GodwCh00,pass_int,0,,,,,
player,201809160tam,tam,GodwCh00,pass_sacked,0,,,,,
player,201809160tam,tam,GodwCh00,pass_sacked_yds,0,,,,,
player,201809160tam,tam,GodwCh00,pass_long,0,,,,,
player,201809160tam,tam,GodwCh00,pass_rating,,,,,,
player,201809160tam,tam,GodwCh00,rush_att,0,,,,,
player,201809160tam,tam,GodwCh00,rush_yds,0,,,,,
player,201809160tam,tam,GodwCh00,rush_td,0,,,,,
player,201809160tam,tam,GodwCh00,rush_long,0,,,,,
player,201809160tam,tam,GodwCh00,targets,6,,,,,
player,201809160tam,tam,GodwCh00,rec,5,,,,,
player,201809160tam,tam,GodwCh00,rec_yds,56,,,,,
player,201809160tam,tam,GodwCh00,rec_td,1,,,,,
player,201809160tam,tam,GodwCh00,rec_long,17,,,,,
player,201809160tam,tam,GodwCh00,fumbles,0,,,,,
player,201809160tam,tam,GodwCh00,fumbles_lost,0,,,,,
player,201809160tam,tam,HumpAd00,pass_cmp,0,,,,,
player,201809160tam,tam,HumpAd00,pass_att,0,,,,,
player,201809160tam,tam,HumpAd00,pass_yds,0,,,,,
player,201809160tam,tam,HumpAd00,pass_td,0,,,,,
player,201809160tam,tam,HumpAd00,pass_int,0,,,,,
player,201809160tam,tam,HumpAd00,pass_sacked,0,,,,,
player,201809160tam,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201809160tam,tam,HumpAd00,pass_long,0,,,,,
player,201809160tam,tam,HumpAd00,pass_rating,,,,,,
player,201809160tam,tam,HumpAd00,rush_att,0,,,,,
player,201809160tam,tam,HumpAd00,rush_yds,0,,,,,
player,201809160tam,tam,HumpAd00,rush_td,0,,,,,
player,201809160tam,tam,HumpAd00,rush_long,0,,,,,
player,201809160tam,tam,HumpAd00,targets,2,,,,,
player,201809160tam,tam,HumpAd00,rec,1,,,,,
player,201809160tam,tam,HumpAd00,rec_yds,8,,,,,
player,201809160tam,tam,HumpAd00,rec_td,0,,,,,
player,201809160tam,tam,HumpAd00,rec_long,8,,,,,
player,201809160tam,tam,HumpAd00,fumbles,0,,,,,
player,201809160tam,tam,HumpAd00,fumbles_lost,0,,,,,
player,201809160tam,phi,DarbRo00,def_int,1,,,,,
player,201809160tam,phi,DarbRo00,def_int_yds,16,,,,,
player,201809160tam,phi,DarbRo00,def_int_td,0,,,,,
player,201809160tam,phi,DarbRo00,def_int_long,16,,,,,
player,201809160tam,phi,DarbRo00,pass_defended,1,,,,,
player,201809160tam,phi,DarbRo00,sacks,0.0,,,,,
player,201809160tam,phi,DarbRo00,tackles_combined,8,,,,,
player,201809160tam,phi,DarbRo00,tackles_solo,8,,,,,
player,201809160tam,phi,DarbRo00,tackles_assists,0,,,,,
player,201809160tam,phi,DarbRo00,tackles_loss,0,,,,,
player,201809160tam,phi,DarbRo00,qb_hits,0,,,,,
player,201809160tam,phi,DarbRo00,fumbles_rec,0,,,,,
player,201809160tam,phi,DarbRo00,fumbles_rec_yds,0,,,,,
player,201809160tam,phi,DarbRo00,fumbles_rec_td,0,,,,,
player,201809160tam,phi,DarbRo00,fumbles_forced,0,,,,,
player,201809160tam,phi,BradNi00,def_int,0,,,,,
player,201809160tam,phi,BradNi00,def_int_yds,0,,,,,
player,201809160tam,phi,BradNi00,def_int_td,0,,,,,
player,201809160tam,phi,BradNi00,def_int_long,0,,,,,
player,201809160tam,phi,BradNi00,pass_defended,0,,,,,
player,201809160tam,phi,BradNi00,sacks,1.0,,,,,
player,201809160tam,phi,BradNi00,tackles_combined,8,,,,,
player,201809160tam,phi,BradNi00,tackles_solo,3,,,,,
player,201809160tam,phi,BradNi00,tackles_assists,5,,,,,
player,201809160tam,phi,BradNi00,tackles_loss,1,,,,,
player,201809160tam,phi,BradNi00,qb_hits,1,,,,,
player,201809160tam,phi,BradNi00,fumbles_rec,0,,,,,
player,201809160tam,phi,BradNi00,fumbles_rec_yds,0,,,,,
player,201809160tam,phi,BradNi00,fumbles_rec_td,0,,,,,
player,201809160tam,phi,BradNi00,fumbles_forced,0,,,,,
player,201809160tam,phi,CoxxFl00,def_int,0,,,,,
player,201809160tam,phi,CoxxFl00,def_int_yds,0,,,,,
player,201809160tam,phi,CoxxFl00,def_int_td,0,,,,,
player,201809160tam,phi,CoxxFl00,def_int_long,0,,,,,
player,201809160tam,phi,CoxxFl00,pass_defended,0,,,,,
player,201809160tam,phi,CoxxFl00,sacks,1.0,,,,,
player,201809160tam,phi,CoxxFl00,tackles_combined,5,,,,,
player,201809160tam,phi,CoxxFl00,tackles_solo,4,,,,,
player,201809160tam,phi,CoxxFl00,tackles_assists,1,,,,,
