game,2018,10,20181111,201811110chi,det,"Detroit Lions",22,chi,"Chicago Bears",34
player,201811110chi,chi,AmosAd00,def_pct,99%,,,,,
player,201811110chi,chi,AmosAd00,special_teams,5,,,,,
player,201811110chi,chi,AmosAd00,st_pct,19%,,,,,
player,201811110chi,chi,SmitRo07,pos,LB,,,,,
player,201811110chi,chi,SmitRo07,offense,0,,,,,
player,201811110chi,chi,SmitRo07,off_pct,0%,,,,,
player,201811110chi,chi,SmitRo07,defense,77,,,,,
player,201811110chi,chi,SmitRo07,def_pct,99%,,,,,
player,201811110chi,chi,SmitRo07,special_teams,2,,,,,
player,201811110chi,chi,SmitRo07,st_pct,7%,,,,,
player,201811110chi,chi,FullKy00,pos,CB,,,,,
player,201811110chi,chi,FullKy00,offense,0,,,,,
player,201811110chi,chi,FullKy00,off_pct,0%,,,,,
player,201811110chi,chi,FullKy00,defense,76,,,,,
player,201811110chi,chi,FullKy00,def_pct,97%,,,,,
player,201811110chi,chi,FullKy00,special_teams,6,,,,,
player,201811110chi,chi,FullKy00,st_pct,22%,,,,,
player,201811110chi,chi,AmukPr00,pos,CB,,,,,
player,201811110chi,chi,AmukPr00,offense,0,,,,,
player,201811110chi,chi,AmukPr00,off_pct,0%,,,,,
player,201811110chi,chi,AmukPr00,defense,76,,,,,
player,201811110chi,chi,AmukPr00,def_pct,97%,,,,,
player,201811110chi,chi,AmukPr00,special_teams,0,,,,,
player,201811110chi,chi,AmukPr00,st_pct,0%,,,,,
player,201811110chi,chi,CallBr00,pos,CB,,,,,
player,201811110chi,chi,CallBr00,offense,0,,,,,
player,201811110chi,chi,CallBr00,off_pct,0%,,,,,
player,201811110chi,chi,CallBr00,defense,57,,,,,
player,201811110chi,chi,CallBr00,def_pct,73%,,,,,
player,201811110chi,chi,CallBr00,special_teams,2,,,,,
player,201811110chi,chi,CallBr00,st_pct,7%,,,,,
player,201811110chi,chi,MackKh00,pos,LB,,,,,
player,201811110chi,chi,MackKh00,offense,0,,,,,
player,201811110chi,chi,MackKh00,off_pct,0%,,,,,
player,201811110chi,chi,MackKh00,defense,57,,,,,
player,201811110chi,chi,MackKh00,def_pct,73%,,,,,
player,201811110chi,chi,MackKh00,special_teams,0,,,,,
player,201811110chi,chi,MackKh00,st_pct,0%,,,,,
player,201811110chi,chi,HickAk00,pos,DT,,,,,
player,201811110chi,chi,HickAk00,offense,0,,,,,
player,201811110chi,chi,HickAk00,off_pct,0%,,,,,
player,201811110chi,chi,HickAk00,defense,55,,,,,
player,201811110chi,chi,HickAk00,def_pct,71%,,,,,
player,201811110chi,chi,HickAk00,special_teams,2,,,,,
player,201811110chi,chi,HickAk00,st_pct,7%,,,,,
player,201811110chi,chi,FloyLe00,pos,LB,,,,,
player,201811110chi,chi,FloyLe00,offense,0,,,,,
player,201811110chi,chi,FloyLe00,off_pct,0%,,,,,
player,201811110chi,chi,FloyLe00,defense,53,,,,,
player,201811110chi,chi,FloyLe00,def_pct,68%,,,,,
player,201811110chi,chi,FloyLe00,special_teams,2,,,,,
player,201811110chi,chi,FloyLe00,st_pct,7%,,,,,
player,201811110chi,chi,GoldEd00,pos,NT,,,,,
player,201811110chi,chi,GoldEd00,offense,0,,,,,
player,201811110chi,chi,GoldEd00,off_pct,0%,,,,,
player,201811110chi,chi,GoldEd00,defense,40,,,,,
player,201811110chi,chi,GoldEd00,def_pct,51%,,,,,
player,201811110chi,chi,GoldEd00,special_teams,2,,,,,
player,201811110chi,chi,GoldEd00,st_pct,7%,,,,,
player,201811110chi,chi,LyncAa00,pos,LB,,,,,
player,201811110chi,chi,LyncAa00,offense,0,,,,,
player,201811110chi,chi,LyncAa00,off_pct,0%,,,,,
player,201811110chi,chi,LyncAa00,defense,37,,,,,
player,201811110chi,chi,LyncAa00,def_pct,47%,,,,,
player,201811110chi,chi,LyncAa00,special_teams,2,,,,,
player,201811110chi,chi,LyncAa00,st_pct,7%,,,,,
player,201811110chi,chi,NichBi00,pos,DT,,,,,
player,201811110chi,chi,NichBi00,offense,0,,,,,
player,201811110chi,chi,NichBi00,off_pct,0%,,,,,
player,201811110chi,chi,NichBi00,defense,29,,,,,
player,201811110chi,chi,NichBi00,def_pct,37%,,,,,
player,201811110chi,chi,NichBi00,special_teams,0,,,,,
player,201811110chi,chi,NichBi00,st_pct,0%,,,,,
player,201811110chi,chi,RobeRo00,pos,DE,,,,,
player,201811110chi,chi,RobeRo00,offense,0,,,,,
player,201811110chi,chi,RobeRo00,off_pct,0%,,,,,
player,201811110chi,chi,RobeRo00,defense,26,,,,,
player,201811110chi,chi,RobeRo00,def_pct,33%,,,,,
player,201811110chi,chi,RobeRo00,special_teams,10,,,,,
player,201811110chi,chi,RobeRo00,st_pct,37%,,,,,
player,201811110chi,chi,BullJo00,pos,DE,,,,,
player,201811110chi,chi,BullJo00,offense,0,,,,,
player,201811110chi,chi,BullJo00,off_pct,0%,,,,,
player,201811110chi,chi,BullJo00,defense,20,,,,,
player,201811110chi,chi,BullJo00,def_pct,26%,,,,,
player,201811110chi,chi,BullJo00,special_teams,4,,,,,
player,201811110chi,chi,BullJo00,st_pct,15%,,,,,
player,201811110chi,chi,IrviIs00,pos,LB,,,,,
player,201811110chi,chi,IrviIs00,offense,0,,,,,
player,201811110chi,chi,IrviIs00,off_pct,0%,,,,,
player,201811110chi,chi,IrviIs00,defense,9,,,,,
player,201811110chi,chi,IrviIs00,def_pct,12%,,,,,
player,201811110chi,chi,IrviIs00,special_teams,12,,,,,
player,201811110chi,chi,IrviIs00,st_pct,44%,,,,,
player,201811110chi,chi,McMaSh99,pos,CB,,,,,
player,201811110chi,chi,McMaSh99,offense,0,,,,,
player,201811110chi,chi,McMaSh99,off_pct,0%,,,,,
player,201811110chi,chi,McMaSh99,defense,8,,,,,
player,201811110chi,chi,McMaSh99,def_pct,10%,,,,,
player,201811110chi,chi,McMaSh99,special_teams,19,,,,,
player,201811110chi,chi,McMaSh99,st_pct,70%,,,,,
player,201811110chi,chi,BushDe00,pos,SS,,,,,
player,201811110chi,chi,BushDe00,offense,0,,,,,
player,201811110chi,chi,BushDe00,off_pct,0%,,,,,
player,201811110chi,chi,BushDe00,defense,3,,,,,
player,201811110chi,chi,BushDe00,def_pct,4%,,,,,
player,201811110chi,chi,BushDe00,special_teams,13,,,,,
player,201811110chi,chi,BushDe00,st_pct,48%,,,,,
player,201811110chi,chi,HousDe00,pos,FS,,,,,
player,201811110chi,chi,HousDe00,offense,0,,,,,
player,201811110chi,chi,HousDe00,off_pct,0%,,,,,
player,201811110chi,chi,HousDe00,defense,2,,,,,
player,201811110chi,chi,HousDe00,def_pct,3%,,,,,
player,201811110chi,chi,HousDe00,special_teams,17,,,,,
player,201811110chi,chi,HousDe00,st_pct,63%,,,,,
player,201811110chi,chi,KwiaNi00,pos,LB,,,,,
player,201811110chi,chi,KwiaNi00,offense,0,,,,,
player,201811110chi,chi,KwiaNi00,off_pct,0%,,,,,
player,201811110chi,chi,KwiaNi00,defense,0,,,,,
player,201811110chi,chi,KwiaNi00,def_pct,0%,,,,,
player,201811110chi,chi,KwiaNi00,special_teams,19,,,,,
player,201811110chi,chi,KwiaNi00,st_pct,70%,,,,,
player,201811110chi,chi,BrowDa04,pos,TE,,,,,
player,201811110chi,chi,BrowDa04,offense,0,,,,,
player,201811110chi,chi,BrowDa04,off_pct,0%,,,,,
player,201811110chi,chi,BrowDa04,defense,0,,,,,
player,201811110chi,chi,BrowDa04,def_pct,0%,,,,,
player,201811110chi,chi,BrowDa04,special_teams,17,,,,,
player,201811110chi,chi,BrowDa04,st_pct,63%,,,,,
player,201811110chi,chi,IyieJo00,pos,LB,,,,,
player,201811110chi,chi,IyieJo00,offense,0,,,,,
player,201811110chi,chi,IyieJo00,off_pct,0%,,,,,
player,201811110chi,chi,IyieJo00,defense,0,,,,,
player,201811110chi,chi,IyieJo00,def_pct,0%,,,,,
player,201811110chi,chi,IyieJo00,special_teams,16,,,,,
player,201811110chi,chi,IyieJo00,st_pct,59%,,,,,
player,201811110chi,chi,ParkCo03,pos,K,,,,,
player,201811110chi,chi,ParkCo03,offense,0,,,,,
player,201811110chi,chi,ParkCo03,off_pct,0%,,,,,
player,201811110chi,chi,ParkCo03,defense,0,,,,,
player,201811110chi,chi,ParkCo03,def_pct,0%,,,,,
