game,2018,17,20181230,201812300rav,cle,"Cleveland Browns",24,rav,"Baltimore Ravens",26
player,201812300rav,rav,EdwaGu00,rush_att,12,,,,,
player,201812300rav,rav,EdwaGu00,rush_yds,76,,,,,
player,201812300rav,rav,EdwaGu00,rush_td,0,,,,,
player,201812300rav,rav,EdwaGu00,rush_long,24,,,,,
player,201812300rav,rav,EdwaGu00,targets,0,,,,,
player,201812300rav,rav,EdwaGu00,rec,0,,,,,
player,201812300rav,rav,EdwaGu00,rec_yds,0,,,,,
player,201812300rav,rav,EdwaGu00,rec_td,0,,,,,
player,201812300rav,rav,EdwaGu00,rec_long,0,,,,,
player,201812300rav,rav,EdwaGu00,fumbles,0,,,,,
player,201812300rav,rav,EdwaGu00,fumbles_lost,0,,,,,
player,201812300rav,rav,MontTy01,pass_cmp,0,,,,,
player,201812300rav,rav,MontTy01,pass_att,0,,,,,
player,201812300rav,rav,MontTy01,pass_yds,0,,,,,
player,201812300rav,rav,MontTy01,pass_td,0,,,,,
player,201812300rav,rav,MontTy01,pass_int,0,,,,,
player,201812300rav,rav,MontTy01,pass_sacked,0,,,,,
player,201812300rav,rav,MontTy01,pass_sacked_yds,0,,,,,
player,201812300rav,rav,MontTy01,pass_long,0,,,,,
player,201812300rav,rav,MontTy01,pass_rating,,,,,,
player,201812300rav,rav,MontTy01,rush_att,2,,,,,
player,201812300rav,rav,MontTy01,rush_yds,13,,,,,
player,201812300rav,rav,MontTy01,rush_td,0,,,,,
player,201812300rav,rav,MontTy01,rush_long,11,,,,,
player,201812300rav,rav,MontTy01,targets,3,,,,,
player,201812300rav,rav,MontTy01,rec,1,,,,,
player,201812300rav,rav,MontTy01,rec_yds,9,,,,,
player,201812300rav,rav,MontTy01,rec_td,0,,,,,
player,201812300rav,rav,MontTy01,rec_long,9,,,,,
player,201812300rav,rav,MontTy01,fumbles,0,,,,,
player,201812300rav,rav,MontTy01,fumbles_lost,0,,,,,
player,201812300rav,rav,AndrMa00,pass_cmp,0,,,,,
player,201812300rav,rav,AndrMa00,pass_att,0,,,,,
player,201812300rav,rav,AndrMa00,pass_yds,0,,,,,
player,201812300rav,rav,AndrMa00,pass_td,0,,,,,
player,201812300rav,rav,AndrMa00,pass_int,0,,,,,
player,201812300rav,rav,AndrMa00,pass_sacked,0,,,,,
player,201812300rav,rav,AndrMa00,pass_sacked_yds,0,,,,,
player,201812300rav,rav,AndrMa00,pass_long,0,,,,,
player,201812300rav,rav,AndrMa00,pass_rating,,,,,,
player,201812300rav,rav,AndrMa00,rush_att,0,,,,,
player,201812300rav,rav,AndrMa00,rush_yds,0,,,,,
player,201812300rav,rav,AndrMa00,rush_td,0,,,,,
player,201812300rav,rav,AndrMa00,rush_long,0,,,,,
player,201812300rav,rav,AndrMa00,targets,5,,,,,
player,201812300rav,rav,AndrMa00,rec,4,,,,,
player,201812300rav,rav,AndrMa00,rec_yds,54,,,,,
player,201812300rav,rav,AndrMa00,rec_td,0,,,,,
player,201812300rav,rav,AndrMa00,rec_long,28,,,,,
player,201812300rav,rav,AndrMa00,fumbles,0,,,,,
player,201812300rav,rav,AndrMa00,fumbles_lost,0,,,,,
player,201812300rav,rav,HursHa00,pass_cmp,0,,,,,
player,201812300rav,rav,HursHa00,pass_att,0,,,,,
player,201812300rav,rav,HursHa00,pass_yds,0,,,,,
player,201812300rav,rav,HursHa00,pass_td,0,,,,,
player,201812300rav,rav,HursHa00,pass_int,0,,,,,
player,201812300rav,rav,HursHa00,pass_sacked,0,,,,,
player,201812300rav,rav,HursHa00,pass_sacked_yds,0,,,,,
player,201812300rav,rav,HursHa00,pass_long,0,,,,,
player,201812300rav,rav,HursHa00,pass_rating,,,,,,
player,201812300rav,rav,HursHa00,rush_att,0,,,,,
player,201812300rav,rav,HursHa00,rush_yds,0,,,,,
player,201812300rav,rav,HursHa00,rush_td,0,,,,,
player,201812300rav,rav,HursHa00,rush_long,0,,,,,
player,201812300rav,rav,HursHa00,targets,4,,,,,
player,201812300rav,rav,HursHa00,rec,2,,,,,
player,201812300rav,rav,HursHa00,rec_yds,43,,,,,
player,201812300rav,rav,HursHa00,rec_td,0,,,,,
player,201812300rav,rav,HursHa00,rec_long,32,,,,,
player,201812300rav,rav,HursHa00,fumbles,0,,,,,
player,201812300rav,rav,HursHa00,fumbles_lost,0,,,,,
player,201812300rav,rav,SneaWi00,pass_cmp,0,,,,,
player,201812300rav,rav,SneaWi00,pass_att,0,,,,,
player,201812300rav,rav,SneaWi00,pass_yds,0,,,,,
player,201812300rav,rav,SneaWi00,pass_td,0,,,,,
player,201812300rav,rav,SneaWi00,pass_int,0,,,,,
player,201812300rav,rav,SneaWi00,pass_sacked,0,,,,,
player,201812300rav,rav,SneaWi00,pass_sacked_yds,0,,,,,
player,201812300rav,rav,SneaWi00,pass_long,0,,,,,
player,201812300rav,rav,SneaWi00,pass_rating,,,,,,
player,201812300rav,rav,SneaWi00,rush_att,0,,,,,
player,201812300rav,rav,SneaWi00,rush_yds,0,,,,,
player,201812300rav,rav,SneaWi00,rush_td,0,,,,,
player,201812300rav,rav,SneaWi00,rush_long,0,,,,,
player,201812300rav,rav,SneaWi00,targets,2,,,,,
player,201812300rav,rav,SneaWi00,rec,1,,,,,
player,201812300rav,rav,SneaWi00,rec_yds,25,,,,,
player,201812300rav,rav,SneaWi00,rec_td,0,,,,,
player,201812300rav,rav,SneaWi00,rec_long,25,,,,,
player,201812300rav,rav,SneaWi00,fumbles,0,,,,,
