game,2018,11,20181119,201811190ram,kan,"Kansas City Chiefs",51,ram,"Los Angeles Rams",54
player,201811190ram,ram,ReynJo00,targets,8,,,,,
player,201811190ram,ram,ReynJo00,rec,6,,,,,
player,201811190ram,ram,ReynJo00,rec_yds,80,,,,,
player,201811190ram,ram,ReynJo00,rec_td,1,,,,,
player,201811190ram,ram,ReynJo00,rec_long,27,,,,,
player,201811190ram,ram,ReynJo00,fumbles,0,,,,,
player,201811190ram,ram,ReynJo00,fumbles_lost,0,,,,,
player,201811190ram,ram,WoodRo02,pass_cmp,0,,,,,
player,201811190ram,ram,WoodRo02,pass_att,0,,,,,
player,201811190ram,ram,WoodRo02,pass_yds,0,,,,,
player,201811190ram,ram,WoodRo02,pass_td,0,,,,,
player,201811190ram,ram,WoodRo02,pass_int,0,,,,,
player,201811190ram,ram,WoodRo02,pass_sacked,0,,,,,
player,201811190ram,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201811190ram,ram,WoodRo02,pass_long,0,,,,,
player,201811190ram,ram,WoodRo02,pass_rating,,,,,,
player,201811190ram,ram,WoodRo02,rush_att,0,,,,,
player,201811190ram,ram,WoodRo02,rush_yds,0,,,,,
player,201811190ram,ram,WoodRo02,rush_td,0,,,,,
player,201811190ram,ram,WoodRo02,rush_long,0,,,,,
player,201811190ram,ram,WoodRo02,targets,11,,,,,
player,201811190ram,ram,WoodRo02,rec,4,,,,,
player,201811190ram,ram,WoodRo02,rec_yds,72,,,,,
player,201811190ram,ram,WoodRo02,rec_td,1,,,,,
player,201811190ram,ram,WoodRo02,rec_long,36,,,,,
player,201811190ram,ram,WoodRo02,fumbles,0,,,,,
player,201811190ram,ram,WoodRo02,fumbles_lost,0,,,,,
player,201811190ram,ram,HigbTy00,pass_cmp,0,,,,,
player,201811190ram,ram,HigbTy00,pass_att,0,,,,,
player,201811190ram,ram,HigbTy00,pass_yds,0,,,,,
player,201811190ram,ram,HigbTy00,pass_td,0,,,,,
player,201811190ram,ram,HigbTy00,pass_int,0,,,,,
player,201811190ram,ram,HigbTy00,pass_sacked,0,,,,,
player,201811190ram,ram,HigbTy00,pass_sacked_yds,0,,,,,
player,201811190ram,ram,HigbTy00,pass_long,0,,,,,
player,201811190ram,ram,HigbTy00,pass_rating,,,,,,
player,201811190ram,ram,HigbTy00,rush_att,0,,,,,
player,201811190ram,ram,HigbTy00,rush_yds,0,,,,,
player,201811190ram,ram,HigbTy00,rush_td,0,,,,,
player,201811190ram,ram,HigbTy00,rush_long,0,,,,,
player,201811190ram,ram,HigbTy00,targets,7,,,,,
player,201811190ram,ram,HigbTy00,rec,6,,,,,
player,201811190ram,ram,HigbTy00,rec_yds,63,,,,,
player,201811190ram,ram,HigbTy00,rec_td,0,,,,,
player,201811190ram,ram,HigbTy00,rec_long,16,,,,,
player,201811190ram,ram,HigbTy00,fumbles,1,,,,,
player,201811190ram,ram,HigbTy00,fumbles_lost,0,,,,,
player,201811190ram,ram,EverGe00,pass_cmp,0,,,,,
player,201811190ram,ram,EverGe00,pass_att,0,,,,,
player,201811190ram,ram,EverGe00,pass_yds,0,,,,,
player,201811190ram,ram,EverGe00,pass_td,0,,,,,
player,201811190ram,ram,EverGe00,pass_int,0,,,,,
player,201811190ram,ram,EverGe00,pass_sacked,0,,,,,
player,201811190ram,ram,EverGe00,pass_sacked_yds,0,,,,,
player,201811190ram,ram,EverGe00,pass_long,0,,,,,
player,201811190ram,ram,EverGe00,pass_rating,,,,,,
player,201811190ram,ram,EverGe00,rush_att,0,,,,,
player,201811190ram,ram,EverGe00,rush_yds,0,,,,,
player,201811190ram,ram,EverGe00,rush_td,0,,,,,
player,201811190ram,ram,EverGe00,rush_long,0,,,,,
player,201811190ram,ram,EverGe00,targets,4,,,,,
player,201811190ram,ram,EverGe00,rec,3,,,,,
player,201811190ram,ram,EverGe00,rec_yds,49,,,,,
player,201811190ram,ram,EverGe00,rec_td,2,,,,,
player,201811190ram,ram,EverGe00,rec_long,40,,,,,
player,201811190ram,ram,EverGe00,fumbles,0,,,,,
player,201811190ram,ram,EverGe00,fumbles_lost,0,,,,,
player,201811190ram,ram,HodgKh00,pass_cmp,0,,,,,
player,201811190ram,ram,HodgKh00,pass_att,0,,,,,
player,201811190ram,ram,HodgKh00,pass_yds,0,,,,,
player,201811190ram,ram,HodgKh00,pass_td,0,,,,,
player,201811190ram,ram,HodgKh00,pass_int,0,,,,,
player,201811190ram,ram,HodgKh00,pass_sacked,0,,,,,
player,201811190ram,ram,HodgKh00,pass_sacked_yds,0,,,,,
player,201811190ram,ram,HodgKh00,pass_long,0,,,,,
player,201811190ram,ram,HodgKh00,pass_rating,,,,,,
player,201811190ram,ram,HodgKh00,rush_att,0,,,,,
player,201811190ram,ram,HodgKh00,rush_yds,0,,,,,
player,201811190ram,ram,HodgKh00,rush_td,0,,,,,
player,201811190ram,ram,HodgKh00,rush_long,0,,,,,
player,201811190ram,ram,HodgKh00,targets,1,,,,,
player,201811190ram,ram,HodgKh00,rec,1,,,,,
