game,2018,11,20181115,201811150sea,gnb,"Green Bay Packers",24,sea,"Seattle Seahawks",27
player,201811150sea,sea,LockTy00,fumbles_lost,0,,,,,
player,201811150sea,sea,MoorDa03,pass_cmp,0,,,,,
player,201811150sea,sea,MoorDa03,pass_att,0,,,,,
player,201811150sea,sea,MoorDa03,pass_yds,0,,,,,
player,201811150sea,sea,MoorDa03,pass_td,0,,,,,
player,201811150sea,sea,MoorDa03,pass_int,0,,,,,
player,201811150sea,sea,MoorDa03,pass_sacked,0,,,,,
player,201811150sea,sea,MoorDa03,pass_sacked_yds,0,,,,,
player,201811150sea,sea,MoorDa03,pass_long,0,,,,,
player,201811150sea,sea,MoorDa03,pass_rating,,,,,,
player,201811150sea,sea,MoorDa03,rush_att,0,,,,,
player,201811150sea,sea,MoorDa03,rush_yds,0,,,,,
player,201811150sea,sea,MoorDa03,rush_td,0,,,,,
player,201811150sea,sea,MoorDa03,rush_long,0,,,,,
player,201811150sea,sea,MoorDa03,targets,8,,,,,
player,201811150sea,sea,MoorDa03,rec,4,,,,,
player,201811150sea,sea,MoorDa03,rec_yds,57,,,,,
player,201811150sea,sea,MoorDa03,rec_td,0,,,,,
player,201811150sea,sea,MoorDa03,rec_long,27,,,,,
player,201811150sea,sea,MoorDa03,fumbles,1,,,,,
player,201811150sea,sea,MoorDa03,fumbles_lost,0,,,,,
player,201811150sea,sea,BaldDo00,pass_cmp,0,,,,,
player,201811150sea,sea,BaldDo00,pass_att,0,,,,,
player,201811150sea,sea,BaldDo00,pass_yds,0,,,,,
player,201811150sea,sea,BaldDo00,pass_td,0,,,,,
player,201811150sea,sea,BaldDo00,pass_int,0,,,,,
player,201811150sea,sea,BaldDo00,pass_sacked,0,,,,,
player,201811150sea,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201811150sea,sea,BaldDo00,pass_long,0,,,,,
player,201811150sea,sea,BaldDo00,pass_rating,,,,,,
player,201811150sea,sea,BaldDo00,rush_att,0,,,,,
player,201811150sea,sea,BaldDo00,rush_yds,0,,,,,
player,201811150sea,sea,BaldDo00,rush_td,0,,,,,
player,201811150sea,sea,BaldDo00,rush_long,0,,,,,
player,201811150sea,sea,BaldDo00,targets,10,,,,,
player,201811150sea,sea,BaldDo00,rec,7,,,,,
player,201811150sea,sea,BaldDo00,rec_yds,52,,,,,
player,201811150sea,sea,BaldDo00,rec_td,1,,,,,
player,201811150sea,sea,BaldDo00,rec_long,16,,,,,
player,201811150sea,sea,BaldDo00,fumbles,0,,,,,
player,201811150sea,sea,BaldDo00,fumbles_lost,0,,,,,
player,201811150sea,sea,VannNi00,pass_cmp,0,,,,,
player,201811150sea,sea,VannNi00,pass_att,0,,,,,
player,201811150sea,sea,VannNi00,pass_yds,0,,,,,
player,201811150sea,sea,VannNi00,pass_td,0,,,,,
player,201811150sea,sea,VannNi00,pass_int,0,,,,,
player,201811150sea,sea,VannNi00,pass_sacked,0,,,,,
player,201811150sea,sea,VannNi00,pass_sacked_yds,0,,,,,
player,201811150sea,sea,VannNi00,pass_long,0,,,,,
player,201811150sea,sea,VannNi00,pass_rating,,,,,,
player,201811150sea,sea,VannNi00,rush_att,0,,,,,
player,201811150sea,sea,VannNi00,rush_yds,0,,,,,
player,201811150sea,sea,VannNi00,rush_td,0,,,,,
player,201811150sea,sea,VannNi00,rush_long,0,,,,,
player,201811150sea,sea,VannNi00,targets,2,,,,,
player,201811150sea,sea,VannNi00,rec,1,,,,,
player,201811150sea,sea,VannNi00,rec_yds,17,,,,,
player,201811150sea,sea,VannNi00,rec_td,0,,,,,
player,201811150sea,sea,VannNi00,rec_long,17,,,,,
player,201811150sea,sea,VannNi00,fumbles,0,,,,,
player,201811150sea,sea,VannNi00,fumbles_lost,0,,,,,
player,201811150sea,sea,DickEd00,pass_cmp,0,,,,,
player,201811150sea,sea,DickEd00,pass_att,0,,,,,
player,201811150sea,sea,DickEd00,pass_yds,0,,,,,
player,201811150sea,sea,DickEd00,pass_td,0,,,,,
player,201811150sea,sea,DickEd00,pass_int,0,,,,,
player,201811150sea,sea,DickEd00,pass_sacked,0,,,,,
player,201811150sea,sea,DickEd00,pass_sacked_yds,0,,,,,
player,201811150sea,sea,DickEd00,pass_long,0,,,,,
player,201811150sea,sea,DickEd00,pass_rating,,,,,,
player,201811150sea,sea,DickEd00,rush_att,0,,,,,
player,201811150sea,sea,DickEd00,rush_yds,0,,,,,
player,201811150sea,sea,DickEd00,rush_td,0,,,,,
player,201811150sea,sea,DickEd00,rush_long,0,,,,,
player,201811150sea,sea,DickEd00,targets,1,,,,,
player,201811150sea,sea,DickEd00,rec,1,,,,,
player,201811150sea,sea,DickEd00,rec_yds,15,,,,,
player,201811150sea,sea,DickEd00,rec_td,1,,,,,
player,201811150sea,sea,DickEd00,rec_long,15,,,,,
player,201811150sea,sea,DickEd00,fumbles,0,,,,,
player,201811150sea,sea,DickEd00,fumbles_lost,0,,,,,
player,201811150sea,gnb,FackKy00,def_int,0,,,,,
player,201811150sea,gnb,FackKy00,def_int_yds,0,,,,,
player,201811150sea,gnb,FackKy00,def_int_td,0,,,,,
player,201811150sea,gnb,FackKy00,def_int_long,0,,,,,
player,201811150sea,gnb,FackKy00,pass_defended,0,,,,,
player,201811150sea,gnb,FackKy00,sacks,3.0,,,,,
player,201811150sea,gnb,FackKy00,tackles_combined,6,,,,,
player,201811150sea,gnb,FackKy00,tackles_solo,5,,,,,
player,201811150sea,gnb,FackKy00,tackles_assists,1,,,,,
player,201811150sea,gnb,FackKy00,tackles_loss,4,,,,,
player,201811150sea,gnb,FackKy00,qb_hits,4,,,,,
player,201811150sea,gnb,FackKy00,fumbles_rec,0,,,,,
player,201811150sea,gnb,FackKy00,fumbles_rec_yds,0,,,,,
player,201811150sea,gnb,FackKy00,fumbles_rec_td,0,,,,,
player,201811150sea,gnb,FackKy00,fumbles_forced,0,,,,,
player,201811150sea,gnb,JoneJo06,def_int,0,,,,,
player,201811150sea,gnb,JoneJo06,def_int_yds,0,,,,,
player,201811150sea,gnb,JoneJo06,def_int_td,0,,,,,
player,201811150sea,gnb,JoneJo06,def_int_long,0,,,,,
player,201811150sea,gnb,JoneJo06,pass_defended,0,,,,,
player,201811150sea,gnb,JoneJo06,sacks,0.0,,,,,
player,201811150sea,gnb,JoneJo06,tackles_combined,7,,,,,
player,201811150sea,gnb,JoneJo06,tackles_solo,5,,,,,
player,201811150sea,gnb,JoneJo06,tackles_assists,2,,,,,
player,201811150sea,gnb,JoneJo06,tackles_loss,0,,,,,
player,201811150sea,gnb,JoneJo06,qb_hits,0,,,,,
player,201811150sea,gnb,JoneJo06,fumbles_rec,0,,,,,
player,201811150sea,gnb,JoneJo06,fumbles_rec_yds,0,,,,,
player,201811150sea,gnb,JoneJo06,fumbles_rec_td,0,,,,,
player,201811150sea,gnb,JoneJo06,fumbles_forced,0,,,,,
player,201811150sea,gnb,WillTr99,def_int,0,,,,,
player,201811150sea,gnb,WillTr99,def_int_yds,0,,,,,
player,201811150sea,gnb,WillTr99,def_int_td,0,,,,,
player,201811150sea,gnb,WillTr99,def_int_long,0,,,,,
player,201811150sea,gnb,WillTr99,pass_defended,0,,,,,
player,201811150sea,gnb,WillTr99,sacks,0.0,,,,,
player,201811150sea,gnb,WillTr99,tackles_combined,7,,,,,
player,201811150sea,gnb,WillTr99,tackles_solo,5,,,,,
player,201811150sea,gnb,WillTr99,tackles_assists,2,,,,,
player,201811150sea,gnb,WillTr99,tackles_loss,0,,,,,
player,201811150sea,gnb,WillTr99,qb_hits,0,,,,,
player,201811150sea,gnb,WillTr99,fumbles_rec,1,,,,,
player,201811150sea,gnb,WillTr99,fumbles_rec_yds,0,,,,,
player,201811150sea,gnb,WillTr99,fumbles_rec_td,0,,,,,
player,201811150sea,gnb,WillTr99,fumbles_forced,0,,,,,
player,201811150sea,gnb,AlexJa00,def_int,0,,,,,
player,201811150sea,gnb,AlexJa00,def_int_yds,0,,,,,
player,201811150sea,gnb,AlexJa00,def_int_td,0,,,,,
player,201811150sea,gnb,AlexJa00,def_int_long,0,,,,,
player,201811150sea,gnb,AlexJa00,pass_defended,0,,,,,
player,201811150sea,gnb,AlexJa00,sacks,0.0,,,,,
player,201811150sea,gnb,AlexJa00,tackles_combined,6,,,,,
player,201811150sea,gnb,AlexJa00,tackles_solo,6,,,,,
player,201811150sea,gnb,AlexJa00,tackles_assists,0,,,,,
player,201811150sea,gnb,AlexJa00,tackles_loss,0,,,,,
player,201811150sea,gnb,AlexJa00,qb_hits,0,,,,,
player,201811150sea,gnb,AlexJa00,fumbles_rec,0,,,,,
player,201811150sea,gnb,AlexJa00,fumbles_rec_yds,0,,,,,
player,201811150sea,gnb,AlexJa00,fumbles_rec_td,0,,,,,
player,201811150sea,gnb,AlexJa00,fumbles_forced,0,,,,,
player,201811150sea,gnb,MartBl01,def_int,0,,,,,
