game,2018,9,20181101,201811010sfo,rai,"Oakland Raiders",3,sfo,"San Francisco 49ers",34
player,201811010sfo,sfo,KittGe00,pass_sacked,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_long,0,,,,,
player,201811010sfo,sfo,KittGe00,pass_rating,,,,,,
player,201811010sfo,sfo,KittGe00,rush_att,0,,,,,
player,201811010sfo,sfo,KittGe00,rush_yds,0,,,,,
player,201811010sfo,sfo,KittGe00,rush_td,0,,,,,
player,201811010sfo,sfo,KittGe00,rush_long,0,,,,,
player,201811010sfo,sfo,KittGe00,targets,4,,,,,
player,201811010sfo,sfo,KittGe00,rec,4,,,,,
player,201811010sfo,sfo,KittGe00,rec_yds,108,,,,,
player,201811010sfo,sfo,KittGe00,rec_td,1,,,,,
player,201811010sfo,sfo,KittGe00,rec_long,71,,,,,
player,201811010sfo,sfo,KittGe00,fumbles,0,,,,,
player,201811010sfo,sfo,KittGe00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_cmp,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_att,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_yds,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_td,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_int,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_sacked,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_long,0,,,,,
player,201811010sfo,sfo,JameRi00,pass_rating,,,,,,
player,201811010sfo,sfo,JameRi00,rush_att,0,,,,,
player,201811010sfo,sfo,JameRi00,rush_yds,0,,,,,
player,201811010sfo,sfo,JameRi00,rush_td,0,,,,,
player,201811010sfo,sfo,JameRi00,rush_long,0,,,,,
player,201811010sfo,sfo,JameRi00,targets,3,,,,,
player,201811010sfo,sfo,JameRi00,rec,2,,,,,
player,201811010sfo,sfo,JameRi00,rec_yds,60,,,,,
player,201811010sfo,sfo,JameRi00,rec_td,0,,,,,
player,201811010sfo,sfo,JameRi00,rec_long,53,,,,,
player,201811010sfo,sfo,JameRi00,fumbles,0,,,,,
player,201811010sfo,sfo,JameRi00,fumbles_lost,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_cmp,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_att,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_yds,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_td,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_int,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_sacked,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_sacked_yds,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_long,0,,,,,
player,201811010sfo,sfo,GarcPi00,pass_rating,,,,,,
player,201811010sfo,sfo,GarcPi00,rush_att,0,,,,,
player,201811010sfo,sfo,GarcPi00,rush_yds,0,,,,,
