game,2018,16,20181223,201812230crd,ram,"Los Angeles Rams",31,crd,"Arizona Cardinals",9
player,201812230crd,crd,SealRi00,rush_att,0,,,,,
player,201812230crd,crd,SealRi00,rush_yds,0,,,,,
player,201812230crd,crd,SealRi00,rush_td,0,,,,,
player,201812230crd,crd,SealRi00,rush_long,0,,,,,
player,201812230crd,crd,SealRi00,targets,1,,,,,
player,201812230crd,crd,SealRi00,rec,1,,,,,
player,201812230crd,crd,SealRi00,rec_yds,3,,,,,
player,201812230crd,crd,SealRi00,rec_td,0,,,,,
player,201812230crd,crd,SealRi00,rec_long,3,,,,,
player,201812230crd,crd,SealRi00,fumbles,0,,,,,
player,201812230crd,crd,SealRi00,fumbles_lost,0,,,,,
player,201812230crd,ram,DonaAa00,def_int,0,,,,,
player,201812230crd,ram,DonaAa00,def_int_yds,0,,,,,
player,201812230crd,ram,DonaAa00,def_int_td,0,,,,,
player,201812230crd,ram,DonaAa00,def_int_long,0,,,,,
player,201812230crd,ram,DonaAa00,pass_defended,0,,,,,
player,201812230crd,ram,DonaAa00,sacks,3.0,,,,,
player,201812230crd,ram,DonaAa00,tackles_combined,7,,,,,
player,201812230crd,ram,DonaAa00,tackles_solo,5,,,,,
player,201812230crd,ram,DonaAa00,tackles_assists,2,,,,,
player,201812230crd,ram,DonaAa00,tackles_loss,4,,,,,
player,201812230crd,ram,DonaAa00,qb_hits,4,,,,,
player,201812230crd,ram,DonaAa00,fumbles_rec,0,,,,,
player,201812230crd,ram,DonaAa00,fumbles_rec_yds,0,,,,,
player,201812230crd,ram,DonaAa00,fumbles_rec_td,0,,,,,
player,201812230crd,ram,DonaAa00,fumbles_forced,0,,,,,
player,201812230crd,ram,SuhxNd99,def_int,0,,,,,
player,201812230crd,ram,SuhxNd99,def_int_yds,0,,,,,
player,201812230crd,ram,SuhxNd99,def_int_td,0,,,,,
player,201812230crd,ram,SuhxNd99,def_int_long,0,,,,,
