game,2018,1,20180909,201809090car,dal,"Dallas Cowboys",8,car,"Carolina Panthers",16
player,201809090car,dal,WillTe01,targets,2,,,,,
player,201809090car,dal,WillTe01,rec,1,,,,,
player,201809090car,dal,WillTe01,rec_yds,6,,,,,
player,201809090car,dal,WillTe01,rec_td,0,,,,,
player,201809090car,dal,WillTe01,rec_long,6,,,,,
player,201809090car,dal,WillTe01,fumbles,0,,,,,
player,201809090car,dal,WillTe01,fumbles_lost,0,,,,,
player,201809090car,dal,JarwBl00,pass_cmp,0,,,,,
player,201809090car,dal,JarwBl00,pass_att,0,,,,,
player,201809090car,dal,JarwBl00,pass_yds,0,,,,,
player,201809090car,dal,JarwBl00,pass_td,0,,,,,
player,201809090car,dal,JarwBl00,pass_int,0,,,,,
player,201809090car,dal,JarwBl00,pass_sacked,0,,,,,
player,201809090car,dal,JarwBl00,pass_sacked_yds,0,,,,,
player,201809090car,dal,JarwBl00,pass_long,0,,,,,
player,201809090car,dal,JarwBl00,pass_rating,,,,,,
player,201809090car,dal,JarwBl00,rush_att,0,,,,,
player,201809090car,dal,JarwBl00,rush_yds,0,,,,,
player,201809090car,dal,JarwBl00,rush_td,0,,,,,
player,201809090car,dal,JarwBl00,rush_long,0,,,,,
player,201809090car,dal,JarwBl00,targets,1,,,,,
player,201809090car,dal,JarwBl00,rec,0,,,,,
player,201809090car,dal,JarwBl00,rec_yds,0,,,,,
player,201809090car,dal,JarwBl00,rec_td,0,,,,,
player,201809090car,dal,JarwBl00,rec_long,0,,,,,
player,201809090car,dal,JarwBl00,fumbles,0,,,,,
player,201809090car,dal,JarwBl00,fumbles_lost,0,,,,,
player,201809090car,car,NewtCa00,pass_cmp,17,,,,,
player,201809090car,car,NewtCa00,pass_att,26,,,,,
player,201809090car,car,NewtCa00,pass_yds,161,,,,,
player,201809090car,car,NewtCa00,pass_td,0,,,,,
player,201809090car,car,NewtCa00,pass_int,0,,,,,
player,201809090car,car,NewtCa00,pass_sacked,3,,,,,
player,201809090car,car,NewtCa00,pass_sacked_yds,15,,,,,
player,201809090car,car,NewtCa00,pass_long,19,,,,,
player,201809090car,car,NewtCa00,pass_rating,82.4,,,,,
player,201809090car,car,NewtCa00,rush_att,13,,,,,
player,201809090car,car,NewtCa00,rush_yds,58,,,,,
player,201809090car,car,NewtCa00,rush_td,1,,,,,
player,201809090car,car,NewtCa00,rush_long,29,,,,,
player,201809090car,car,NewtCa00,targets,0,,,,,
player,201809090car,car,NewtCa00,rec,0,,,,,
player,201809090car,car,NewtCa00,rec_yds,0,,,,,
player,201809090car,car,NewtCa00,rec_td,0,,,,,
player,201809090car,car,NewtCa00,rec_long,0,,,,,
player,201809090car,car,NewtCa00,fumbles,0,,,,,
player,201809090car,car,NewtCa00,fumbles_lost,0,,,,,
player,201809090car,car,McCaCh01,pass_cmp,0,,,,,
player,201809090car,car,McCaCh01,pass_att,0,,,,,
player,201809090car,car,McCaCh01,pass_yds,0,,,,,
player,201809090car,car,McCaCh01,pass_td,0,,,,,
player,201809090car,car,McCaCh01,pass_int,0,,,,,
player,201809090car,car,McCaCh01,pass_sacked,0,,,,,
player,201809090car,car,McCaCh01,pass_sacked_yds,0,,,,,
player,201809090car,car,McCaCh01,pass_long,0,,,,,
player,201809090car,car,McCaCh01,pass_rating,,,,,,
player,201809090car,car,McCaCh01,rush_att,10,,,,,
player,201809090car,car,McCaCh01,rush_yds,50,,,,,
player,201809090car,car,McCaCh01,rush_td,0,,,,,
player,201809090car,car,McCaCh01,rush_long,15,,,,,
player,201809090car,car,McCaCh01,targets,9,,,,,
player,201809090car,car,McCaCh01,rec,6,,,,,
player,201809090car,car,McCaCh01,rec_yds,45,,,,,
