game,2018,8,20181025,201810250htx,mia,"Miami Dolphins",23,htx,"Houston Texans",42
player,201810250htx,htx,HopkDe00,pass_yds,0,,,,,
player,201810250htx,htx,HopkDe00,pass_td,0,,,,,
player,201810250htx,htx,HopkDe00,pass_int,0,,,,,
player,201810250htx,htx,HopkDe00,pass_sacked,0,,,,,
player,201810250htx,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201810250htx,htx,HopkDe00,pass_long,0,,,,,
player,201810250htx,htx,HopkDe00,pass_rating,,,,,,
player,201810250htx,htx,HopkDe00,rush_att,0,,,,,
player,201810250htx,htx,HopkDe00,rush_yds,0,,,,,
player,201810250htx,htx,HopkDe00,rush_td,0,,,,,
player,201810250htx,htx,HopkDe00,rush_long,0,,,,,
player,201810250htx,htx,HopkDe00,targets,7,,,,,
player,201810250htx,htx,HopkDe00,rec,6,,,,,
player,201810250htx,htx,HopkDe00,rec_yds,82,,,,,
player,201810250htx,htx,HopkDe00,rec_td,2,,,,,
player,201810250htx,htx,HopkDe00,rec_long,49,,,,,
player,201810250htx,htx,HopkDe00,fumbles,0,,,,,
player,201810250htx,htx,HopkDe00,fumbles_lost,0,,,,,
player,201810250htx,htx,ThomJo05,pass_cmp,0,,,,,
player,201810250htx,htx,ThomJo05,pass_att,0,,,,,
player,201810250htx,htx,ThomJo05,pass_yds,0,,,,,
player,201810250htx,htx,ThomJo05,pass_td,0,,,,,
player,201810250htx,htx,ThomJo05,pass_int,0,,,,,
player,201810250htx,htx,ThomJo05,pass_sacked,0,,,,,
player,201810250htx,htx,ThomJo05,pass_sacked_yds,0,,,,,
player,201810250htx,htx,ThomJo05,pass_long,0,,,,,
player,201810250htx,htx,ThomJo05,pass_rating,,,,,,
player,201810250htx,htx,ThomJo05,rush_att,0,,,,,
player,201810250htx,htx,ThomJo05,rush_yds,0,,,,,
player,201810250htx,htx,ThomJo05,rush_td,0,,,,,
player,201810250htx,htx,ThomJo05,rush_long,0,,,,,
player,201810250htx,htx,ThomJo05,targets,4,,,,,
player,201810250htx,htx,ThomJo05,rec,4,,,,,
player,201810250htx,htx,ThomJo05,rec_yds,29,,,,,
player,201810250htx,htx,ThomJo05,rec_td,2,,,,,
player,201810250htx,htx,ThomJo05,rec_long,13,,,,,
player,201810250htx,htx,ThomJo05,fumbles,0,,,,,
player,201810250htx,htx,ThomJo05,fumbles_lost,0,,,,,
player,201810250htx,htx,ErviTy00,pass_cmp,0,,,,,
player,201810250htx,htx,ErviTy00,pass_att,0,,,,,
player,201810250htx,htx,ErviTy00,pass_yds,0,,,,,
player,201810250htx,htx,ErviTy00,pass_td,0,,,,,
player,201810250htx,htx,ErviTy00,pass_int,0,,,,,
player,201810250htx,htx,ErviTy00,pass_sacked,0,,,,,
player,201810250htx,htx,ErviTy00,pass_sacked_yds,0,,,,,
player,201810250htx,htx,ErviTy00,pass_long,0,,,,,
player,201810250htx,htx,ErviTy00,pass_rating,,,,,,
player,201810250htx,htx,ErviTy00,rush_att,0,,,,,
player,201810250htx,htx,ErviTy00,rush_yds,0,,,,,
player,201810250htx,htx,ErviTy00,rush_td,0,,,,,
player,201810250htx,htx,ErviTy00,rush_long,0,,,,,
player,201810250htx,htx,ErviTy00,targets,1,,,,,
player,201810250htx,htx,ErviTy00,rec,1,,,,,
player,201810250htx,htx,ErviTy00,rec_yds,4,,,,,
player,201810250htx,htx,ErviTy00,rec_td,0,,,,,
player,201810250htx,htx,ErviTy00,rec_long,4,,,,,
player,201810250htx,htx,ErviTy00,fumbles,0,,,,,
player,201810250htx,htx,ErviTy00,fumbles_lost,0,,,,,
player,201810250htx,htx,WeedBr00,pass_cmp,0,,,,,
player,201810250htx,htx,WeedBr00,pass_att,0,,,,,
player,201810250htx,htx,WeedBr00,pass_yds,0,,,,,
player,201810250htx,htx,WeedBr00,pass_td,0,,,,,
player,201810250htx,htx,WeedBr00,pass_int,0,,,,,
player,201810250htx,htx,WeedBr00,pass_sacked,0,,,,,
player,201810250htx,htx,WeedBr00,pass_sacked_yds,0,,,,,
player,201810250htx,htx,WeedBr00,pass_long,0,,,,,
player,201810250htx,htx,WeedBr00,pass_rating,,,,,,
player,201810250htx,htx,WeedBr00,rush_att,1,,,,,
player,201810250htx,htx,WeedBr00,rush_yds,-1,,,,,
player,201810250htx,htx,WeedBr00,rush_td,0,,,,,
player,201810250htx,htx,WeedBr00,rush_long,-1,,,,,
player,201810250htx,htx,WeedBr00,targets,0,,,,,
player,201810250htx,htx,WeedBr00,rec,0,,,,,
player,201810250htx,htx,WeedBr00,rec_yds,0,,,,,
player,201810250htx,htx,WeedBr00,rec_td,0,,,,,
player,201810250htx,htx,WeedBr00,rec_long,0,,,,,
