game,2018,10,20181111,201811110tam,was,"Washington Redskins",16,tam,"Tampa Bay Buccaneers",3
player,201811110tam,tam,GodwCh00,pass_sacked_yds,0,,,,,
player,201811110tam,tam,GodwCh00,pass_long,0,,,,,
player,201811110tam,tam,GodwCh00,pass_rating,,,,,,
player,201811110tam,tam,GodwCh00,rush_att,0,,,,,
player,201811110tam,tam,GodwCh00,rush_yds,0,,,,,
player,201811110tam,tam,GodwCh00,rush_td,0,,,,,
player,201811110tam,tam,GodwCh00,rush_long,0,,,,,
player,201811110tam,tam,GodwCh00,targets,7,,,,,
player,201811110tam,tam,GodwCh00,rec,7,,,,,
player,201811110tam,tam,GodwCh00,rec_yds,103,,,,,
player,201811110tam,tam,GodwCh00,rec_td,0,,,,,
player,201811110tam,tam,GodwCh00,rec_long,20,,,,,
player,201811110tam,tam,GodwCh00,fumbles,1,,,,,
player,201811110tam,tam,GodwCh00,fumbles_lost,0,,,,,
player,201811110tam,tam,RodgJa00,pass_cmp,0,,,,,
player,201811110tam,tam,RodgJa00,pass_att,0,,,,,
player,201811110tam,tam,RodgJa00,pass_yds,0,,,,,
player,201811110tam,tam,RodgJa00,pass_td,0,,,,,
player,201811110tam,tam,RodgJa00,pass_int,0,,,,,
player,201811110tam,tam,RodgJa00,pass_sacked,0,,,,,
player,201811110tam,tam,RodgJa00,pass_sacked_yds,0,,,,,
player,201811110tam,tam,RodgJa00,pass_long,0,,,,,
player,201811110tam,tam,RodgJa00,pass_rating,,,,,,
player,201811110tam,tam,RodgJa00,rush_att,1,,,,,
player,201811110tam,tam,RodgJa00,rush_yds,0,,,,,
player,201811110tam,tam,RodgJa00,rush_td,0,,,,,
player,201811110tam,tam,RodgJa00,rush_long,0,,,,,
player,201811110tam,tam,RodgJa00,targets,8,,,,,
player,201811110tam,tam,RodgJa00,rec,8,,,,,
player,201811110tam,tam,RodgJa00,rec_yds,102,,,,,
player,201811110tam,tam,RodgJa00,rec_td,0,,,,,
player,201811110tam,tam,RodgJa00,rec_long,24,,,,,
