game,2018,16,20181223,201812230phi,htx,"Houston Texans",30,phi,"Philadelphia Eagles",32
player,201812230phi,phi,AghoNe00,pass_yds,0,,,,,
player,201812230phi,phi,AghoNe00,pass_td,0,,,,,
player,201812230phi,phi,AghoNe00,pass_int,0,,,,,
player,201812230phi,phi,AghoNe00,pass_sacked,0,,,,,
player,201812230phi,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,AghoNe00,pass_long,0,,,,,
player,201812230phi,phi,AghoNe00,pass_rating,,,,,,
player,201812230phi,phi,AghoNe00,rush_att,0,,,,,
player,201812230phi,phi,AghoNe00,rush_yds,0,,,,,
player,201812230phi,phi,AghoNe00,rush_td,0,,,,,
player,201812230phi,phi,AghoNe00,rush_long,0,,,,,
player,201812230phi,phi,AghoNe00,targets,7,,,,,
player,201812230phi,phi,AghoNe00,rec,5,,,,,
player,201812230phi,phi,AghoNe00,rec_yds,116,,,,,
player,201812230phi,phi,AghoNe00,rec_td,1,,,,,
player,201812230phi,phi,AghoNe00,rec_long,83,,,,,
player,201812230phi,phi,AghoNe00,fumbles,0,,,,,
player,201812230phi,phi,AghoNe00,fumbles_lost,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_cmp,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_att,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_yds,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_td,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_int,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_sacked,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_long,0,,,,,
player,201812230phi,phi,ErtzZa00,pass_rating,,,,,,
player,201812230phi,phi,ErtzZa00,rush_att,0,,,,,
player,201812230phi,phi,ErtzZa00,rush_yds,0,,,,,
player,201812230phi,phi,ErtzZa00,rush_td,0,,,,,
player,201812230phi,phi,ErtzZa00,rush_long,0,,,,,
player,201812230phi,phi,ErtzZa00,targets,16,,,,,
player,201812230phi,phi,ErtzZa00,rec,12,,,,,
player,201812230phi,phi,ErtzZa00,rec_yds,110,,,,,
player,201812230phi,phi,ErtzZa00,rec_td,2,,,,,
player,201812230phi,phi,ErtzZa00,rec_long,23,,,,,
player,201812230phi,phi,ErtzZa00,fumbles,1,,,,,
player,201812230phi,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201812230phi,phi,JeffAl00,pass_cmp,0,,,,,
player,201812230phi,phi,JeffAl00,pass_att,0,,,,,
player,201812230phi,phi,JeffAl00,pass_yds,0,,,,,
player,201812230phi,phi,JeffAl00,pass_td,0,,,,,
player,201812230phi,phi,JeffAl00,pass_int,0,,,,,
player,201812230phi,phi,JeffAl00,pass_sacked,0,,,,,
player,201812230phi,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,JeffAl00,pass_long,0,,,,,
player,201812230phi,phi,JeffAl00,pass_rating,,,,,,
player,201812230phi,phi,JeffAl00,rush_att,0,,,,,
player,201812230phi,phi,JeffAl00,rush_yds,0,,,,,
player,201812230phi,phi,JeffAl00,rush_td,0,,,,,
player,201812230phi,phi,JeffAl00,rush_long,0,,,,,
player,201812230phi,phi,JeffAl00,targets,5,,,,,
player,201812230phi,phi,JeffAl00,rec,3,,,,,
player,201812230phi,phi,JeffAl00,rec_yds,82,,,,,
player,201812230phi,phi,JeffAl00,rec_td,0,,,,,
player,201812230phi,phi,JeffAl00,rec_long,52,,,,,
player,201812230phi,phi,JeffAl00,fumbles,0,,,,,
player,201812230phi,phi,JeffAl00,fumbles_lost,0,,,,,
player,201812230phi,phi,GoedDa00,pass_cmp,0,,,,,
player,201812230phi,phi,GoedDa00,pass_att,0,,,,,
player,201812230phi,phi,GoedDa00,pass_yds,0,,,,,
player,201812230phi,phi,GoedDa00,pass_td,0,,,,,
player,201812230phi,phi,GoedDa00,pass_int,0,,,,,
player,201812230phi,phi,GoedDa00,pass_sacked,0,,,,,
player,201812230phi,phi,GoedDa00,pass_sacked_yds,0,,,,,
player,201812230phi,phi,GoedDa00,pass_long,0,,,,,
player,201812230phi,phi,GoedDa00,pass_rating,,,,,,
player,201812230phi,phi,GoedDa00,rush_att,0,,,,,
