game,2018,9,20181104,201811040car,tam,"Tampa Bay Buccaneers",28,car,"Carolina Panthers",42
player,201811040car,tam,BarbPe01,rush_broken_tackles_per_rush,11.0,,,,,
player,201811040car,tam,FitzRy00,rush_att,5,,,,,
player,201811040car,tam,FitzRy00,rush_yds,23,,,,,
player,201811040car,tam,FitzRy00,rush_first_down,1,,,,,
player,201811040car,tam,FitzRy00,rush_yds_before_contact,21,,,,,
player,201811040car,tam,FitzRy00,rush_yds_bc_per_rush,4.2,,,,,
player,201811040car,tam,FitzRy00,rush_yac,2,,,,,
player,201811040car,tam,FitzRy00,rush_yac_per_rush,0.4,,,,,
player,201811040car,tam,FitzRy00,rush_broken_tackles,0,,,,,
player,201811040car,tam,FitzRy00,rush_broken_tackles_per_rush,,,,,,
player,201811040car,tam,WilsSh01,rush_att,2,,,,,
player,201811040car,tam,WilsSh01,rush_yds,7,,,,,
player,201811040car,tam,WilsSh01,rush_first_down,,,,,,
player,201811040car,tam,WilsSh01,rush_yds_before_contact,5,,,,,
player,201811040car,tam,WilsSh01,rush_yds_bc_per_rush,2.5,,,,,
player,201811040car,tam,WilsSh01,rush_yac,2,,,,,
player,201811040car,tam,WilsSh01,rush_yac_per_rush,1.0,,,,,
player,201811040car,tam,WilsSh01,rush_broken_tackles,0,,,,,
player,201811040car,tam,WilsSh01,rush_broken_tackles_per_rush,,,,,,
player,201811040car,tam,RodgJa00,rush_att,2,,,,,
player,201811040car,tam,RodgJa00,rush_yds,14,,,,,
player,201811040car,tam,RodgJa00,rush_first_down,1,,,,,
player,201811040car,tam,RodgJa00,rush_yds_before_contact,4,,,,,
player,201811040car,tam,RodgJa00,rush_yds_bc_per_rush,2.0,,,,,
player,201811040car,tam,RodgJa00,rush_yac,10,,,,,
player,201811040car,tam,RodgJa00,rush_yac_per_rush,5.0,,,,,
player,201811040car,tam,RodgJa00,rush_broken_tackles,1,,,,,
player,201811040car,tam,RodgJa00,rush_broken_tackles_per_rush,2.0,,,,,
player,201811040car,tam,HumpAd00,rush_att,1,,,,,
player,201811040car,tam,HumpAd00,rush_yds,7,,,,,
player,201811040car,tam,HumpAd00,rush_first_down,0,,,,,
player,201811040car,tam,HumpAd00,rush_yds_before_contact,7,,,,,
player,201811040car,tam,HumpAd00,rush_yds_bc_per_rush,7.0,,,,,
player,201811040car,tam,HumpAd00,rush_yac,0,,,,,
player,201811040car,tam,HumpAd00,rush_yac_per_rush,0.0,,,,,
player,201811040car,tam,HumpAd00,rush_broken_tackles,0,,,,,
player,201811040car,tam,HumpAd00,rush_broken_tackles_per_rush,,,,,,
player,201811040car,car,McCaCh01,rush_att,17,,,,,
player,201811040car,car,McCaCh01,rush_yds,79,,,,,
player,201811040car,car,McCaCh01,rush_first_down,3,,,,,
player,201811040car,car,McCaCh01,rush_yds_before_contact,31,,,,,
player,201811040car,car,McCaCh01,rush_yds_bc_per_rush,1.8,,,,,
player,201811040car,car,McCaCh01,rush_yac,48,,,,,
player,201811040car,car,McCaCh01,rush_yac_per_rush,2.8,,,,,
player,201811040car,car,McCaCh01,rush_broken_tackles,2,,,,,
player,201811040car,car,McCaCh01,rush_broken_tackles_per_rush,8.5,,,,,
player,201811040car,car,NewtCa00,rush_att,11,,,,,
player,201811040car,car,NewtCa00,rush_yds,33,,,,,
player,201811040car,car,NewtCa00,rush_first_down,2,,,,,
player,201811040car,car,NewtCa00,rush_yds_before_contact,28,,,,,
player,201811040car,car,NewtCa00,rush_yds_bc_per_rush,2.5,,,,,
player,201811040car,car,NewtCa00,rush_yac,5,,,,,
player,201811040car,car,NewtCa00,rush_yac_per_rush,0.5,,,,,
player,201811040car,car,NewtCa00,rush_broken_tackles,1,,,,,
player,201811040car,car,NewtCa00,rush_broken_tackles_per_rush,11.0,,,,,
player,201811040car,car,MoorD.00,rush_att,1,,,,,
player,201811040car,car,MoorD.00,rush_yds,32,,,,,
player,201811040car,car,MoorD.00,rush_first_down,1,,,,,
player,201811040car,car,MoorD.00,rush_yds_before_contact,3,,,,,
player,201811040car,car,MoorD.00,rush_yds_bc_per_rush,3.0,,,,,
player,201811040car,car,MoorD.00,rush_yac,29,,,,,
player,201811040car,car,MoorD.00,rush_yac_per_rush,29.0,,,,,
player,201811040car,car,MoorD.00,rush_broken_tackles,1,,,,,
player,201811040car,car,MoorD.00,rush_broken_tackles_per_rush,1.0,,,,,
player,201811040car,car,ArmaAl00,rush_att,1,,,,,
player,201811040car,car,ArmaAl00,rush_yds,1,,,,,
player,201811040car,car,ArmaAl00,rush_first_down,1,,,,,
player,201811040car,car,ArmaAl00,rush_yds_before_contact,1,,,,,
player,201811040car,car,ArmaAl00,rush_yds_bc_per_rush,1.0,,,,,
player,201811040car,car,ArmaAl00,rush_yac,0,,,,,
player,201811040car,car,ArmaAl00,rush_yac_per_rush,0.0,,,,,
player,201811040car,car,ArmaAl00,rush_broken_tackles,0,,,,,
player,201811040car,car,ArmaAl00,rush_broken_tackles_per_rush,,,,,,
player,201811040car,car,SamuCu00,rush_att,1,,,,,
player,201811040car,car,SamuCu00,rush_yds,33,,,,,
player,201811040car,car,SamuCu00,rush_first_down,1,,,,,
player,201811040car,car,SamuCu00,rush_yds_before_contact,23,,,,,
player,201811040car,car,SamuCu00,rush_yds_bc_per_rush,23.0,,,,,
player,201811040car,car,SamuCu00,rush_yac,10,,,,,
player,201811040car,car,SamuCu00,rush_yac_per_rush,10.0,,,,,
player,201811040car,car,SamuCu00,rush_broken_tackles,1,,,,,
player,201811040car,car,SamuCu00,rush_broken_tackles_per_rush,1.0,,,,,
player,201811040car,car,AndeC.00,rush_att,1,,,,,
player,201811040car,car,AndeC.00,rush_yds,1,,,,,
player,201811040car,car,AndeC.00,rush_first_down,,,,,,
player,201811040car,car,AndeC.00,rush_yds_before_contact,1,,,,,
