game,2018,6,20181014,201810140was,car,"Carolina Panthers",17,was,"Washington Redskins",23
player,201810140was,car,ThomSh01,fumbles_rec_td,0,,,,,
player,201810140was,car,ThomSh01,fumbles_forced,0,,,,,
player,201810140was,car,PeppJu99,def_int,0,,,,,
player,201810140was,car,PeppJu99,def_int_yds,0,,,,,
player,201810140was,car,PeppJu99,def_int_td,0,,,,,
player,201810140was,car,PeppJu99,def_int_long,0,,,,,
player,201810140was,car,PeppJu99,pass_defended,0,,,,,
player,201810140was,car,PeppJu99,sacks,1.0,,,,,
player,201810140was,car,PeppJu99,tackles_combined,2,,,,,
player,201810140was,car,PeppJu99,tackles_solo,2,,,,,
player,201810140was,car,PeppJu99,tackles_assists,0,,,,,
player,201810140was,car,PeppJu99,tackles_loss,0,,,,,
player,201810140was,car,PeppJu99,qb_hits,1,,,,,
player,201810140was,car,PeppJu99,fumbles_rec,0,,,,,
player,201810140was,car,PeppJu99,fumbles_rec_yds,0,,,,,
player,201810140was,car,PeppJu99,fumbles_rec_td,0,,,,,
player,201810140was,car,PeppJu99,fumbles_forced,1,,,,,
player,201810140was,car,KuecLu00,def_int,0,,,,,
player,201810140was,car,KuecLu00,def_int_yds,0,,,,,
player,201810140was,car,KuecLu00,def_int_td,0,,,,,
player,201810140was,car,KuecLu00,def_int_long,0,,,,,
player,201810140was,car,KuecLu00,pass_defended,0,,,,,
player,201810140was,car,KuecLu00,sacks,0.0,,,,,
player,201810140was,car,KuecLu00,tackles_combined,10,,,,,
player,201810140was,car,KuecLu00,tackles_solo,8,,,,,
player,201810140was,car,KuecLu00,tackles_assists,2,,,,,
player,201810140was,car,KuecLu00,tackles_loss,2,,,,,
player,201810140was,car,KuecLu00,qb_hits,0,,,,,
player,201810140was,car,KuecLu00,fumbles_rec,0,,,,,
player,201810140was,car,KuecLu00,fumbles_rec_yds,0,,,,,
player,201810140was,car,KuecLu00,fumbles_rec_td,0,,,,,
player,201810140was,car,KuecLu00,fumbles_forced,0,,,,,
player,201810140was,car,AdamMi21,def_int,0,,,,,
player,201810140was,car,AdamMi21,def_int_yds,0,,,,,
player,201810140was,car,AdamMi21,def_int_td,0,,,,,
player,201810140was,car,AdamMi21,def_int_long,0,,,,,
