game,2018,12,20181125,201811250car,sea,"Seattle Seahawks",30,car,"Carolina Panthers",27
player,201811250car,car,SamuCu00,rush_yds,25,,,,,
player,201811250car,car,SamuCu00,rush_first_down,1,,,,,
player,201811250car,car,SamuCu00,rush_yds_before_contact,25,,,,,
player,201811250car,car,SamuCu00,rush_yds_bc_per_rush,25.0,,,,,
player,201811250car,car,SamuCu00,rush_yac,0,,,,,
player,201811250car,car,SamuCu00,rush_yac_per_rush,0.0,,,,,
player,201811250car,car,SamuCu00,rush_broken_tackles,0,,,,,
player,201811250car,car,SamuCu00,rush_broken_tackles_per_rush,,,,,,
player,201811250car,sea,BaldDo00,targets,7,,,,,
player,201811250car,sea,BaldDo00,rec,5,,,,,
player,201811250car,sea,BaldDo00,rec_yds,39,,,,,
player,201811250car,sea,BaldDo00,rec_first_down,2,,,,,
player,201811250car,sea,BaldDo00,rec_air_yds,13,,,,,
player,201811250car,sea,BaldDo00,rec_air_yds_per_rec,2.6,,,,,
player,201811250car,sea,BaldDo00,rec_yac,26,,,,,
player,201811250car,sea,BaldDo00,rec_yac_per_rec,5.2,,,,,
player,201811250car,sea,BaldDo00,rec_broken_tackles,0,,,,,
player,201811250car,sea,BaldDo00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,BaldDo00,rec_drops,0,,,,,
player,201811250car,sea,BaldDo00,rec_drop_pct,0.0,,,,,
player,201811250car,sea,LockTy00,targets,5,,,,,
player,201811250car,sea,LockTy00,rec,5,,,,,
player,201811250car,sea,LockTy00,rec_yds,107,,,,,
player,201811250car,sea,LockTy00,rec_first_down,5,,,,,
player,201811250car,sea,LockTy00,rec_air_yds,73,,,,,
player,201811250car,sea,LockTy00,rec_air_yds_per_rec,14.6,,,,,
player,201811250car,sea,LockTy00,rec_yac,34,,,,,
player,201811250car,sea,LockTy00,rec_yac_per_rec,6.8,,,,,
player,201811250car,sea,LockTy00,rec_broken_tackles,0,,,,,
player,201811250car,sea,LockTy00,rec_broken_tackles_per_rec,,,,,,
player,201811250car,sea,LockTy00,rec_drops,0,,,,,
player,201811250car,sea,LockTy00,rec_drop_pct,0.0,,,,,
player,201811250car,sea,MoorDa03,targets,5,,,,,
player,201811250car,sea,MoorDa03,rec,4,,,,,
player,201811250car,sea,MoorDa03,rec_yds,103,,,,,
player,201811250car,sea,MoorDa03,rec_first_down,2,,,,,
player,201811250car,sea,MoorDa03,rec_air_yds,96,,,,,
player,201811250car,sea,MoorDa03,rec_air_yds_per_rec,24.0,,,,,
player,201811250car,sea,MoorDa03,rec_yac,7,,,,,
player,201811250car,sea,MoorDa03,rec_yac_per_rec,1.8,,,,,
player,201811250car,sea,MoorDa03,rec_broken_tackles,0,,,,,
player,201811250car,sea,MoorDa03,rec_broken_tackles_per_rec,,,,,,
