game,2018,17,20181230,201812300oti,clt,"Indianapolis Colts",33,oti,"Tennessee Titans",17
player,201812300oti,clt,GranRy01,pass_rating,,,,,,
player,201812300oti,clt,GranRy01,rush_att,0,,,,,
player,201812300oti,clt,GranRy01,rush_yds,0,,,,,
player,201812300oti,clt,GranRy01,rush_td,0,,,,,
player,201812300oti,clt,GranRy01,rush_long,0,,,,,
player,201812300oti,clt,GranRy01,targets,2,,,,,
player,201812300oti,clt,GranRy01,rec,1,,,,,
player,201812300oti,clt,GranRy01,rec_yds,4,,,,,
player,201812300oti,clt,GranRy01,rec_td,0,,,,,
player,201812300oti,clt,GranRy01,rec_long,4,,,,,
player,201812300oti,clt,GranRy01,fumbles,0,,,,,
player,201812300oti,clt,GranRy01,fumbles_lost,0,,,,,
player,201812300oti,clt,HewiRy00,pass_cmp,0,,,,,
player,201812300oti,clt,HewiRy00,pass_att,0,,,,,
player,201812300oti,clt,HewiRy00,pass_yds,0,,,,,
player,201812300oti,clt,HewiRy00,pass_td,0,,,,,
player,201812300oti,clt,HewiRy00,pass_int,0,,,,,
player,201812300oti,clt,HewiRy00,pass_sacked,0,,,,,
player,201812300oti,clt,HewiRy00,pass_sacked_yds,0,,,,,
player,201812300oti,clt,HewiRy00,pass_long,0,,,,,
player,201812300oti,clt,HewiRy00,pass_rating,,,,,,
player,201812300oti,clt,HewiRy00,rush_att,0,,,,,
player,201812300oti,clt,HewiRy00,rush_yds,0,,,,,
player,201812300oti,clt,HewiRy00,rush_td,0,,,,,
player,201812300oti,clt,HewiRy00,rush_long,0,,,,,
player,201812300oti,clt,HewiRy00,targets,1,,,,,
player,201812300oti,clt,HewiRy00,rec,1,,,,,
player,201812300oti,clt,HewiRy00,rec_yds,1,,,,,
player,201812300oti,clt,HewiRy00,rec_td,1,,,,,
player,201812300oti,clt,HewiRy00,rec_long,1,,,,,
player,201812300oti,clt,HewiRy00,fumbles,0,,,,,
player,201812300oti,clt,HewiRy00,fumbles_lost,0,,,,,
player,201812300oti,oti,GabbBl00,pass_cmp,18,,,,,
player,201812300oti,oti,GabbBl00,pass_att,29,,,,,
player,201812300oti,oti,GabbBl00,pass_yds,165,,,,,
player,201812300oti,oti,GabbBl00,pass_td,1,,,,,
player,201812300oti,oti,GabbBl00,pass_int,2,,,,,
player,201812300oti,oti,GabbBl00,pass_sacked,0,,,,,
player,201812300oti,oti,GabbBl00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,GabbBl00,pass_long,22,,,,,
player,201812300oti,oti,GabbBl00,pass_rating,60.3,,,,,
player,201812300oti,oti,GabbBl00,rush_att,0,,,,,
player,201812300oti,oti,GabbBl00,rush_yds,0,,,,,
player,201812300oti,oti,GabbBl00,rush_td,0,,,,,
player,201812300oti,oti,GabbBl00,rush_long,0,,,,,
player,201812300oti,oti,GabbBl00,targets,0,,,,,
player,201812300oti,oti,GabbBl00,rec,0,,,,,
player,201812300oti,oti,GabbBl00,rec_yds,0,,,,,
player,201812300oti,oti,GabbBl00,rec_td,0,,,,,
player,201812300oti,oti,GabbBl00,rec_long,0,,,,,
player,201812300oti,oti,GabbBl00,fumbles,0,,,,,
player,201812300oti,oti,GabbBl00,fumbles_lost,0,,,,,
player,201812300oti,oti,HenrDe00,pass_cmp,0,,,,,
player,201812300oti,oti,HenrDe00,pass_att,0,,,,,
player,201812300oti,oti,HenrDe00,pass_yds,0,,,,,
player,201812300oti,oti,HenrDe00,pass_td,0,,,,,
player,201812300oti,oti,HenrDe00,pass_int,0,,,,,
player,201812300oti,oti,HenrDe00,pass_sacked,0,,,,,
player,201812300oti,oti,HenrDe00,pass_sacked_yds,0,,,,,
player,201812300oti,oti,HenrDe00,pass_long,0,,,,,
player,201812300oti,oti,HenrDe00,pass_rating,,,,,,
player,201812300oti,oti,HenrDe00,rush_att,16,,,,,
player,201812300oti,oti,HenrDe00,rush_yds,93,,,,,
player,201812300oti,oti,HenrDe00,rush_td,0,,,,,
player,201812300oti,oti,HenrDe00,rush_long,33,,,,,
player,201812300oti,oti,HenrDe00,targets,1,,,,,
player,201812300oti,oti,HenrDe00,rec,1,,,,,
player,201812300oti,oti,HenrDe00,rec_yds,13,,,,,
player,201812300oti,oti,HenrDe00,rec_td,0,,,,,
player,201812300oti,oti,HenrDe00,rec_long,13,,,,,
player,201812300oti,oti,HenrDe00,fumbles,0,,,,,
player,201812300oti,oti,HenrDe00,fumbles_lost,0,,,,,
player,201812300oti,oti,DaviCo03,pass_cmp,0,,,,,
player,201812300oti,oti,DaviCo03,pass_att,0,,,,,
player,201812300oti,oti,DaviCo03,pass_yds,0,,,,,
player,201812300oti,oti,DaviCo03,pass_td,0,,,,,
player,201812300oti,oti,DaviCo03,pass_int,0,,,,,
player,201812300oti,oti,DaviCo03,pass_sacked,0,,,,,
player,201812300oti,oti,DaviCo03,pass_sacked_yds,0,,,,,
player,201812300oti,oti,DaviCo03,pass_long,0,,,,,
player,201812300oti,oti,DaviCo03,pass_rating,,,,,,
player,201812300oti,oti,DaviCo03,rush_att,0,,,,,
player,201812300oti,oti,DaviCo03,rush_yds,0,,,,,
player,201812300oti,oti,DaviCo03,rush_td,0,,,,,
player,201812300oti,oti,DaviCo03,rush_long,0,,,,,
player,201812300oti,oti,DaviCo03,targets,7,,,,,
player,201812300oti,oti,DaviCo03,rec,5,,,,,
player,201812300oti,oti,DaviCo03,rec_yds,48,,,,,
player,201812300oti,oti,DaviCo03,rec_td,0,,,,,
player,201812300oti,oti,DaviCo03,rec_long,18,,,,,
