game,2018,15,20181216,201812160atl,crd,"Arizona Cardinals",14,atl,"Atlanta Falcons",40
player,201812160atl,crd,TollJa00,rush_att,0,,,,,
player,201812160atl,crd,TollJa00,rush_yds,0,,,,,
player,201812160atl,crd,TollJa00,rush_td,0,,,,,
player,201812160atl,crd,TollJa00,rush_long,0,,,,,
player,201812160atl,crd,TollJa00,targets,1,,,,,
player,201812160atl,crd,TollJa00,rec,0,,,,,
player,201812160atl,crd,TollJa00,rec_yds,0,,,,,
player,201812160atl,crd,TollJa00,rec_td,0,,,,,
player,201812160atl,crd,TollJa00,rec_long,0,,,,,
player,201812160atl,crd,TollJa00,fumbles,0,,,,,
player,201812160atl,crd,TollJa00,fumbles_lost,0,,,,,
player,201812160atl,crd,LogaT.00,pass_cmp,0,,,,,
player,201812160atl,crd,LogaT.00,pass_att,0,,,,,
player,201812160atl,crd,LogaT.00,pass_yds,0,,,,,
player,201812160atl,crd,LogaT.00,pass_td,0,,,,,
player,201812160atl,crd,LogaT.00,pass_int,0,,,,,
player,201812160atl,crd,LogaT.00,pass_sacked,0,,,,,
player,201812160atl,crd,LogaT.00,pass_sacked_yds,0,,,,,
player,201812160atl,crd,LogaT.00,pass_long,0,,,,,
player,201812160atl,crd,LogaT.00,pass_rating,,,,,,
player,201812160atl,crd,LogaT.00,rush_att,1,,,,,
player,201812160atl,crd,LogaT.00,rush_yds,-3,,,,,
player,201812160atl,crd,LogaT.00,rush_td,0,,,,,
player,201812160atl,crd,LogaT.00,rush_long,-3,,,,,
player,201812160atl,crd,LogaT.00,targets,4,,,,,
player,201812160atl,crd,LogaT.00,rec,4,,,,,
player,201812160atl,crd,LogaT.00,rec_yds,18,,,,,
player,201812160atl,crd,LogaT.00,rec_td,0,,,,,
player,201812160atl,crd,LogaT.00,rec_long,17,,,,,
player,201812160atl,crd,LogaT.00,fumbles,0,,,,,
player,201812160atl,crd,LogaT.00,fumbles_lost,0,,,,,
player,201812160atl,atl,RyanMa00,pass_cmp,22,,,,,
player,201812160atl,atl,RyanMa00,pass_att,36,,,,,
player,201812160atl,atl,RyanMa00,pass_yds,231,,,,,
player,201812160atl,atl,RyanMa00,pass_td,2,,,,,
player,201812160atl,atl,RyanMa00,pass_int,0,,,,,
player,201812160atl,atl,RyanMa00,pass_sacked,2,,,,,
player,201812160atl,atl,RyanMa00,pass_sacked_yds,11,,,,,
player,201812160atl,atl,RyanMa00,pass_long,22,,,,,
player,201812160atl,atl,RyanMa00,pass_rating,98.3,,,,,
player,201812160atl,atl,RyanMa00,rush_att,3,,,,,
player,201812160atl,atl,RyanMa00,rush_yds,18,,,,,
player,201812160atl,atl,RyanMa00,rush_td,1,,,,,
player,201812160atl,atl,RyanMa00,rush_long,15,,,,,
player,201812160atl,atl,RyanMa00,targets,0,,,,,
player,201812160atl,atl,RyanMa00,rec,0,,,,,
player,201812160atl,atl,RyanMa00,rec_yds,0,,,,,
player,201812160atl,atl,RyanMa00,rec_td,0,,,,,
player,201812160atl,atl,RyanMa00,rec_long,0,,,,,
player,201812160atl,atl,RyanMa00,fumbles,0,,,,,
player,201812160atl,atl,RyanMa00,fumbles_lost,0,,,,,
player,201812160atl,atl,ColeTe01,pass_cmp,0,,,,,
player,201812160atl,atl,ColeTe01,pass_att,0,,,,,
player,201812160atl,atl,ColeTe01,pass_yds,0,,,,,
player,201812160atl,atl,ColeTe01,pass_td,0,,,,,
player,201812160atl,atl,ColeTe01,pass_int,0,,,,,
player,201812160atl,atl,ColeTe01,pass_sacked,0,,,,,
player,201812160atl,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201812160atl,atl,ColeTe01,pass_long,0,,,,,
player,201812160atl,atl,ColeTe01,pass_rating,,,,,,
player,201812160atl,atl,ColeTe01,rush_att,11,,,,,
player,201812160atl,atl,ColeTe01,rush_yds,145,,,,,
player,201812160atl,atl,ColeTe01,rush_td,1,,,,,
player,201812160atl,atl,ColeTe01,rush_long,65,,,,,
player,201812160atl,atl,ColeTe01,targets,1,,,,,
player,201812160atl,atl,ColeTe01,rec,0,,,,,
player,201812160atl,atl,ColeTe01,rec_yds,0,,,,,
player,201812160atl,atl,ColeTe01,rec_td,0,,,,,
player,201812160atl,atl,ColeTe01,rec_long,0,,,,,
player,201812160atl,atl,ColeTe01,fumbles,0,,,,,
player,201812160atl,atl,ColeTe01,fumbles_lost,0,,,,,
player,201812160atl,atl,SmitIt00,pass_cmp,0,,,,,
player,201812160atl,atl,SmitIt00,pass_att,0,,,,,
player,201812160atl,atl,SmitIt00,pass_yds,0,,,,,
player,201812160atl,atl,SmitIt00,pass_td,0,,,,,
player,201812160atl,atl,SmitIt00,pass_int,0,,,,,
player,201812160atl,atl,SmitIt00,pass_sacked,0,,,,,
player,201812160atl,atl,SmitIt00,pass_sacked_yds,0,,,,,
player,201812160atl,atl,SmitIt00,pass_long,0,,,,,
player,201812160atl,atl,SmitIt00,pass_rating,,,,,,
player,201812160atl,atl,SmitIt00,rush_att,9,,,,,
player,201812160atl,atl,SmitIt00,rush_yds,34,,,,,
player,201812160atl,atl,SmitIt00,rush_td,0,,,,,
player,201812160atl,atl,SmitIt00,rush_long,16,,,,,
player,201812160atl,atl,SmitIt00,targets,3,,,,,
player,201812160atl,atl,SmitIt00,rec,2,,,,,
player,201812160atl,atl,SmitIt00,rec_yds,5,,,,,
player,201812160atl,atl,SmitIt00,rec_td,0,,,,,
player,201812160atl,atl,SmitIt00,rec_long,8,,,,,
player,201812160atl,atl,SmitIt00,fumbles,0,,,,,
player,201812160atl,atl,SmitIt00,fumbles_lost,0,,,,,
player,201812160atl,atl,SanuMo00,pass_cmp,0,,,,,
player,201812160atl,atl,SanuMo00,pass_att,0,,,,,
player,201812160atl,atl,SanuMo00,pass_yds,0,,,,,
player,201812160atl,atl,SanuMo00,pass_td,0,,,,,
player,201812160atl,atl,SanuMo00,pass_int,0,,,,,
player,201812160atl,atl,SanuMo00,pass_sacked,0,,,,,
player,201812160atl,atl,SanuMo00,pass_sacked_yds,0,,,,,
player,201812160atl,atl,SanuMo00,pass_long,0,,,,,
player,201812160atl,atl,SanuMo00,pass_rating,,,,,,
player,201812160atl,atl,SanuMo00,rush_att,1,,,,,
player,201812160atl,atl,SanuMo00,rush_yds,11,,,,,
player,201812160atl,atl,SanuMo00,rush_td,0,,,,,
player,201812160atl,atl,SanuMo00,rush_long,11,,,,,
player,201812160atl,atl,SanuMo00,targets,6,,,,,
player,201812160atl,atl,SanuMo00,rec,3,,,,,
player,201812160atl,atl,SanuMo00,rec_yds,30,,,,,
player,201812160atl,atl,SanuMo00,rec_td,0,,,,,
player,201812160atl,atl,SanuMo00,rec_long,16,,,,,
player,201812160atl,atl,SanuMo00,fumbles,0,,,,,
player,201812160atl,atl,SanuMo00,fumbles_lost,0,,,,,
player,201812160atl,atl,HillBr02,pass_cmp,0,,,,,
player,201812160atl,atl,HillBr02,pass_att,0,,,,,
player,201812160atl,atl,HillBr02,pass_yds,0,,,,,
player,201812160atl,atl,HillBr02,pass_td,0,,,,,
player,201812160atl,atl,HillBr02,pass_int,0,,,,,
player,201812160atl,atl,HillBr02,pass_sacked,0,,,,,
player,201812160atl,atl,HillBr02,pass_sacked_yds,0,,,,,
player,201812160atl,atl,HillBr02,pass_long,0,,,,,
player,201812160atl,atl,HillBr02,pass_rating,,,,,,
player,201812160atl,atl,HillBr02,rush_att,3,,,,,
player,201812160atl,atl,HillBr02,rush_yds,7,,,,,
player,201812160atl,atl,HillBr02,rush_td,0,,,,,
player,201812160atl,atl,HillBr02,rush_long,5,,,,,
player,201812160atl,atl,HillBr02,targets,0,,,,,
player,201812160atl,atl,HillBr02,rec,0,,,,,
player,201812160atl,atl,HillBr02,rec_yds,0,,,,,
player,201812160atl,atl,HillBr02,rec_td,0,,,,,
player,201812160atl,atl,HillBr02,rec_long,0,,,,,
player,201812160atl,atl,HillBr02,fumbles,0,,,,,
player,201812160atl,atl,HillBr02,fumbles_lost,0,,,,,
player,201812160atl,atl,JoneJu02,pass_cmp,0,,,,,
player,201812160atl,atl,JoneJu02,pass_att,0,,,,,
player,201812160atl,atl,JoneJu02,pass_yds,0,,,,,
player,201812160atl,atl,JoneJu02,pass_td,0,,,,,
player,201812160atl,atl,JoneJu02,pass_int,0,,,,,
player,201812160atl,atl,JoneJu02,pass_sacked,0,,,,,
player,201812160atl,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201812160atl,atl,JoneJu02,pass_long,0,,,,,
player,201812160atl,atl,JoneJu02,pass_rating,,,,,,
player,201812160atl,atl,JoneJu02,rush_att,0,,,,,
player,201812160atl,atl,JoneJu02,rush_yds,0,,,,,
player,201812160atl,atl,JoneJu02,rush_td,0,,,,,
player,201812160atl,atl,JoneJu02,rush_long,0,,,,,
player,201812160atl,atl,JoneJu02,targets,8,,,,,
player,201812160atl,atl,JoneJu02,rec,6,,,,,
player,201812160atl,atl,JoneJu02,rec_yds,82,,,,,
player,201812160atl,atl,JoneJu02,rec_td,1,,,,,
player,201812160atl,atl,JoneJu02,rec_long,22,,,,,
player,201812160atl,atl,JoneJu02,fumbles,0,,,,,
player,201812160atl,atl,JoneJu02,fumbles_lost,0,,,,,
player,201812160atl,atl,RidlCa00,pass_cmp,0,,,,,
player,201812160atl,atl,RidlCa00,pass_att,0,,,,,
player,201812160atl,atl,RidlCa00,pass_yds,0,,,,,
player,201812160atl,atl,RidlCa00,pass_td,0,,,,,
player,201812160atl,atl,RidlCa00,pass_int,0,,,,,
player,201812160atl,atl,RidlCa00,pass_sacked,0,,,,,
player,201812160atl,atl,RidlCa00,pass_sacked_yds,0,,,,,
player,201812160atl,atl,RidlCa00,pass_long,0,,,,,
player,201812160atl,atl,RidlCa00,pass_rating,,,,,,
player,201812160atl,atl,RidlCa00,rush_att,0,,,,,
player,201812160atl,atl,RidlCa00,rush_yds,0,,,,,
player,201812160atl,atl,RidlCa00,rush_td,0,,,,,
player,201812160atl,atl,RidlCa00,rush_long,0,,,,,
player,201812160atl,atl,RidlCa00,targets,7,,,,,
player,201812160atl,atl,RidlCa00,rec,5,,,,,
player,201812160atl,atl,RidlCa00,rec_yds,42,,,,,
player,201812160atl,atl,RidlCa00,rec_td,0,,,,,
player,201812160atl,atl,RidlCa00,rec_long,14,,,,,
player,201812160atl,atl,RidlCa00,fumbles,0,,,,,
player,201812160atl,atl,RidlCa00,fumbles_lost,0,,,,,
player,201812160atl,atl,GageRu00,pass_cmp,0,,,,,
player,201812160atl,atl,GageRu00,pass_att,0,,,,,
player,201812160atl,atl,GageRu00,pass_yds,0,,,,,
player,201812160atl,atl,GageRu00,pass_td,0,,,,,
player,201812160atl,atl,GageRu00,pass_int,0,,,,,
player,201812160atl,atl,GageRu00,pass_sacked,0,,,,,
player,201812160atl,atl,GageRu00,pass_sacked_yds,0,,,,,
player,201812160atl,atl,GageRu00,pass_long,0,,,,,
player,201812160atl,atl,GageRu00,pass_rating,,,,,,
player,201812160atl,atl,GageRu00,rush_att,0,,,,,
player,201812160atl,atl,GageRu00,rush_yds,0,,,,,
player,201812160atl,atl,GageRu00,rush_td,0,,,,,
player,201812160atl,atl,GageRu00,rush_long,0,,,,,
player,201812160atl,atl,GageRu00,targets,4,,,,,
player,201812160atl,atl,GageRu00,rec,2,,,,,
player,201812160atl,atl,GageRu00,rec_yds,33,,,,,
player,201812160atl,atl,GageRu00,rec_td,0,,,,,
player,201812160atl,atl,GageRu00,rec_long,22,,,,,
player,201812160atl,atl,GageRu00,fumbles,0,,,,,
player,201812160atl,atl,GageRu00,fumbles_lost,0,,,,,
player,201812160atl,atl,HardJu00,pass_cmp,0,,,,,
player,201812160atl,atl,HardJu00,pass_att,0,,,,,
player,201812160atl,atl,HardJu00,pass_yds,0,,,,,
player,201812160atl,atl,HardJu00,pass_td,0,,,,,
player,201812160atl,atl,HardJu00,pass_int,0,,,,,
player,201812160atl,atl,HardJu00,pass_sacked,0,,,,,
player,201812160atl,atl,HardJu00,pass_sacked_yds,0,,,,,
player,201812160atl,atl,HardJu00,pass_long,0,,,,,
player,201812160atl,atl,HardJu00,pass_rating,,,,,,
player,201812160atl,atl,HardJu00,rush_att,0,,,,,
player,201812160atl,atl,HardJu00,rush_yds,0,,,,,
player,201812160atl,atl,HardJu00,rush_td,0,,,,,
player,201812160atl,atl,HardJu00,rush_long,0,,,,,
player,201812160atl,atl,HardJu00,targets,3,,,,,
player,201812160atl,atl,HardJu00,rec,3,,,,,
player,201812160atl,atl,HardJu00,rec_yds,29,,,,,
player,201812160atl,atl,HardJu00,rec_td,1,,,,,
player,201812160atl,atl,HardJu00,rec_long,18,,,,,
player,201812160atl,atl,HardJu00,fumbles,0,,,,,
player,201812160atl,atl,HardJu00,fumbles_lost,0,,,,,
player,201812160atl,atl,HallMa02,pass_cmp,0,,,,,
player,201812160atl,atl,HallMa02,pass_att,0,,,,,
player,201812160atl,atl,HallMa02,pass_yds,0,,,,,
player,201812160atl,atl,HallMa02,pass_td,0,,,,,
player,201812160atl,atl,HallMa02,pass_int,0,,,,,
player,201812160atl,atl,HallMa02,pass_sacked,0,,,,,
player,201812160atl,atl,HallMa02,pass_sacked_yds,0,,,,,
player,201812160atl,atl,HallMa02,pass_long,0,,,,,
player,201812160atl,atl,HallMa02,pass_rating,,,,,,
player,201812160atl,atl,HallMa02,rush_att,0,,,,,
player,201812160atl,atl,HallMa02,rush_yds,0,,,,,
player,201812160atl,atl,HallMa02,rush_td,0,,,,,
player,201812160atl,atl,HallMa02,rush_long,0,,,,,
player,201812160atl,atl,HallMa02,targets,3,,,,,
player,201812160atl,atl,HallMa02,rec,1,,,,,
player,201812160atl,atl,HallMa02,rec_yds,10,,,,,
player,201812160atl,atl,HallMa02,rec_td,0,,,,,
player,201812160atl,atl,HallMa02,rec_long,10,,,,,
player,201812160atl,atl,HallMa02,fumbles,0,,,,,
player,201812160atl,atl,HallMa02,fumbles_lost,0,,,,,
player,201812160atl,atl,HoopAu00,pass_cmp,0,,,,,
